"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG396372051
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;84,04;84,14;83,14;83,42;83,42;345744;1011;28902935;83,5963
03/11/2023;83,42;84,30;82,68;83,10;83,10;861909;1544;71883162;83,3999
02/11/2023;80,66;82,96;80,20;82,24;82,24;649567;1599;53207757;81,9127
01/11/2023;81,30;81,76;79,60;80,04;80,04;568183;1445;45563001;80,1907
31/10/2023;81,26;82,72;80,50;82,50;82,50;768537;1488;62748815;81,6471
30/10/2023;83,34;83,72;81,50;81,50;81,50;552401;1486;45533877;82,4290
27/10/2023;84,44;84,72;83,30;83,32;83,32;770412;1662;64653571;83,9208
26/10/2023;87,86;87,86;82,70;83,02;83,02;1448339;3211;122963073;84,8994
25/10/2023;90,50;90,50;87,34;87,88;87,88;1361047;3155;120175693;88,2965
24/10/2023;86,28;89,16;86,18;89,16;89,16;2295476;5604;202638637;88,2774
23/10/2023;87,90;88,46;85,30;85,90;85,90;549729;1650;47562873;86,5206
20/10/2023;87,04;88,46;86,42;87,78;87,78;645188;1604;56540223;87,6337
19/10/2023;88,90;89,00;87,24;87,68;87,68;571671;1362;50239219;87,8813
18/10/2023;88,96;90,46;88,68;89,20;89,20;976067;2092;87355421;89,4974
17/10/2023;86,00;88,42;85,38;88,30;88,30;959896;2928;84026158;87,5367
16/10/2023;87,40;87,68;85,76;86,10;86,10;560522;1720;48542447;86,6022
13/10/2023;87,30;87,92;86,72;87,36;87,36;753990;2098;65729341;87,1753
12/10/2023;86,60;88,56;86,60;87,30;87,30;731043;1896;64153230;87,7558
11/10/2023;87,20;87,20;85,88;86,54;86,54;426784;1213;36906574;86,4760
10/10/2023;86,80;88,64;86,18;87,34;87,34;957334;2662;83210781;86,9193
09/10/2023;88,60;88,60;86,82;87,20;87,20;546722;1598;47741126;87,3225
06/10/2023;86,88;88,60;86,60;87,20;87,20;789359;2349;69234812;87,7102
05/10/2023;83,26;85,42;83,26;85,16;85,16;486761;1576;41097014;84,4296
04/10/2023;85,10;85,52;82,90;82,92;82,92;696805;1631;58543144;84,0165
03/10/2023;86,80;88,00;86,14;86,46;86,46;778807;1840;67695164;86,9216
02/10/2023;85,00;87,20;84,98;87,02;87,02;803503;1875;69559557;86,5704
29/09/2023;84,36;85,16;83,98;84,34;84,34;711097;1864;60164171;84,6075
28/09/2023;85,46;85,52;83,10;83,66;83,66;767262;2392;64458909;84,0116
27/09/2023;83,64;85,60;83,18;85,50;85,50;904886;2588;76453974;84,4902
26/09/2023;82,04;83,84;82,04;83,64;83,64;587877;1589;48968705;83,2975
25/09/2023;82,34;82,56;81,22;81,32;81,32;365764;1178;29909055;81,7715
22/09/2023;80,94;82,78;80,60;82,34;82,34;641168;1594;52371859;81,6820
21/09/2023;81,50;82,12;80,70;80,98;80,98;784276;1865;63726933;81,2557
20/09/2023;83,32;83,46;81,54;81,70;81,70;392926;1127;32249114;82,0743
19/09/2023;81,50;84,28;81,50;83,20;83,20;796775;2385;66243503;83,1395
18/09/2023;81,00;82,58;80,34;81,84;81,84;1140162;2476;93103240;81,6579
15/09/2023;83,00;84,42;82,70;82,94;82,94;1004774;2219;83805099;83,4069
14/09/2023;80,00;82,50;80,00;82,20;82,20;952455;2871;77664793;81,5417
13/09/2023;80,00;80,10;78,32;79,60;79,60;449868;1685;35691664;79,3381
12/09/2023;81,74;81,78;78,94;79,10;79,10;704010;1568;56134919;79,7360
11/09/2023;78,50;80,46;78,50;79,46;79,46;642230;1922;51193325;79,7118
08/09/2023;79,38;79,38;76,92;78,12;78,12;705866;2468;55009170;77,9315
07/09/2023;80,40;81,38;79,10;80,22;80,22;720476;2397;57959924;80,4467
06/09/2023;80,70;81,08;79,46;80,52;80,52;523018;1852;42058431;80,4149
05/09/2023;81,02;81,28;78,72;79,22;79,22;619038;2108;49392682;79,7894
04/09/2023;79,00;82,00;78,98;81,48;81,48;1195884;2731;97022584;81,1304
01/09/2023;78,10;79,12;77,50;77,50;77,50;515216;1530;40408908;78,4310
31/08/2023;76,86;78,62;76,18;78,36;78,36;716978;2002;56050039;78,1754
30/08/2023;77,32;79,28;75,78;76,32;76,32;688723;2094;53286296;77,3697
29/08/2023;75,10;77,82;73,72;76,74;76,74;1045241;2882;79359690;75,9248
28/08/2023;74,62;75,44;74,50;74,80;74,80;281442;981;21095234;74,9541
25/08/2023;76,00;76,00;74,30;74,40;74,40;366397;1345;27467845;74,9674
24/08/2023;75,50;76,40;75,10;76,12;76,12;483881;1987;36743620;75,9352
23/08/2023;77,02;77,48;75,10;75,62;75,62;563081;1758;42819305;76,0447
22/08/2023;78,50;78,50;76,78;77,32;77,32;381472;1168;29514316;77,3695
21/08/2023;79,08;79,12;77,96;78,00;78,00;530536;1383;41577569;78,3690
18/08/2023;79,84;80,18;78,40;79,08;79,08;420220;1226;33206109;79,0208
17/08/2023;80,48;80,98;79,44;79,66;79,66;406636;1446;32526699;79,9897
16/08/2023;78,96;81,98;78,52;81,18;81,18;819972;2292;65969248;80,4530
15/08/2023;79,08;79,70;78,54;79,26;79,26;560835;1813;44411127;79,1875
14/08/2023;79,94;80,08;78,96;79,12;79,12;396575;1295;31474642;79,3662
11/08/2023;79,42;80,50;79,40;80,40;80,40;478257;1536;38236386;79,9495
10/08/2023;78,78;80,44;78,22;78,78;78,78;611211;2011;48446775;79,2636
09/08/2023;76,10;78,84;76,10;78,78;78,78;613157;1696;47634819;77,6878
08/08/2023;77,00;77,56;76,08;77,08;77,08;634246;1730;48649058;76,7038
07/08/2023;77,10;77,80;76,76;77,40;77,40;487159;1310;37665350;77,3163
04/08/2023;77,60;78,70;77,10;77,72;77,72;598421;1337;46520498;77,7387
03/08/2023;76,64;77,72;75,80;77,58;77,58;358165;1156;27614393;77,0996
02/08/2023;78,50;78,50;76,40;76,72;76,72;458499;1337;35413612;77,2381
01/08/2023;79,00;79,70;78,64;78,96;78,96;405047;1354;32048368;79,1226
31/07/2023;78,60;80,14;78,60;79,32;79,32;607506;1632;48250952;79,4247
28/07/2023;76,64;78,08;76,00;78,02;78,02;371283;1237;28644986;77,1514
27/07/2023;76,80;77,48;76,10;76,50;76,50;422842;1458;32507299;76,8781
26/07/2023;75,50;76,94;75,12;76,32;76,32;535538;2022;40691802;75,9830
25/07/2023;73,70;75,36;73,54;75,36;75,36;673975;2209;50317755;74,6582
24/07/2023;71,60;73,02;71,04;72,50;72,50;423849;1534;30640179;72,2903
21/07/2023;74,00;74,28;71,86;71,98;71,98;429793;1435;31380682;73,0135
20/07/2023;73,60;74,18;73,02;73,26;73,26;391900;1358;28772493;73,4179
19/07/2023;74,00;74,42;73,44;73,72;73,72;439636;1277;32456109;73,8250
18/07/2023;74,86;75,92;74,30;75,70;75,70;311483;1005;23422729;75,1975
17/07/2023;76,38;76,38;74,24;74,54;74,54;603676;1780;45225891;74,9175
14/07/2023;78,36;78,80;77,10;77,32;77,32;314858;1275;24530881;77,9109
13/07/2023;80,60;80,60;78,24;78,30;78,30;1094069;2683;86482085;79,0463
12/07/2023;80,70;81,84;80,42;80,80;80,80;690321;2256;55960912;81,0651
11/07/2023;78,98;80,54;78,78;80,48;80,48;413197;1266;32994388;79,8515
10/07/2023;80,00;80,22;79,12;79,90;79,90;277738;924;22121762;79,6498
07/07/2023;80,00;80,00;78,94;79,44;79,44;296681;1165;23551573;79,3835
06/07/2023;79,20;80,16;78,42;79,10;79,10;447067;1572;35473133;79,3463
05/07/2023;79,22;79,22;77,68;78,36;78,36;534497;1929;41865085;78,3261
04/07/2023;81,12;82,10;79,68;79,68;79,68;470596;1077;37872933;80,4787
03/07/2023;82,02;82,70;80,82;81,42;81,42;426541;1416;34758034;81,4881
30/06/2023;80,10;81,48;80,10;80,80;80,80;476031;1258;38530104;80,9403
29/06/2023;79,40;80,24;78,82;79,98;79,98;320123;1243;25436933;79,4599
28/06/2023;80,00;80,98;79,40;79,86;79,86;226570;814;18172863;80,2086
27/06/2023;81,34;81,36;79,42;80,50;80,50;469175;1684;37613922;80,1703
26/06/2023;84,00;84,00;81,04;81,44;81,44;404737;1334;33042020;81,6382
23/06/2023;83,50;84,00;82,72;83,40;83,40;265028;1016;22073582;83,2877
22/06/2023;83,20;84,54;82,96;84,00;84,00;710535;2594;59650608;83,9517
21/06/2023;83,00;84,10;82,02;83,46;83,46;419116;1534;34916653;83,3102
20/06/2023;81,76;83,00;81,50;82,60;82,60;362633;1300;29799028;82,1741
19/06/2023;81,92;81,92;80,56;81,64;81,64;307113;1119;24980117;81,3385
16/06/2023;83,50;83,74;82,36;82,88;82,88;455935;1568;37837784;82,9894
15/06/2023;82,68;84,00;81,90;82,00;82,00;482941;1811;40011214;82,8491
14/06/2023;82,70;82,80;80,88;82,24;82,24;551066;2011;45188971;82,0028
13/06/2023;81,74;84,30;81,70;82,92;82,92;585308;2314;48604278;83,0405
12/06/2023;83,00;83,88;81,40;81,70;81,70;406722;1404;33531794;82,4440
09/06/2023;83,74;83,98;82,50;83,22;83,22;363948;1268;30297745;83,2475
08/06/2023;84,52;85,82;83,44;83,62;83,62;987065;2599;83546814;84,6417
07/06/2023;84,34;84,40;83,00;83,86;83,86;553907;1767;46404080;83,7759
06/06/2023;85,74;85,74;83,24;84,26;84,26;850048;2273;71700183;84,3484
05/06/2023;84,44;85,40;83,10;83,48;83,48;793098;2387;66504664;83,8543
02/06/2023;80,66;82,28;79,72;81,96;81,96;832214;2188;67628589;81,2635
01/06/2023;77,86;80,12;76,98;78,74;78,74;658305;2388;52022628;79,0251
31/05/2023;81,00;81,32;77,82;79,12;79,12;1112659;3282;88612582;79,6404
30/05/2023;82,68;83,20;81,62;82,90;82,90;478533;1758;39530171;82,6070
29/05/2023;0,00;0,00;0,00;0,00;82,68;0;0;0;0,0000
26/05/2023;82,70;83,34;82,18;82,68;82,68;378890;1242;31323850;82,6727
25/05/2023;83,78;85,38;82,50;82,62;82,62;777454;2593;64894081;83,4700
24/05/2023;86,00;86,22;83,90;84,66;84,66;751109;2390;63866674;85,0298
23/05/2023;87,80;89,04;87,30;87,48;87,48;462909;1715;40755725;88,0426
