"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0004913609
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;9,80;10,30;9,72;10,05;10,05;29680;30;297901;10,0371
03/11/2023;10,30;10,30;9,80;10,05;10,05;151129;71;1520422;10,0604
02/11/2023;10,30;10,40;10,30;10,35;10,35;30823;13;319568;10,3678
01/11/2023;10,10;10,70;9,84;10,55;10,55;103680;45;1075436;10,3726
31/10/2023;9,90;10,35;9,82;10,00;10,00;39609;39;401428;10,1348
30/10/2023;9,80;10,30;9,44;10,05;10,05;70258;57;695134;9,8940
27/10/2023;9,98;10,10;9,54;9,84;9,84;130558;73;1286999;9,8577
26/10/2023;10,40;10,60;9,50;9,80;9,80;782843;248;7887646;10,0756
25/10/2023;10,65;10,95;10,55;10,90;10,90;16091;22;173159;10,7612
24/10/2023;10,95;11,05;10,75;10,85;10,85;66146;47;721280;10,9044
23/10/2023;11,00;11,00;10,35;10,95;10,95;22522;22;236351;10,4942
20/10/2023;10,70;10,95;10,50;10,95;10,95;31335;25;337755;10,7788
19/10/2023;11,00;11,25;10,75;10,95;10,95;23350;38;256289;10,9760
18/10/2023;11,10;11,10;10,80;11,05;11,05;8428;13;91192;10,8201
17/10/2023;11,25;11,25;10,90;10,90;10,90;6982;12;76903;11,0145
16/10/2023;11,20;11,25;11,00;11,15;11,15;18513;35;205468;11,0986
13/10/2023;11,10;11,40;11,00;11,25;11,25;41474;28;463343;11,1719
12/10/2023;11,10;11,35;11,00;11,10;11,10;13281;19;147079;11,0744
11/10/2023;10,70;11,20;10,70;11,20;11,20;22395;45;245307;10,9536
10/10/2023;10,75;11,20;10,75;10,90;10,90;14794;17;163166;11,0292
09/10/2023;11,45;11,45;10,85;11,05;11,05;11382;31;125518;11,0278
06/10/2023;12,00;12,30;10,90;11,30;11,30;130919;157;1489583;11,3779
05/10/2023;10,35;12,00;10,10;12,00;12,00;163157;102;1830606;11,2199
04/10/2023;10,25;10,50;10,20;10,50;10,50;10222;12;105566;10,3273
03/10/2023;10,70;11,25;10,50;10,60;10,60;93758;89;1009374;10,7657
02/10/2023;10,35;10,90;10,25;10,90;10,90;109713;65;1135552;10,3502
29/09/2023;10,35;10,50;10,25;10,40;10,40;55490;38;574984;10,3619
28/09/2023;10,75;10,75;10,15;10,35;10,35;33828;22;353776;10,4581
27/09/2023;10,50;10,85;10,45;10,65;10,65;30310;22;322667;10,6456
26/09/2023;10,45;10,95;10,45;10,90;10,90;33741;29;364639;10,8070
25/09/2023;10,60;11,05;10,60;10,80;10,80;7863;13;85211;10,8369
22/09/2023;10,95;11,00;10,80;11,00;11,00;26367;22;287028;10,8859
21/09/2023;11,00;11,00;10,60;11,00;11,00;49793;27;540888;10,8627
20/09/2023;11,00;11,10;11,00;11,10;11,10;11034;19;122062;11,0624
19/09/2023;11,20;11,20;11,00;11,15;11,15;63366;44;705960;11,1410
18/09/2023;11,25;11,35;11,15;11,35;11,35;40012;24;448580;11,2111
15/09/2023;11,50;11,60;11,40;11,40;11,40;53585;28;611985;11,4208
14/09/2023;11,50;11,50;11,35;11,45;11,45;26444;32;300794;11,3748
13/09/2023;11,70;11,70;11,50;11,60;11,60;456;4;5270;11,5572
12/09/2023;11,75;11,75;11,35;11,65;11,65;50940;44;583460;11,4539
11/09/2023;11,50;11,80;11,45;11,50;11,50;24123;15;279664;11,5932
08/09/2023;11,60;11,60;11,45;11,45;11,45;30280;18;348526;11,5101
07/09/2023;11,95;11,95;11,65;11,65;11,65;7887;10;93159;11,8117
06/09/2023;11,60;11,75;11,60;11,70;11,70;14325;14;166929;11,6530
05/09/2023;11,85;11,90;11,60;11,80;11,80;21398;23;251633;11,7597
04/09/2023;11,95;12,00;11,65;11,80;11,80;8014;18;95563;11,9245
01/09/2023;11,95;12,05;11,75;12,05;12,05;18613;24;222883;11,9746
31/08/2023;11,90;11,90;11,50;11,75;11,75;11668;14;135647;11,6256
30/08/2023;11,05;11,70;11,05;11,70;11,70;85593;56;973533;11,3740
29/08/2023;10,70;11,20;10,70;11,20;11,20;40044;37;439495;10,9753
28/08/2023;10,70;10,95;10,70;10,90;10,90;50705;34;551934;10,8852
25/08/2023;10,70;10,95;10,65;10,95;10,95;31617;28;341535;10,8022
24/08/2023;10,80;11,45;10,80;10,90;10,90;78383;57;855718;10,9171
23/08/2023;11,50;11,50;10,90;11,05;11,05;203546;58;2286629;11,2340
22/08/2023;11,55;11,60;11,35;11,45;11,45;44626;32;513397;11,5044
21/08/2023;11,70;11,95;11,25;11,45;11,45;183568;89;2104012;11,4618
18/08/2023;11,80;11,85;11,15;11,20;11,20;199420;127;2281342;11,4399
17/08/2023;12,30;12,30;11,90;12,10;12,10;60667;46;733712;12,0941
16/08/2023;12,20;12,35;12,00;12,05;12,05;50191;43;614870;12,2506
15/08/2023;11,70;12,35;11,70;12,30;12,30;200535;92;2426245;12,0989
14/08/2023;11,55;11,60;11,50;11,50;11,50;11903;18;137136;11,5211
11/08/2023;11,55;11,80;11,45;11,75;11,75;72506;26;841191;11,6017
10/08/2023;11,55;11,55;11,45;11,45;11,45;1091;7;12584;11,5347
09/08/2023;11,75;11,75;11,55;11,65;11,65;3572;14;41529;11,6262
08/08/2023;11,75;11,75;11,45;11,65;11,65;40031;19;461967;11,5402
07/08/2023;11,75;11,75;11,50;11,60;11,60;5802;19;67473;11,6292
04/08/2023;11,80;11,80;11,60;11,70;11,70;13514;18;158734;11,7459
03/08/2023;11,75;11,80;11,55;11,55;11,55;67568;41;791340;11,7118
02/08/2023;11,65;11,65;11,40;11,60;11,60;15157;20;174971;11,5439
01/08/2023;11,70;11,70;11,30;11,55;11,55;20437;33;236013;11,5483
31/07/2023;11,30;12,20;11,30;11,70;11,70;202504;128;2368290;11,6950
28/07/2023;11,25;11,25;11,05;11,20;11,20;31010;21;347494;11,2059
27/07/2023;11,25;11,70;11,25;11,45;11,45;24275;18;278527;11,4738
26/07/2023;11,15;11,65;11,15;11,50;11,50;32039;38;367363;11,4661
25/07/2023;11,35;11,40;11,15;11,15;11,15;14725;26;166937;11,3370
24/07/2023;10,60;11,30;10,60;11,20;11,20;135569;56;1485083;10,9544
21/07/2023;10,55;10,60;10,55;10,60;10,60;4331;6;45765;10,5668
20/07/2023;10,50;10,75;10,50;10,75;10,75;9940;14;105480;10,6117
19/07/2023;10,30;10,65;10,30;10,60;10,60;46342;30;488751;10,5466
18/07/2023;10,35;10,45;10,10;10,45;10,45;17441;14;178764;10,2496
17/07/2023;10,20;10,25;10,00;10,25;10,25;26500;15;268585;10,1353
