"Historical Data"
"From 2022-01-31 to 2023-11-12"
NO0011109563
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
10/11/2023;208,00;214,00;208,00;213,00;213,00;26879;340;5691874;211,7591
09/11/2023;206,50;209,00;206,00;208,50;208,50;21545;308;4482048;208,0319
08/11/2023;208,00;211,00;205,50;209,50;209,50;70384;333;14731931;209,3080
07/11/2023;207,50;211,50;204,50;205,50;205,50;42217;425;8789116;208,1890
06/11/2023;215,50;218,00;212,50;213,50;213,50;106024;654;22790011;214,9514
03/11/2023;210,00;218,00;210,00;212,50;212,50;107489;761;23067004;214,5987
02/11/2023;205,50;208,50;205,50;208,50;208,50;37429;275;7758303;207,2805
01/11/2023;205,00;208,00;205,00;205,50;205,50;27462;284;5663766;206,2401
31/10/2023;204,00;206,00;203,00;205,00;205,00;30323;399;6215151;204,9649
30/10/2023;204,00;208,00;201,50;204,00;204,00;35871;352;7362661;205,2539
27/10/2023;200,00;203,00;195,80;202,00;202,00;52946;338;10602806;200,2570
26/10/2023;200,00;202,50;198,60;200,00;200,00;29666;268;5965297;201,0820
25/10/2023;200,00;201,00;199,00;200,00;200,00;33185;277;6629405;199,7711
24/10/2023;200,00;203,00;199,20;200,00;200,00;88540;600;17745818;200,4271
23/10/2023;199,00;203,50;199,00;200,00;200,00;53125;291;10622569;199,9542
20/10/2023;196,00;202,00;196,00;198,80;198,80;38059;300;7572650;198,9713
19/10/2023;198,00;201,00;196,80;198,00;198,00;41053;300;8151528;198,5611
18/10/2023;193,00;198,00;191,80;198,00;198,00;26177;276;5141083;196,3970
17/10/2023;191,00;192,40;191,00;192,40;192,40;24100;171;4631398;192,1742
16/10/2023;193,40;194,60;190,60;190,60;190,60;24046;227;4626520;192,4029
13/10/2023;194,40;196,20;192,60;194,00;194,00;65893;241;12826226;194,6523
12/10/2023;191,20;196,80;190,60;194,20;194,20;36816;261;7139261;193,9173
11/10/2023;188,00;190,60;186,60;190,20;190,20;37141;222;7001692;188,5165
10/10/2023;184,80;188,20;182,40;188,00;188,00;47025;361;8765009;186,3904
09/10/2023;185,80;187,80;182,40;184,00;184,00;37328;217;6873140;184,1283
06/10/2023;180,00;186,00;178,60;184,40;184,40;93112;341;16955799;182,1011
05/10/2023;177,40;180,00;175,40;180,00;180,00;77562;261;13842934;178,4757
04/10/2023;174,60;178,40;173,20;177,40;177,40;70952;280;12543607;176,7900
03/10/2023;175,00;176,80;172,20;174,60;174,60;52729;249;9236482;175,1689
02/10/2023;171,80;177,60;171,40;176,00;176,00;126359;442;22162220;175,3909
29/09/2023;168,40;171,60;168,40;170,60;170,60;24227;179;4126952;170,3452
28/09/2023;171,60;171,60;167,80;170,40;170,40;63091;247;10752713;170,4318
27/09/2023;165,20;172,00;163,40;172,00;172,00;82840;286;13795221;166,5285
26/09/2023;164,00;166,00;163,00;164,60;164,60;11727;158;1927682;164,3798
25/09/2023;166,00;167,20;161,20;161,20;161,20;83055;336;13617383;163,9562
22/09/2023;166,00;166,80;164,60;165,40;165,40;7491;131;1241590;165,7443
21/09/2023;165,00;167,00;164,80;166,80;166,80;10261;110;1698254;165,5057
20/09/2023;165,80;167,80;164,60;165,00;165,00;10416;148;1723471;165,4638
19/09/2023;165,60;168,20;164,80;165,80;165,80;18714;179;3105393;165,9396
18/09/2023;163,60;166,60;163,60;166,00;166,00;12675;152;2094089;165,2141
15/09/2023;165,00;167,00;164,20;164,20;164,20;11715;136;1937414;165,3789
14/09/2023;164,20;167,80;161,80;167,20;167,20;40612;293;6723146;165,5458
13/09/2023;173,60;173,60;163,80;163,80;163,80;62628;411;10498583;167,6340
12/09/2023;173,00;174,80;172,00;172,60;172,60;22262;211;3860211;173,3991
11/09/2023;176,00;176,00;172,00;172,20;172,20;19093;167;3312857;173,5116
08/09/2023;172,20;176,40;172,20;175,00;175,00;57615;259;10034919;174,1720
07/09/2023;167,00;171,00;167,00;171,00;171,00;24757;133;4219776;170,4478
06/09/2023;167,00;171,20;166,40;167,80;167,80;22184;144;3762465;169,6026
05/09/2023;169,40;169,40;167,40;167,40;167,40;13090;117;2201797;168,2045
04/09/2023;169,80;173,00;168,80;168,80;168,80;18746;146;3200952;170,7539
01/09/2023;163,00;169,80;163,00;169,80;169,80;152374;302;25311483;166,1142
31/08/2023;162,20;164,40;162,20;163,00;163,00;11536;114;1882336;163,1706
30/08/2023;162,00;164,80;162,00;163,20;163,20;11760;104;1930555;164,1628
29/08/2023;165,00;167,40;161,40;164,00;164,00;45186;145;7451001;164,8962
28/08/2023;167,60;167,60;162,40;165,00;165,00;11482;115;1887962;164,4280
25/08/2023;159,80;163,20;159,80;161,80;161,80;24929;142;4041320;162,1132
24/08/2023;165,00;165,00;162,00;163,00;163,00;25906;211;4223666;163,0381
23/08/2023;167,60;167,60;163,00;163,40;163,40;15419;189;2532816;164,2659
22/08/2023;168,20;168,40;165,20;166,40;166,40;19351;193;3225266;166,6718
21/08/2023;169,00;170,60;165,60;166,20;166,20;22605;222;3773109;166,9148
18/08/2023;169,20;170,80;168,20;169,00;169,00;32233;211;5461550;169,4397
17/08/2023;173,40;173,40;167,40;168,00;168,00;20795;214;3519491;169,2470
16/08/2023;174,60;175,00;173,00;173,60;173,60;53249;371;9276704;174,2137
15/08/2023;168,20;175,20;167,60;169,80;169,80;95499;447;16277552;170,4474
14/08/2023;164,00;167,80;162,00;167,20;167,20;13762;175;2292770;166,6015
11/08/2023;164,80;165,60;161,20;163,20;163,20;23363;202;3823070;163,6378
10/08/2023;166,00;166,40;162,00;165,20;165,20;29473;232;4862908;164,9954
09/08/2023;164,60;167,20;162,40;166,20;166,20;14916;168;2464577;165,2304
08/08/2023;166,40;167,00;165,00;165,00;165,00;7727;102;1281084;165,7931
07/08/2023;166,00;166,40;162,20;166,00;166,00;13215;119;2176385;164,6905
04/08/2023;159,00;164,00;158,40;164,00;164,00;25962;200;4233432;163,0626
03/08/2023;157,40;159,20;156,00;157,80;157,80;10940;133;1721152;157,3265
02/08/2023;157,00;159,40;156,00;157,20;157,20;5502;106;866767;157,5367
01/08/2023;158,00;159,80;156,20;158,00;158,00;7532;113;1190740;158,0908
31/07/2023;158,60;161,20;157,20;160,20;160,20;24059;191;3833204;159,3251
28/07/2023;157,60;158,00;156,40;156,40;156,40;7414;120;1163362;156,9142
27/07/2023;157,00;159,20;155,80;158,20;158,20;6711;107;1058006;157,6525
26/07/2023;153,40;157,80;153,40;156,20;156,20;6659;140;1039786;156,1475
25/07/2023;158,00;158,20;154,80;156,60;156,60;20471;254;3208746;156,7459
24/07/2023;158,40;159,60;156,40;159,60;159,60;6628;128;1050591;158,5080
21/07/2023;159,00;161,40;158,20;158,20;158,20;18590;237;2971082;159,8215
20/07/2023;161,80;162,60;158,60;159,00;159,00;11543;122;1852992;160,5295
19/07/2023;159,20;161,40;157,40;160,60;160,60;10637;145;1695871;159,4314
18/07/2023;160,00;162,40;159,20;159,20;159,20;13361;149;2136723;159,9224
17/07/2023;162,40;164,80;160,00;160,60;160,60;11948;160;1940075;162,3766
14/07/2023;162,60;168,00;162,60;163,00;163,00;7469;115;1231786;164,9198
13/07/2023;168,00;168,00;163,60;164,00;164,00;33709;172;5624489;166,8542
12/07/2023;166,00;169,40;163,60;169,40;169,40;20311;212;3403646;167,5765
11/07/2023;160,00;167,20;160,00;167,00;167,00;19769;172;3267055;165,2615
10/07/2023;164,20;167,80;161,20;167,20;167,20;34997;241;5789919;165,4404
07/07/2023;162,80;165,60;159,00;163,80;163,80;35923;331;5853047;162,9331
06/07/2023;155,00;163,20;141,40;162,80;162,80;52084;436;8182129;157,0949
05/07/2023;159,40;160,00;156,00;156,00;156,00;39148;315;6154179;157,2029
04/07/2023;160,20;161,80;157,00;158,60;158,60;23125;256;3677432;159,0241
03/07/2023;160,00;163,00;159,00;161,00;161,00;33325;243;5362521;160,9159
30/06/2023;167,00;167,00;158,80;161,40;161,40;25614;190;4113665;160,6022
29/06/2023;159,00;163,20;156,00;162,20;162,20;45658;396;7356681;161,1258
28/06/2023;165,40;165,40;159,20;159,60;159,60;29049;268;4684492;161,2617
27/06/2023;165,20;165,80;162,80;163,40;163,40;13583;113;2222882;163,6518
26/06/2023;165,00;168,40;162,00;167,60;167,60;37414;194;6193443;165,5381
23/06/2023;168,60;170,00;165,00;168,20;168,20;32414;213;5440192;167,8346
22/06/2023;174,00;174,00;170,40;171,00;171,00;8155;108;1394986;171,0590
21/06/2023;170,40;173,00;170,20;173,00;173,00;12627;129;2168360;171,7241
20/06/2023;172,20;172,20;167,60;170,00;170,00;62659;209;10629770;169,6448
19/06/2023;170,40;171,40;168,40;170,60;170,60;34097;236;5773588;169,3283
16/06/2023;177,80;177,80;169,40;174,20;174,20;73047;315;12678160;173,5617
15/06/2023;173,00;178,00;172,80;175,00;175,00;41507;223;7289644;175,6244
14/06/2023;173,40;174,00;171,60;173,20;173,20;31571;275;5470953;173,2905
13/06/2023;170,00;174,00;170,00;171,80;171,80;36956;287;6361885;172,1476
12/06/2023;174,00;174,00;171,80;172,00;172,00;25022;247;4326538;172,9094
09/06/2023;172,00;175,80;170,40;173,20;173,20;43026;302;7484274;173,9477
08/06/2023;169,00;172,40;165,80;172,40;172,40;32989;252;5575527;169,0117
07/06/2023;160,00;169,00;160,00;165,60;165,60;87260;302;14624353;167,5952
06/06/2023;161,80;165,20;160,80;165,00;165,00;59035;405;9622992;163,0049
05/06/2023;161,20;165,20;161,20;161,80;161,80;27070;258;4431693;163,7123
02/06/2023;168,00;168,00;161,40;165,80;165,80;34914;275;5735309;164,2696
01/06/2023;168,00;172,00;166,80;167,80;167,80;143564;915;24385862;169,8606
31/05/2023;169,60;171,80;166,40;168,20;168,20;196777;490;33382641;169,6471
30/05/2023;166,20;169,80;166,20;169,00;169,00;114684;300;19383629;169,0177
29/05/2023;0,00;0,00;0,00;0,00;166,20;0;0;0;0,0000
26/05/2023;159,00;166,20;159,00;166,20;166,20;42682;345;6942808;162,6636
25/05/2023;166,80;168,20;158,80;160,00;160,00;60004;462;9819413;163,6460
24/05/2023;171,00;171,00;164,40;166,20;166,20;49402;294;8215953;166,3081
23/05/2023;174,80;174,80;167,20;168,60;168,60;72615;443;12327183;169,7608
22/05/2023;166,60;172,80;165,80;171,20;171,20;28638;263;4839747;168,9974
19/05/2023;167,80;168,00;166,60;167,40;167,40;31328;278;5245779;167,4470
18/05/2023;0,00;0,00;0,00;0,00;168,00;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;168,00;0;0;0;0,0000
16/05/2023;171,60;171,80;166,80;168,00;168,00;32973;290;5568462;168,8794
15/05/2023;174,60;174,60;167,80;167,80;167,80;37615;299;6406037;170,3054
12/05/2023;175,00;176,00;172,00;175,60;175,60;33411;292;5825841;174,3689
11/05/2023;173,00;177,40;173,00;177,00;177,00;38129;326;6704084;175,8264
10/05/2023;173,80;176,80;170,60;173,00;173,00;41639;367;7199426;172,9010
09/05/2023;168,60;172,80;166,80;172,60;172,60;59730;401;10174131;170,3354
08/05/2023;167,80;169,40;164,00;169,00;169,00;43471;277;7312283;168,2106
05/05/2023;168,00;168,00;162,00;164,40;164,40;39185;313;6442339;164,4083
04/05/2023;170,00;171,00;160,20;162,20;162,20;98915;409;16230891;164,0893
03/05/2023;172,00;172,80;167,20;169,00;169,00;63688;393;10786176;169,3596
02/05/2023;179,80;179,80;171,40;171,80;171,80;54898;375;9584231;174,5825
28/04/2023;175,00;179,20;173,00;178,60;178,60;39282;284;6928650;176,3823
27/04/2023;176,00;176,00;170,80;174,20;174,20;76597;421;13283181;173,4165
26/04/2023;173,00;179,20;172,60;176,60;176,60;100010;509;17603074;176,0131
25/04/2023;177,40;180,00;174,00;175,00;175,00;102445;595;18100846;176,6884
24/04/2023;172,60;179,00;165,40;177,00;177,00;206061;1110;35368193;171,6394
21/04/2023;163,40;170,40;162,00;168,00;168,00;274747;1066;45590441;165,9361
20/04/2023;161,20;169,20;159,80;162,60;162,60;188842;873;31131252;164,8534
19/04/2023;157,80;163,80;157,00;161,40;161,40;131273;557;21197735;161,4783
18/04/2023;152,40;158,60;152,00;158,00;158,00;63797;401;9991217;156,6095
17/04/2023;147,00;156,00;147,00;153,60;153,60;73573;442;11288660;153,4348
14/04/2023;150,00;151,60;148,00;148,00;148,00;36521;320;5463267;149,5925
13/04/2023;152,00;152,60;150,00;151,00;151,00;14068;161;2130061;151,4118
12/04/2023;150,40;152,80;148,80;150,60;150,60;35510;225;5353426;150,7583
11/04/2023;144,80;151,00;144,80;148,80;148,80;45869;295;6816274;148,6031
06/04/2023;0,00;0,00;0,00;0,00;142,80;0;0;0;0,0000
05/04/2023;142,00;142,80;140,80;142,80;142,80;13362;113;1895589;141,8641
04/04/2023;137,40;142,40;135,60;140,00;140,00;65403;274;9122595;139,4828
03/04/2023;143,00;144,00;137,60;138,40;138,40;28706;190;4008306;139,6330
31/03/2023;140,20;146,40;140,20;142,12;142,12;45796;333;6498873;141,9092
30/03/2023;143,38;143,76;141,10;141,20;141,20;15299;177;2178560;142,3989
29/03/2023;139,90;142,00;137,80;139,60;139,60;19386;171;2709560;139,7689
