"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010907744
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;3,80;4,44;3,80;4,20;4,20;9254;27;39557;4,2746
03/11/2023;4,38;4,38;3,96;4,25;4,25;9340;25;39924;4,2745
02/11/2023;4,04;4,46;4,01;4,46;4,46;11362;35;47838;4,2104
01/11/2023;4,49;4,49;4,05;4,44;4,44;2272;15;9966;4,3866
31/10/2023;4,41;4,41;4,06;4,39;4,39;10092;20;42248;4,1863
30/10/2023;4,30;4,39;4,12;4,13;4,13;12685;23;53189;4,1931
27/10/2023;4,22;4,50;4,10;4,20;4,20;42593;35;180351;4,2343
26/10/2023;4,60;4,60;4,40;4,50;4,50;49248;41;219888;4,4649
25/10/2023;4,50;4,79;4,44;4,71;4,71;41503;28;188515;4,5422
24/10/2023;4,70;4,80;4,70;4,70;4,70;9010;13;42548;4,7223
23/10/2023;5,60;5,60;4,51;4,95;4,95;32819;40;157004;4,7840
20/10/2023;4,80;5,18;4,46;4,70;4,70;144196;82;671317;4,6556
19/10/2023;5,44;5,44;4,91;5,18;5,18;7022;15;36284;5,1672
18/10/2023;5,40;5,48;5,00;5,22;5,22;54959;40;288945;5,2575
17/10/2023;4,90;5,48;4,90;5,26;5,26;15701;26;82071;5,2271
16/10/2023;5,24;5,28;4,51;5,00;5,00;67808;67;330870;4,8795
13/10/2023;4,41;5,70;4,41;5,20;5,20;58436;53;314038;5,3741
12/10/2023;4,41;5,10;4,41;5,10;5,10;38608;48;193917;5,0227
11/10/2023;5,00;5,00;4,50;5,00;5,00;47171;30;226814;4,8083
10/10/2023;4,91;5,00;4,20;5,00;5,00;52151;34;256424;4,9170
09/10/2023;4,99;5,00;4,50;4,97;4,97;11767;21;56691;4,8178
06/10/2023;5,12;5,12;4,25;4,90;4,90;32728;35;153438;4,6883
05/10/2023;4,47;4,90;4,18;4,90;4,90;63749;48;280356;4,3978
04/10/2023;4,50;4,50;4,18;4,40;4,40;6435;17;27280;4,2392
03/10/2023;4,35;4,49;4,25;4,48;4,48;24240;13;103966;4,2890
02/10/2023;4,33;4,60;4,33;4,54;4,54;37007;32;163870;4,4281
29/09/2023;4,33;4,60;4,33;4,60;4,60;2188;8;10028;4,5831
28/09/2023;4,40;4,63;4,34;4,60;4,60;24515;15;108458;4,4242
27/09/2023;4,30;4,69;4,30;4,49;4,49;6459;11;28713;4,4455
26/09/2023;4,70;4,70;4,26;4,55;4,55;14004;24;61542;4,3946
25/09/2023;4,48;4,67;4,30;4,62;4,62;70303;38;311750;4,4344
22/09/2023;4,41;4,86;4,41;4,66;4,66;46479;26;216257;4,6528
21/09/2023;4,30;4,79;4,30;4,70;4,70;15832;30;71457;4,5134
20/09/2023;4,37;4,88;4,34;4,88;4,88;51015;43;230393;4,5162
