"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010636491
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;139,00;139,00;139,00;139,00;139,00;45;1;6255;139,0000
03/11/2023;0,00;0,00;0,00;0,00;142,00;0;0;0;0,0000
02/11/2023;0,00;0,00;0,00;0,00;142,00;0;0;0;0,0000
01/11/2023;0,00;0,00;0,00;0,00;142,00;0;0;0;0,0000
31/10/2023;140,00;142,00;140,00;142,00;142,00;150;3;21010;140,0667
30/10/2023;140,00;140,00;140,00;140,00;140,00;50;2;7000;140,0000
27/10/2023;139,00;139,00;139,00;139,00;139,00;49;1;6811;139,0000
26/10/2023;139,00;139,00;139,00;139,00;139,00;2;2;278;139,0000
25/10/2023;137,00;139,00;136,00;138,00;138,00;339;7;46609;137,4897
24/10/2023;139,00;139,00;136,00;136,00;136,00;275;2;37550;136,5455
23/10/2023;0,00;0,00;0,00;0,00;142,00;0;0;0;0,0000
20/10/2023;142,00;142,00;142,00;142,00;142,00;40;1;5680;142,0000
19/10/2023;0,00;0,00;0,00;0,00;142,00;0;0;0;0,0000
18/10/2023;142,00;142,00;142,00;142,00;142,00;50;1;7100;142,0000
17/10/2023;137,00;142,00;137,00;142,00;142,00;351;6;48591;138,4359
16/10/2023;137,00;137,00;137,00;137,00;137,00;970;4;132890;137,0000
13/10/2023;142,00;143,00;142,00;143,00;143,00;274;4;38958;142,1825
12/10/2023;144,00;144,00;136,00;142,00;142,00;3610;20;501285;138,8601
11/10/2023;144,00;145,00;144,00;145,00;145,00;180;3;25925;144,0278
10/10/2023;145,00;145,00;145,00;145,00;145,00;50;1;7250;145,0000
09/10/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
06/10/2023;143,00;145,00;143,00;145,00;145,00;1050;6;150859;143,6752
05/10/2023;143,00;143,00;143,00;143,00;143,00;589;3;84227;143,0000
04/10/2023;0,00;0,00;0,00;0,00;143,00;0;0;0;0,0000
03/10/2023;143,00;143,00;143,00;143,00;143,00;773;3;110539;143,0000
02/10/2023;145,00;145,00;143,00;143,00;143,00;220;2;31462;143,0091
29/09/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
28/09/2023;145,00;145,00;145,00;145,00;145,00;109;2;15805;145,0000
27/09/2023;145,00;145,00;145,00;145,00;145,00;5269;4;764005;145,0000
26/09/2023;144,00;148,00;144,00;145,00;145,00;4718;9;684458;145,0738
25/09/2023;146,00;148,00;145,00;148,00;148,00;190;4;27900;146,8421
22/09/2023;145,00;149,00;140,00;146,00;146,00;1534;16;220299;143,6108
21/09/2023;145,00;152,00;144,00;150,00;150,00;930;12;135756;145,9742
20/09/2023;145,00;145,00;145,00;145,00;145,00;140;1;20300;145,0000
19/09/2023;143,00;145,00;143,00;145,00;145,00;553;6;80169;144,9711
18/09/2023;143,00;145,00;143,00;145,00;145,00;806;7;116708;144,7990
15/09/2023;145,00;145,00;144,00;144,00;144,00;1700;11;245345;144,3206
14/09/2023;145,00;145,00;145,00;145,00;145,00;256;5;37120;145,0000
13/09/2023;146,00;146,00;146,00;146,00;146,00;48;1;7008;146,0000
12/09/2023;146,00;147,00;146,00;147,00;147,00;60;4;8762;146,0333
11/09/2023;145,00;145,00;144,00;144,00;144,00;420;3;60530;144,1190
08/09/2023;147,00;147,00;147,00;147,00;147,00;560;8;82320;147,0000
07/09/2023;147,00;147,00;147,00;147,00;147,00;50;1;7350;147,0000
06/09/2023;145,00;147,00;145,00;147,00;147,00;191;4;27995;146,5707
05/09/2023;147,00;147,00;147,00;147,00;147,00;75;2;11025;147,0000
04/09/2023;145,00;145,00;145,00;145,00;145,00;16;3;2320;145,0000
01/09/2023;147,00;147,00;147,00;147,00;147,00;110;4;16170;147,0000
31/08/2023;146,00;147,00;145,00;147,00;147,00;1629;16;239418;146,9724
30/08/2023;149,00;149,00;149,00;149,00;149,00;45;1;6705;149,0000
29/08/2023;0,00;0,00;0,00;0,00;149,00;0;0;0;0,0000
28/08/2023;0,00;0,00;0,00;0,00;149,00;0;0;0;0,0000
25/08/2023;149,00;149,00;149,00;149,00;149,00;50;1;7450;149,0000
24/08/2023;146,00;149,00;145,00;149,00;149,00;373;9;54831;147,0000
23/08/2023;0,00;0,00;0,00;0,00;149,00;0;0;0;0,0000
22/08/2023;146,00;149,00;146,00;149,00;149,00;190;4;27767;146,1421
21/08/2023;147,00;149,00;147,00;149,00;149,00;604;3;89188;147,6623
18/08/2023;148,00;150,00;147,00;150,00;150,00;515;6;76315;148,1845
17/08/2023;0,00;0,00;0,00;0,00;150,00;4500;1;675000;150,0000
16/08/2023;146,00;150,00;146,00;150,00;150,00;755;8;111895;148,2053
15/08/2023;148,00;149,00;148,00;148,00;148,00;192;5;28517;148,5260
14/08/2023;0,00;0,00;0,00;0,00;149,00;0;0;0;0,0000
11/08/2023;0,00;0,00;0,00;0,00;149,00;0;0;0;0,0000
10/08/2023;146,00;149,00;146,00;149,00;149,00;625;5;91525;146,4400
09/08/2023;0,00;0,00;0,00;0,00;149,00;0;0;0;0,0000
08/08/2023;148,00;149,00;148,00;149,00;149,00;570;3;84364;148,0070
07/08/2023;0,00;0,00;0,00;0,00;148,00;0;0;0;0,0000
04/08/2023;148,00;148,00;148,00;148,00;148,00;23;3;3404;148,0000
03/08/2023;0,00;0,00;0,00;0,00;148,00;0;0;0;0,0000
02/08/2023;145,00;148,00;143,00;148,00;148,00;1240;6;178504;143,9548
01/08/2023;149,00;149,00;145,00;149,00;149,00;303;3;45095;148,8284
31/07/2023;149,00;149,00;149,00;149,00;149,00;540;2;80460;149,0000
28/07/2023;145,00;149,00;145,00;149,00;149,00;845;5;123115;145,6982
27/07/2023;149,00;149,00;149,00;149,00;149,00;50;2;7450;149,0000
26/07/2023;147,00;147,00;147,00;147,00;147,00;50;1;7350;147,0000
25/07/2023;149,00;149,00;149,00;149,00;149,00;45;1;6705;149,0000
24/07/2023;0,00;0,00;0,00;0,00;149,00;0;0;0;0,0000
21/07/2023;149,00;149,00;149,00;149,00;149,00;45;1;6705;149,0000
20/07/2023;149,00;149,00;149,00;149,00;149,00;50;1;7450;149,0000
19/07/2023;149,00;149,00;143,00;148,00;148,00;1208;11;176874;146,4189
18/07/2023;149,00;149,00;149,00;149,00;149,00;40;1;5960;149,0000
17/07/2023;0,00;0,00;0,00;0,00;149,00;0;0;0;0,0000
14/07/2023;148,00;149,00;147,00;149,00;149,00;668;8;98814;147,9252
13/07/2023;149,00;149,00;149,00;149,00;149,00;50;2;7450;149,0000
12/07/2023;0,00;0,00;0,00;0,00;149,00;0;0;0;0,0000
11/07/2023;146,00;149,00;146,00;149,00;149,00;97;5;14342;147,8557
