"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0004288200
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,00;0,00;0,00;0,00;550,00;0;0;0;0,0000
03/11/2023;0,00;0,00;0,00;0,00;550,00;0;0;0;0,0000
02/11/2023;0,00;0,00;0,00;0,00;550,00;0;0;0;0,0000
01/11/2023;550,00;550,00;550,00;550,00;550,00;1;1;550;550,0000
31/10/2023;0,00;0,00;0,00;0,00;500,00;0;0;0;0,0000
30/10/2023;500,00;500,00;500,00;500,00;500,00;10;1;5000;500,0000
27/10/2023;0,00;0,00;0,00;0,00;515,00;0;0;0;0,0000
26/10/2023;0,00;0,00;0,00;0,00;515,00;0;0;0;0,0000
25/10/2023;515,00;515,00;515,00;515,00;515,00;1;1;515;515,0000
24/10/2023;0,00;0,00;0,00;0,00;505,00;0;0;0;0,0000
23/10/2023;505,00;505,00;505,00;505,00;505,00;20;1;10100;505,0000
20/10/2023;0,00;0,00;0,00;0,00;505,00;0;0;0;0,0000
19/10/2023;0,00;0,00;0,00;0,00;505,00;0;0;0;0,0000
18/10/2023;0,00;0,00;0,00;0,00;505,00;0;0;0;0,0000
17/10/2023;505,00;505,00;505,00;505,00;505,00;1;1;505;505,0000
16/10/2023;0,00;0,00;0,00;0,00;515,00;0;0;0;0,0000
13/10/2023;0,00;0,00;0,00;0,00;515,00;0;0;0;0,0000
12/10/2023;0,00;0,00;0,00;0,00;515,00;0;0;0;0,0000
11/10/2023;0,00;0,00;0,00;0,00;515,00;0;0;0;0,0000
10/10/2023;515,00;515,00;515,00;515,00;515,00;1;1;515;515,0000
09/10/2023;505,00;505,00;505,00;505,00;505,00;13;1;6565;505,0000
06/10/2023;545,00;545,00;505,00;505,00;505,00;59;5;29875;506,3559
05/10/2023;0,00;0,00;0,00;0,00;510,00;0;0;0;0,0000
04/10/2023;0,00;0,00;0,00;0,00;510,00;0;0;0;0,0000
03/10/2023;0,00;0,00;0,00;0,00;510,00;0;0;0;0,0000
02/10/2023;0,00;0,00;0,00;0,00;510,00;0;0;0;0,0000
29/09/2023;510,00;510,00;510,00;510,00;510,00;1;1;510;510,0000
28/09/2023;0,00;0,00;0,00;0,00;510,00;0;0;0;0,0000
27/09/2023;510,00;510,00;510,00;510,00;510,00;3;1;1530;510,0000
26/09/2023;0,00;0,00;0,00;0,00;510,00;0;0;0;0,0000
25/09/2023;0,00;0,00;0,00;0,00;510,00;0;0;0;0,0000
22/09/2023;510,00;510,00;510,00;510,00;510,00;5;2;2550;510,0000
21/09/2023;520,00;520,00;510,00;510,00;510,00;61;6;31380;514,4262
20/09/2023;0,00;0,00;0,00;0,00;550,00;0;0;0;0,0000
19/09/2023;550,00;550,00;550,00;550,00;550,00;1;1;550;550,0000
18/09/2023;540,00;545,00;540,00;545,00;545,00;13;2;7080;544,6154
15/09/2023;525,00;550,00;525,00;535,00;535,00;16;4;8590;536,8750
14/09/2023;0,00;0,00;0,00;0,00;525,00;0;0;0;0,0000
13/09/2023;0,00;0,00;0,00;0,00;525,00;0;0;0;0,0000
12/09/2023;0,00;0,00;0,00;0,00;525,00;0;0;0;0,0000
11/09/2023;525,00;525,00;525,00;525,00;525,00;3;1;1575;525,0000
08/09/2023;0,00;0,00;0,00;0,00;525,00;0;0;0;0,0000
07/09/2023;0,00;0,00;0,00;0,00;525,00;0;0;0;0,0000
06/09/2023;525,00;525,00;525,00;525,00;525,00;18;2;9450;525,0000
05/09/2023;540,00;540,00;540,00;540,00;540,00;46;1;24840;540,0000
04/09/2023;0,00;0,00;0,00;0,00;550,00;0;0;0;0,0000
01/09/2023;550,00;550,00;550,00;550,00;550,00;12;1;6600;550,0000
31/08/2023;520,00;520,00;520,00;520,00;520,00;50;1;26000;520,0000
30/08/2023;515,00;515,00;515,00;515,00;515,00;2;1;1030;515,0000
29/08/2023;0,00;0,00;0,00;0,00;510,00;0;0;0;0,0000
28/08/2023;0,00;0,00;0,00;0,00;510,00;0;0;0;0,0000
25/08/2023;0,00;0,00;0,00;0,00;510,00;0;0;0;0,0000
24/08/2023;0,00;0,00;0,00;0,00;510,00;0;0;0;0,0000
