"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG4233B1090
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;72,05;73,30;71,85;72,30;72,30;746576;1071;54180525;72,5720
03/11/2023;73,90;74,50;70,75;71,70;71,70;1654877;2063;119162311;72,0067
02/11/2023;74,70;75,15;73,50;74,30;74,30;574569;938;42676450;74,2756
01/11/2023;73,50;74,80;73,05;74,00;74,00;1215121;1426;89788070;73,8923
31/10/2023;72,90;73,50;71,80;73,30;73,30;1060799;1325;77138884;72,7177
30/10/2023;73,40;74,25;72,25;72,75;72,75;957957;1542;70073099;73,1485
27/10/2023;71,30;73,60;71,30;72,95;72,95;1406836;2040;102396307;72,7848
26/10/2023;73,20;74,35;71,00;71,25;71,25;6382786;2399;451136739;70,6802
25/10/2023;72,85;74,20;72,50;73,40;73,40;1265482;1886;92718950;73,2677
24/10/2023;69,10;72,65;68,80;72,25;72,25;1725362;2007;123376533;71,5076
23/10/2023;68,10;69,85;67,85;69,05;69,05;1191622;1737;82173210;68,9591
20/10/2023;68,45;68,70;67,50;67,75;67,75;815569;1061;55379234;67,9026
19/10/2023;68,85;69,10;67,40;68,45;68,45;934548;1371;63755219;68,2204
18/10/2023;69,90;69,90;68,25;69,15;69,15;658416;936;45448434;69,0269
17/10/2023;69,55;70,95;69,55;69,70;69,70;871756;1302;61097867;70,0860
16/10/2023;70,80;71,55;69,20;69,55;69,55;922326;1599;64695529;70,1439
13/10/2023;70,35;71,65;69,80;70,60;70,60;1409994;1531;99421243;70,5118
12/10/2023;68,30;70,40;68,20;69,85;69,85;1887385;2083;131613924;69,7335
11/10/2023;67,50;67,95;66,75;67,95;67,95;982676;981;66542584;67,7157
10/10/2023;68,00;68,05;67,05;67,55;67,55;674279;901;45597102;67,6235
09/10/2023;66,90;67,80;66,55;67,50;67,50;1191386;1428;80270875;67,3760
06/10/2023;66,00;67,10;65,45;66,15;66,15;1075598;1652;71261805;66,2532
05/10/2023;62,70;65,55;62,15;65,50;65,50;1513837;1699;97071501;64,1228
04/10/2023;65,55;66,20;62,80;63,00;63,00;1410624;2006;90449722;64,1204
03/10/2023;66,00;66,90;65,50;65,90;65,90;1128143;1415;74436188;65,9812
02/10/2023;66,95;67,75;66,55;67,15;67,15;1451451;1259;97327820;67,0555
29/09/2023;67,50;68,30;66,30;66,55;66,55;1540605;1728;103247855;67,0177
28/09/2023;69,25;69,35;66,05;67,00;67,00;1548149;1973;103981566;67,1651
27/09/2023;68,35;69,10;68,05;68,95;68,95;688264;1041;47248277;68,6485
26/09/2023;67,55;69,30;67,55;68,35;68,35;931857;1158;63787241;68,4517
25/09/2023;69,10;69,50;67,40;67,80;67,80;1469660;1465;100273727;68,2292
22/09/2023;68,35;69,60;67,85;69,00;69,00;1592879;1761;109556026;68,7786
21/09/2023;66,50;68,20;66,30;67,65;67,65;1657149;1561;111933006;67,5455
20/09/2023;66,20;66,60;66,00;66,35;66,35;939964;979;62387301;66,3720
19/09/2023;65,25;66,30;65,25;66,30;66,30;1388612;1772;91660999;66,0091
18/09/2023;64,65;65,10;64,00;64,90;64,90;916074;1378;59225598;64,6515
15/09/2023;64,60;65,20;64,20;64,50;64,50;1910407;1765;123591977;64,6941
14/09/2023;64,20;64,65;63,55;63,90;63,90;840759;1352;53904576;64,1142
13/09/2023;63,60;64,45;63,30;63,95;63,95;1843885;1800;117767358;63,8691
12/09/2023;63,55;63,95;62,15;62,75;62,75;1523577;1967;95891319;62,9383
11/09/2023;63,10;64,40;63,00;63,80;63,80;1336513;1537;85268252;63,7990
08/09/2023;62,40;63,30;62,35;63,10;63,10;1007020;940;63311530;62,8702
07/09/2023;61,60;62,65;61,10;62,15;62,15;1219197;1497;75896821;62,2515
06/09/2023;60,00;62,15;59,90;61,85;61,85;1802039;1705;110843382;61,5100
05/09/2023;61,90;61,95;59,60;60,05;60,05;1665067;1903;100612223;60,4253
04/09/2023;62,50;63,00;61,60;61,60;61,60;916550;1061;57027704;62,2200
01/09/2023;62,35;63,00;61,65;61,85;61,85;1074174;1431;66887691;62,2690
31/08/2023;62,00;63,25;61,80;62,35;62,35;3546186;1872;221496656;62,4605
30/08/2023;64,10;65,15;64,00;64,10;64,10;1795165;2343;115872296;64,5469
29/08/2023;64,85;65,70;63,60;63,60;63,60;2006914;2516;129616429;64,5849
28/08/2023;63,00;64,75;62,25;64,50;64,50;2082343;2601;132679010;63,7162
25/08/2023;62,60;63,00;59,60;61,50;61,50;2865295;3331;175745627;61,3360
24/08/2023;60,00;61,45;59,90;61,35;61,35;1854704;1781;113311094;61,0939
23/08/2023;61,50;61,50;58,70;59,05;59,05;1347240;1573;80439565;59,7069
22/08/2023;60,90;61,50;60,50;61,25;61,25;823812;1201;50374279;61,1478
