"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010931918
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;9,10;9,64;9,10;9,40;9,40;31530;29;294478;9,3396
03/11/2023;9,18;10,00;8,92;9,90;9,90;96097;48;896801;9,3322
02/11/2023;8,92;9,48;8,92;9,18;9,18;32024;25;296078;9,2455
01/11/2023;9,18;9,18;8,92;9,06;9,06;10441;18;94248;9,0267
31/10/2023;9,02;9,28;9,02;9,10;9,10;25447;23;231394;9,0932
30/10/2023;9,02;9,38;9,00;9,00;9,00;69055;51;631663;9,1472
27/10/2023;8,90;9,22;8,90;9,10;9,10;49478;40;451427;9,1238
26/10/2023;9,08;9,28;9,02;9,18;9,18;32593;29;298203;9,1493
25/10/2023;8,96;9,26;8,82;9,00;9,00;60526;49;544751;9,0003
24/10/2023;9,04;9,04;8,72;8,96;8,96;42930;36;381267;8,8811
23/10/2023;9,10;9,10;8,60;8,60;8,60;74372;63;655542;8,8144
20/10/2023;8,72;9,14;8,72;9,00;9,00;64570;74;579230;8,9706
19/10/2023;9,10;9,20;8,90;8,90;8,90;93763;93;846798;9,0313
18/10/2023;8,30;9,10;8,10;8,56;8,56;176757;112;1542541;8,7269
17/10/2023;8,50;8,74;8,36;8,36;8,36;30364;41;255782;8,4239
16/10/2023;8,60;8,68;8,42;8,50;8,50;103700;55;881092;8,4965
13/10/2023;8,76;8,82;8,58;8,78;8,78;20064;22;174949;8,7196
12/10/2023;8,60;8,78;8,50;8,72;8,72;52272;35;450276;8,6141
11/10/2023;8,80;9,00;8,52;8,64;8,64;45332;37;400549;8,8359
10/10/2023;8,40;8,84;8,40;8,80;8,80;60496;40;526620;8,7050
09/10/2023;8,84;8,84;8,84;8,84;8,84;18508;12;163611;8,8400
06/10/2023;8,70;8,70;8,38;8,60;8,60;26954;33;229125;8,5006
05/10/2023;8,60;8,98;8,50;8,70;8,70;76323;49;661352;8,6652
04/10/2023;9,00;9,00;8,92;8,98;8,98;31155;22;279924;8,9849
03/10/2023;8,96;9,14;8,94;9,00;9,00;38188;29;344220;9,0138
02/10/2023;8,92;9,10;8,92;8,92;8,92;3682;16;33008;8,9646
29/09/2023;9,20;9,20;9,00;9,18;9,18;10627;16;96214;9,0537
28/09/2023;9,20;9,20;9,12;9,18;9,18;642;4;5887;9,1705
27/09/2023;9,18;9,34;9,16;9,18;9,18;10013;18;91912;9,1792
26/09/2023;9,12;9,14;9,06;9,06;9,06;2867;9;26171;9,1282
25/09/2023;9,10;9,34;9,10;9,18;9,18;7700;19;70700;9,1818
22/09/2023;9,14;9,20;9,10;9,20;9,20;41681;44;381363;9,1496
21/09/2023;9,00;9,18;8,82;9,14;9,14;32689;24;293335;8,9735
20/09/2023;9,40;9,40;8,80;9,16;9,16;15493;25;141532;9,1352
19/09/2023;8,68;9,26;8,68;9,02;9,02;24414;30;217845;8,9230
18/09/2023;8,66;9,14;8,66;9,10;9,10;11927;19;107539;9,0164
15/09/2023;9,20;9,20;8,86;9,00;9,00;23741;36;214362;9,0292
14/09/2023;9,10;9,10;8,84;9,10;9,10;56470;31;509673;9,0256
13/09/2023;9,20;9,20;8,90;9,02;9,02;32030;38;291467;9,0998
12/09/2023;9,30;9,44;9,08;9,18;9,18;11390;19;104981;9,2170
11/09/2023;9,40;9,50;9,30;9,40;9,40;22706;25;213726;9,4128
08/09/2023;9,72;9,72;9,40;9,40;9,40;6730;11;64336;9,5596
07/09/2023;9,40;9,72;9,40;9,44;9,44;10352;22;99002;9,5636
06/09/2023;9,40;9,74;9,40;9,52;9,52;19554;17;187293;9,5782
05/09/2023;9,70;9,80;9,56;9,78;9,78;28283;18;273663;9,6759
04/09/2023;9,52;9,70;9,52;9,70;9,70;5723;9;54907;9,5941
01/09/2023;9,82;9,82;9,36;9,70;9,70;71586;47;681903;9,5256
31/08/2023;9,90;9,90;9,22;9,70;9,70;54483;44;520072;9,5456
30/08/2023;10,10;10,45;9,72;9,90;9,90;120442;58;1214555;10,0841
29/08/2023;10,10;10,10;9,78;10,10;10,10;37672;36;375441;9,9661
28/08/2023;10,05;10,10;9,76;10,10;10,10;32243;22;322716;10,0089
25/08/2023;10,10;10,10;9,90;10,05;10,05;16175;24;161718;9,9980
24/08/2023;10,20;10,20;9,96;9,96;9,96;16096;15;162634;10,1040
23/08/2023;10,10;10,20;9,90;9,90;9,90;15577;24;156601;10,0533
22/08/2023;9,90;10,20;9,62;10,00;10,00;10348;22;103387;9,9911
21/08/2023;9,90;9,94;9,90;9,94;9,94;8241;13;81731;9,9177
18/08/2023;10,20;10,20;9,90;10,00;10,00;16125;22;161629;10,0235
17/08/2023;9,96;10,15;9,90;9,90;9,90;7447;14;74678;10,0280
16/08/2023;10,25;10,25;10,00;10,00;10,00;5612;8;56192;10,0128
15/08/2023;9,98;10,25;9,98;10,20;10,20;29043;31;292283;10,0638
14/08/2023;10,40;10,40;9,90;10,25;10,25;35320;34;357142;10,1116
11/08/2023;10,40;10,40;10,10;10,25;10,25;32727;28;336168;10,2719
10/08/2023;9,86;10,20;9,86;10,00;10,00;21490;26;215582;10,0317
09/08/2023;10,25;10,25;10,15;10,25;10,25;9312;13;94770;10,1772
08/08/2023;10,10;10,25;9,98;10,15;10,15;16885;19;170237;10,0821
07/08/2023;10,15;10,15;9,90;10,00;10,00;17239;23;173141;10,0435
04/08/2023;9,90;10,20;9,90;10,20;10,20;22567;25;226924;10,0556
03/08/2023;10,40;10,40;9,88;9,90;9,90;22790;27;227421;9,9790
02/08/2023;10,50;10,50;10,15;10,25;10,25;11787;18;120184;10,1963
01/08/2023;10,20;10,40;10,20;10,25;10,25;15982;15;165847;10,3771
31/07/2023;10,25;10,35;10,15;10,15;10,15;21329;17;218413;10,2402
28/07/2023;10,00;10,30;10,00;10,25;10,25;1041;8;10586;10,1686
27/07/2023;10,15;10,30;10,10;10,30;10,30;4000;7;40625;10,1564
26/07/2023;10,20;10,50;10,15;10,30;10,30;25772;24;265834;10,3148
25/07/2023;10,30;10,30;10,15;10,25;10,25;8456;15;86520;10,2317
24/07/2023;10,40;10,40;10,00;10,25;10,25;4607;8;46870;10,1736
21/07/2023;10,35;10,35;10,05;10,20;10,20;6444;12;65595;10,1792
20/07/2023;10,25;10,30;10,25;10,25;10,25;5135;7;52884;10,2987
19/07/2023;10,25;10,25;10,10;10,25;10,25;11080;14;113051;10,2032
18/07/2023;10,35;10,35;10,20;10,30;10,30;2770;10;28514;10,2937
17/07/2023;10,00;10,30;10,00;10,30;10,30;23517;23;240565;10,2294
14/07/2023;9,60;10,20;9,60;9,92;9,92;4279;14;43086;10,0691
13/07/2023;9,60;10,20;9,60;10,00;10,00;14402;18;144888;10,0603
12/07/2023;9,82;10,15;9,82;9,86;9,86;9092;10;91342;10,0464
11/07/2023;10,30;10,30;9,94;10,05;10,05;5431;15;54919;10,1122
10/07/2023;10,40;10,40;9,52;10,05;10,05;6495;16;65449;10,0769
07/07/2023;9,80;10,20;9,80;10,20;10,20;10238;16;104237;10,1814
06/07/2023;9,00;9,88;9,00;9,78;9,78;46759;32;453936;9,7080
05/07/2023;8,86;9,64;8,86;9,64;9,64;79686;46;743139;9,3258
04/07/2023;9,00;9,36;9,00;9,18;9,18;18301;24;166369;9,0907
03/07/2023;9,52;9,52;9,00;9,10;9,10;31878;29;289790;9,0906
30/06/2023;9,64;9,64;9,02;9,10;9,10;6035;6;55146;9,1377
29/06/2023;9,70;9,70;8,96;9,06;9,06;20712;24;191866;9,2635
28/06/2023;9,06;9,50;9,00;9,14;9,14;18533;16;170673;9,2091
27/06/2023;9,68;9,68;8,88;8,96;8,96;9976;19;90945;9,1164
26/06/2023;9,20;9,30;9,10;9,30;9,30;9484;6;87841;9,2620
23/06/2023;9,00;9,22;8,88;9,20;9,20;10497;12;95916;9,1375
22/06/2023;8,86;9,48;8,86;9,14;9,14;32340;36;294880;9,1181
21/06/2023;9,76;9,76;9,20;9,48;9,48;21940;27;204736;9,3316
20/06/2023;9,50;9,74;9,20;9,72;9,72;24463;28;230596;9,4263
19/06/2023;9,44;9,58;9,30;9,58;9,58;5142;12;48299;9,3930
16/06/2023;9,42;9,60;9,40;9,44;9,44;9022;15;85238;9,4478
15/06/2023;9,50;9,78;9,44;9,50;9,50;22611;18;216492;9,5746
14/06/2023;9,50;9,88;9,50;9,52;9,52;17165;16;165616;9,6485
13/06/2023;9,40;9,80;9,40;9,60;9,60;9877;18;94773;9,5954
12/06/2023;9,32;9,60;9,32;9,40;9,40;20328;27;192634;9,4763
09/06/2023;9,82;9,88;9,30;9,70;9,70;25378;26;244479;9,6335
08/06/2023;9,50;9,78;9,50;9,78;9,78;30189;13;287049;9,5084
07/06/2023;9,30;9,90;9,30;9,58;9,58;23168;24;225827;9,7474
06/06/2023;9,30;9,84;9,30;9,80;9,80;13645;16;133377;9,7748
05/06/2023;10,40;10,40;9,72;10,05;10,05;10313;17;103196;10,0064
02/06/2023;9,26;10,00;9,26;9,82;9,82;16849;20;164323;9,7527
01/06/2023;10,35;10,35;9,50;9,50;9,50;11288;19;110021;9,7468
31/05/2023;9,32;9,96;9,32;9,50;9,50;81141;55;775562;9,5582
30/05/2023;9,20;9,40;9,20;9,40;9,40;35390;22;330932;9,3510
29/05/2023;0,00;0,00;0,00;0,00;9,52;0;0;0;0,0000
26/05/2023;9,20;10,15;9,20;9,52;9,52;30467;34;285943;9,3853
25/05/2023;9,36;9,36;8,82;9,28;9,28;145973;121;1315413;9,0113
