"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0011045429
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,82;0,838;0,79;0,826;0,826;3058986;178;2493635;0,8152
03/11/2023;0,786;0,818;0,77;0,786;0,786;1688891;63;1313736;0,7779
02/11/2023;0,80;0,804;0,77;0,788;0,788;2773020;82;2173676;0,7839
01/11/2023;0,818;0,836;0,79;0,80;0,80;1649536;136;1327757;0,8049
31/10/2023;0,81;0,88;0,80;0,82;0,82;4872067;194;3983341;0,8176
30/10/2023;0,862;0,876;0,744;0,774;0,774;9134942;434;7227226;0,7912
27/10/2023;0,81;0,868;0,81;0,862;0,862;2408865;592;2054187;0,8528
26/10/2023;0,854;0,854;0,802;0,816;0,816;2710459;143;2236138;0,8250
25/10/2023;0,88;0,888;0,85;0,86;0,86;734525;53;634545;0,8639
24/10/2023;0,86;0,898;0,86;0,898;0,898;1278762;89;1122123;0,8775
23/10/2023;0,896;0,896;0,86;0,878;0,878;840585;84;732867;0,8719
20/10/2023;0,912;0,912;0,86;0,90;0,90;1092159;70;973740;0,8916
19/10/2023;0,932;0,932;0,90;0,91;0,91;867622;62;793174;0,9142
18/10/2023;0,926;0,934;0,91;0,92;0,92;248322;16;227657;0,9168
17/10/2023;0,952;0,96;0,928;0,934;0,934;761628;65;719455;0,9446
16/10/2023;0,926;0,946;0,918;0,944;0,944;718415;56;668962;0,9312
13/10/2023;0,938;0,956;0,92;0,93;0,93;1502703;162;1409689;0,9381
12/10/2023;0,938;0,998;0,93;0,958;0,958;3649855;429;3538613;0,9695
11/10/2023;0,95;0,956;0,908;0,92;0,92;1377158;119;1290348;0,9370
10/10/2023;0,924;0,968;0,906;0,926;0,926;2744895;165;2582850;0,9410
09/10/2023;0,948;0,948;0,88;0,912;0,912;4791258;299;4314981;0,9006
06/10/2023;0,944;0,958;0,918;0,924;0,924;4985030;302;4651179;0,9330
05/10/2023;1,00;1,005;0,95;0,95;0,95;5279409;296;5134226;0,9725
04/10/2023;1,045;1,05;1,005;1,015;1,015;3953005;191;4076726;1,0313
03/10/2023;1,06;1,06;1,03;1,035;1,035;1882877;124;1960283;1,0411
02/10/2023;1,08;1,12;1,055;1,055;1,055;9817749;436;10580338;1,0777
29/09/2023;1,03;1,06;1,03;1,045;1,045;2577291;123;2701216;1,0481
28/09/2023;1,07;1,07;1,03;1,035;1,035;2313473;121;2407344;1,0406
27/09/2023;1,035;1,08;1,035;1,065;1,065;605744;54;640867;1,0580
26/09/2023;1,05;1,075;1,04;1,05;1,05;1320176;82;1390615;1,0534
25/09/2023;1,09;1,10;1,05;1,06;1,06;3560547;172;3822098;1,0735
22/09/2023;1,075;1,11;1,07;1,09;1,09;2448726;112;2671170;1,0908
21/09/2023;1,09;1,09;1,06;1,08;1,08;1766943;115;1896238;1,0732
20/09/2023;1,10;1,12;1,085;1,09;1,09;1050858;67;1152149;1,0964
19/09/2023;1,115;1,155;1,085;1,095;1,095;2646503;310;2904822;1,0976
18/09/2023;1,11;1,12;1,08;1,115;1,115;3815376;183;4178745;1,0952
15/09/2023;1,12;1,14;1,095;1,11;1,11;768882;89;853902;1,1106
14/09/2023;1,165;1,165;1,11;1,115;1,115;1480634;128;1664867;1,1244
13/09/2023;1,08;1,165;1,08;1,165;1,165;3622947;153;4026231;1,1113
12/09/2023;1,06;1,085;1,06;1,085;1,085;1172335;75;1260480;1,0752
11/09/2023;1,06;1,085;1,05;1,06;1,06;5020513;266;5345130;1,0647
08/09/2023;1,09;1,11;1,085;1,09;1,09;958914;66;1048578;1,0935
07/09/2023;1,095;1,12;1,09;1,095;1,095;1636441;95;1796487;1,0978
06/09/2023;1,115;1,12;1,095;1,115;1,115;803430;68;887217;1,1043
05/09/2023;1,12;1,125;1,105;1,105;1,105;1443183;71;1606412;1,1131
04/09/2023;1,095;1,135;1,095;1,115;1,115;2127987;118;2374412;1,1158
01/09/2023;1,10;1,105;1,08;1,09;1,09;1229422;75;1338713;1,0889
31/08/2023;1,135;1,135;1,085;1,095;1,095;2480324;154;2737113;1,1035
30/08/2023;1,195;1,195;1,125;1,14;1,14;3261453;178;3722933;1,1415
29/08/2023;1,18;1,19;1,17;1,18;1,18;927456;67;1097078;1,1829
28/08/2023;1,22;1,22;1,17;1,195;1,195;2409691;132;2867822;1,1901
25/08/2023;1,23;1,23;1,205;1,225;1,225;1128615;78;1370866;1,2146
24/08/2023;1,25;1,27;1,21;1,24;1,24;1438458;100;1784330;1,2404
23/08/2023;1,24;1,25;1,22;1,25;1,25;693532;71;856006;1,2343
22/08/2023;1,26;1,26;1,22;1,23;1,23;1363393;90;1680153;1,2323
21/08/2023;1,205;1,265;1,195;1,245;1,245;3508261;197;4321640;1,2318
18/08/2023;1,215;1,215;1,155;1,17;1,17;2621912;149;3093922;1,1800
17/08/2023;1,205;1,21;1,19;1,195;1,195;1298331;77;1553896;1,1968
16/08/2023;1,22;1,22;1,20;1,205;1,205;2123768;129;2554534;1,2028
15/08/2023;1,235;1,26;1,195;1,22;1,22;3513296;194;4272880;1,2162
14/08/2023;1,22;1,285;1,22;1,24;1,24;3041859;177;3824029;1,2571
11/08/2023;1,21;1,245;1,20;1,245;1,245;2091673;115;2567452;1,2275
10/08/2023;1,24;1,24;1,18;1,20;1,20;1755325;124;2109001;1,2015
09/08/2023;1,20;1,235;1,20;1,205;1,205;2265357;168;2739809;1,2094
08/08/2023;1,25;1,27;1,185;1,20;1,20;4095511;263;4981275;1,2163
07/08/2023;1,305;1,39;1,24;1,24;1,24;13789794;716;17773309;1,2889
04/08/2023;1,23;1,35;1,23;1,35;1,35;12321341;987;15708657;1,2749
03/08/2023;1,17;1,21;1,155;1,20;1,20;8146090;553;9628376;1,1820
02/08/2023;1,175;1,245;1,14;1,16;1,16;12570828;879;15042082;1,1966
01/08/2023;1,05;1,15;1,03;1,125;1,125;7309486;438;7883554;1,0785
31/07/2023;0,998;1,035;0,994;1,03;1,03;9475664;453;9701311;1,0238
28/07/2023;2,00;2,00;0,97;0,988;0,988;23216355;1081;23095736;0,9948
27/07/2023;1,94;2,20;1,90;1,98;1,98;924146;145;1866275;2,0195
26/07/2023;1,80;1,91;1,655;1,85;1,85;684310;120;1243616;1,8173
25/07/2023;1,675;1,95;1,545;1,90;1,90;1595101;210;2776729;1,7408
24/07/2023;1,37;1,60;1,355;1,60;1,60;811460;127;1170139;1,4420
21/07/2023;1,37;1,37;1,26;1,34;1,34;760137;85;990565;1,3031
20/07/2023;1,26;1,30;1,21;1,30;1,30;823290;142;1051881;1,2777
19/07/2023;1,30;1,30;1,16;1,19;1,19;571390;97;699567;1,2243
18/07/2023;1,265;1,40;1,265;1,39;1,39;160320;20;211719;1,3206
17/07/2023;1,26;1,30;1,26;1,26;1,26;79291;16;99941;1,2604
14/07/2023;1,25;1,285;1,25;1,26;1,26;397096;29;497599;1,2531
13/07/2023;1,28;1,28;1,17;1,18;1,18;251537;49;300157;1,1933
12/07/2023;1,31;1,31;1,28;1,28;1,28;215144;16;279009;1,2968
11/07/2023;1,33;1,33;1,20;1,31;1,31;181944;29;228969;1,2585
10/07/2023;1,495;1,495;1,23;1,31;1,31;230142;39;300955;1,3077
07/07/2023;1,28;1,28;1,155;1,22;1,22;81475;25;98144;1,2046
06/07/2023;1,25;1,27;1,125;1,145;1,145;232734;35;284762;1,2236
05/07/2023;1,195;1,25;1,16;1,22;1,22;642772;83;771621;1,2005
04/07/2023;1,09;1,16;1,09;1,15;1,15;231119;32;257639;1,1147
03/07/2023;1,11;1,18;1,085;1,085;1,085;385222;49;430423;1,1173
30/06/2023;1,15;1,33;1,095;1,11;1,11;779873;85;887601;1,1381
29/06/2023;1,22;1,265;1,155;1,195;1,195;347903;33;420819;1,2096
28/06/2023;1,35;1,35;1,15;1,21;1,21;606398;88;739121;1,2189
27/06/2023;1,09;1,41;1,075;1,25;1,25;3096752;308;3869472;1,2495
26/06/2023;1,13;1,13;1,03;1,03;1,03;980425;102;1038222;1,0590
23/06/2023;1,16;1,16;1,035;1,04;1,04;1641497;160;1770304;1,0785
22/06/2023;1,185;1,24;1,13;1,155;1,155;1129858;128;1314040;1,1630
21/06/2023;1,29;1,29;1,15;1,16;1,16;2625854;344;3188192;1,2142
20/06/2023;1,40;1,40;1,185;1,225;1,225;7842033;824;10170720;1,2969
19/06/2023;5,50;5,58;4,77;5,06;5,06;81782;57;404330;4,9440
16/06/2023;6,60;6,60;5,50;5,90;5,90;65689;43;380720;5,7958
15/06/2023;6,28;6,80;6,00;6,18;6,18;64863;49;406920;6,2735
14/06/2023;6,40;6,40;5,50;5,78;5,78;21499;29;124076;5,7712
13/06/2023;5,90;6,20;5,80;5,98;5,98;71280;49;426537;5,9840
12/06/2023;4,99;4,99;4,31;4,80;4,80;43629;30;202791;4,6481
09/06/2023;4,10;4,24;4,05;4,24;4,24;15854;20;65998;4,1628
08/06/2023;4,20;4,20;3,90;4,00;4,00;48370;19;193168;3,9936
07/06/2023;4,20;4,20;3,90;3,90;3,90;31655;23;127986;4,0432
06/06/2023;3,99;4,00;3,89;3,90;3,90;90591;41;361157;3,9867
05/06/2023;3,60;3,85;3,50;3,80;3,80;92878;49;339129;3,6513
