"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010257728
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;6,90;7,08;6,69;6,90;6,90;58633;36;407843;6,9559
03/11/2023;6,57;7,19;6,56;6,99;6,99;289335;133;1973165;6,8197
02/11/2023;6,20;7,00;6,18;6,47;6,47;457490;186;3017266;6,5953
01/11/2023;7,30;7,30;6,02;6,20;6,20;749446;358;4908779;6,5499
31/10/2023;8,65;8,65;6,98;7,50;7,50;944131;468;6976232;7,3891
30/10/2023;9,40;9,40;8,50;8,72;8,72;156670;128;1390157;8,8732
27/10/2023;9,50;9,56;9,02;9,40;9,40;47654;58;441304;9,2606
26/10/2023;9,50;9,74;9,26;9,40;9,40;31012;58;292718;9,4389
25/10/2023;9,26;9,70;9,16;9,46;9,46;62768;87;590951;9,4149
24/10/2023;10,22;10,46;9,37;9,60;9,60;49093;71;480128;9,7800
23/10/2023;10,30;10,30;9,14;9,40;9,40;95148;83;900596;9,4652
20/10/2023;10,30;10,30;9,56;9,99;9,99;95734;71;954967;9,9752
19/10/2023;10,80;10,80;10,24;10,46;10,46;125291;95;1308623;10,4447
18/10/2023;9,98;10,14;9,87;10,08;10,08;181765;95;1819267;10,0089
17/10/2023;9,25;10,28;9,25;9,87;9,87;88131;78;884431;10,0354
16/10/2023;8,75;9,61;8,75;9,60;9,60;60020;50;558807;9,3103
13/10/2023;8,70;9,30;8,70;9,12;9,12;28150;37;256224;9,1021
12/10/2023;8,60;9,26;8,60;8,98;8,98;104701;74;944080;9,0169
11/10/2023;8,70;8,89;8,52;8,76;8,76;50861;31;444750;8,7444
10/10/2023;8,50;8,95;8,50;8,90;8,90;47534;54;420272;8,8415
09/10/2023;8,56;8,95;8,56;8,95;8,95;19843;37;173229;8,7300
06/10/2023;8,82;9,39;8,82;8,91;8,91;36607;28;330451;9,0270
05/10/2023;9,00;9,01;8,72;8,92;8,92;104111;62;926924;8,9032
04/10/2023;9,48;9,48;9,01;9,02;9,02;21998;28;201847;9,1757
03/10/2023;8,96;9,49;8,96;9,49;9,49;13921;27;126627;9,0961
02/10/2023;9,00;9,80;9,00;9,35;9,35;85634;83;808834;9,4452
29/09/2023;9,65;9,65;9,30;9,30;9,30;22667;31;212848;9,3902
28/09/2023;9,65;9,65;9,00;9,48;9,48;34273;41;317013;9,2496
27/09/2023;9,01;9,39;8,90;9,38;9,38;25705;42;235442;9,1594
26/09/2023;8,91;9,45;8,91;9,01;9,01;10955;32;98973;9,0345
25/09/2023;9,65;9,65;9,23;9,23;9,23;25827;35;241326;9,3440
22/09/2023;9,77;10,00;9,35;9,65;9,65;37017;40;360370;9,7352
21/09/2023;9,90;9,97;9,57;9,77;9,77;45273;48;441499;9,7519
20/09/2023;10,00;10,00;9,51;9,51;9,51;55118;57;538847;9,7763
19/09/2023;9,90;9,90;9,52;9,70;9,70;28032;41;273320;9,7503
18/09/2023;9,80;10,00;9,52;9,81;9,81;109210;90;1071952;9,8155
15/09/2023;9,30;10,24;9,17;9,76;9,76;95714;85;924437;9,6583
14/09/2023;8,63;9,27;8,63;9,27;9,27;52890;52;480906;9,0926
13/09/2023;8,51;9,33;8,51;9,10;9,10;14514;33;129272;8,9067
12/09/2023;8,52;9,34;8,52;8,86;8,86;36533;50;326015;8,9239
11/09/2023;9,00;9,12;8,84;9,06;9,06;33683;37;303939;9,0235
08/09/2023;9,35;9,35;9,00;9,04;9,04;20943;32;191522;9,1449
07/09/2023;9,34;9,34;8,96;9,34;9,34;23016;33;210049;9,1262
06/09/2023;9,20;9,40;9,00;9,34;9,34;98578;56;907094;9,2018
05/09/2023;9,00;9,29;8,50;9,20;9,20;162667;95;1436689;8,8321
04/09/2023;8,82;9,09;8,46;8,78;8,78;153311;126;1356331;8,8469
01/09/2023;9,90;9,99;8,75;9,07;9,07;234005;156;2127206;9,0904
31/08/2023;9,60;9,91;9,10;9,56;9,56;59802;74;560759;9,3769
