"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003067902
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;27,20;28,08;26,72;26,98;26,98;159018;315;4336885;27,2729
03/11/2023;27,76;27,76;26,50;27,42;27,42;225505;456;6107578;27,0840
02/11/2023;25,10;27,20;25,10;26,70;26,70;146233;263;3896037;26,6427
01/11/2023;26,90;26,90;25,50;25,50;25,50;189228;268;4872252;25,7481
31/10/2023;26,98;26,98;25,90;26,34;26,34;206095;353;5459401;26,4897
30/10/2023;25,70;26,82;25,70;26,32;26,32;158168;344;4182884;26,4458
27/10/2023;25,10;26,14;25,10;25,68;25,68;191078;344;4914831;25,7216
26/10/2023;25,90;25,96;25,24;25,44;25,44;404386;352;10314880;25,5075
25/10/2023;25,84;25,84;25,30;25,40;25,40;81976;199;2087549;25,4654
24/10/2023;24,90;25,90;24,90;25,50;25,50;126961;297;3234109;25,4732
23/10/2023;25,50;25,78;24,30;25,06;25,06;185435;383;4621028;24,9199
20/10/2023;24,26;25,98;24,20;25,62;25,62;149737;397;3819770;25,5099
19/10/2023;25,00;26,00;24,90;25,44;25,44;274964;383;6977352;25,3755
18/10/2023;25,10;25,52;24,70;25,06;25,06;105880;278;2647681;25,0064
17/10/2023;25,20;25,74;25,20;25,60;25,60;210937;453;5381500;25,5124
16/10/2023;26,58;26,80;25,52;25,62;25,62;147518;331;3818535;25,8852
13/10/2023;26,72;27,26;26,66;26,78;26,78;125838;260;3384599;26,8965
12/10/2023;26,44;27,30;26,44;26,88;26,88;177899;416;4796117;26,9598
11/10/2023;26,98;27,46;26,64;26,64;26,64;107476;275;2900109;26,9838
10/10/2023;26,00;27,00;26,00;26,62;26,62;148651;315;3979360;26,7698
09/10/2023;26,70;26,88;25,76;25,78;25,78;347935;390;9096594;26,1445
06/10/2023;26,98;27,30;26,58;26,88;26,88;129124;309;3475185;26,9136
05/10/2023;26,32;27,52;26,32;26,98;26,98;166142;330;4503438;27,1060
04/10/2023;26,64;26,88;26,02;26,46;26,46;171934;388;4553782;26,4856
03/10/2023;27,70;27,70;26,62;26,62;26,62;211656;512;5684178;26,8557
02/10/2023;27,76;27,76;26,86;27,20;27,20;305020;640;8281677;27,1513
29/09/2023;27,50;28,00;27,40;27,42;27,42;572379;776;15889160;27,7599
28/09/2023;28,50;28,90;26,86;27,38;27,38;6959587;2247;194276260;27,9149
27/09/2023;32,20;32,88;31,94;32,56;32,56;102305;284;3309966;32,3539
26/09/2023;32,54;33,20;31,50;31,90;31,90;274584;593;8882116;32,3475
25/09/2023;33,02;33,58;31,90;32,04;32,04;173602;426;5640434;32,4906
22/09/2023;34,32;34,32;33,64;33,64;33,64;63300;219;2139809;33,8043
21/09/2023;34,80;34,82;33,82;34,18;34,18;153949;389;5270686;34,2366
20/09/2023;35,00;35,38;34,84;34,88;34,88;75194;201;2634450;35,0354
19/09/2023;34,02;35,40;33,54;35,18;35,18;232515;540;8123905;34,9393
18/09/2023;36,28;36,28;34,80;34,80;34,80;168387;360;5994949;35,6022
15/09/2023;37,20;37,20;34,30;36,28;36,28;1019004;985;36737862;36,0527
14/09/2023;36,54;37,74;36,54;37,36;37,36;178304;500;6645976;37,2733
13/09/2023;35,80;36,98;35,62;36,54;36,54;191046;603;6992952;36,6035
12/09/2023;38,50;38,50;35,72;36,38;36,38;404048;944;14821650;36,6829
11/09/2023;37,54;38,50;37,54;38,06;38,06;260675;590;9920021;38,0551
08/09/2023;36,80;37,88;36,80;37,58;37,58;248341;702;9307770;37,4798
07/09/2023;38,18;38,18;36,86;36,86;36,86;225115;541;8458656;37,5748
06/09/2023;37,50;38,54;37,44;38,34;38,34;256709;618;9763954;38,0351
05/09/2023;36,44;37,88;36,44;37,88;37,88;311624;767;11713130;37,5874
04/09/2023;38,24;38,56;35,80;36,74;36,74;524956;1046;19495963;37,1383
01/09/2023;37,50;38,48;37,46;37,76;37,76;449463;1216;17069044;37,9765
31/08/2023;36,90;38,00;36,90;37,76;37,76;418222;1049;15739560;37,6345
30/08/2023;37,56;38,22;36,50;36,86;36,86;409499;838;15306226;37,3779
29/08/2023;36,88;37,96;36,88;37,56;37,56;343621;833;12886829;37,5030
28/08/2023;35,72;36,96;35,10;36,76;36,76;350879;640;12707778;36,2170
25/08/2023;33,88;35,96;33,54;35,72;35,72;349287;792;12298736;35,2110
24/08/2023;34,00;35,00;33,76;33,80;33,80;244996;549;8426458;34,3943
23/08/2023;32,80;33,88;32,16;33,74;33,74;292287;566;9617477;32,9042
22/08/2023;33,32;34,14;32,76;33,10;33,10;435218;786;14587922;33,5187
21/08/2023;31,20;33,64;31,08;33,30;33,30;610187;1126;19941564;32,6811
18/08/2023;29,80;31,26;29,80;31,08;31,08;452659;771;13911037;30,7318
17/08/2023;29,58;30,60;29,56;29,92;29,92;424945;652;12744919;29,9919
16/08/2023;27,10;28,48;27,10;28,28;28,28;58358;147;1645371;28,1944
15/08/2023;28,70;28,90;28,00;28,00;28,00;79113;196;2243973;28,3642
14/08/2023;27,80;28,76;27,74;28,76;28,76;129259;296;3669287;28,3871
11/08/2023;28,00;28,36;27,16;28,10;28,10;209043;332;5848433;27,9772
10/08/2023;28,48;29,06;27,80;28,10;28,10;423772;684;11950403;28,2001
09/08/2023;27,30;27,46;26,66;26,74;26,74;116407;262;3133965;26,9225
08/08/2023;27,84;27,84;27,22;27,46;27,46;75369;205;2064903;27,3973
07/08/2023;27,72;28,14;27,28;27,42;27,42;163498;350;4516927;27,6268
04/08/2023;28,32;28,60;27,50;27,70;27,70;155308;341;4342042;27,9576
03/08/2023;29,22;29,26;28,32;28,36;28,36;183216;457;5284245;28,8416
02/08/2023;31,00;31,08;30,00;30,36;30,36;220024;430;6698424;30,4441
