"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG4660A1036
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;51,00;51,40;49,80;50,60;50,60;126376;254;6386066;50,5323
03/11/2023;50,60;51,00;49,80;51,00;51,00;79296;203;4004887;50,5055
02/11/2023;50,40;51,00;48,70;50,00;50,00;81865;250;4089283;49,9515
01/11/2023;50,00;50,20;49,20;50,20;50,20;73194;166;3640842;49,7424
31/10/2023;50,60;50,80;49,80;50,20;50,20;25966;104;1303360;50,1949
30/10/2023;51,20;51,40;50,20;50,60;50,60;39838;125;2021448;50,7417
27/10/2023;52,60;52,60;51,00;51,00;51,00;64171;144;3298404;51,4002
26/10/2023;53,00;53,00;51,40;52,00;52,00;46182;127;2413687;52,2647
25/10/2023;53,60;54,20;53,00;53,00;53,00;36823;131;1966940;53,4161
24/10/2023;54,80;54,80;54,00;54,60;54,60;29364;75;1597788;54,4132
23/10/2023;55,00;55,00;53,60;54,40;54,40;46924;141;2551610;54,3775
20/10/2023;56,20;56,20;54,60;55,20;55,20;51648;164;2845295;55,0901
19/10/2023;56,00;56,00;54,60;56,00;56,00;54257;172;3017845;55,6213
18/10/2023;54,80;56,40;53,80;56,00;56,00;184931;385;10163633;54,9591
17/10/2023;53,80;53,80;52,40;53,40;53,40;61594;149;3272787;53,1348
16/10/2023;53,80;54,00;52,40;52,80;52,80;61547;100;3294507;53,5283
13/10/2023;54,00;54,40;53,00;54,20;54,20;9982;57;539953;54,0926
12/10/2023;53,20;54,40;53,00;54,20;54,20;69865;173;3774578;54,0267
11/10/2023;54,00;54,20;51,60;52,00;52,00;68939;164;3681539;53,4029
10/10/2023;53,60;55,00;53,00;53,80;53,80;162897;223;8830682;54,2102
09/10/2023;54,20;55,00;53,20;53,80;53,80;42800;124;2314383;54,0744
06/10/2023;51,40;54,00;51,40;53,40;53,40;323960;145;17190313;53,0631
05/10/2023;52,00;52,00;50,80;51,60;51,60;26174;109;1350803;51,6086
04/10/2023;52,80;52,80;51,40;51,80;51,80;37561;134;1949543;51,9034
03/10/2023;52,40;53,60;52,40;52,80;52,80;67062;194;3550788;52,9478
02/10/2023;52,00;53,00;51,40;53,00;53,00;25361;93;1325296;52,2573
29/09/2023;50,40;52,00;50,40;52,00;52,00;63145;148;3232444;51,1908
28/09/2023;52,60;52,60;50,20;50,40;50,40;43535;221;2204220;50,6310
27/09/2023;52,00;52,60;51,20;52,40;52,40;59764;118;3116062;52,1394
26/09/2023;51,00;52,40;51,00;51,60;51,60;40527;120;2083175;51,4021
25/09/2023;52,60;52,60;50,40;51,60;51,60;21847;92;1119519;51,2436
22/09/2023;51,40;52,60;51,00;52,60;52,60;25965;91;1346316;51,8512
