"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010917339
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;4,74;4,89;4,74;4,85;4,85;10127;11;49089;4,8473
03/11/2023;4,80;5,14;4,66;4,82;4,82;23904;16;115458;4,8301
02/11/2023;4,90;5,20;4,78;4,88;4,88;68108;36;340384;4,9977
01/11/2023;4,95;5,20;4,90;4,90;4,90;5100;3;25243;4,9497
31/10/2023;5,24;5,24;4,80;5,00;5,00;16412;14;80930;4,9311
30/10/2023;5,00;5,40;4,79;5,06;5,06;5147;7;26006;5,0527
27/10/2023;5,40;5,40;4,87;4,87;4,87;10570;12;53171;5,0304
26/10/2023;5,10;5,24;4,94;5,20;5,20;21890;17;110463;5,0463
25/10/2023;4,90;5,40;4,87;5,12;5,12;55111;32;286871;5,2053
24/10/2023;4,87;5,10;4,87;5,10;5,10;11170;9;55081;4,9312
23/10/2023;4,70;5,00;4,70;4,85;4,85;87226;39;418750;4,8008
20/10/2023;4,71;5,10;4,71;4,90;4,90;10574;17;51060;4,8289
19/10/2023;5,10;5,10;4,75;4,97;4,97;40281;20;194576;4,8305
18/10/2023;4,91;5,10;4,81;5,10;5,10;11349;18;55700;4,9079
17/10/2023;4,88;4,92;4,88;4,92;4,92;21395;8;104691;4,8933
16/10/2023;4,75;5,18;4,75;4,90;4,90;10545;12;51923;4,9239
13/10/2023;5,20;5,20;4,80;4,95;4,95;26854;23;131691;4,9040
12/10/2023;5,06;5,08;4,94;5,06;5,06;7340;9;36585;4,9843
11/10/2023;4,80;5,28;4,80;4,99;4,99;19817;15;99515;5,0217
10/10/2023;4,76;5,06;4,76;4,89;4,89;49907;23;242188;4,8528
09/10/2023;5,04;5,04;4,70;4,80;4,80;57457;33;276405;4,8106
06/10/2023;5,20;5,22;4,76;5,08;5,08;68480;37;338123;4,9375
05/10/2023;5,00;5,10;5,00;5,10;5,10;20721;11;105124;5,0733
04/10/2023;5,20;5,24;4,90;4,90;4,90;116995;47;584401;4,9951
03/10/2023;5,34;5,34;5,20;5,20;5,20;24167;3;125808;5,2058
02/10/2023;5,50;5,50;5,22;5,36;5,36;1701;10;8960;5,2673
29/09/2023;5,50;5,50;5,20;5,48;5,48;24652;22;129320;5,2458
28/09/2023;5,46;5,48;5,20;5,20;5,20;14254;12;74842;5,2506
