"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010859648
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,50;1,50;1,435;1,435;1,435;69083;15;102970;1,4905
03/11/2023;1,50;1,50;1,46;1,46;1,46;99234;23;147561;1,4870
02/11/2023;1,475;1,50;1,40;1,50;1,50;452733;54;664799;1,4684
01/11/2023;1,48;1,50;1,45;1,50;1,50;244503;41;361640;1,4791
31/10/2023;1,46;1,50;1,45;1,45;1,45;89680;21;131873;1,4705
30/10/2023;1,49;1,51;1,425;1,47;1,47;103465;22;150388;1,4535
27/10/2023;1,55;1,595;1,415;1,47;1,47;292702;35;439400;1,5012
26/10/2023;1,48;1,55;1,48;1,55;1,55;47236;15;71714;1,5182
25/10/2023;1,55;1,55;1,445;1,55;1,55;213856;34;325000;1,5197
24/10/2023;1,545;1,57;1,54;1,55;1,55;181725;28;281956;1,5516
23/10/2023;1,575;1,575;1,54;1,55;1,55;221569;34;344007;1,5526
20/10/2023;1,64;1,655;1,545;1,62;1,62;87777;17;140509;1,6007
19/10/2023;1,62;1,645;1,60;1,645;1,645;12458;5;20316;1,6307
18/10/2023;1,61;1,645;1,56;1,645;1,645;243220;32;392207;1,6126
17/10/2023;1,65;1,655;1,58;1,65;1,65;172088;30;279151;1,6221
16/10/2023;1,80;1,80;1,595;1,695;1,695;26921;11;44847;1,6659
13/10/2023;1,63;1,865;1,59;1,785;1,785;255172;39;416220;1,6311
12/10/2023;1,56;1,685;1,56;1,655;1,655;102140;22;164918;1,6146
11/10/2023;1,55;1,695;1,55;1,65;1,65;74886;27;121345;1,6204
10/10/2023;1,615;1,685;1,56;1,63;1,63;139383;27;227215;1,6301
09/10/2023;1,565;1,695;1,485;1,59;1,59;416771;56;644892;1,5474
06/10/2023;1,65;1,705;1,60;1,68;1,68;198679;39;325923;1,6404
05/10/2023;1,75;1,75;1,67;1,675;1,675;413039;40;707393;1,7127
04/10/2023;1,65;1,74;1,64;1,74;1,74;178274;22;298634;1,6751
03/10/2023;1,70;1,73;1,64;1,67;1,67;253393;42;431426;1,7026
02/10/2023;1,68;1,69;1,63;1,655;1,655;212589;42;354270;1,6665
29/09/2023;1,65;1,73;1,65;1,66;1,66;321792;26;546972;1,6998
28/09/2023;1,73;1,74;1,55;1,67;1,67;298008;56;493986;1,6576
27/09/2023;1,82;1,82;1,71;1,73;1,73;173213;40;302863;1,7485
26/09/2023;1,935;1,935;1,80;1,84;1,84;183994;26;335607;1,8240
25/09/2023;2,06;2,06;1,865;1,92;1,92;99830;18;193957;1,9429
22/09/2023;1,97;2,07;1,955;1,98;1,98;124734;22;245759;1,9703
21/09/2023;2,08;2,10;1,975;2,01;2,01;289767;30;601617;2,0762
20/09/2023;2,09;2,15;1,91;2,08;2,08;380805;77;767835;2,0163
19/09/2023;2,09;2,18;2,02;2,09;2,09;419332;71;868201;2,0704
18/09/2023;2,15;2,15;2,03;2,09;2,09;279842;70;584028;2,0870
15/09/2023;1,78;2,10;1,73;2,03;2,03;609727;89;1168598;1,9166
14/09/2023;1,75;1,75;1,69;1,72;1,72;244476;43;419629;1,7164
13/09/2023;1,62;1,74;1,62;1,70;1,70;341930;48;584094;1,7082
12/09/2023;1,755;1,755;1,665;1,665;1,665;113980;17;192993;1,6932
11/09/2023;1,475;1,85;1,475;1,70;1,70;511781;96;827367;1,6166
08/09/2023;1,49;1,49;1,46;1,475;1,475;229988;26;339178;1,4748
07/09/2023;1,47;1,485;1,45;1,48;1,48;269909;33;397338;1,4721
06/09/2023;1,56;1,565;1,50;1,515;1,515;95819;20;147516;1,5395
05/09/2023;1,59;1,59;1,58;1,58;1,58;9750;5;15407;1,5802
04/09/2023;1,55;1,595;1,54;1,58;1,58;99664;22;156427;1,5695
01/09/2023;1,485;1,535;1,485;1,535;1,535;195791;31;297112;1,5175
31/08/2023;1,52;1,575;1,50;1,53;1,53;149809;25;226480;1,5118
30/08/2023;1,58;1,585;1,55;1,565;1,565;54339;10;85511;1,5737
29/08/2023;1,58;1,595;1,58;1,585;1,585;57212;9;90833;1,5877
28/08/2023;1,55;1,60;1,55;1,58;1,58;334612;27;522745;1,5622
25/08/2023;1,62;1,68;1,62;1,64;1,64;34819;7;57057;1,6387
24/08/2023;1,58;1,655;1,58;1,655;1,655;288395;40;466167;1,6164
23/08/2023;1,55;1,58;1,50;1,545;1,545;289415;31;439172;1,5174
22/08/2023;1,59;1,59;1,46;1,58;1,58;123595;20;187118;1,5140
21/08/2023;1,595;1,60;1,59;1,60;1,60;60000;10;95784;1,5964
18/08/2023;1,60;1,61;1,58;1,60;1,60;209500;25;334624;1,5973
17/08/2023;1,67;1,67;1,57;1,59;1,59;415738;49;668468;1,6079
