"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010776990
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,898;0,898;0,634;0,72;0,72;21324;10;15399;0,7222
03/11/2023;0,90;0,90;0,694;0,748;0,748;304741;48;219255;0,7195
02/11/2023;0,75;0,90;0,70;0,83;0,83;130211;48;97137;0,7460
01/11/2023;0,738;0,746;0,602;0,602;0,602;46275;11;32521;0,7028
31/10/2023;0,748;0,748;0,646;0,74;0,74;6316;13;4259;0,6744
30/10/2023;0,72;0,798;0,658;0,70;0,70;110236;13;74032;0,6716
27/10/2023;0,75;0,798;0,692;0,728;0,728;80785;18;56882;0,7041
26/10/2023;0,752;0,80;0,75;0,75;0,75;46670;10;35082;0,7517
25/10/2023;0,90;0,90;0,702;0,702;0,702;41600;11;29302;0,7044
24/10/2023;0,72;0,90;0,72;0,75;0,75;157969;27;118573;0,7506
23/10/2023;0,64;0,786;0,59;0,786;0,786;147614;21;99562;0,6745
20/10/2023;0,70;0,716;0,596;0,648;0,648;437685;40;272826;0,6233
19/10/2023;0,86;0,988;0,602;0,75;0,75;276416;50;215884;0,7810
18/10/2023;0,896;0,896;0,778;0,848;0,848;50606;15;43220;0,8541
17/10/2023;0,85;0,85;0,79;0,828;0,828;2115;5;1739;0,8222
16/10/2023;1,00;1,04;0,79;0,79;0,79;437023;49;361612;0,8274
13/10/2023;1,045;1,045;0,796;0,90;0,90;125690;20;106504;0,8474
12/10/2023;1,00;1,045;0,93;0,93;0,93;34435;14;33881;0,9839
11/10/2023;1,00;1,00;0,938;0,938;0,938;5952;4;5622;0,9446
10/10/2023;0,96;1,00;0,96;0,96;0,96;1010250;7;960002;0,9503
09/10/2023;0,93;0,998;0,93;0,998;0,998;21529;10;20337;0,9447
06/10/2023;0,978;1,00;0,95;1,00;1,00;65804;14;65761;0,9993
05/10/2023;1,035;1,035;0,986;1,03;1,03;46727;11;47904;1,0252
04/10/2023;1,04;1,04;1,00;1,03;1,03;118185;9;120263;1,0176
03/10/2023;1,035;1,045;1,035;1,035;1,035;1798;5;1866;1,0378
02/10/2023;1,045;1,045;1,025;1,03;1,03;113998;8;117407;1,0299
29/09/2023;1,05;1,05;0,984;1,00;1,00;731404;59;737685;1,0086
28/09/2023;1,00;1,035;0,952;0,978;0,978;75646;14;72379;0,9568
27/09/2023;1,045;1,045;0,872;0,95;0,95;356156;49;321095;0,9016
26/09/2023;0,956;1,07;0,942;1,04;1,04;163542;32;160893;0,9838
25/09/2023;1,08;1,08;0,99;0,99;0,99;184500;6;182931;0,9915
22/09/2023;1,065;1,065;0,92;0,986;0,986;33333;15;31743;0,9523
21/09/2023;1,075;1,075;0,95;1,04;1,04;289490;31;290464;1,0034
20/09/2023;1,05;1,06;0,932;1,06;1,06;5409;5;5149;0,9520
19/09/2023;0,93;1,00;0,93;1,00;1,00;77320;18;76934;0,9950
18/09/2023;1,08;1,08;0,99;1,00;1,00;327349;57;330667;1,0101
15/09/2023;1,08;1,08;0,996;0,996;0,996;349086;36;358622;1,0273
14/09/2023;1,05;1,08;1,00;1,02;1,02;266463;34;273620;1,0269
13/09/2023;1,03;1,06;0,982;0,998;0,998;283773;54;284830;1,0037
12/09/2023;1,055;1,055;0,992;1,04;1,04;33351;14;34183;1,0250
11/09/2023;1,08;1,08;0,994;1,04;1,04;232955;44;235775;1,0121
08/09/2023;0,99;1,06;0,99;1,05;1,05;211627;63;212142;1,0024
07/09/2023;0,98;1,07;0,98;0,99;0,99;81096;16;80749;0,9957
06/09/2023;0,95;0,97;0,872;0,95;0,95;133769;29;126101;0,9427
05/09/2023;0,956;0,956;0,80;0,938;0,938;102408;33;89911;0,8780
04/09/2023;0,97;0,978;0,924;0,978;0,978;23988;11;23154;0,9652
01/09/2023;1,00;1,00;0,922;0,958;0,958;14999;8;14563;0,9709
31/08/2023;0,92;1,055;0,92;0,95;0,95;32313;14;30658;0,9488
30/08/2023;1,06;1,06;0,916;0,93;0,93;196608;37;188181;0,9571
29/08/2023;1,00;1,005;0,94;1,005;1,005;14181;9;13726;0,9679
28/08/2023;1,10;1,10;0,92;1,00;1,00;275263;49;268182;0,9743
25/08/2023;1,10;1,10;0,938;1,00;1,00;252008;47;253126;1,0044
24/08/2023;0,90;1,145;0,90;0,998;0,998;131929;23;138434;1,0493
23/08/2023;0,998;0,998;0,89;0,90;0,90;894016;76;804996;0,9004
22/08/2023;1,10;1,10;0,998;0,998;0,998;409904;65;430495;1,0502
21/08/2023;1,30;1,345;1,00;1,10;1,10;620759;93;645109;1,0392
18/08/2023;1,305;1,595;1,11;1,20;1,20;540048;111;670772;1,2421
17/08/2023;1,50;1,50;1,20;1,285;1,285;807659;216;1063197;1,3164
16/08/2023;1,70;1,70;1,50;1,575;1,575;111612;32;170963;1,5318
15/08/2023;1,70;1,855;1,70;1,75;1,75;18954;10;32473;1,7132
14/08/2023;1,65;1,70;1,65;1,70;1,70;5564;5;9319;1,6750
11/08/2023;1,70;1,70;1,70;1,70;1,70;11848;5;20142;1,7000
10/08/2023;1,70;1,795;1,685;1,70;1,70;53056;21;90555;1,7068
09/08/2023;1,70;1,76;1,645;1,70;1,70;17215;14;29185;1,6953
08/08/2023;1,65;1,70;1,58;1,70;1,70;38016;16;61089;1,6069
07/08/2023;1,695;1,775;1,65;1,65;1,65;5755;7;9784;1,7000
04/08/2023;1,70;1,70;1,62;1,695;1,695;24170;13;40478;1,6747
03/08/2023;1,70;1,70;1,70;1,70;1,70;3685;3;6265;1,7000
02/08/2023;1,62;1,70;1,60;1,70;1,70;9085;7;14987;1,6497
01/08/2023;1,65;1,70;1,635;1,70;1,70;78105;14;128838;1,6496
31/07/2023;1,78;1,78;1,655;1,775;1,775;10248;3;17052;1,6639
28/07/2023;1,78;1,78;1,70;1,74;1,74;31956;17;55276;1,7297
27/07/2023;1,79;1,79;1,775;1,78;1,78;23972;9;42559;1,7753
26/07/2023;1,79;1,80;1,74;1,79;1,79;70991;24;124866;1,7589
25/07/2023;1,795;1,795;1,715;1,76;1,76;4661;14;8061;1,7294
24/07/2023;1,80;1,81;1,70;1,80;1,80;14693;26;26071;1,7744
21/07/2023;1,80;1,80;1,77;1,80;1,80;2766;5;4977;1,7995
20/07/2023;1,79;1,80;1,775;1,80;1,80;8382;10;15023;1,7923
19/07/2023;1,77;1,775;1,70;1,775;1,775;20047;11;35319;1,7618
18/07/2023;1,69;1,77;1,69;1,74;1,74;43060;19;73730;1,7123
17/07/2023;0,00;0,00;0,00;0,00;1,68;0;0;0;0,0000
14/07/2023;1,615;1,69;1,615;1,68;1,68;20962;9;34785;1,6595
13/07/2023;1,59;1,69;1,59;1,69;1,69;1600;2;2550;1,5937
12/07/2023;1,59;1,67;1,57;1,59;1,59;51596;22;82836;1,6055
11/07/2023;1,59;1,685;1,59;1,59;1,59;2200;5;3517;1,5986
10/07/2023;1,50;1,71;1,45;1,71;1,71;828679;55;1245060;1,5025
07/07/2023;1,38;1,50;1,38;1,50;1,50;4070;15;5741;1,4106
06/07/2023;1,40;1,50;1,385;1,40;1,40;3477;5;4947;1,4229
05/07/2023;1,47;1,53;1,47;1,52;1,52;1261;4;1915;1,5188
04/07/2023;1,45;1,45;1,445;1,445;1,445;17715;3;25658;1,4484
03/07/2023;1,49;1,495;1,405;1,495;1,495;25270;6;37638;1,4894
30/06/2023;1,57;1,57;1,43;1,495;1,495;38496;15;55851;1,4508
29/06/2023;1,44;1,545;1,44;1,44;1,44;105073;15;152268;1,4492
28/06/2023;1,52;1,56;1,40;1,44;1,44;28065;16;42134;1,5013
27/06/2023;1,52;1,54;1,50;1,51;1,51;34005;13;51582;1,5169
26/06/2023;1,60;1,68;1,38;1,525;1,525;86632;27;131750;1,5208
23/06/2023;1,625;1,65;1,625;1,65;1,65;14872;9;24372;1,6388
22/06/2023;1,65;1,71;1,65;1,70;1,70;5501;9;9257;1,6827
21/06/2023;1,995;1,995;1,70;1,70;1,70;102984;32;186866;1,8145
20/06/2023;1,665;1,83;1,665;1,83;1,83;22704;9;39463;1,7381
