"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012953720
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,90;0,9499;0,8706;0,90;0,90;140844;58;129445;0,9191
03/11/2023;0,86;0,90;0,8502;0,8706;0,8706;108877;29;96160;0,8832
02/11/2023;0,98;0,98;0,8502;0,8502;0,8502;112956;50;101999;0,9030
01/11/2023;0,7502;0,96;0,73;0,9499;0,9499;458518;102;406560;0,8867
31/10/2023;0,8202;0,87;0,80;0,825;0,825;114096;48;94555;0,8287
30/10/2023;0,8806;0,9001;0,865;0,8701;0,8701;41617;34;37077;0,8909
27/10/2023;0,9099;0,9099;0,8203;0,8806;0,8806;10525;30;9153;0,8697
26/10/2023;0,90;0,9499;0,8201;0,9099;0,9099;91331;52;81318;0,8904
25/10/2023;0,87;0,907;0,83;0,87;0,87;112461;59;99067;0,8809
24/10/2023;0,86;0,90;0,847;0,8775;0,8775;108538;37;93581;0,8622
23/10/2023;0,87;0,9198;0,8551;0,90;0,90;185791;61;161754;0,8706
20/10/2023;0,97;0,97;0,90;0,9014;0,9014;114987;43;106078;0,9225
19/10/2023;0,96;0,9699;0,9001;0,9201;0,9201;192530;46;179388;0,9317
18/10/2023;0,9789;0,9789;0,93;0,931;0,931;63441;37;59810;0,9428
17/10/2023;0,99;0,99;0,92;0,9403;0,9403;166083;52;161818;0,9743
16/10/2023;0,95;0,97;0,95;0,95;0,95;179177;50;172083;0,9604
13/10/2023;0,96;0,96;0,90;0,945;0,945;222744;62;207158;0,9300
12/10/2023;1,0002;1,0188;0,936;0,9594;0,9594;713587;133;692524;0,9705
11/10/2023;1,004;1,0918;1,0002;1,0002;1,0002;39481;46;39571;1,0023
10/10/2023;1,02;1,1308;1,002;1,004;1,004;130625;72;135078;1,0341
09/10/2023;1,00;1,0204;1,00;1,01;1,01;57036;43;57717;1,0119
06/10/2023;1,065;1,0706;1,0002;1,0202;1,0202;74812;37;78751;1,0526
05/10/2023;1,001;1,10;1,001;1,0648;1,0648;25687;32;26236;1,0214
04/10/2023;1,12;1,12;1,0002;1,001;1,001;150697;72;160847;1,0674
03/10/2023;1,13;1,15;1,11;1,12;1,12;81238;74;91429;1,1254
02/10/2023;1,16;1,2398;1,1102;1,13;1,13;214168;69;249266;1,1639
29/09/2023;1,17;1,2496;1,1498;1,17;1,17;193177;52;225323;1,1664
28/09/2023;1,15;1,20;1,15;1,187;1,187;135853;45;158907;1,1697
27/09/2023;1,20;1,32;1,18;1,22;1,22;234228;86;288584;1,2321
26/09/2023;1,2478;1,42;1,17;1,20;1,20;653366;112;823789;1,2608
