"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010920945
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,29;0,29;0,2405;0,2745;0,2745;257490;32;68405;0,2657
03/11/2023;0,265;0,27;0,25;0,27;0,27;309248;37;79925;0,2584
02/11/2023;0,267;0,267;0,241;0,263;0,263;215598;30;55851;0,2591
01/11/2023;0,269;0,269;0,24;0,269;0,269;121178;24;31602;0,2608
31/10/2023;0,25;0,2705;0,2405;0,264;0,264;107086;26;26983;0,2520
30/10/2023;0,2745;0,2745;0,2405;0,2595;0,2595;60130;24;14962;0,2488
27/10/2023;0,2775;0,2775;0,2315;0,238;0,238;121566;41;30921;0,2544
26/10/2023;0,23;0,277;0,2155;0,274;0,274;558127;53;131547;0,2357
25/10/2023;0,255;0,273;0,23;0,23;0,23;343929;49;83973;0,2442
24/10/2023;0,2895;0,29;0,23;0,269;0,269;409667;54;105989;0,2587
23/10/2023;0,2395;0,297;0,21;0,279;0,279;729334;46;162569;0,2229
20/10/2023;0,26;0,26;0,1958;0,2305;0,2305;812297;50;185052;0,2278
19/10/2023;0,231;0,262;0,20;0,24;0,24;978543;43;233539;0,2387
18/10/2023;0,2615;0,2615;0,25;0,25;0,25;41561;19;10682;0,2570
17/10/2023;0,23;0,263;0,23;0,2505;0,2505;268889;34;66690;0,2480
16/10/2023;0,266;0,271;0,2445;0,2635;0,2635;74856;16;19338;0,2583
13/10/2023;0,282;0,282;0,25;0,274;0,274;138712;34;36737;0,2648
12/10/2023;0,2865;0,2865;0,26;0,26;0,26;176311;19;46451;0,2635
11/10/2023;0,283;0,2875;0,2385;0,2695;0,2695;1003597;72;267203;0,2662
10/10/2023;0,297;0,297;0,24;0,242;0,242;442614;46;109024;0,2463
09/10/2023;0,2795;0,2795;0,2255;0,244;0,244;422770;60;105542;0,2496
06/10/2023;0,271;0,2825;0,271;0,271;0,271;65375;18;18021;0,2757
05/10/2023;0,261;0,2885;0,26;0,2845;0,2845;216751;31;57855;0,2669
04/10/2023;0,2925;0,2925;0,271;0,2775;0,2775;232784;37;64560;0,2773
03/10/2023;0,299;0,299;0,281;0,289;0,289;261412;23;74568;0,2853
02/10/2023;0,30;0,30;0,281;0,298;0,298;364508;27;106881;0,2932
29/09/2023;0,30;0,316;0,275;0,285;0,285;319345;38;93101;0,2915
28/09/2023;0,30;0,3295;0,295;0,295;0,295;257966;36;78474;0,3042
27/09/2023;0,29;0,3135;0,2715;0,30;0,30;325141;50;93768;0,2884
26/09/2023;0,275;0,293;0,2595;0,281;0,281;272966;44;76956;0,2819
25/09/2023;0,30;0,3065;0,28;0,2945;0,2945;444019;57;129502;0,2917
22/09/2023;0,317;0,317;0,2675;0,2855;0,2855;248680;42;72351;0,2909
21/09/2023;0,287;0,324;0,279;0,29;0,29;266947;24;77633;0,2908
20/09/2023;0,2795;0,289;0,249;0,278;0,278;379506;40;103432;0,2725
19/09/2023;0,295;0,295;0,2545;0,2795;0,2795;563386;47;155685;0,2763
18/09/2023;0,289;0,298;0,2715;0,292;0,292;326839;47;92935;0,2843
15/09/2023;0,3175;0,3485;0,285;0,289;0,289;862081;85;262720;0,3048
14/09/2023;0,28;0,318;0,28;0,29;0,29;271745;62;82496;0,3036
13/09/2023;0,286;0,286;0,2605;0,28;0,28;148587;26;41373;0,2784
12/09/2023;0,2825;0,2825;0,261;0,2725;0,2725;71112;27;19206;0,2701
11/09/2023;0,278;0,2875;0,2635;0,265;0,265;292208;29;79399;0,2717
08/09/2023;0,288;0,288;0,2615;0,2625;0,2625;482885;54;130593;0,2704
07/09/2023;0,2995;0,30;0,271;0,288;0,288;318049;40;91680;0,2883
06/09/2023;0,3065;0,3065;0,2585;0,2805;0,2805;542038;85;147306;0,2718
05/09/2023;0,2945;0,2945;0,2665;0,289;0,289;574256;77;158486;0,2760
04/09/2023;0,295;0,295;0,26;0,29;0,29;216272;53;61914;0,2863
01/09/2023;0,30;0,30;0,26;0,284;0,284;481731;60;134886;0,2800
31/08/2023;0,29;0,318;0,24;0,2985;0,2985;2609704;220;728271;0,2791
30/08/2023;0,3295;0,3295;0,28;0,3175;0,3175;791368;83;235617;0,2977
29/08/2023;0,3345;0,3345;0,30;0,3265;0,3265;298944;55;94925;0,3175
28/08/2023;0,3375;0,3375;0,30;0,32;0,32;207296;47;64969;0,3134
25/08/2023;0,35;0,35;0,2945;0,33;0,33;699637;74;220215;0,3148
24/08/2023;0,357;0,357;0,291;0,343;0,343;492148;68;150513;0,3058
23/08/2023;0,3585;0,3585;0,315;0,3385;0,3385;76385;31;25387;0,3324
22/08/2023;0,342;0,3585;0,31;0,3325;0,3325;96001;23;31496;0,3281
