"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0011204158
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,289;0,289;0,195;0,269;0,269;1879416;56;427509;0,2275
03/11/2023;0,294;0,294;0,22;0,275;0,275;1002036;24;272684;0,2721
02/11/2023;0,22;0,295;0,22;0,286;0,286;617698;34;156009;0,2526
01/11/2023;0,279;0,279;0,21;0,221;0,221;851898;26;203801;0,2392
31/10/2023;0,274;0,274;0,203;0,239;0,239;632968;39;143595;0,2269
30/10/2023;0,329;0,329;0,259;0,259;0,259;29101;9;7817;0,2686
27/10/2023;0,299;0,32;0,20;0,20;0,20;3286808;121;794438;0,2417
26/10/2023;0,241;0,28;0,19;0,257;0,257;1301431;71;300092;0,2306
25/10/2023;0,299;0,299;0,232;0,267;0,267;599690;43;149116;0,2487
24/10/2023;0,299;0,34;0,25;0,293;0,293;356285;54;103037;0,2892
23/10/2023;0,275;0,299;0,23;0,289;0,289;598489;73;161009;0,2690
20/10/2023;0,25;0,282;0,233;0,269;0,269;996428;64;253860;0,2548
19/10/2023;0,279;0,279;0,243;0,269;0,269;360581;42;92923;0,2577
18/10/2023;0,23;0,286;0,23;0,27;0,27;289232;79;74921;0,2590
17/10/2023;0,22;0,278;0,22;0,272;0,272;445658;81;106105;0,2381
16/10/2023;0,302;0,302;0,231;0,265;0,265;658888;58;169629;0,2574
13/10/2023;0,309;0,309;0,244;0,287;0,287;1567740;117;409401;0,2611
12/10/2023;0,32;0,32;0,224;0,296;0,296;989555;64;269410;0,2723
11/10/2023;0,251;0,344;0,251;0,261;0,261;1029984;82;289757;0,2813
10/10/2023;0,33;0,37;0,269;0,31;0,31;731899;77;231687;0,3166
09/10/2023;0,32;0,35;0,24;0,326;0,326;2147605;161;661789;0,3082
06/10/2023;0,1805;0,30;0,171;0,265;0,265;2829338;217;641044;0,2266
05/10/2023;0,19;0,20;0,176;0,184;0,184;556461;33;106381;0,1912
04/10/2023;0,21;0,213;0,188;0,19;0,19;1078711;51;208775;0,1935
03/10/2023;0,26;0,26;0,1795;0,211;0,211;323656;38;66563;0,2057
02/10/2023;0,22;0,228;0,1955;0,21;0,21;548259;46;119093;0,2172
29/09/2023;0,30;0,30;0,201;0,224;0,224;1445128;95;322061;0,2229
28/09/2023;0,283;0,283;0,22;0,235;0,235;662729;67;154983;0,2339
27/09/2023;0,281;0,29;0,23;0,249;0,249;2258000;112;593156;0,2627
26/09/2023;0,27;0,299;0,221;0,241;0,241;1125707;81;300684;0,2671
25/09/2023;0,26;0,339;0,24;0,274;0,274;1049909;110;293395;0,2794
22/09/2023;0,25;0,264;0,231;0,264;0,264;1193083;74;309612;0,2595
21/09/2023;0,265;0,27;0,258;0,258;0,258;676085;52;177753;0,2629
20/09/2023;0,279;0,283;0,25;0,27;0,27;1555299;66;427340;0,2748
19/09/2023;0,291;0,30;0,263;0,28;0,28;2877903;134;817098;0,2839
18/09/2023;0,332;0,332;0,28;0,30;0,30;2476388;114;739332;0,2986
15/09/2023;0,303;0,36;0,29;0,312;0,312;4929119;213;1613296;0,3273
14/09/2023;0,24;0,295;0,21;0,29;0,29;5821851;259;1495942;0,2570
13/09/2023;0,214;0,238;0,20;0,229;0,229;1998477;112;428835;0,2146
12/09/2023;0,179;0,238;0,175;0,213;0,213;7303401;278;1444091;0,1977
11/09/2023;0,135;0,135;0,1095;0,116;0,116;4050984;56;471062;0,1163
08/09/2023;0,13;0,1695;0,11;0,136;0,136;7013811;118;979090;0,1396
07/09/2023;0,09;0,125;0,086;0,125;0,125;6796631;128;725685;0,1068
06/09/2023;0,066;0,0988;0,066;0,0898;0,0898;2463392;61;214100;0,0869
05/09/2023;0,0852;0,087;0,066;0,082;0,082;689194;38;56005;0,0813
04/09/2023;0,13;0,132;0,0662;0,085;0,085;6617508;192;552914;0,0836
01/09/2023;0,12;0,16;0,1025;0,126;0,126;1052212;81;121786;0,1157
31/08/2023;0,1105;0,132;0,09;0,1025;0,1025;6376351;230;662206;0,1039
30/08/2023;0,25;0,25;0,202;0,22;0,22;536355;41;120445;0,2246
29/08/2023;0,25;0,289;0,22;0,254;0,254;845156;53;197093;0,2332
28/08/2023;0,22;0,32;0,20;0,22;0,22;5505906;189;1234244;0,2242
25/08/2023;0,20;0,234;0,17;0,1895;0,1895;324777;45;60774;0,1871
24/08/2023;0,152;0,18;0,152;0,168;0,168;140255;17;22811;0,1626
23/08/2023;0,169;0,199;0,15;0,179;0,179;1990965;48;330304;0,1659
22/08/2023;0,191;0,1995;0,17;0,177;0,177;2877128;48;509688;0,1772
21/08/2023;0,19;0,203;0,178;0,191;0,191;1044636;39;201923;0,1933
