"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0011082075
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;88,70;89,05;85,50;86,25;86,25;797852;2185;69372886;86,9496
03/11/2023;91,20;92,40;89,00;89,10;89,10;422990;1585;38183550;90,2706
02/11/2023;91,95;92,50;90,00;91,15;91,15;619894;1416;56455683;91,0731
01/11/2023;91,00;93,00;89,95;91,90;91,90;1373861;1961;126298025;91,9293
31/10/2023;89,55;90,85;88,10;90,30;90,30;661188;1893;59349496;89,7619
30/10/2023;91,95;92,95;88,55;89,05;89,05;987152;2608;89100781;90,2604
27/10/2023;90,45;94,00;89,55;93,55;93,55;1149937;2653;105818441;92,0211
26/10/2023;90,15;92,30;86,00;88,15;88,15;1448722;3591;128760532;88,8787
25/10/2023;90,55;91,25;87,35;87,55;87,55;1234962;2305;109788042;88,8999
24/10/2023;84,45;89,55;84,45;89,10;89,10;866175;2413;76178356;87,9480
23/10/2023;82,05;82,85;80,35;82,80;82,80;728503;1562;59914569;82,2434
20/10/2023;82,00;82,20;80,20;81,40;81,40;603528;751;45194206;74,8834
19/10/2023;83,60;83,60;81,05;83,00;83,00;264874;808;21810764;82,3439
18/10/2023;82,40;84,50;82,35;83,55;83,55;191260;696;16017073;83,7450
17/10/2023;82,75;82,75;81,20;82,35;82,35;242708;794;19883075;81,9218
16/10/2023;83,50;84,00;82,10;82,75;82,75;127592;540;10586704;82,9731
13/10/2023;85,00;85,60;82,80;83,00;83,00;329704;984;27612324;83,7488
12/10/2023;80,00;83,95;79,95;83,70;83,70;373998;1190;31014970;82,9282
11/10/2023;80,50;81,35;78,85;79,75;79,75;231089;575;18425408;79,7330
10/10/2023;80,00;80,95;79,50;80,50;80,50;197317;671;15838330;80,2684
09/10/2023;82,05;82,05;79,25;80,00;80,00;323647;874;25884836;79,9786
06/10/2023;79,90;82,75;78,55;80,90;80,90;474222;1446;38441748;81,0628
05/10/2023;74,75;77,60;74,75;77,25;77,25;273988;735;20947320;76,4534
04/10/2023;77,20;77,20;75,00;75,85;75,85;315206;921;23905370;75,8405
03/10/2023;77,00;78,95;76,60;77,80;77,80;247342;970;19258296;77,8610
02/10/2023;77,70;77,85;76,30;77,30;77,30;306735;779;23688715;77,2286
29/09/2023;79,50;79,85;77,00;77,00;77,00;203376;699;15810890;77,7422
28/09/2023;80,00;80,00;78,45;79,30;79,30;245752;579;19481807;79,2743
27/09/2023;78,30;80,00;78,00;79,70;79,70;250381;663;19899246;79,4759
26/09/2023;78,65;80,05;78,00;78,60;78,60;306366;857;24168340;78,8871
25/09/2023;77,00;80,35;77,00;79,35;79,35;482617;1072;38316278;79,3927
22/09/2023;81,45;81,60;79,70;80,20;80,20;187718;647;15092121;80,3978
21/09/2023;80,45;82,50;80,45;81,75;81,75;285864;1055;23385373;81,8059
20/09/2023;82,00;82,90;81,55;81,95;81,95;165487;565;13613185;82,2614
19/09/2023;80,25;82,25;79,30;81,70;81,70;322632;1140;26256393;81,3819
18/09/2023;81,00;81,85;79,15;79,45;79,45;262951;694;21013933;79,9158
15/09/2023;82,00;82,30;79,70;81,00;81,00;1887615;1263;152830644;80,9649
14/09/2023;80,80;82,25;80,10;81,55;81,55;718553;1604;58394950;81,2674
13/09/2023;83,00;83,00;77,00;80,10;80,10;1152385;2959;91706714;79,5799
12/09/2023;81,25;83,55;80,00;82,90;82,90;750701;1730;61679290;82,1623
11/09/2023;77,65;81,85;75,80;81,85;81,85;774269;1867;61673680;79,6541
08/09/2023;77,70;79,40;74,55;78,45;78,45;17993514;2399;1318689454;73,2869
07/09/2023;75,90;78,55;75,30;76,80;76,80;359159;1040;27788082;77,3699
06/09/2023;74,00;77,15;74,00;75,60;75,60;330039;900;24962635;75,6354
05/09/2023;77,20;77,20;74,05;74,40;74,40;262929;717;19765893;75,1758
04/09/2023;75,70;77,20;75,70;76,00;76,00;255154;841;19523254;76,5156
01/09/2023;74,20;77,10;74,20;75,35;75,35;576120;1437;43678466;75,8149
31/08/2023;73,65;74,70;72,90;74,15;74,15;1186630;984;88001684;74,1610
30/08/2023;74,20;74,75;72,45;73,35;73,35;260167;824;19076865;73,3255
29/08/2023;73,15;73,70;71,90;73,70;73,70;346956;1305;25334496;73,0193
28/08/2023;72,90;73,90;72,85;73,30;73,30;200936;680;14744479;73,3790
25/08/2023;71,30;73,00;71,30;72,40;72,40;1045867;998;75572066;72,2578
24/08/2023;72,00;72,35;71,10;71,85;71,85;570874;1378;41075954;71,9528
23/08/2023;73,75;73,75;71,20;71,45;71,45;584879;1783;42180948;72,1191
22/08/2023;72,75;74,00;70,85;73,75;73,75;867088;2399;62795724;72,4214
21/08/2023;71,20;72,60;68,95;71,65;71,65;1186071;2768;84500601;71,2441
18/08/2023;71,25;74,10;71,25;72,30;72,30;2206894;3781;160428946;72,6945
17/08/2023;68,00;70,50;66,75;70,40;70,40;1630539;3299;113100877;69,3641
16/08/2023;64,70;67,35;64,40;67,35;67,35;686085;1712;45783881;66,7321
15/08/2023;64,60;66,45;64,10;65,00;65,00;637599;1832;41620548;65,2770
14/08/2023;63,30;64,50;62,35;63,90;63,90;371516;1175;23646430;63,6485
11/08/2023;63,95;64,05;63,05;63,35;63,35;180379;674;11433139;63,3840
10/08/2023;62,00;64,15;62,00;63,15;63,15;305380;788;19342857;63,3403
09/08/2023;60,50;62,70;60,40;62,40;62,40;253751;673;15701787;61,8787
08/08/2023;61,60;61,60;60,00;60,50;60,50;215570;656;13023083;60,4123
07/08/2023;60,20;61,40;59,40;61,30;61,30;288521;738;17552614;60,8365
04/08/2023;59,80;62,50;59,45;60,40;60,40;718875;1824;43559852;60,5945
03/08/2023;58,35;58,95;57,85;58,15;58,15;134081;503;7824837;58,3590
02/08/2023;59,70;59,70;58,10;58,45;58,45;169512;569;9961159;58,7637
01/08/2023;58,70;59,75;57,60;59,50;59,50;298812;691;17558569;58,7613
31/07/2023;57,05;59,25;57,05;58,65;58,65;327536;626;19151088;58,4702
28/07/2023;57,30;57,70;56,40;56,70;56,70;252041;702;14319185;56,8129
27/07/2023;56,50;57,65;56,50;57,50;57,50;153923;532;8814203;57,2637
26/07/2023;57,00;57,40;56,25;56,85;56,85;314865;699;17876094;56,7738
25/07/2023;57,50;57,55;56,65;57,40;57,40;193100;657;11036271;57,1531
24/07/2023;57,40;57,80;56,90;57,45;57,45;166337;609;9543467;57,3743
21/07/2023;59,00;59,00;57,20;57,40;57,40;318807;623;18498649;58,0246
20/07/2023;60,30;60,30;58,35;58,45;58,45;197562;632;11626267;58,8487
19/07/2023;59,60;60,10;58,35;60,10;60,10;270321;696;16072616;59,4575
18/07/2023;58,00;59,80;58,00;59,50;59,50;253041;652;14921206;58,9675
17/07/2023;62,60;62,60;58,50;58,55;58,55;345638;948;20543016;59,4351
14/07/2023;63,00;63,90;62,25;62,90;62,90;291066;704;18391220;63,1857
13/07/2023;65,75;65,75;63,20;63,40;63,40;533957;1117;34324167;64,2826
12/07/2023;64,90;65,70;64,45;65,45;65,45;348208;882;22715453;65,2353
11/07/2023;64,00;64,90;63,00;64,25;64,25;484112;1100;31054397;64,1471
10/07/2023;64,00;64,20;62,30;64,20;64,20;510274;963;32382130;63,4603
07/07/2023;61,45;63,90;60,95;63,90;63,90;611687;1459;38705932;63,2773
06/07/2023;60,75;62,20;59,65;61,45;61,45;468087;866;28887819;61,7146
05/07/2023;61,05;61,50;59,20;61,15;61,15;350381;734;21318331;60,8433
04/07/2023;61,25;61,25;58,85;59,80;59,80;389023;744;23271525;59,8204
03/07/2023;61,20;62,40;60,75;60,85;60,85;610015;758;37426826;61,3539
30/06/2023;59,50;61,40;59,50;60,85;60,85;382223;615;23137514;60,5341
29/06/2023;58,05;59,40;58,00;59,20;59,20;474280;759;27928797;58,8867
28/06/2023;58,00;59,60;58,00;59,40;59,40;240190;619;14179962;59,0364
27/06/2023;59,90;59,90;57,95;59,40;59,40;378304;695;22193500;58,6658
26/06/2023;59,55;60,75;58,75;59,90;59,90;405461;870;24026056;59,2561
23/06/2023;60,50;61,50;59,70;60,35;60,35;409179;875;24749955;60,4869
22/06/2023;60,75;62,65;60,55;61,65;61,65;628614;1289;38816512;61,7494
21/06/2023;60,00;62,05;60,00;61,50;61,50;635992;1384;38955801;61,2520
20/06/2023;61,20;61,20;58,65;59,30;59,30;709312;1073;42444808;59,8394
19/06/2023;63,00;63,00;61,05;61,70;61,70;503743;813;31069168;61,6766
16/06/2023;64,40;64,45;62,45;63,75;63,75;705806;1143;44718705;63,3584
15/06/2023;63,40;64,50;63,00;64,00;64,00;674269;1160;43118046;63,9478
14/06/2023;63,00;63,50;62,30;63,45;63,45;324664;797;20475410;63,0665
13/06/2023;62,75;63,20;61,80;63,00;63,00;804207;1387;50366168;62,6284
12/06/2023;61,80;62,90;61,35;61,55;61,55;488111;891;30212756;61,8973
09/06/2023;62,70;63,90;62,35;63,40;63,40;496247;1009;31406805;63,2887
08/06/2023;62,50;63,70;61,80;62,60;62,60;881955;1052;55457234;62,8799
07/06/2023;61,80;64,55;61,75;63,65;63,65;752527;1155;47708629;63,3979
06/06/2023;62,60;64,00;61,90;62,00;62,00;1106450;1675;69789403;63,0751
05/06/2023;64,10;64,60;62,50;63,15;63,15;1247736;1212;79576742;63,7769
02/06/2023;64,50;65,00;63,25;64,20;64,20;1101562;1590;70863412;64,3299
01/06/2023;63,00;65,00;61,80;64,50;64,50;1456334;1707;93480743;64,1891
31/05/2023;64,30;65,00;61,05;62,05;62,05;1910412;2418;119266689;62,4298
30/05/2023;63,60;66,80;63,60;65,50;65,50;1277488;1756;83018500;64,9857
29/05/2023;0,00;0,00;0,00;0,00;63,50;0;0;0;0,0000
26/05/2023;61,30;63,65;61,30;63,50;63,50;1097376;1542;69143132;63,0077
25/05/2023;62,20;63,25;61,20;61,20;61,20;1171478;2084;72767692;62,1161
24/05/2023;63,75;64,00;61,45;62,00;62,00;16112256;6480;1006291399;62,4550
23/05/2023;68,40;73,15;68,40;72,70;72,70;577428;1177;41576652;72,0032
22/05/2023;67,55;69,30;67,55;68,45;68,45;385322;972;26430403;68,5930
19/05/2023;68,00;68,00;66,35;68,00;68,00;533460;1296;36054718;67,5865
18/05/2023;0,00;0,00;0,00;0,00;67,40;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;67,40;0;0;0;0,0000
16/05/2023;68,20;69,35;67,10;67,40;67,40;453818;1418;30816813;67,9057
15/05/2023;68,00;69,65;67,50;68,90;68,90;626290;1397;42998803;68,6564
12/05/2023;68,25;69,85;66,40;69,50;69,50;508073;1408;34906256;68,7032
11/05/2023;69,15;70,40;67,55;67,90;67,90;666571;1538;45776658;68,6748
10/05/2023;69,95;70,50;66,20;67,55;67,55;658728;1674;45002954;68,3180
09/05/2023;68,40;69,80;65,70;69,80;69,80;731810;1706;50133189;68,5057
08/05/2023;65,00;69,00;64,10;68,45;68,45;1230240;2611;83567703;67,9280
05/05/2023;63,70;67,40;62,60;66,90;66,90;1611099;3763;105272490;65,3420
04/05/2023;68,80;68,80;60,00;62,00;62,00;2235726;4509;140753127;62,9563
03/05/2023;67,45;68,90;64,35;66,50;66,50;579018;1558;38111602;65,8211
02/05/2023;69,15;70,50;67,50;67,70;67,70;719210;1335;50085075;69,6390
28/04/2023;68,10;69,40;67,00;69,10;69,10;609312;1385;41665690;68,3815
27/04/2023;68,50;68,50;65,05;67,75;67,75;598212;1739;40026894;66,9109
26/04/2023;69,85;70,00;66,50;67,15;67,15;715660;1609;48631342;67,9531
25/04/2023;68,00;70,00;66,30;68,90;68,90;770220;1874;53163333;69,0236
24/04/2023;65,90;68,00;65,80;68,00;68,00;843316;1838;56693774;67,2272
21/04/2023;66,60;68,35;65,25;65,55;65,55;760511;1971;50503075;66,4068
20/04/2023;62,00;66,00;61,55;65,40;65,40;979471;2330;63341582;64,6692
19/04/2023;62,25;63,55;61,40;61,55;61,55;298288;922;18543994;62,1681
18/04/2023;62,95;63,35;62,00;62,60;62,60;579702;1323;36430379;62,8433
17/04/2023;62,35;63,25;61,60;62,25;62,25;315318;1226;19678271;62,4077
14/04/2023;61,00;63,10;60,85;62,45;62,45;533820;1736;33122191;62,0475
13/04/2023;59,15;61,45;58,90;61,45;61,45;748590;1442;45453860;60,7193
12/04/2023;58,65;61,10;57,05;59,30;59,30;1536896;3585;90373530;58,8026
11/04/2023;56,85;57,75;54,90;56,80;56,80;515475;1186;29034443;56,3256
06/04/2023;0,00;0,00;0,00;0,00;56,15;0;0;0;0,0000
05/04/2023;54,40;56,20;53,90;56,15;56,15;202452;526;11177547;55,2108
