"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010012636
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
03/11/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
02/11/2023;126,00;127,00;126,00;127,00;127,00;310;2;39300;126,7742
01/11/2023;0,00;0,00;0,00;0,00;132,00;0;0;0;0,0000
31/10/2023;0,00;0,00;0,00;0,00;132,00;0;0;0;0,0000
30/10/2023;0,00;0,00;0,00;0,00;132,00;0;0;0;0,0000
27/10/2023;0,00;0,00;0,00;0,00;132,00;0;0;0;0,0000
26/10/2023;132,00;132,00;132,00;132,00;132,00;1;1;132;132,0000
25/10/2023;0,00;0,00;0,00;0,00;133,00;0;0;0;0,0000
24/10/2023;0,00;0,00;0,00;0,00;133,00;0;0;0;0,0000
23/10/2023;0,00;0,00;0,00;0,00;133,00;0;0;0;0,0000
20/10/2023;0,00;0,00;0,00;0,00;133,00;0;0;0;0,0000
19/10/2023;0,00;0,00;0,00;0,00;133,00;0;0;0;0,0000
18/10/2023;0,00;0,00;0,00;0,00;133,00;0;0;0;0,0000
17/10/2023;0,00;0,00;0,00;0,00;133,00;0;0;0;0,0000
16/10/2023;0,00;0,00;0,00;0,00;133,00;0;0;0;0,0000
13/10/2023;0,00;0,00;0,00;0,00;133,00;0;0;0;0,0000
12/10/2023;0,00;0,00;0,00;0,00;133,00;0;0;0;0,0000
11/10/2023;125,00;133,00;125,00;133,00;133,00;130;3;16326;125,5846
10/10/2023;0,00;0,00;0,00;0,00;130,00;0;0;0;0,0000
09/10/2023;0,00;0,00;0,00;0,00;130,00;0;0;0;0,0000
06/10/2023;130,00;130,00;130,00;130,00;130,00;9;1;1170;130,0000
05/10/2023;0,00;0,00;0,00;0,00;130,00;0;0;0;0,0000
04/10/2023;0,00;0,00;0,00;0,00;130,00;0;0;0;0,0000
03/10/2023;0,00;0,00;0,00;0,00;130,00;0;0;0;0,0000
02/10/2023;130,00;130,00;130,00;130,00;130,00;6;2;780;130,0000
29/09/2023;129,00;129,00;125,00;125,00;125,00;40;2;5140;128,5000
28/09/2023;0,00;0,00;0,00;0,00;130,00;0;0;0;0,0000
27/09/2023;0,00;0,00;0,00;0,00;130,00;0;0;0;0,0000
26/09/2023;127,00;133,00;127,00;130,00;130,00;27;4;3466;128,3704
25/09/2023;125,00;125,00;125,00;125,00;125,00;31;1;3875;125,0000
22/09/2023;127,00;127,00;127,00;127,00;127,00;203;1;25781;127,0000
21/09/2023;125,00;125,00;125,00;125,00;125,00;400;2;50000;125,0000
20/09/2023;0,00;0,00;0,00;0,00;125,00;0;0;0;0,0000
19/09/2023;0,00;0,00;0,00;0,00;125,00;0;0;0;0,0000
18/09/2023;0,00;0,00;0,00;0,00;125,00;0;0;0;0,0000
15/09/2023;0,00;0,00;0,00;0,00;125,00;0;0;0;0,0000
14/09/2023;0,00;0,00;0,00;0,00;125,00;0;0;0;0,0000
13/09/2023;0,00;0,00;0,00;0,00;125,00;0;0;0;0,0000
12/09/2023;0,00;0,00;0,00;0,00;125,00;0;0;0;0,0000
11/09/2023;125,00;125,00;125,00;125,00;125,00;523;3;65375;125,0000
08/09/2023;0,00;0,00;0,00;0,00;129,00;0;0;0;0,0000
07/09/2023;129,00;129,00;129,00;129,00;129,00;243;1;31347;129,0000
06/09/2023;130,00;130,00;130,00;130,00;130,00;55;1;7150;130,0000
05/09/2023;129,00;129,00;129,00;129,00;129,00;300;3;38700;129,0000
04/09/2023;0,00;0,00;0,00;0,00;130,00;0;0;0;0,0000
01/09/2023;131,00;131,00;130,00;130,00;130,00;563;2;73353;130,2895
31/08/2023;135,00;135,00;135,00;135,00;135,00;752;3;101520;135,0000
30/08/2023;136,00;136,00;135,00;135,00;135,00;1030;8;139633;135,5660
29/08/2023;133,00;133,00;126,00;126,00;126,00;181;2;23506;129,8674
28/08/2023;126,00;133,00;126,00;133,00;133,00;52;3;6739;129,5962
25/08/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
24/08/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
23/08/2023;127,00;127,00;127,00;127,00;127,00;40;3;5080;127,0000
22/08/2023;0,00;0,00;0,00;0,00;127,00;0;0;0;0,0000
21/08/2023;127,00;127,00;127,00;127,00;127,00;150;2;19050;127,0000
18/08/2023;0,00;0,00;0,00;0,00;135,00;0;0;0;0,0000
17/08/2023;0,00;0,00;0,00;0,00;135,00;0;0;0;0,0000
16/08/2023;133,00;135,00;127,00;135,00;135,00;202;5;26904;133,1881
15/08/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
14/08/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
11/08/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
10/08/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
09/08/2023;136,00;136,00;136,00;136,00;136,00;36;1;4896;136,0000
08/08/2023;0,00;0,00;0,00;0,00;135,00;0;0;0;0,0000
07/08/2023;0,00;0,00;0,00;0,00;135,00;0;0;0;0,0000
04/08/2023;0,00;0,00;0,00;0,00;135,00;0;0;0;0,0000
03/08/2023;0,00;0,00;0,00;0,00;135,00;0;0;0;0,0000
02/08/2023;0,00;0,00;0,00;0,00;135,00;0;0;0;0,0000
01/08/2023;0,00;0,00;0,00;0,00;135,00;0;0;0;0,0000
31/07/2023;132,00;135,00;132,00;135,00;135,00;63;2;8400;133,3333
28/07/2023;135,00;135,00;135,00;135,00;135,00;14;1;1890;135,0000
27/07/2023;0,00;0,00;0,00;0,00;138,00;0;0;0;0,0000
26/07/2023;0,00;0,00;0,00;0,00;138,00;0;0;0;0,0000
25/07/2023;138,00;138,00;138,00;138,00;138,00;16;1;2208;138,0000
24/07/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
21/07/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
20/07/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
19/07/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
18/07/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
17/07/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
14/07/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
13/07/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
12/07/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
11/07/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
10/07/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
07/07/2023;0,00;0,00;0,00;0,00;136,00;0;0;0;0,0000
06/07/2023;137,00;137,00;136,00;136,00;136,00;887;5;121232;136,6764
05/07/2023;0,00;0,00;0,00;0,00;137,00;0;0;0;0,0000
04/07/2023;0,00;0,00;0,00;0,00;137,00;0;0;0;0,0000
03/07/2023;0,00;0,00;0,00;0,00;137,00;0;0;0;0,0000
30/06/2023;137,00;137,00;137,00;137,00;137,00;459;4;62883;137,0000
29/06/2023;0,00;0,00;0,00;0,00;139,00;0;0;0;0,0000
28/06/2023;0,00;0,00;0,00;0,00;139,00;0;0;0;0,0000
27/06/2023;0,00;0,00;0,00;0,00;139,00;0;0;0;0,0000
26/06/2023;0,00;0,00;0,00;0,00;139,00;0;0;0;0,0000
23/06/2023;0,00;0,00;0,00;0,00;139,00;0;0;0;0,0000
22/06/2023;0,00;0,00;0,00;0,00;139,00;0;0;0;0,0000
21/06/2023;0,00;0,00;0,00;0,00;139,00;0;0;0;0,0000
20/06/2023;0,00;0,00;0,00;0,00;139,00;0;0;0;0,0000
19/06/2023;0,00;0,00;0,00;0,00;139,00;0;0;0;0,0000
16/06/2023;138,00;139,00;138,00;139,00;139,00;88;2;12163;138,2159
15/06/2023;0,00;0,00;0,00;0,00;138,00;0;0;0;0,0000
14/06/2023;138,00;138,00;138,00;138,00;138,00;18;1;2484;138,0000
13/06/2023;135,00;136,00;135,00;136,00;136,00;51;2;6886;135,0196
12/06/2023;125,00;134,00;125,00;134,00;134,00;665;9;86085;129,4511
09/06/2023;132,00;132,00;132,00;132,00;132,00;40;2;5280;132,0000
08/06/2023;135,00;135,00;133,00;133,00;133,00;44;3;5888;133,8182
07/06/2023;137,00;137,00;126,00;133,00;133,00;1224;13;158560;129,5425
06/06/2023;136,00;136,00;130,00;130,00;130,00;1108;7;144964;130,8339
05/06/2023;136,00;136,00;136,00;136,00;136,00;30;1;4080;136,0000
02/06/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
01/06/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
31/05/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
30/05/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
29/05/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
26/05/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
25/05/2023;145,00;145,00;145,00;145,00;145,00;10;1;1450;145,0000
24/05/2023;140,00;145,00;140,00;145,00;145,00;29;2;4070;140,3448
23/05/2023;138,00;145,00;138,00;145,00;145,00;52;3;7260;139,6154
22/05/2023;144,00;144,00;144,00;144,00;144,00;644;1;92736;144,0000
19/05/2023;144,00;144,00;144,00;144,00;144,00;152;1;21888;144,0000
18/05/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
16/05/2023;144,00;145,00;144,00;145,00;145,00;190;2;27400;144,2105
15/05/2023;144,00;144,00;144,00;144,00;144,00;54;2;7776;144,0000
12/05/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
11/05/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
10/05/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
09/05/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
08/05/2023;140,00;145,00;140,00;145,00;145,00;60;2;8450;140,8333
05/05/2023;0,00;0,00;0,00;0,00;140,00;0;0;0;0,0000
04/05/2023;0,00;0,00;0,00;0,00;140,00;0;0;0;0,0000
03/05/2023;0,00;0,00;0,00;0,00;140,00;0;0;0;0,0000
02/05/2023;0,00;0,00;0,00;0,00;140,00;0;0;0;0,0000
28/04/2023;0,00;0,00;0,00;0,00;140,00;0;0;0;0,0000
27/04/2023;140,00;140,00;140,00;140,00;140,00;17;1;2380;140,0000
26/04/2023;139,00;139,00;138,00;138,00;138,00;280;2;38664;138,0857
25/04/2023;0,00;0,00;0,00;0,00;138,00;0;0;0;0,0000
24/04/2023;0,00;0,00;0,00;0,00;138,00;0;0;0;0,0000
21/04/2023;139,00;139,00;138,00;138,00;138,00;100;2;13867;138,6700
20/04/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
19/04/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
18/04/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
17/04/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
14/04/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
13/04/2023;145,00;145,00;145,00;145,00;145,00;30;1;4350;145,0000
12/04/2023;139,00;139,00;139,00;139,00;139,00;6;2;834;139,0000
11/04/2023;141,00;141,00;139,00;139,00;139,00;808;3;113372;140,3119
06/04/2023;0,00;0,00;0,00;0,00;142,00;0;0;0;0,0000
05/04/2023;0,00;0,00;0,00;0,00;142,00;0;0;0;0,0000
04/04/2023;0,00;0,00;0,00;0,00;142,00;0;0;0;0,0000
03/04/2023;142,00;142,00;142,00;142,00;142,00;300;1;42600;142,0000
31/03/2023;0,00;0,00;0,00;0,00;142,00;0;0;0;0,0000
30/03/2023;0,00;0,00;0,00;0,00;142,00;0;0;0;0,0000
29/03/2023;142,00;142,00;142,00;142,00;142,00;56;1;7952;142,0000
28/03/2023;144,00;144,00;144,00;144,00;144,00;1;1;144;144,0000
27/03/2023;0,00;0,00;0,00;0,00;139,00;0;0;0;0,0000
24/03/2023;0,00;0,00;0,00;0,00;139,00;0;0;0;0,0000
23/03/2023;140,00;140,00;139,00;139,00;139,00;100;2;13961;139,6100
22/03/2023;0,00;0,00;0,00;0,00;145,00;0;0;0;0,0000
21/03/2023;145,00;145,00;145,00;145,00;145,00;5;1;725;145,0000
20/03/2023;0,00;0,00;0,00;0,00;147,00;0;0;0;0,0000
