"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010884794
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,00;0,00;0,00;0,00;25,60;0;0;0;0,0000
03/11/2023;23,20;25,60;23,20;25,60;25,60;2193;4;52941;24,1408
02/11/2023;27,00;27,00;27,00;27,00;27,00;10;2;270;27,0000
01/11/2023;27,00;27,00;27,00;27,00;27,00;8;1;216;27,0000
31/10/2023;26,00;26,00;26,00;26,00;26,00;70;2;1820;26,0000
30/10/2023;25,60;25,60;25,60;25,60;25,60;3434;2;87910;25,6000
27/10/2023;26,40;26,40;24,00;24,00;24,00;5013;7;125677;25,0701
26/10/2023;26,00;27,20;23,60;25,00;25,00;7512;14;193339;25,7373
25/10/2023;25,00;25,00;23,20;25,00;25,00;22982;29;547665;23,8302
24/10/2023;29,20;29,20;24,00;25,00;25,00;10662;22;263109;24,6772
23/10/2023;23,20;26,00;22,80;26,00;26,00;7684;16;184607;24,0249
20/10/2023;24,80;25,20;23,20;25,20;25,20;4886;9;116287;23,8001
19/10/2023;26,40;26,40;25,00;25,00;25,00;4454;5;111791;25,0991
18/10/2023;25,00;26,20;25,00;25,00;25,00;4900;10;124950;25,5000
17/10/2023;26,80;26,80;24,20;24,20;24,20;1326;2;34689;26,1608
16/10/2023;23,20;26,00;23,20;26,00;26,00;4535;17;116433;25,6743
13/10/2023;25,20;28,80;24,80;25,80;25,80;10358;14;264410;25,5271
12/10/2023;25,40;26,20;23,80;25,00;25,00;13743;20;343984;25,0298
11/10/2023;25,60;25,60;24,40;24,40;24,40;7478;7;186555;24,9472
10/10/2023;26,20;26,20;26,00;26,00;26,00;4858;3;126548;26,0494
09/10/2023;25,40;26,60;25,00;25,00;25,00;21952;65;558649;25,4487
06/10/2023;25,40;26,20;25,20;25,20;25,20;7615;16;194590;25,5535
05/10/2023;26,00;26,00;24,20;24,20;24,20;658;4;17004;25,8413
04/10/2023;25,80;25,80;25,00;25,00;25,00;6844;11;174405;25,4829
03/10/2023;23,80;23,80;23,80;23,80;23,80;2;1;48;23,8000
02/10/2023;27,00;27,00;27,00;27,00;27,00;200;1;5400;27,0000
29/09/2023;26,00;26,60;26,00;26,00;26,00;4920;13;127980;26,0122
28/09/2023;26,60;26,60;25,60;26,00;26,00;4451;11;117280;26,3490
27/09/2023;26,80;26,80;26,60;26,60;26,60;2983;2;79619;26,6910
26/09/2023;26,60;26,60;25,60;25,60;25,60;198;3;5247;26,4990
25/09/2023;25,80;27,60;25,80;27,20;27,20;5233;4;142768;27,2822
22/09/2023;26,60;26,60;26,60;26,60;26,60;2974;1;79108;26,6000
21/09/2023;27,00;27,00;27,00;27,00;27,00;250;1;6750;27,0000
20/09/2023;26,60;27,40;26,60;27,40;27,40;2463;4;65886;26,7504
19/09/2023;0,00;0,00;0,00;0,00;26,20;0;0;0;0,0000
18/09/2023;28,60;29,00;26,20;26,20;26,20;4296;7;121645;28,3158
15/09/2023;27,00;28,60;25,20;28,60;28,60;16598;14;433265;26,1034
14/09/2023;27,00;27,00;27,00;27,00;27,00;119;3;3213;27,0000
13/09/2023;0,00;0,00;0,00;0,00;27,00;0;0;0;0,0000
