"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010724701
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;164,00;164,00;164,00;164,00;164,00;5;1;820;164,0000
03/11/2023;164,00;164,00;164,00;164,00;164,00;6;1;984;164,0000
02/11/2023;158,00;160,00;158,00;158,00;158,00;1007;8;159238;158,1311
01/11/2023;159,00;165,00;147,00;161,00;161,00;23838;41;3807466;159,7225
31/10/2023;165,00;168,00;155,00;168,00;168,00;5259;29;869455;165,3271
30/10/2023;165,00;165,00;160,00;165,00;165,00;460;8;74384;161,7043
27/10/2023;165,00;165,00;165,00;165,00;165,00;10;1;1650;165,0000
26/10/2023;0,00;0,00;0,00;0,00;165,00;25000;1;4125000;165,0000
25/10/2023;155,00;165,00;154,00;165,00;165,00;5737;27;916183;159,6972
24/10/2023;165,00;165,00;165,00;165,00;165,00;25001;2;4125165;165,0000
23/10/2023;168,00;168,00;168,00;168,00;168,00;10;1;1680;168,0000
20/10/2023;160,00;167,00;160,00;160,00;160,00;2153;5;358591;166,5541
19/10/2023;160,00;162,00;160,00;162,00;162,00;422;6;67960;161,0427
18/10/2023;167,00;167,00;162,00;162,00;162,00;70;2;11370;162,4286
17/10/2023;162,00;166,00;162,00;166,00;166,00;1202;12;197420;164,2429
16/10/2023;167,00;167,00;151,00;166,00;166,00;27032;25;4509183;166,8091
13/10/2023;167,00;167,00;167,00;167,00;167,00;250;1;41750;167,0000
12/10/2023;169,00;169,00;169,00;169,00;169,00;9078;3;1552182;170,9828
11/10/2023;168,00;168,00;168,00;168,00;168,00;100;3;16800;168,0000
10/10/2023;175,00;175,00;170,00;170,00;170,00;21;2;3575;170,2381
09/10/2023;170,00;170,00;170,00;170,00;170,00;198;2;33660;170,0000
06/10/2023;176,00;176,00;171,00;172,00;172,00;1085;6;189569;174,7180
05/10/2023;172,00;172,00;166,00;172,00;172,00;117;4;20082;171,6410
04/10/2023;174,00;174,00;172,00;172,00;172,00;25568;8;4347700;170,0446
03/10/2023;171,00;171,00;171,00;171,00;171,00;2;1;342;171,0000
02/10/2023;175,00;175,00;175,00;175,00;175,00;76;2;13300;175,0000
29/09/2023;179,00;179,00;170,00;175,00;175,00;16733;28;2920250;174,5204
28/09/2023;170,00;177,00;170,00;175,00;175,00;11040;14;1921495;174,0485
27/09/2023;171,00;172,00;170,00;170,00;170,00;3948;12;674904;170,9483
26/09/2023;156,00;173,00;156,00;173,00;173,00;39950;54;6662951;166,7823
25/09/2023;0,00;0,00;0,00;0,00;174,00;0;0;0;0,0000
22/09/2023;174,00;174,00;174,00;174,00;174,00;70;5;12180;174,0000
21/09/2023;174,00;174,00;172,00;172,00;172,00;834;14;143600;172,1823
20/09/2023;175,00;175,00;175,00;175,00;175,00;10;1;1750;175,0000
19/09/2023;0,00;0,00;0,00;0,00;176,00;0;0;0;0,0000
18/09/2023;176,00;176,00;176,00;176,00;176,00;1;1;176;176,0000
15/09/2023;172,00;175,00;172,00;173,00;173,00;21394;18;3727753;174,2429
14/09/2023;175,00;177,00;175,00;175,00;175,00;12437;15;2189759;176,0681
13/09/2023;169,00;174,00;169,00;173,00;173,00;15390;10;2649793;172,1763
12/09/2023;176,00;176,00;175,00;175,00;175,00;9062;17;1591206;175,5910
11/09/2023;176,00;176,00;175,00;175,00;175,00;6118;10;1070735;175,0139
08/09/2023;179,00;179,00;176,00;176,00;176,00;14960;13;2645331;176,8269
07/09/2023;0,00;0,00;0,00;0,00;176,00;0;0;0;0,0000
06/09/2023;176,00;176,00;176,00;176,00;176,00;50;2;8800;176,0000
05/09/2023;182,00;182,00;173,00;174,00;174,00;11453;13;2050698;179,0533
04/09/2023;172,00;172,00;172,00;172,00;172,00;12;3;2064;172,0000
01/09/2023;165,00;175,00;165,00;175,00;175,00;5599;7;979665;174,9714
31/08/2023;170,00;177,00;170,00;175,00;175,00;12088;19;2111403;174,6693
30/08/2023;176,00;177,00;169,00;175,00;175,00;24347;20;4233067;173,8640
29/08/2023;175,00;178,00;155,00;176,00;176,00;40452;16;7080282;175,0292
28/08/2023;180,00;180,00;175,00;175,00;175,00;14856;25;2633587;177,2743
25/08/2023;167,00;180,00;167,00;178,00;178,00;81995;26;14137890;172,4238
24/08/2023;165,00;170,00;165,00;166,00;166,00;53962;22;8980962;166,4312
23/08/2023;172,00;172,00;163,00;163,00;163,00;2152;13;360730;167,6255
22/08/2023;157,00;165,00;157,00;162,00;162,00;15198;12;2433909;160,1467
21/08/2023;155,00;156,00;145,00;155,00;155,00;2803;12;419522;149,6689
18/08/2023;154,00;156,00;152,00;152,00;152,00;446;8;69040;154,7982
17/08/2023;156,00;156,00;156,00;156,00;156,00;32;1;4992;156,0000
16/08/2023;153,00;157,00;153,00;157,00;157,00;63743;5;9627291;151,0329
15/08/2023;153,00;160,00;150,00;154,00;154,00;318107;38;48151058;151,3675
14/08/2023;153,00;154,00;153,00;154,00;154,00;72;2;11038;153,3056
11/08/2023;0,00;0,00;0,00;0,00;153,00;0;0;0;0,0000
10/08/2023;155,00;155,00;153,00;153,00;153,00;1688;8;261294;154,7950
