"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003070609
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,44;0,44;0,417;0,42;0,42;3225864;150;1379393;0,4276
03/11/2023;0,43;0,438;0,406;0,435;0,435;4432584;180;1871644;0,4222
02/11/2023;0,4195;0,4275;0,379;0,42;0,42;6523483;233;2714551;0,4161
01/11/2023;0,3825;0,3995;0,375;0,398;0,398;3527543;131;1357678;0,3849
31/10/2023;0,399;0,399;0,381;0,3825;0,3825;2523789;89;983582;0,3897
30/10/2023;0,403;0,403;0,379;0,384;0,384;2712335;128;1043879;0,3849
27/10/2023;0,392;0,392;0,363;0,3765;0,3765;5495325;241;2040082;0,3712
26/10/2023;0,40;0,41;0,384;0,388;0,388;5921860;222;2306313;0,3895
25/10/2023;0,40;0,40;0,382;0,382;0,382;3387285;169;1330443;0,3928
24/10/2023;0,40;0,4405;0,3975;0,406;0,406;3951126;157;1601761;0,4054
23/10/2023;0,43;0,43;0,4025;0,4055;0,4055;2991889;125;1215682;0,4063
20/10/2023;0,43;0,45;0,4175;0,4215;0,4215;4460097;167;1917395;0,4299
19/10/2023;0,456;0,477;0,452;0,4535;0,4535;2805382;148;1298202;0,4628
18/10/2023;0,456;0,471;0,445;0,456;0,456;2518008;131;1143776;0,4542
17/10/2023;0,51;0,513;0,4615;0,475;0,475;5809149;267;2773642;0,4775
16/10/2023;0,52;0,523;0,4705;0,507;0,507;8102688;404;4063402;0,5015
13/10/2023;0,45;0,48;0,43;0,48;0,48;7469514;280;3421062;0,4580
12/10/2023;0,42;0,44;0,394;0,44;0,44;10772361;324;4469259;0,4149
11/10/2023;0,4065;0,4185;0,40;0,4185;0,4185;2968858;153;1221715;0,4115
10/10/2023;0,41;0,423;0,40;0,4065;0,4065;4047294;199;1652580;0,4083
09/10/2023;0,426;0,426;0,3945;0,4005;0,4005;8599818;366;3485713;0,4053
06/10/2023;0,458;0,4595;0,4195;0,426;0,426;3901444;192;1710894;0,4385
05/10/2023;0,445;0,45;0,437;0,45;0,45;2393751;133;1060897;0,4432
04/10/2023;0,475;0,475;0,4425;0,4425;0,4425;5119519;206;2323080;0,4538
03/10/2023;0,50;0,50;0,466;0,4705;0,4705;3426818;177;1630103;0,4757
02/10/2023;0,4945;0,528;0,479;0,486;0,486;5203300;243;2563490;0,4927
29/09/2023;0,46;0,4975;0,455;0,4855;0,4855;8491058;406;4057824;0,4779
28/09/2023;0,491;0,492;0,453;0,453;0,453;3856777;205;1777336;0,4608
27/09/2023;0,4845;0,4915;0,471;0,471;0,471;2461405;143;1175951;0,4778
26/09/2023;0,49;0,49;0,456;0,4715;0,4715;4343169;216;2030051;0,4674
25/09/2023;0,51;0,51;0,47;0,4725;0,4725;4619400;189;2221800;0,4810
22/09/2023;0,511;0,52;0,4905;0,501;0,501;3274522;216;1635352;0,4994
21/09/2023;0,538;0,538;0,513;0,513;0,513;4973614;269;2590730;0,5209
20/09/2023;0,561;0,574;0,54;0,543;0,543;4020888;203;2247819;0,5590
19/09/2023;0,535;0,561;0,525;0,561;0,561;3648583;187;1981997;0,5432
18/09/2023;0,56;0,571;0,528;0,535;0,535;7129489;330;3890017;0,5456
15/09/2023;0,525;0,552;0,525;0,537;0,537;3363378;166;1814595;0,5395
14/09/2023;0,53;0,548;0,52;0,53;0,53;5801913;305;3071416;0,5294
13/09/2023;0,556;0,568;0,533;0,549;0,549;3913384;166;2155097;0,5507
12/09/2023;0,575;0,588;0,552;0,556;0,556;2658793;183;1501134;0,5646
11/09/2023;0,582;0,595;0,564;0,575;0,575;1451159;133;845276;0,5825
08/09/2023;0,604;0,613;0,582;0,582;0,582;3500844;203;2082758;0,5949
07/09/2023;0,62;0,621;0,602;0,603;0,603;3359773;158;2046966;0,6093
06/09/2023;0,678;0,678;0,622;0,622;0,622;2011365;134;1268534;0,6307
05/09/2023;0,65;0,655;0,635;0,638;0,638;2146231;115;1378800;0,6424
04/09/2023;0,65;0,65;0,61;0,649;0,649;4874653;207;3061807;0,6281
01/09/2023;0,65;0,66;0,63;0,643;0,643;3039057;165;1957978;0,6443
