"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010536048
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,00;0,00;0,00;0,00;5,00;0;0;0;0,0000
03/11/2023;0,00;0,00;0,00;0,00;5,00;0;0;0;0,0000
02/11/2023;0,00;0,00;0,00;0,00;5,00;0;0;0;0,0000
01/11/2023;0,00;0,00;0,00;0,00;5,00;0;0;0;0,0000
31/10/2023;0,00;0,00;0,00;0,00;5,00;0;0;0;0,0000
30/10/2023;0,00;0,00;0,00;0,00;5,00;0;0;0;0,0000
27/10/2023;0,00;0,00;0,00;0,00;5,00;0;0;0;0,0000
26/10/2023;0,00;0,00;0,00;0,00;5,00;0;0;0;0,0000
25/10/2023;0,00;0,00;0,00;0,00;5,00;0;0;0;0,0000
24/10/2023;5,00;5,00;5,00;5,00;5,00;2200;1;11000;5,0000
23/10/2023;5,05;5,05;5,05;5,05;5,05;3000;2;15150;5,0500
20/10/2023;4,60;4,72;4,60;4,72;4,72;9699;3;44855;4,6247
19/10/2023;5,20;5,20;5,20;5,20;5,20;1000;2;5200;5,2000
18/10/2023;5,75;5,75;5,70;5,70;5,70;23459;11;133956;5,7102
17/10/2023;0,00;0,00;0,00;0,00;5,75;0;0;0;0,0000
16/10/2023;0,00;0,00;0,00;0,00;5,75;0;0;0;0,0000
13/10/2023;5,75;5,75;5,75;5,75;5,75;1;1;6;5,7500
12/10/2023;0,00;0,00;0,00;0,00;5,00;0;0;0;0,0000
11/10/2023;4,98;5,00;4,98;5,00;5,00;6000;5;29927;4,9878
10/10/2023;0,00;0,00;0,00;0,00;5,65;0;0;0;0,0000
09/10/2023;0,00;0,00;0,00;0,00;5,65;0;0;0;0,0000
06/10/2023;5,00;5,65;4,72;5,65;5,65;2510;3;12417;4,9468
05/10/2023;4,62;5,10;4,62;5,10;5,10;2091;2;9708;4,6430
04/10/2023;5,45;5,45;4,64;5,10;5,10;5767;12;30081;5,2161
03/10/2023;0,00;0,00;0,00;0,00;5,65;0;0;0;0,0000
02/10/2023;0,00;0,00;0,00;0,00;5,65;0;0;0;0,0000
29/09/2023;0,00;0,00;0,00;0,00;5,65;0;0;0;0,0000
28/09/2023;0,00;0,00;0,00;0,00;5,65;0;0;0;0,0000
