"Historical Data"
"From 2021-11-08 to 2023-11-07"
SE0017486103
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;12,50;13,00;12,00;12,80;12,80;1928;9;24001;12,4488
03/11/2023;12,50;13,40;12,50;13,35;13,35;303;9;3932;12,9774
02/11/2023;13,30;13,40;13,25;13,40;13,40;665;7;8844;13,2994
01/11/2023;12,45;13,30;12,40;13,30;13,30;372;9;4641;12,4747
31/10/2023;0,00;0,00;0,00;0,00;12,50;0;0;0;0,0000
30/10/2023;12,50;12,50;12,50;12,50;12,50;79;3;988;12,5000
27/10/2023;12,50;12,50;12,50;12,50;12,50;165;2;2063;12,5000
26/10/2023;12,50;12,50;12,50;12,50;12,50;2000;3;25000;12,5000
25/10/2023;12,50;12,95;12,50;12,50;12,50;828;4;10359;12,5103
24/10/2023;12,15;13,40;12,15;12,45;12,45;5509;10;72872;13,2278
23/10/2023;13,00;13,00;13,00;13,00;13,00;500;1;6500;13,0000
20/10/2023;13,40;13,40;12,10;12,95;12,95;12110;9;154999;12,7993
19/10/2023;12,80;13,10;11,85;13,10;13,10;17641;28;213807;12,1199
18/10/2023;12,15;13,30;12,15;12,90;12,90;5695;8;70197;12,3260
17/10/2023;12,25;13,00;12,25;13,00;13,00;760;3;9873;12,9901
16/10/2023;13,00;13,30;13,00;13,30;13,30;2376;4;31490;13,2533
13/10/2023;0,00;0,00;0,00;0,00;13,20;0;0;0;0,0000
12/10/2023;12,60;13,20;12,60;13,20;13,20;534;3;7001;13,1101
11/10/2023;12,60;12,60;12,60;12,60;12,60;42;1;529;12,6000
10/10/2023;13,10;13,30;12,60;12,95;12,95;10007;17;128411;12,8321
09/10/2023;15,00;15,00;12,30;13,50;13,50;929;6;12302;13,2418
06/10/2023;15,00;15,00;15,00;15,00;15,00;2030;4;30450;15,0000
05/10/2023;15,00;15,00;14,00;15,00;15,00;558;7;8353;14,9695
04/10/2023;14,40;15,00;14,40;14,95;14,95;588;5;8797;14,9609
03/10/2023;13,65;14,70;13,65;14,70;14,70;5042;4;74043;14,6852
02/10/2023;14,50;14,50;14,50;14,50;14,50;650;1;9425;14,5000
29/09/2023;13,95;14,50;13,95;14,15;14,15;3069;6;44124;14,3775
28/09/2023;15,00;15,00;13,00;13,95;13,95;8711;21;120798;13,8673
