"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010864036
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;3,05;3,05;2,99;3,03;3,03;92851;22;279755;3,0129
03/11/2023;3,10;3,10;3,05;3,05;3,05;54050;19;165063;3,0539
02/11/2023;3,08;3,11;3,00;3,04;3,04;110234;24;337478;3,0615
01/11/2023;3,10;3,10;3,06;3,08;3,08;68507;16;210984;3,0797
31/10/2023;3,11;3,15;3,10;3,10;3,10;75427;16;234996;3,1155
30/10/2023;3,12;3,25;3,10;3,10;3,10;102954;21;327340;3,1795
27/10/2023;3,18;3,23;3,02;3,13;3,13;57276;21;180802;3,1567
26/10/2023;3,22;3,25;3,04;3,17;3,17;97928;19;311848;3,1845
25/10/2023;3,25;3,25;3,20;3,20;3,20;58800;10;189016;3,2146
24/10/2023;3,18;3,19;3,17;3,19;3,19;63000;15;200344;3,1801
23/10/2023;3,24;3,24;3,00;3,18;3,18;121227;34;372559;3,0732
20/10/2023;3,10;3,25;3,00;3,25;3,25;76111;27;235000;3,0876
19/10/2023;3,16;3,16;3,09;3,11;3,11;186359;32;579677;3,1105
18/10/2023;3,30;3,30;3,18;3,18;3,18;41774;31;134252;3,2138
17/10/2023;3,24;3,28;3,10;3,28;3,28;123073;39;396022;3,2178
16/10/2023;3,12;3,32;3,03;3,28;3,28;379479;27;1157556;3,0504
13/10/2023;3,16;3,20;3,15;3,15;3,15;288947;14;910867;3,1524
12/10/2023;3,22;3,24;3,14;3,18;3,18;35867;20;114663;3,1969
11/10/2023;3,24;3,26;3,21;3,24;3,24;39650;31;128207;3,2335
10/10/2023;3,31;3,32;3,17;3,18;3,18;484925;40;1561454;3,2200
09/10/2023;3,26;3,32;3,26;3,30;3,30;56038;18;184867;3,2990
06/10/2023;3,35;3,35;3,34;3,34;3,34;22931;9;76712;3,3453
05/10/2023;3,35;3,35;3,29;3,35;3,35;105071;20;347596;3,3082
04/10/2023;3,31;3,33;3,19;3,33;3,33;146351;39;476305;3,2545
03/10/2023;3,32;3,32;3,30;3,30;3,30;57873;19;191209;3,3039
02/10/2023;3,30;3,30;3,30;3,30;3,30;22964;8;75781;3,3000
29/09/2023;3,35;3,35;3,30;3,31;3,31;81500;24;270814;3,3229
28/09/2023;3,20;3,30;3,17;3,30;3,30;175440;40;566247;3,2276
27/09/2023;3,12;3,20;3,05;3,20;3,20;102598;40;323091;3,1491
26/09/2023;3,14;3,25;3,14;3,20;3,20;39400;15;126138;3,2015
25/09/2023;3,28;3,28;3,24;3,24;3,24;20375;11;66300;3,2540
22/09/2023;3,20;3,30;3,13;3,30;3,30;35953;20;116862;3,2504
21/09/2023;3,24;3,30;3,19;3,30;3,30;30997;22;101652;3,2794
20/09/2023;3,14;3,35;3,09;3,35;3,35;76775;31;244320;3,1823
19/09/2023;3,42;3,42;3,19;3,21;3,21;91207;35;294671;3,2308
18/09/2023;3,30;3,36;3,17;3,36;3,36;78718;45;254549;3,2337
15/09/2023;3,16;3,40;3,00;3,30;3,30;351108;41;1138065;3,2414
14/09/2023;3,26;3,26;3,16;3,16;3,16;951;5;3038;3,1947
13/09/2023;3,26;3,26;3,12;3,20;3,20;16247;10;52492;3,2309
12/09/2023;3,05;3,19;3,05;3,15;3,15;20176;10;62182;3,0820
11/09/2023;3,20;3,28;3,20;3,24;3,24;15624;7;50693;3,2446
08/09/2023;3,30;3,40;3,30;3,30;3,30;21017;12;70882;3,3726
07/09/2023;3,38;3,38;3,31;3,32;3,32;35232;9;117044;3,3221
06/09/2023;3,44;3,44;3,38;3,44;3,44;30300;8;104097;3,4355
05/09/2023;3,40;3,40;3,20;3,40;3,40;20093;15;66956;3,3323
04/09/2023;3,32;3,45;3,32;3,45;3,45;15647;7;53359;3,4102
01/09/2023;3,38;3,45;3,34;3,45;3,45;106973;20;367378;3,4343
31/08/2023;3,38;3,40;3,32;3,37;3,37;55434;25;187067;3,3746
30/08/2023;3,30;3,35;3,29;3,35;3,35;9400;4;31090;3,3074
29/08/2023;3,21;3,38;3,21;3,28;3,28;43761;16;142785;3,2628
28/08/2023;3,30;3,30;3,24;3,24;3,24;10424;5;33787;3,2412
25/08/2023;3,44;3,44;3,30;3,30;3,30;269949;20;917468;3,3987
24/08/2023;3,10;3,33;3,08;3,33;3,33;81348;21;260433;3,2015
23/08/2023;3,22;3,22;3,14;3,16;3,16;27147;8;86798;3,1973
22/08/2023;3,29;3,29;3,18;3,22;3,22;17339;9;55473;3,1993
21/08/2023;3,35;3,35;3,19;3,29;3,29;83981;24;277928;3,3094
18/08/2023;3,30;3,39;3,19;3,35;3,35;86447;12;285653;3,3044
17/08/2023;3,43;3,43;3,17;3,28;3,28;92537;15;302241;3,2662
16/08/2023;3,32;3,32;3,26;3,31;3,31;48640;12;160932;3,3086
15/08/2023;3,36;3,40;3,36;3,40;3,40;59860;9;203025;3,3917
14/08/2023;3,45;3,45;3,36;3,38;3,38;750083;13;2340679;3,1206
11/08/2023;3,40;3,40;3,40;3,40;3,40;15918;7;54121;3,4000
10/08/2023;3,40;3,40;3,40;3,40;3,40;16150;8;54910;3,4000
09/08/2023;3,50;3,50;3,39;3,45;3,45;31733;17;108116;3,4070
08/08/2023;3,45;3,45;3,40;3,43;3,43;626592;10;2160726;3,4484
07/08/2023;3,50;3,50;3,40;3,43;3,43;15013;13;52049;3,4670
04/08/2023;3,48;3,50;3,48;3,50;3,50;85527;41;298758;3,4931
03/08/2023;3,49;3,49;3,39;3,46;3,46;62541;23;215192;3,4408
02/08/2023;3,40;3,51;3,37;3,37;3,37;346641;116;1196917;3,4529
01/08/2023;3,36;3,40;3,20;3,40;3,40;105868;40;349525;3,3015
31/07/2023;3,49;3,49;3,36;3,45;3,45;54063;22;186434;3,4485
28/07/2023;3,36;3,49;3,32;3,48;3,48;84899;36;290372;3,4202
27/07/2023;3,36;3,46;3,35;3,37;3,37;25780;16;87016;3,3753
26/07/2023;3,49;3,49;3,41;3,46;3,46;9279;13;32001;3,4487
25/07/2023;3,45;3,49;3,30;3,45;3,45;46631;28;159244;3,4150
24/07/2023;3,44;3,47;3,32;3,45;3,45;7433;13;25446;3,4234
21/07/2023;3,48;3,49;3,46;3,47;3,47;28468;24;99029;3,4786
20/07/2023;3,47;3,48;3,40;3,46;3,46;68432;24;236486;3,4558
19/07/2023;3,38;3,47;3,22;3,47;3,47;58610;30;193563;3,3026
18/07/2023;3,40;3,40;3,32;3,36;3,36;12621;12;42506;3,3679
17/07/2023;3,50;3,50;3,33;3,39;3,39;59845;19;201186;3,3618
14/07/2023;3,33;3,44;3,32;3,43;3,43;25634;13;85909;3,3514
13/07/2023;3,35;3,43;3,30;3,43;3,43;401141;15;1336834;3,3326
12/07/2023;3,50;3,50;3,30;3,30;3,30;160800;22;556849;3,4630
11/07/2023;3,49;3,50;3,35;3,50;3,50;45017;18;157161;3,4912
10/07/2023;3,49;3,50;3,36;3,45;3,45;80314;23;280052;3,4870
07/07/2023;3,48;3,50;3,47;3,50;3,50;107468;32;374837;3,4879
06/07/2023;3,44;3,49;3,44;3,45;3,45;121084;40;419044;3,4608
05/07/2023;3,55;3,59;3,21;3,31;3,31;156986;38;549827;3,5024
04/07/2023;3,39;3,54;3,38;3,52;3,52;207832;62;718843;3,4588
03/07/2023;3,02;3,47;3,02;3,39;3,39;271042;43;893303;3,2958
30/06/2023;3,01;3,25;3,01;3,13;3,13;4378829;18;13145343;3,0020
29/06/2023;3,00;3,01;3,00;3,01;3,01;52642;17;157986;3,0011
28/06/2023;2,91;3,00;2,81;3,00;3,00;104111;36;305274;2,9322
27/06/2023;2,95;3,00;2,89;3,00;3,00;43750;15;128968;2,9478
26/06/2023;3,01;3,01;2,88;3,00;3,00;103214;31;306310;2,9677
23/06/2023;3,04;3,04;2,88;3,01;3,01;75960;28;227831;2,9994
22/06/2023;2,81;2,99;2,78;2,94;2,94;86606;35;250509;2,8925
21/06/2023;2,97;3,04;2,85;2,85;2,85;39062;17;115466;2,9560
20/06/2023;3,05;3,05;2,95;2,97;2,97;38330;23;115710;3,0188
19/06/2023;2,98;2,98;2,91;2,96;2,96;84310;22;248048;2,9421
16/06/2023;3,05;3,05;2,96;2,99;2,99;35413;21;107139;3,0254
15/06/2023;2,98;3,09;2,98;3,09;3,09;28983;19;88358;3,0486
14/06/2023;3,00;3,10;2,99;3,02;3,02;30548;21;92462;3,0268
13/06/2023;3,08;3,25;3,00;3,00;3,00;59620;38;184929;3,1018
12/06/2023;3,04;3,10;2,96;2,96;2,96;63184;26;191304;3,0277
09/06/2023;2,92;3,07;2,92;3,06;3,06;86051;21;256178;2,9770
08/06/2023;3,05;3,05;2,94;3,03;3,03;23227;6;68629;2,9547
07/06/2023;3,08;3,20;2,91;3,15;3,15;23529;16;71777;3,0506
06/06/2023;3,04;3,09;3,02;3,09;3,09;84437;25;258547;3,0620
05/06/2023;3,16;3,20;2,92;3,04;3,04;151138;42;453909;3,0033
02/06/2023;3,20;3,25;3,15;3,16;3,16;80518;24;256623;3,1871
01/06/2023;3,39;3,39;3,16;3,24;3,24;39208;16;125399;3,1983
31/05/2023;3,21;3,28;3,11;3,25;3,25;63258;19;202411;3,1998
30/05/2023;3,35;3,35;3,24;3,24;3,24;40419;22;133122;3,2936
29/05/2023;0,00;0,00;0,00;0,00;3,39;0;0;0;0,0000
26/05/2023;3,34;3,45;3,34;3,39;3,39;6536;8;22382;3,4245
25/05/2023;3,35;3,45;3,21;3,45;3,45;170506;25;571618;3,3525
24/05/2023;3,40;3,43;3,40;3,40;3,40;435955;24;1482265;3,4000
23/05/2023;3,45;3,45;3,40;3,41;3,41;31208;17;106155;3,4015
22/05/2023;3,41;3,49;3,20;3,44;3,44;382508;41;1296395;3,3892
19/05/2023;3,22;3,48;3,22;3,45;3,45;48862;15;160369;3,2821
18/05/2023;0,00;0,00;0,00;0,00;3,20;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;3,20;0;0;0;0,0000
16/05/2023;3,52;3,52;3,20;3,20;3,20;32506;10;104823;3,2247
15/05/2023;3,21;3,39;3,21;3,39;3,39;24208;13;81518;3,3674
12/05/2023;3,50;3,50;3,11;3,40;3,40;23966;8;77497;3,2336
