"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010762792
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,66;1,705;1,615;1,705;1,705;1179795;12;2013835;1,7069
03/11/2023;1,68;1,70;1,60;1,615;1,615;244016;12;410957;1,6841
02/11/2023;1,605;1,70;1,605;1,68;1,68;1771493;43;2992751;1,6894
01/11/2023;1,555;1,565;1,555;1,565;1,565;1240;3;1939;1,5640
31/10/2023;1,54;1,575;1,525;1,555;1,555;317632;17;491099;1,5461
30/10/2023;1,53;1,53;1,53;1,53;1,53;14223;2;21761;1,5300
27/10/2023;1,455;1,52;1,455;1,49;1,49;70156;10;105014;1,4969
26/10/2023;1,53;1,53;1,53;1,53;1,53;15000;1;22950;1,5300
25/10/2023;1,50;1,52;1,50;1,52;1,52;133000;5;201500;1,5150
24/10/2023;1,50;1,53;1,50;1,51;1,51;31243;5;47179;1,5101
23/10/2023;1,50;1,52;1,50;1,50;1,50;102560;6;154090;1,5024
20/10/2023;1,50;1,50;1,50;1,50;1,50;79104;7;118656;1,5000
19/10/2023;1,50;1,52;1,48;1,50;1,50;78564;8;117539;1,4961
18/10/2023;1,50;1,51;1,50;1,51;1,51;90279;14;135622;1,5023
17/10/2023;1,52;1,52;1,52;1,52;1,52;7500;2;11400;1,5200
16/10/2023;1,51;1,52;1,51;1,52;1,52;12834;6;19488;1,5184
13/10/2023;1,50;1,52;1,50;1,51;1,51;96389;13;144861;1,5029
12/10/2023;1,50;1,52;1,50;1,505;1,505;85292;16;128304;1,5043
11/10/2023;1,52;1,52;1,50;1,50;1,50;11246;3;16969;1,5089
10/10/2023;0,00;0,00;0,00;0,00;1,50;0;0;0;0,0000
09/10/2023;1,47;1,53;1,47;1,50;1,50;586106;16;879099;1,4999
06/10/2023;1,525;1,525;1,47;1,50;1,50;34481;9;51568;1,4956
05/10/2023;1,53;1,53;1,48;1,48;1,48;33350;8;49946;1,4976
04/10/2023;1,50;1,51;1,50;1,50;1,50;10860;4;16320;1,5028
03/10/2023;1,585;1,585;1,51;1,51;1,51;81323;14;123607;1,5200
02/10/2023;0,00;0,00;0,00;0,00;1,565;0;0;0;0,0000
29/09/2023;1,515;1,565;1,515;1,565;1,565;1211;2;1890;1,5609
28/09/2023;1,57;1,57;1,53;1,57;1,57;1504;3;2361;1,5699
27/09/2023;0,00;0,00;0,00;0,00;1,515;0;0;0;0,0000
26/09/2023;1,54;1,575;1,50;1,515;1,515;126078;14;192676;1,5282
25/09/2023;1,53;1,55;1,53;1,54;1,54;4779;5;7341;1,5360
22/09/2023;1,575;1,575;1,52;1,54;1,54;106488;17;163012;1,5308
21/09/2023;1,585;1,585;1,53;1,53;1,53;68465;12;106387;1,5539
20/09/2023;1,55;1,565;1,54;1,565;1,565;102514;9;158876;1,5498
19/09/2023;1,52;1,585;1,52;1,585;1,585;41728;6;65010;1,5579
18/09/2023;1,575;1,595;1,51;1,52;1,52;177208;23;271724;1,5334
15/09/2023;1,635;1,635;1,57;1,57;1,57;49450;11;77974;1,5768
14/09/2023;1,60;1,60;1,57;1,60;1,60;127548;17;203803;1,5979
13/09/2023;1,685;1,685;1,57;1,60;1,60;33524;9;53588;1,5985
12/09/2023;1,635;1,635;1,57;1,57;1,57;2038;3;3201;1,5707
11/09/2023;1,70;1,70;1,55;1,56;1,56;138874;26;217581;1,5668
08/09/2023;1,64;1,64;1,56;1,62;1,62;15043;8;24077;1,6006
07/09/2023;1,64;1,64;1,62;1,63;1,63;30110;3;48780;1,6201
06/09/2023;1,60;1,665;1,585;1,585;1,585;58892;12;95691;1,6249
05/09/2023;1,62;1,62;1,62;1,62;1,62;3105;1;5030;1,6200
04/09/2023;1,64;1,64;1,64;1,64;1,64;12000;2;19680;1,6400
01/09/2023;1,665;1,67;1,58;1,58;1,58;21509;7;35377;1,6447
31/08/2023;1,65;1,68;1,63;1,63;1,63;36618;11;60332;1,6476
30/08/2023;1,695;1,695;1,565;1,62;1,62;19678;11;32833;1,6685
29/08/2023;1,565;1,565;1,565;1,565;1,565;4000;1;6260;1,5650
28/08/2023;0,00;0,00;0,00;0,00;1,69;0;0;0;0,0000
25/08/2023;1,70;1,70;1,69;1,69;1,69;1145;2;1941;1,6952
24/08/2023;0,00;0,00;0,00;0,00;1,70;0;0;0;0,0000
23/08/2023;0,00;0,00;0,00;0,00;1,70;0;0;0;0,0000
22/08/2023;1,70;1,70;1,68;1,70;1,70;204000;6;346400;1,6980
21/08/2023;1,685;1,685;1,685;1,685;1,685;20000;2;33700;1,6850
18/08/2023;1,67;1,69;1,65;1,69;1,69;37302;10;61672;1,6533
17/08/2023;1,60;1,685;1,60;1,685;1,685;7;2;12;1,6614
16/08/2023;1,695;1,695;1,62;1,62;1,62;2002;2;3243;1,6201
15/08/2023;1,655;1,69;1,62;1,62;1,62;69426;9;115678;1,6662
14/08/2023;1,63;1,70;1,605;1,655;1,655;21800;8;35827;1,6434
11/08/2023;1,68;1,68;1,58;1,58;1,58;166861;14;273352;1,6382
10/08/2023;1,70;1,70;1,635;1,66;1,66;145988;13;242674;1,6623
09/08/2023;1,67;1,72;1,67;1,70;1,70;71624;9;121396;1,6949
08/08/2023;1,69;1,70;1,67;1,67;1,67;14013;3;23571;1,6821
07/08/2023;1,645;1,70;1,645;1,695;1,695;33971;7;57418;1,6902
04/08/2023;1,70;1,70;1,64;1,64;1,64;55538;12;93593;1,6852
03/08/2023;1,72;1,72;1,70;1,70;1,70;6500;3;11070;1,7031
02/08/2023;1,70;1,70;1,64;1,64;1,64;108406;12;181312;1,6725
01/08/2023;1,70;1,70;1,68;1,685;1,685;181811;15;308640;1,6976
31/07/2023;1,73;1,73;1,685;1,70;1,70;99153;12;168889;1,7033
28/07/2023;1,66;1,70;1,66;1,70;1,70;7635;4;12680;1,6607
27/07/2023;1,59;1,695;1,59;1,65;1,65;33827;15;56881;1,6815
26/07/2023;1,60;1,705;1,60;1,67;1,67;101753;12;169910;1,6698
25/07/2023;1,69;1,70;1,63;1,63;1,63;9952;7;16443;1,6522
24/07/2023;1,62;1,695;1,62;1,635;1,635;20340;8;33555;1,6497
21/07/2023;1,61;1,64;1,61;1,64;1,64;13245;6;21568;1,6284
20/07/2023;1,595;1,645;1,595;1,645;1,645;2100;2;3450;1,6426
19/07/2023;1,61;1,64;1,61;1,64;1,64;3158;3;5179;1,6400
18/07/2023;1,655;1,655;1,65;1,65;1,65;5016;2;8291;1,6530
17/07/2023;1,65;1,66;1,62;1,66;1,66;127701;6;207286;1,6232
14/07/2023;1,615;1,655;1,615;1,635;1,635;27264;5;44350;1,6267
13/07/2023;1,63;1,63;1,615;1,615;1,615;114185;6;185581;1,6253
12/07/2023;1,63;1,63;1,615;1,615;1,615;69786;7;113491;1,6263
11/07/2023;1,615;1,615;1,615;1,615;1,615;12539;3;20250;1,6150
10/07/2023;1,57;1,59;1,57;1,59;1,59;97785;7;153875;1,5736
07/07/2023;0,00;0,00;0,00;0,00;1,58;0;0;0;0,0000
06/07/2023;1,62;1,63;1,58;1,58;1,58;116863;6;187842;1,6074
05/07/2023;1,60;1,60;1,58;1,58;1,58;82000;4;130880;1,5961
04/07/2023;1,60;1,60;1,60;1,60;1,60;65000;2;104000;1,6000
03/07/2023;1,68;1,68;1,58;1,59;1,59;492210;11;778584;1,5818
30/06/2023;1,56;1,56;1,56;1,56;1,56;2203;2;3437;1,5600
29/06/2023;1,555;1,555;1,55;1,55;1,55;1117220;4;1732016;1,5503
28/06/2023;1,54;1,575;1,54;1,575;1,575;81;2;128;1,5746
27/06/2023;1,54;1,565;1,54;1,555;1,555;138792;8;214512;1,5456
26/06/2023;1,52;1,58;1,52;1,58;1,58;20108;3;30571;1,5203
23/06/2023;1,58;1,58;1,54;1,58;1,58;147573;12;229671;1,5563
22/06/2023;1,585;1,585;1,56;1,56;1,56;27283;9;42622;1,5622
21/06/2023;1,515;1,60;1,515;1,58;1,58;19428;8;30696;1,5800
20/06/2023;1,565;1,575;1,565;1,575;1,575;14758;4;23144;1,5682
19/06/2023;1,56;1,56;1,56;1,56;1,56;42113;2;65696;1,5600
16/06/2023;1,565;1,565;1,50;1,56;1,56;169045;14;257669;1,5243
15/06/2023;1,58;1,58;1,565;1,57;1,57;96992;12;152395;1,5712
14/06/2023;0,00;0,00;0,00;0,00;1,565;0;0;0;0,0000
