"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010955883
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,00;0,00;0,00;0,00;40,60;0;0;0;0,0000
03/11/2023;40,60;40,60;40,00;40,60;40,60;129031;9;5212239;40,3952
02/11/2023;40,00;40,00;40,00;40,00;40,00;1600;2;64000;40,0000
01/11/2023;40,00;40,00;40,00;40,00;40,00;3637;1;145480;40,0000
31/10/2023;40,00;40,20;40,00;40,00;40,00;13650;3;546436;40,0319
30/10/2023;38,20;41,00;38,20;40,00;40,00;1185479;14;49770414;41,9834
27/10/2023;39,00;39,00;39,00;39,00;39,00;1;1;39;39,0000
26/10/2023;38,00;38,60;37,80;38,60;38,60;14321;7;547853;38,2552
25/10/2023;37,40;37,80;37,20;37,80;37,80;5194;4;193606;37,2750
24/10/2023;37,00;37,20;37,00;37,20;37,20;265;2;9824;37,0702
23/10/2023;33,20;37,00;33,00;37,00;37,00;21457;15;744276;34,6868
20/10/2023;0,00;0,00;0,00;0,00;33,20;0;0;0;0,0000
19/10/2023;33,20;33,20;33,20;33,20;33,20;1;1;33;33,2000
18/10/2023;37,80;38,60;35,80;38,60;38,60;26682;15;1007055;37,7429
17/10/2023;35,80;38,00;35,80;38,00;38,00;29250;16;1096703;37,4941
16/10/2023;0,00;0,00;0,00;0,00;38,60;1450000;1;58000000;40,0000
13/10/2023;0,00;0,00;0,00;0,00;38,60;0;0;0;0,0000
12/10/2023;0,00;0,00;0,00;0,00;38,60;853381;2;31575097;37,0000
11/10/2023;0,00;0,00;0,00;0,00;38,60;493205;1;18248585;37,0000
10/10/2023;0,00;0,00;0,00;0,00;38,60;0;0;0;0,0000
09/10/2023;0,00;0,00;0,00;0,00;38,60;0;0;0;0,0000
06/10/2023;0,00;0,00;0,00;0,00;38,60;0;0;0;0,0000
05/10/2023;38,60;38,60;38,60;38,60;38,60;258;1;9959;38,6000
04/10/2023;39,00;39,00;39,00;39,00;39,00;38;2;1482;39,0000
03/10/2023;39,00;39,00;39,00;39,00;39,00;100;2;3900;39,0000
02/10/2023;38,60;38,60;38,60;38,60;38,60;1;1;39;38,6000
29/09/2023;36,20;36,40;36,20;36,40;36,40;650;3;23532;36,2025
28/09/2023;34,00;34,00;34,00;34,00;34,00;288068;6;9794312;34,0000
27/09/2023;0,00;0,00;0,00;0,00;33,20;75000;3;2550000;34,0000
