"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010001118
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;11,50;11,50;11,00;11,45;11,45;6635;9;75796;11,4236
03/11/2023;11,55;11,75;11,00;11,50;11,50;10493;16;118964;11,3374
02/11/2023;11,35;11,50;11,15;11,45;11,45;39996;25;454154;11,3550
01/11/2023;11,50;11,95;11,15;11,40;11,40;6510;8;72935;11,2035
31/10/2023;12,00;12,35;11,00;11,20;11,20;14624;21;164740;11,2650
30/10/2023;12,40;12,40;11,10;11,50;11,50;32303;19;369435;11,4365
27/10/2023;12,00;12,00;10,80;11,65;11,65;184054;124;2062151;11,2041
26/10/2023;12,90;12,90;11,40;11,80;11,80;47394;43;556331;11,7384
25/10/2023;11,95;12,50;11,90;12,50;12,50;13173;7;157731;11,9738
24/10/2023;11,70;12,60;11,65;11,90;11,90;21274;19;252328;11,8609
23/10/2023;11,70;11,70;11,45;11,70;11,70;1700;5;19531;11,4891
20/10/2023;11,55;11,75;11,55;11,75;11,75;1585;5;18390;11,6026
19/10/2023;11,75;11,75;11,40;11,55;11,55;5626;7;65178;11,5852
18/10/2023;12,00;12,00;11,85;11,90;11,90;9880;14;118228;11,9664
17/10/2023;12,00;12,05;12,00;12,00;12,00;4753;9;57202;12,0349
16/10/2023;12,05;12,10;12,05;12,05;12,05;510;5;6148;12,0554
13/10/2023;12,00;12,55;12,00;12,20;12,20;5282;7;63443;12,0111
12/10/2023;12,25;12,25;12,00;12,20;12,20;19232;6;234285;12,1820
11/10/2023;12,50;12,50;12,00;12,25;12,25;5447;8;66367;12,1842
10/10/2023;12,60;12,60;11,75;11,90;11,90;3898;9;46532;11,9374
09/10/2023;12,50;12,50;11,85;12,15;12,15;16701;15;200855;12,0265
06/10/2023;12,45;12,45;12,05;12,25;12,25;2153;7;26299;12,2148
05/10/2023;12,40;12,60;12,40;12,50;12,50;286;8;3568;12,4762
04/10/2023;12,15;12,30;12,05;12,30;12,30;4534;5;54736;12,0723
03/10/2023;12,00;12,40;12,00;12,35;12,35;9159;10;111669;12,1922
02/10/2023;12,10;13,00;11,95;12,20;12,20;56923;44;703851;12,3650
29/09/2023;12,15;12,15;11,80;12,05;12,05;2449;9;29385;11,9989
28/09/2023;12,35;12,35;11,80;12,20;12,20;7596;10;92930;12,2341
27/09/2023;12,10;12,30;12,10;12,30;12,30;1224;5;14812;12,1013
26/09/2023;11,90;12,30;11,70;12,15;12,15;79064;25;953821;12,0639
25/09/2023;12,00;12,15;11,50;11,70;11,70;37189;29;442107;11,8881
22/09/2023;12,00;12,55;12,00;12,20;12,20;13507;31;164332;12,1664
21/09/2023;12,60;12,60;12,30;12,30;12,30;17349;13;217602;12,5426
20/09/2023;12,45;12,45;12,30;12,30;12,30;964;7;11912;12,3571
19/09/2023;12,15;12,50;12,05;12,15;12,15;28996;21;352751;12,1655
18/09/2023;12,05;12,65;11,95;12,20;12,20;22287;27;272319;12,2187
15/09/2023;12,80;12,85;11,95;12,65;12,65;180819;92;2229819;12,3318
14/09/2023;13,20;13,30;12,75;13,00;13,00;17106;21;223206;13,0484
13/09/2023;13,00;13,45;13,00;13,10;13,10;2713;7;35960;13,2548
12/09/2023;13,10;13,10;13,00;13,00;13,00;8713;8;113704;13,0499
11/09/2023;13,10;13,35;13,00;13,05;13,05;10325;14;134886;13,0640
08/09/2023;13,45;13,45;13,00;13,00;13,00;13789;16;182049;13,2025
07/09/2023;13,40;13,50;13,05;13,50;13,50;1575;9;21095;13,3937
06/09/2023;13,30;13,40;13,30;13,40;13,40;11192;8;149522;13,3597
05/09/2023;13,85;14,00;13,15;13,55;13,55;5606;15;75454;13,4596
04/09/2023;13,20;13,65;13,20;13,60;13,60;5519;21;74177;13,4402
01/09/2023;13,45;13,55;13,00;13,35;13,35;49319;25;650334;13,1863
31/08/2023;13,00;13,65;13,00;13,15;13,15;16943;18;226150;13,3477
