"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010359433
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;244,00;248,00;244,00;248,00;248,00;580;5;142584;245,8345
03/11/2023;242,00;242,00;242,00;242,00;242,00;30;1;7260;242,0000
02/11/2023;242,00;242,00;242,00;242,00;242,00;572;3;138424;242,0000
01/11/2023;240,00;240,00;240,00;240,00;240,00;14;1;3360;240,0000
31/10/2023;246,00;248,00;246,00;248,00;248,00;450;3;111100;246,8889
30/10/2023;0,00;0,00;0,00;0,00;244,00;0;0;0;0,0000
27/10/2023;240,00;244,00;240,00;244,00;244,00;304;2;74056;243,6053
26/10/2023;234,00;240,00;234,00;240,00;240,00;353;6;83620;236,8839
25/10/2023;0,00;0,00;0,00;0,00;240,00;0;0;0;0,0000
24/10/2023;234,00;240,00;234,00;240,00;240,00;580;3;135798;234,1345
23/10/2023;240,00;240,00;234,00;234,00;234,00;1095;4;256410;234,1644
20/10/2023;240,00;240,00;234,00;240,00;240,00;951;9;225974;237,6172
19/10/2023;238,00;244,00;238,00;244,00;244,00;332;4;80990;243,9458
18/10/2023;240,00;244,00;240,00;244,00;244,00;2252;4;548504;243,5631
17/10/2023;244,00;244,00;244,00;244,00;244,00;367;2;89548;244,0000
16/10/2023;244,00;244,00;244,00;244,00;244,00;1;1;244;244,0000
13/10/2023;240,00;246,00;238,00;242,00;242,00;525;5;127198;242,2819
12/10/2023;0,00;0,00;0,00;0,00;248,00;0;0;0;0,0000
11/10/2023;0,00;0,00;0,00;0,00;248,00;0;0;0;0,0000
10/10/2023;248,00;248,00;248,00;248,00;248,00;176;2;43648;248,0000
09/10/2023;0,00;0,00;0,00;0,00;250,00;0;0;0;0,0000
06/10/2023;250,00;250,00;250,00;250,00;250,00;80;1;20000;250,0000
05/10/2023;0,00;0,00;0,00;0,00;242,00;0;0;0;0,0000
04/10/2023;242,00;242,00;242,00;242,00;242,00;44;2;10648;242,0000
03/10/2023;246,00;252,00;246,00;246,00;246,00;45;4;11094;246,5333
02/10/2023;250,00;252,00;250,00;252,00;252,00;50;3;12520;250,4000
29/09/2023;248,00;250,00;248,00;250,00;250,00;120;2;29950;249,5833
28/09/2023;0,00;0,00;0,00;0,00;246,00;0;0;0;0,0000
27/09/2023;246,00;246,00;246,00;246,00;246,00;20;1;4920;246,0000
26/09/2023;0,00;0,00;0,00;0,00;246,00;0;0;0;0,0000
25/09/2023;246,00;246,00;246,00;246,00;246,00;10;1;2460;246,0000
22/09/2023;248,00;248,00;248,00;248,00;248,00;22;1;5456;248,0000
21/09/2023;250,00;250,00;246,00;246,00;246,00;432;5;107484;248,8056
20/09/2023;0,00;0,00;0,00;0,00;250,00;0;0;0;0,0000
19/09/2023;246,00;250,00;242,00;250,00;250,00;426;3;105192;246,9296
18/09/2023;250,00;250,00;240,00;246,00;246,00;1257;11;306784;244,0605
15/09/2023;252,00;252,00;252,00;252,00;252,00;80;1;20160;252,0000
14/09/2023;252,00;256,00;244,00;250,00;250,00;538;6;134998;250,9257
13/09/2023;252,00;252,00;252,00;252,00;252,00;252;1;63504;252,0000
12/09/2023;252,00;258,00;250,00;258,00;258,00;208;4;53062;255,1058
11/09/2023;260,00;260,00;250,00;256,00;256,00;205;3;52320;255,2195
08/09/2023;256,00;260,00;254,00;254,00;254,00;486;4;123940;255,0206
07/09/2023;250,00;252,00;250,00;252,00;252,00;300;2;75120;250,4000
06/09/2023;250,00;250,00;250,00;250,00;250,00;252;1;63000;250,0000
05/09/2023;246,00;256,00;246,00;256,00;256,00;108;2;27568;255,2593
04/09/2023;254,00;254,00;254,00;254,00;254,00;6;2;1524;254,0000
01/09/2023;250,00;252,00;250,00;252,00;252,00;347;2;86950;250,5764
31/08/2023;250,00;254,00;250,00;254,00;254,00;200;2;50648;253,2400
30/08/2023;250,00;250,00;250,00;250,00;250,00;175;5;43750;250,0000
29/08/2023;240,00;250,00;240,00;250,00;250,00;123;2;30520;248,1301
28/08/2023;256,00;256,00;250,00;250,00;250,00;383;4;95900;250,3916
25/08/2023;256,00;256,00;256,00;256,00;256,00;2;1;512;256,0000
24/08/2023;254,00;254,00;254,00;254,00;254,00;79;2;20066;254,0000
23/08/2023;254,00;254,00;254,00;254,00;254,00;262;1;66548;254,0000
22/08/2023;254,00;254,00;254,00;254,00;254,00;139;1;35306;254,0000
21/08/2023;254,00;254,00;246,00;246,00;246,00;23;2;5818;252,9565
18/08/2023;254,00;254,00;254,00;254,00;254,00;100;1;25400;254,0000
17/08/2023;260,00;260,00;254,00;254,00;254,00;36;3;9276;257,6667
16/08/2023;254,00;254,00;252,00;254,00;254,00;273;6;69334;253,9707
15/08/2023;0,00;0,00;0,00;0,00;254,00;0;0;0;0,0000
14/08/2023;254,00;254,00;254,00;254,00;254,00;2;1;508;254,0000
11/08/2023;254,00;254,00;254,00;254,00;254,00;9;1;2286;254,0000
10/08/2023;0,00;0,00;0,00;0,00;252,00;10000;1;2500000;250,0000
09/08/2023;252,00;252,00;252,00;252,00;252,00;100;1;25200;252,0000
08/08/2023;0,00;0,00;0,00;0,00;248,00;0;0;0;0,0000
07/08/2023;0,00;0,00;0,00;0,00;248,00;0;0;0;0,0000
04/08/2023;248,00;248,00;246,00;248,00;248,00;338;4;83344;246,5799
03/08/2023;246,00;248,00;236,00;248,00;248,00;615;4;147070;239,1382
02/08/2023;258,00;262,00;252,00;252,00;252,00;1359;8;353348;260,0059
01/08/2023;248,00;250,00;248,00;250,00;250,00;353;2;87852;248,8725
31/07/2023;232,00;240,00;232,00;240,00;240,00;241;3;57832;239,9668
28/07/2023;0,00;0,00;0,00;0,00;240,00;0;0;0;0,0000
27/07/2023;0,00;0,00;0,00;0,00;240,00;0;0;0;0,0000
26/07/2023;240,00;240,00;240,00;240,00;240,00;14;2;3360;240,0000
25/07/2023;240,00;240,00;240,00;240,00;240,00;2;2;480;240,0000
24/07/2023;240,00;240,00;240,00;240,00;240,00;56;3;13440;240,0000
21/07/2023;236,00;236,00;236,00;236,00;236,00;100;1;23600;236,0000
20/07/2023;232,00;232,00;232,00;232,00;232,00;290;3;67280;232,0000
19/07/2023;236,00;236,00;236,00;236,00;236,00;100;1;23600;236,0000
18/07/2023;0,00;0,00;0,00;0,00;236,00;0;0;0;0,0000
17/07/2023;236,00;236,00;236,00;236,00;236,00;25;1;5900;236,0000
14/07/2023;234,00;234,00;230,00;230,00;230,00;331;4;76558;231,2931
13/07/2023;228,00;228,00;228,00;228,00;228,00;1;1;228;228,0000
12/07/2023;232,00;232,00;232,00;232,00;232,00;30;1;6960;232,0000
11/07/2023;230,00;236,00;230,00;236,00;236,00;562;3;129860;231,0676
10/07/2023;230,00;238,00;230,00;238,00;238,00;33;3;7750;234,8485
07/07/2023;238,00;238,00;234,00;238,00;238,00;678;5;160612;236,8909
06/07/2023;0,00;0,00;0,00;0,00;234,00;0;0;0;0,0000
05/07/2023;234,00;234,00;234,00;234,00;234,00;27;1;6318;234,0000
04/07/2023;238,00;238,00;238,00;238,00;238,00;28;1;6664;238,0000
03/07/2023;234,00;250,00;234,00;236,00;236,00;321;7;77930;242,7726
30/06/2023;236,00;240,00;236,00;240,00;240,00;300;2;71520;238,4000
29/06/2023;236,00;236,00;236,00;236,00;236,00;86;1;20296;236,0000
28/06/2023;232,00;232,00;232,00;232,00;232,00;265;1;61480;232,0000
27/06/2023;228,00;228,00;228,00;228,00;228,00;100;1;22800;228,0000
26/06/2023;0,00;0,00;0,00;0,00;238,00;0;0;0;0,0000
23/06/2023;236,00;238,00;232,00;238,00;238,00;885;8;206630;233,4802
22/06/2023;242,00;242,00;242,00;242,00;242,00;30;2;7260;242,0000
21/06/2023;242,00;242,00;242,00;242,00;242,00;25;1;6050;242,0000
20/06/2023;0,00;0,00;0,00;0,00;244,00;0;0;0;0,0000
19/06/2023;0,00;0,00;0,00;0,00;244,00;0;0;0;0,0000
16/06/2023;244,00;244,00;244,00;244,00;244,00;3;1;732;244,0000
15/06/2023;0,00;0,00;0,00;0,00;240,00;0;0;0;0,0000
14/06/2023;0,00;0,00;0,00;0,00;240,00;0;0;0;0,0000
13/06/2023;240,00;240,00;240,00;240,00;240,00;260;1;62400;240,0000
12/06/2023;248,00;248,00;240,00;246,00;246,00;320;4;78800;246,2500
09/06/2023;240,00;240,00;240,00;240,00;240,00;30;1;7200;240,0000
08/06/2023;0,00;0,00;0,00;0,00;240,00;0;0;0;0,0000
07/06/2023;240,00;240,00;240,00;240,00;240,00;20;1;4800;240,0000
06/06/2023;240,00;240,00;240,00;240,00;240,00;20;1;4800;240,0000
05/06/2023;242,00;242,00;236,00;236,00;236,00;600;6;141900;236,5000
02/06/2023;242,00;244,00;236,00;244,00;244,00;364;4;87908;241,5055
01/06/2023;248,00;248,00;248,00;248,00;248,00;100;3;24800;248,0000
31/05/2023;248,00;248,00;248,00;248,00;248,00;100;4;24800;248,0000
30/05/2023;248,00;248,00;242,00;248,00;248,00;382;4;94136;246,4293
29/05/2023;0,00;0,00;0,00;0,00;250,00;0;0;0;0,0000
26/05/2023;0,00;0,00;0,00;0,00;250,00;0;0;0;0,0000
25/05/2023;250,00;250,00;250,00;250,00;250,00;10;2;2500;250,0000
24/05/2023;248,00;248,00;242,00;248,00;248,00;287;5;70604;246,0070
23/05/2023;248,00;248,00;242,00;248,00;248,00;390;5;96240;246,7692
22/05/2023;240,00;248,00;240,00;248,00;248,00;179;3;44072;246,2123
19/05/2023;246,00;248,00;246,00;248,00;248,00;141;5;34886;247,4184
18/05/2023;0,00;0,00;0,00;0,00;246,00;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;246,00;0;0;0;0,0000
16/05/2023;248,00;248,00;246,00;246,00;246,00;56;2;13806;246,5357
15/05/2023;248,00;248,00;248,00;248,00;248,00;350;3;86800;248,0000
12/05/2023;248,00;248,00;248,00;248,00;248,00;6;1;1488;248,0000
11/05/2023;240,00;250,00;240,00;250,00;250,00;280;4;67780;242,0714
10/05/2023;242,00;242,00;242,00;242,00;242,00;11;2;2662;242,0000
09/05/2023;246,00;246,00;242,00;242,00;242,00;729;6;176594;242,2414
08/05/2023;0,00;0,00;0,00;0,00;250,00;0;0;0;0,0000
05/05/2023;250,00;250,00;250,00;250,00;250,00;21;2;5250;250,0000
04/05/2023;250,00;250,00;250,00;250,00;250,00;248;1;62000;250,0000
03/05/2023;254,00;254,00;254,00;254,00;254,00;20;1;5080;254,0000
02/05/2023;254,00;254,00;254,00;254,00;254,00;84;3;21336;254,0000
28/04/2023;250,00;252,00;250,00;252,00;252,00;440;3;110800;251,8182
27/04/2023;248,00;248,00;248,00;248,00;248,00;300;2;74400;248,0000
26/04/2023;248,00;248,00;242,00;246,00;246,00;310;3;76348;246,2839
