"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010743545
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;93,00;94,40;92,00;94,40;94,40;15397;135;1444187;93,7966
03/11/2023;90,70;94,10;90,50;93,30;93,30;30022;202;2794292;93,0748
02/11/2023;90,00;90,50;87,00;90,50;90,50;62130;381;5514747;88,7614
01/11/2023;86,90;90,00;86,90;88,10;88,10;20284;238;1779265;87,7177
31/10/2023;89,10;91,50;86,70;90,70;90,70;60912;343;5419232;88,9682
30/10/2023;91,80;92,60;88,80;89,10;89,10;30718;239;2784076;90,6334
27/10/2023;91,00;93,30;91,00;92,00;92,00;16920;141;1561738;92,3013
26/10/2023;90,50;93,30;90,50;90,90;90,90;24567;188;2258152;91,9181
25/10/2023;89,10;94,90;89,10;93,00;93,00;21476;198;1992423;92,7744
24/10/2023;88,70;90,60;88,70;90,60;90,60;255093;178;22968116;90,0382
23/10/2023;95,00;95,00;89,80;90,60;90,60;11149;121;1012859;90,8476
20/10/2023;93,90;95,30;91,50;91,60;91,60;115367;297;10653845;92,3474
19/10/2023;93,00;93,50;92,70;93,00;93,00;56970;206;5297704;92,9911
18/10/2023;94,00;94,00;91,20;92,30;92,30;41206;127;3796931;92,1451
17/10/2023;91,70;94,00;91,70;92,80;92,80;23154;96;2150859;92,8936
16/10/2023;91,50;92,00;88,50;92,00;92,00;16213;64;1470846;90,7202
13/10/2023;94,20;94,60;91,60;91,60;91,60;20952;119;1955603;93,3373
12/10/2023;93,00;93,90;92,30;92,60;92,60;13926;117;1292466;92,8096
11/10/2023;88,00;93,80;88,00;93,80;93,80;23935;194;2182749;91,1949
10/10/2023;90,00;90,10;86,90;90,00;90,00;49577;244;4417101;89,0958
09/10/2023;84,60;90,50;84,60;89,00;89,00;69399;217;6091995;87,7822
06/10/2023;82,30;84,40;82,30;84,40;84,40;14681;68;1233803;84,0408
05/10/2023;82,30;85,30;82,20;85,30;85,30;11692;65;980384;83,8508
04/10/2023;82,20;83,50;82,20;83,00;83,00;8835;74;735163;83,2102
03/10/2023;84,00;86,10;82,60;82,60;82,60;6910;84;574651;83,1623
02/10/2023;88,60;88,60;84,40;85,60;85,60;5335;96;455905;85,4554
29/09/2023;87,80;88,50;86,20;88,30;88,30;30413;79;2663242;87,5692
28/09/2023;84,50;87,00;84,50;86,50;86,50;11675;105;1006080;86,1738
27/09/2023;89,40;89,40;85,60;85,60;85,60;14273;467;1236392;86,6246
26/09/2023;88,60;89,40;87,30;89,00;89,00;15637;570;1391784;89,0058
25/09/2023;88,60;89,20;83,00;88,00;88,00;32428;239;2843347;87,6818
22/09/2023;88,00;89,00;88,00;88,60;88,60;5559;67;490885;88,3046
21/09/2023;82,20;89,40;82,20;89,40;89,40;27516;139;2444266;88,8307
20/09/2023;86,70;89,40;83,20;89,40;89,40;36437;206;3161481;86,7657
19/09/2023;84,70;86,50;84,10;86,00;86,00;19172;95;1646165;85,8630
18/09/2023;81,10;85,30;81,10;84,50;84,50;15839;80;1337782;84,4612
15/09/2023;83,90;86,60;83,90;84,70;84,70;47798;87;4052089;84,7753
14/09/2023;87,00;87,00;84,60;85,70;85,70;19537;87;1674292;85,6985
13/09/2023;82,10;86,50;82,10;86,50;86,50;18100;42;1561211;86,2547
12/09/2023;80,90;86,90;80,90;86,90;86,90;13802;137;1189420;86,1773
11/09/2023;83,00;84,80;82,10;84,80;84,80;16974;80;1429538;84,2193
08/09/2023;81,40;83,90;81,20;83,50;83,50;9841;82;812519;82,5646
07/09/2023;80,60;83,50;80,60;82,20;82,20;45522;64;3783887;83,1222
06/09/2023;80,60;84,20;80,60;84,20;84,20;4509;65;375387;83,2529
05/09/2023;80,60;83,50;80,60;82,50;82,50;26379;306;2164045;82,0367
04/09/2023;80,10;83,70;80,10;80,60;80,60;38905;204;3167132;81,4068
01/09/2023;84,50;84,50;81,50;81,50;81,50;13765;173;1137831;82,6612
31/08/2023;79,10;84,50;79,10;84,50;84,50;28886;77;2428154;84,0599
30/08/2023;82,70;84,00;82,70;84,00;84,00;7690;74;644299;83,7840
29/08/2023;83,20;83,90;81,70;83,00;83,00;7539;58;625083;82,9133
28/08/2023;84,40;84,40;81,80;83,00;83,00;17519;100;1450705;82,8075
25/08/2023;78,00;84,80;78,00;84,40;84,40;30027;148;2524729;84,0820
24/08/2023;79,00;82,30;79,00;82,00;82,00;45568;169;3701828;81,2374
23/08/2023;76,50;78,20;76,50;78,20;78,20;3989;56;309708;77,6404
22/08/2023;78,50;78,50;76,70;77,00;77,00;10934;96;847790;77,5370
21/08/2023;77,00;79,70;77,00;78,00;78,00;2730;43;212558;77,8599
18/08/2023;80,00;80,00;78,30;79,80;79,80;7240;34;577898;79,8201
17/08/2023;78,00;80,30;78,00;80,00;80,00;4589;48;366663;79,9005
16/08/2023;78,50;80,40;78,30;80,30;80,30;33788;66;2702935;79,9969
15/08/2023;77,10;78,50;76,00;78,50;78,50;7652;52;593379;77,5455
14/08/2023;79,60;79,70;77,50;78,30;78,30;10306;85;803724;77,9860
11/08/2023;77,00;80,00;77,00;79,60;79,60;3004;49;238104;79,2624
10/08/2023;78,00;81,00;78,00;80,00;80,00;7480;37;597514;79,8815
09/08/2023;81,00;81,00;79,50;80,00;80,00;6081;35;486751;80,0446
08/08/2023;79,00;81,00;78,60;80,70;80,70;15051;48;1207283;80,2128
07/08/2023;79,00;81,50;79,00;80,00;80,00;5258;38;423279;80,5018
04/08/2023;79,90;81,50;79,90;81,50;81,50;6759;64;546754;80,8927
03/08/2023;75,50;80,40;75,50;79,90;79,90;2489;39;198631;79,8035
02/08/2023;82,60;82,60;79,50;80,50;80,50;3744;46;302202;80,7164
01/08/2023;81,30;81,90;80,00;81,50;81,50;3693;57;300050;81,2482
31/07/2023;81,50;82,20;80,60;81,40;81,40;3351;39;272607;81,3510
28/07/2023;81,50;81,50;79,50;81,40;81,40;3623;33;292061;80,6130
27/07/2023;79,80;80,50;79,80;80,50;80,50;2437;33;195628;80,2741
26/07/2023;80,00;80,50;79,80;80,50;80,50;13857;52;1114424;80,4232
25/07/2023;78,80;81,40;78,60;80,50;80,50;15134;80;1204926;79,6171
24/07/2023;79,70;79,70;78,40;78,70;78,70;6640;43;522645;78,7116
21/07/2023;79,00;79,40;78,10;78,20;78,20;5566;68;436320;78,3903
20/07/2023;79,50;79,50;78,30;79,00;79,00;4504;40;355349;78,8964
19/07/2023;78,20;79,10;78,00;79,00;79,00;11757;49;927938;78,9264
18/07/2023;79,50;80,00;78,50;79,60;79,60;8579;95;680206;79,2873
17/07/2023;79,50;79,50;75,50;79,50;79,50;4410;52;344165;78,0418
14/07/2023;76,50;79,00;76,50;77,80;77,80;5061;58;391510;77,3582
13/07/2023;74,30;79,90;74,30;78,20;78,20;4585;56;353823;77,1697
