"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003079709
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;29,70;30,35;29,30;29,55;29,55;971908;515;29059936;29,8999
03/11/2023;30,15;30,20;29,50;29,65;29,65;315464;416;9401062;29,8007
02/11/2023;28,70;29,90;28,70;29,75;29,75;567519;744;16717229;29,4567
01/11/2023;29,40;29,40;28,40;28,65;28,65;754445;845;21663840;28,7149
31/10/2023;29,35;29,75;28,65;29,40;29,40;969353;1013;28440487;29,3397
30/10/2023;31,00;31,00;29,35;29,35;29,35;1299760;1393;38940504;29,9598
27/10/2023;29,70;30,90;29,50;30,50;30,50;945548;1072;28717355;30,3711
26/10/2023;29,95;30,00;28,85;29,55;29,55;1048550;1278;30777308;29,3523
25/10/2023;33,40;33,60;29,60;29,60;29,60;3695988;3852;112492434;30,4364
24/10/2023;31,55;33,10;31,50;32,95;32,95;631599;744;20637131;32,6744
23/10/2023;32,25;32,50;31,40;31,80;31,80;495255;595;15786542;31,8756
20/10/2023;32,60;32,85;31,95;32,25;32,25;517458;843;16734599;32,3400
19/10/2023;32,50;33,90;32,35;33,00;33,00;1092618;1107;36124057;33,0619
18/10/2023;34,25;34,25;33,25;33,40;33,40;469438;705;15778967;33,6125
17/10/2023;33,95;34,70;33,65;34,55;34,55;466969;666;15962678;34,1836
16/10/2023;33,70;34,30;33,45;33,85;33,85;221318;405;7479175;33,7938
13/10/2023;34,60;34,60;33,90;34,00;34,00;249788;431;8515831;34,0922
12/10/2023;33,65;34,85;33,25;34,70;34,70;639682;828;21951075;34,3156
11/10/2023;35,60;35,60;33,25;33,65;33,65;1163940;1684;39792577;34,1878
10/10/2023;35,15;36,35;35,15;36,20;36,20;292271;499;10522233;36,0016
09/10/2023;34,50;35,30;34,15;35,15;35,15;413530;615;14392696;34,8045
06/10/2023;34,95;35,00;34,25;34,45;34,45;571751;771;19769183;34,5766
05/10/2023;34,45;35,30;34,35;34,95;34,95;310061;602;10799174;34,8292
04/10/2023;34,25;34,65;34,25;34,35;34,35;238085;489;8199295;34,4385
03/10/2023;34,80;35,35;34,35;35,15;35,15;177876;424;6243416;35,0998
02/10/2023;35,60;35,60;34,55;35,00;35,00;865070;677;30159103;34,8632
29/09/2023;35,35;36,00;35,35;35,45;35,45;243731;313;8663710;35,5462
28/09/2023;35,00;35,65;34,85;35,50;35,50;283266;467;10010009;35,3378
27/09/2023;34,10;35,00;34,00;34,95;34,95;240214;419;8325602;34,6591
26/09/2023;34,50;34,55;33,70;34,10;34,10;747671;945;25514120;34,1248
25/09/2023;36,30;36,70;34,90;34,95;34,95;487022;838;17172442;35,2601
22/09/2023;36,50;36,75;35,90;36,55;36,55;300163;627;10948930;36,4766
21/09/2023;36,00;36,40;35,70;36,20;36,20;244021;520;8810095;36,1038
20/09/2023;36,50;36,50;36,10;36,35;36,35;182801;353;6640288;36,3252
19/09/2023;36,40;37,10;36,35;36,50;36,50;214596;466;7858520;36,6201
18/09/2023;36,00;36,55;35,30;36,55;36,55;335960;633;12057140;35,8886
15/09/2023;36,15;36,35;35,75;36,00;36,00;725483;410;26104852;35,9827
14/09/2023;35,65;36,35;35,65;36,25;36,25;213292;370;7699106;36,0966
13/09/2023;36,10;36,30;35,25;35,65;35,65;490419;872;17485921;35,6551
12/09/2023;36,70;37,00;36,10;36,25;36,25;242610;572;8846125;36,4623
11/09/2023;37,00;37,35;36,65;36,70;36,70;191135;406;7049959;36,8847
08/09/2023;37,15;37,40;36,80;37,00;37,00;219290;489;8116596;37,0131
07/09/2023;37,95;38,15;37,15;37,15;37,15;227126;438;8533997;37,5738
06/09/2023;38,65;38,65;37,75;38,00;38,00;396303;716;15079350;38,0501
05/09/2023;38,00;39,40;37,45;38,60;38,60;698693;921;26888213;38,4836
04/09/2023;38,00;38,40;37,50;37,50;37,50;199680;458;7572835;37,9249
01/09/2023;38,00;38,25;37,50;38,00;38,00;439702;804;16677703;37,9296
31/08/2023;36,60;37,85;36,35;37,75;37,75;836518;751;31292947;37,4086
30/08/2023;36,45;37,40;36,35;36,60;36,60;431615;558;15926605;36,9000
29/08/2023;37,20;37,20;36,20;36,20;36,20;212557;430;7744215;36,4336
28/08/2023;36,75;37,00;36,55;37,00;37,00;126756;297;4665901;36,8101
25/08/2023;35,85;36,65;35,20;36,65;36,65;289617;594;10457182;36,1069
24/08/2023;36,55;36,60;35,65;35,85;35,85;385440;561;13880297;36,0116
23/08/2023;37,20;37,25;35,90;36,75;36,75;406133;766;14821419;36,4940
22/08/2023;38,00;38,00;36,85;37,10;37,10;337337;563;12557997;37,2269
21/08/2023;37,60;38,00;37,30;37,60;37,60;239850;496;9028186;37,6410
18/08/2023;38,75;38,75;37,85;38,15;38,15;457793;661;17444433;38,1055
17/08/2023;40,20;40,20;38,60;39,10;39,10;398040;694;15572374;39,1226
16/08/2023;40,05;40,50;39,85;40,20;40,20;266121;493;10685585;40,1531
15/08/2023;40,30;40,55;39,90;40,05;40,05;363292;582;14583230;40,1419
14/08/2023;39,50;40,20;39,15;40,20;40,20;375558;565;14989917;39,9137
11/08/2023;39,30;39,95;38,85;39,30;39,30;327228;757;12913193;39,4624
10/08/2023;38,90;39,30;38,20;39,30;39,30;459888;832;17881258;38,8818
09/08/2023;38,85;39,10;38,10;38,80;38,80;254718;504;9871763;38,7557
08/08/2023;38,70;38,70;37,85;38,50;38,50;305369;718;11701690;38,3198
07/08/2023;37,50;38,80;37,50;38,80;38,80;342327;556;13172040;38,4779
04/08/2023;37,80;38,10;37,55;37,65;37,65;217071;405;8193064;37,7437
03/08/2023;37,55;37,70;37,10;37,50;37,50;208230;421;7800279;37,4599
02/08/2023;37,55;38,55;37,55;37,55;37,55;430179;618;16307102;37,9077
01/08/2023;37,85;37,85;37,15;37,60;37,60;291530;616;10920681;37,4599
31/07/2023;37,25;37,85;36,75;37,45;37,45;288099;581;10744691;37,2951
28/07/2023;37,20;37,60;37,00;37,15;37,15;216092;397;8056767;37,2840
