"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010833262
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;78,00;79,80;77,60;78,40;78,40;49993;174;3931508;78,6412
03/11/2023;81,00;81,00;78,00;78,00;78,00;74071;278;5864510;79,1742
02/11/2023;82,00;82,60;79,40;80,00;80,00;142735;486;11495818;80,5396
01/11/2023;76,60;82,00;76,60;82,00;82,00;308473;828;24710194;80,1049
31/10/2023;75,40;76,20;74,40;76,20;76,20;121936;370;9164742;75,1603
30/10/2023;74,80;76,80;74,80;75,60;75,60;82778;273;6308029;76,2042
27/10/2023;73,20;74,80;72,00;74,60;74,60;71443;261;5272698;73,8029
26/10/2023;74,20;75,40;72,80;73,20;73,20;49369;221;3662332;74,1828
25/10/2023;75,00;75,00;72,60;74,40;74,40;65004;271;4799216;73,8295
24/10/2023;74,80;75,00;73,20;75,00;75,00;118177;234;8766431;74,1805
23/10/2023;74,40;76,40;72,80;73,80;73,80;51682;190;3836216;74,2273
20/10/2023;74,20;75,00;72,60;74,20;74,20;38719;190;2859810;73,8606
19/10/2023;76,60;76,60;74,00;74,20;74,20;47676;197;3556926;74,6062
18/10/2023;75,40;77,00;75,20;75,20;75,20;69141;284;5270974;76,2351
17/10/2023;74,00;76,20;72,20;75,80;75,80;82363;254;6113648;74,2281
16/10/2023;74,00;74,40;72,40;73,00;73,00;42289;161;3103634;73,3910
13/10/2023;72,00;73,80;71,40;73,40;73,40;62934;227;4577617;72,7368
12/10/2023;70,40;71,80;70,40;71,80;71,80;92701;242;6612857;71,3353
11/10/2023;70,60;70,80;69,40;69,60;69,60;32322;134;2262394;69,9955
10/10/2023;69,40;71,20;69,20;70,40;70,40;51820;182;3649262;70,4219
09/10/2023;69,00;69,80;68,40;69,40;69,40;40334;122;2785636;69,0642
06/10/2023;68,00;69,80;67,80;68,80;68,80;65825;256;4533377;68,8701
05/10/2023;67,00;68,20;67,00;68,00;68,00;24179;117;1640345;67,8417
04/10/2023;71,60;71,60;68,00;68,00;68,00;109522;251;7555128;68,9827
03/10/2023;70,60;71,60;69,80;70,80;70,80;117808;344;8317966;70,6061
02/10/2023;71,60;72,00;70,40;70,40;70,40;62222;238;4422586;71,0775
29/09/2023;70,00;71,00;69,40;69,40;69,40;21416;114;1504307;70,2422
28/09/2023;70,80;71,80;69,60;69,60;69,60;59784;277;4197174;70,2056
27/09/2023;68,20;70,40;68,20;70,40;70,40;45348;219;3163356;69,7573
26/09/2023;68,40;69,60;68,00;68,40;68,40;75437;293;5179537;68,6604
25/09/2023;69,40;70,00;68,60;69,00;69,00;75346;287;5219889;69,2789
22/09/2023;67,40;69,60;67,00;69,60;69,60;105517;341;7219537;68,4206
21/09/2023;66,60;67,40;65,60;66,80;66,80;62273;246;4167046;66,9158
20/09/2023;66,40;66,80;66,00;66,00;66,00;20645;119;1370755;66,3965
19/09/2023;66,20;66,20;64,80;66,00;66,00;39337;209;2577579;65,5256
18/09/2023;66,00;66,00;64,40;64,80;64,80;59205;226;3855946;65,1287
15/09/2023;64,40;65,80;64,40;65,00;65,00;87467;301;5690771;65,0619
14/09/2023;64,40;65,40;64,20;64,60;64,60;41258;231;2673040;64,7884
13/09/2023;65,00;65,00;63,20;64,20;64,20;56706;230;3608493;63,6351
12/09/2023;64,00;64,20;63,00;63,40;63,40;35188;199;2240497;63,6722
11/09/2023;63,00;64,20;63,00;63,20;63,20;64704;250;4108827;63,5019
08/09/2023;65,00;65,00;62,60;63,00;63,00;54049;271;3422344;63,3193
07/09/2023;67,80;67,80;64,00;64,00;64,00;37088;209;2397753;64,6504
06/09/2023;66,00;66,80;65,60;65,60;65,60;27838;143;1837736;66,0154
05/09/2023;66,20;67,40;65,80;65,80;65,80;45570;273;3032797;66,5525
04/09/2023;66,20;67,60;66,00;66,20;66,20;56820;216;3793810;66,7689
01/09/2023;65,40;66,00;64,80;66,00;66,00;54742;194;3578030;65,3617
31/08/2023;64,80;66,00;64,40;64,80;64,80;97469;324;6340129;65,0477
30/08/2023;67,00;67,00;64,20;64,80;64,80;66851;300;4344226;64,9837
29/08/2023;67,00;67,20;65,20;65,40;65,40;105933;396;6973317;65,8276
28/08/2023;70,00;71,00;68,60;69,00;69,00;70659;266;4925141;69,7030
25/08/2023;71,80;71,80;69,00;69,20;69,20;78727;334;5464174;69,4066
24/08/2023;70,40;71,00;69,20;69,40;69,40;72567;317;5051700;69,6143
23/08/2023;71,40;72,40;69,80;70,20;70,20;120099;365;8551293;71,2020
22/08/2023;71,40;72,80;70,80;71,80;71,80;65719;267;4735068;72,0502
21/08/2023;70,40;71,80;69,40;70,60;70,60;84661;338;5974962;70,5751
18/08/2023;72,00;72,00;70,00;70,20;70,20;51568;252;3653161;70,8416
17/08/2023;72,00;72,00;70,60;71,40;71,40;89893;380;6400533;71,2017
16/08/2023;72,60;72,60;71,00;72,20;72,20;56491;300;4048983;71,6748
15/08/2023;73,00;73,00;71,20;72,00;72,00;54246;239;3891633;71,7405
14/08/2023;72,80;72,80;71,20;71,80;71,80;64256;340;4612720;71,7866
11/08/2023;73,00;73,00;71,60;72,60;72,60;114833;364;8317102;72,4278
