"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0011016040
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;6,00;6,49;5,96;6,09;6,09;139349;101;857166;6,1512
03/11/2023;5,90;6,49;5,81;5,95;5,95;279828;130;1683416;6,0159
02/11/2023;5,90;6,04;5,82;5,90;5,90;117268;115;694701;5,9240
01/11/2023;6,00;6,15;5,85;5,88;5,88;100754;114;595998;5,9154
31/10/2023;6,40;6,40;6,10;6,10;6,10;90509;118;559401;6,1806
30/10/2023;6,60;6,67;6,02;6,21;6,21;92184;91;585933;6,3561
27/10/2023;7,03;7,03;6,07;6,28;6,28;129982;124;846404;6,5117
26/10/2023;6,25;7,60;6,25;6,68;6,68;279263;238;1921768;6,8816
25/10/2023;6,00;6,33;5,99;6,15;6,15;93053;93;566379;6,0866
24/10/2023;6,30;6,46;5,71;5,90;5,90;112643;94;679324;6,0308
23/10/2023;6,20;6,62;6,06;6,20;6,20;103368;72;648738;6,2760
20/10/2023;7,00;7,00;6,34;6,34;6,34;58792;58;382345;6,5034
19/10/2023;6,61;6,79;6,61;6,73;6,73;29267;37;195742;6,6882
18/10/2023;6,87;6,87;6,40;6,69;6,69;91636;68;606825;6,6221
17/10/2023;6,70;6,75;6,62;6,73;6,73;53791;41;358589;6,6663
16/10/2023;6,60;6,66;6,43;6,64;6,64;109061;52;713094;6,5385
13/10/2023;6,80;6,80;6,47;6,50;6,50;42016;43;274056;6,5226
12/10/2023;6,25;6,75;6,25;6,60;6,60;89086;105;579097;6,5004
11/10/2023;6,72;6,72;6,23;6,59;6,59;294928;139;1915381;6,4944
10/10/2023;7,05;7,08;6,64;6,64;6,64;577567;168;3882578;6,7223
09/10/2023;7,50;7,50;6,85;6,85;6,85;64409;58;452260;7,0217
06/10/2023;7,12;7,60;7,04;7,10;7,10;247436;52;1880952;7,6018
05/10/2023;7,51;7,60;7,21;7,41;7,41;70725;57;526958;7,4508
04/10/2023;7,80;7,80;7,42;7,42;7,42;32045;28;241216;7,5274
03/10/2023;8,24;8,24;7,53;7,82;7,82;53695;49;421728;7,8541
02/10/2023;8,10;8,14;8,00;8,00;8,00;20418;27;165646;8,1128
29/09/2023;8,00;8,10;7,80;8,10;8,10;278932;145;2213387;7,9352
28/09/2023;7,91;7,96;7,61;7,74;7,74;53517;70;417610;7,8033
27/09/2023;8,42;8,42;7,65;7,91;7,91;251164;145;1998710;7,9578
26/09/2023;8,60;8,60;8,11;8,34;8,34;36316;38;306796;8,4479
25/09/2023;8,45;8,49;8,20;8,26;8,26;39962;44;332190;8,3126
22/09/2023;8,64;8,74;8,31;8,60;8,60;59480;65;507017;8,5242
21/09/2023;8,15;8,80;8,15;8,64;8,64;58719;58;499128;8,5003
20/09/2023;9,00;9,00;8,32;8,58;8,58;66995;75;575348;8,5879
19/09/2023;8,60;8,93;8,60;8,70;8,70;39860;63;348998;8,7556
18/09/2023;8,85;8,99;8,51;8,60;8,60;81859;72;711421;8,6908
15/09/2023;9,27;9,27;8,75;8,85;8,85;96062;74;854691;8,8973
14/09/2023;9,05;9,39;8,86;8,90;8,90;112053;106;1014375;9,0526
13/09/2023;9,27;9,58;9,06;9,09;9,09;180889;92;1678715;9,2804
12/09/2023;9,05;9,80;9,05;9,20;9,20;76568;55;722625;9,4377
11/09/2023;9,90;9,91;9,05;9,07;9,07;39352;45;365813;9,2959
08/09/2023;9,60;9,75;9,10;9,22;9,22;72425;36;669666;9,2463
