"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010815103
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;8,00;8,10;8,00;8,00;8,00;48493;14;388514;8,0118
03/11/2023;8,60;8,70;8,10;8,10;8,10;13000;5;106900;8,2231
02/11/2023;8,00;8,00;8,00;8,00;8,00;6266;3;50128;8,0000
01/11/2023;8,25;8,25;8,25;8,25;8,25;1;1;8;8,2500
31/10/2023;8,00;8,40;8,00;8,40;8,40;20;2;164;8,2000
30/10/2023;8,00;8,00;8,00;8,00;8,00;7200;2;57600;8,0000
27/10/2023;8,00;8,00;8,00;8,00;8,00;369;1;2952;8,0000
26/10/2023;8,25;8,25;8,00;8,00;8,00;17994;9;145365;8,0785
25/10/2023;0,00;0,00;0,00;0,00;8,20;0;0;0;0,0000
24/10/2023;8,20;8,20;8,20;8,20;8,20;2715;2;22263;8,2000
23/10/2023;8,05;8,35;8,05;8,35;8,35;925;3;7506;8,1149
20/10/2023;8,10;8,10;8,00;8,00;8,00;1256;3;10093;8,0355
19/10/2023;0,00;0,00;0,00;0,00;8,10;0;0;0;0,0000
18/10/2023;8,05;8,10;8,00;8,10;8,10;23565;3;189788;8,0538
17/10/2023;0,00;0,00;0,00;0,00;8,05;0;0;0;0,0000
16/10/2023;8,00;8,10;8,00;8,05;8,05;6500;3;52325;8,0500
13/10/2023;8,35;8,35;8,00;8,00;8,00;1119;3;8994;8,0372
12/10/2023;8,30;8,30;8,30;8,30;8,30;1000;2;8300;8,3000
11/10/2023;8,30;8,30;8,30;8,30;8,30;15000;1;124500;8,3000
10/10/2023;0,00;0,00;0,00;0,00;8,45;0;0;0;0,0000
09/10/2023;0,00;0,00;0,00;0,00;8,45;0;0;0;0,0000
06/10/2023;8,45;8,45;8,45;8,45;8,45;427;2;3608;8,4500
05/10/2023;8,40;8,50;8,40;8,50;8,50;9426;4;79718;8,4573
04/10/2023;8,25;8,50;8,25;8,50;8,50;3526;3;29471;8,3582
03/10/2023;8,05;8,35;8,00;8,00;8,00;12002;6;96320;8,0253
02/10/2023;0,00;0,00;0,00;0,00;8,50;0;0;0;0,0000
29/09/2023;0,00;0,00;0,00;0,00;8,50;0;0;0;0,0000
28/09/2023;0,00;0,00;0,00;0,00;8,50;0;0;0;0,0000
27/09/2023;0,00;0,00;0,00;0,00;8,50;0;0;0;0,0000
