"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010936750
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;14,65;15,75;14,60;15,75;15,75;5034;7;74373;14,7742
03/11/2023;14,10;14,80;13,80;14,80;14,80;12367;8;173180;14,0034
02/11/2023;13,85;13,90;13,60;13,90;13,90;11568;10;158683;13,7174
01/11/2023;13,00;13,95;12,95;13,95;13,95;26330;19;346373;13,1551
31/10/2023;13,80;13,80;13,60;13,60;13,60;11265;15;154249;13,6927
30/10/2023;14,25;14,25;13,80;13,80;13,80;14887;9;209115;14,0468
27/10/2023;14,25;14,65;14,25;14,50;14,50;2837;5;40752;14,3643
26/10/2023;14,90;14,90;14,60;14,60;14,60;9575;6;141288;14,7559
25/10/2023;15,50;15,50;15,30;15,30;15,30;3538;5;54152;15,3059
24/10/2023;0,00;0,00;0,00;0,00;15,70;0;0;0;0,0000
23/10/2023;15,70;15,70;15,70;15,70;15,70;30;1;471;15,7000
20/10/2023;15,50;15,70;15,50;15,70;15,70;2610;3;40475;15,5077
19/10/2023;15,60;15,90;15,60;15,90;15,90;5201;4;81196;15,6115
18/10/2023;15,60;15,95;15,60;15,95;15,95;1225;4;19145;15,6286
17/10/2023;15,55;15,95;15,55;15,95;15,95;2130;3;33162;15,5688
16/10/2023;15,70;16,10;15,70;16,10;16,10;213;3;3384;15,8878
13/10/2023;15,85;16,05;15,80;16,05;16,05;12115;10;191881;15,8383
12/10/2023;16,05;16,05;16,05;16,05;16,05;2000;1;32100;16,0500
11/10/2023;16,05;16,05;15,70;15,70;15,70;920;3;14451;15,7076
10/10/2023;16,00;16,10;16,00;16,10;16,10;5381;5;86360;16,0491
09/10/2023;16,40;16,40;16,05;16,05;16,05;2693;3;43434;16,1284
06/10/2023;15,90;16,30;15,90;16,25;16,25;10558;7;170672;16,1652
05/10/2023;15,95;16,30;15,95;16,30;16,30;3419;3;54568;15,9602
04/10/2023;15,95;16,25;15,55;15,95;15,95;19959;13;315385;15,8016
03/10/2023;17,05;17,05;16,00;16,20;16,20;36070;23;591035;16,3858
02/10/2023;17,05;17,50;17,05;17,50;17,50;45;3;781;17,3622
29/09/2023;17,10;17,50;17,10;17,50;17,50;550;3;9445;17,1727
28/09/2023;16,85;17,30;16,85;17,30;17,30;5193;5;89073;17,1526
27/09/2023;17,05;17,35;17,00;17,10;17,10;6563;5;112185;17,0936
26/09/2023;16,70;18,15;16,70;17,00;17,00;36590;30;629229;17,1967
25/09/2023;16,65;16,70;16,30;16,70;16,70;3558;10;58721;16,5039
22/09/2023;16,40;16,70;16,40;16,40;16,40;2306;5;37826;16,4033
21/09/2023;16,65;16,65;16,40;16,50;16,50;23673;21;393054;16,6035
20/09/2023;16,55;16,70;16,50;16,65;16,65;3669;7;60674;16,5368
19/09/2023;16,45;16,70;16,40;16,60;16,60;2165;9;35538;16,4149
18/09/2023;16,50;16,90;16,50;16,90;16,90;600;4;9940;16,5667
15/09/2023;16,45;16,80;16,45;16,80;16,80;5848;10;97173;16,6164
14/09/2023;0,00;0,00;0,00;0,00;16,80;0;0;0;0,0000
13/09/2023;16,35;16,80;16,35;16,80;16,80;536;6;8809;16,4340
12/09/2023;16,45;16,80;16,10;16,80;16,80;3484;6;57561;16,5216
11/09/2023;16,45;16,45;16,05;16,05;16,05;201;6;3226;16,0520
08/09/2023;0,00;0,00;0,00;0,00;16,45;0;0;0;0,0000
07/09/2023;16,40;16,45;15,55;16,45;16,45;6516;7;105708;16,2229
06/09/2023;16,40;16,80;16,35;16,80;16,80;4469;7;73310;16,4042
05/09/2023;16,35;16,45;15,10;16,30;16,30;17756;20;283459;15,9641
04/09/2023;16,25;16,25;15,05;16,15;16,15;10868;17;172632;15,8844
01/09/2023;16,55;16,75;16,35;16,35;16,35;9470;9;156404;16,5158
31/08/2023;16,95;16,95;16,45;16,45;16,45;2187;4;36722;16,7911
30/08/2023;16,80;16,80;16,80;16,80;16,80;444;1;7459;16,8000
29/08/2023;17,00;17,00;16,45;16,80;16,80;4592;5;77793;16,9410
28/08/2023;17,40;17,40;17,40;17,40;17,40;2529;8;44005;17,4000
25/08/2023;17,75;17,75;17,75;17,75;17,75;500;1;8875;17,7500
24/08/2023;18,00;18,10;17,25;17,75;17,75;31249;30;552362;17,6761
23/08/2023;18,65;18,65;18,65;18,65;18,65;264;2;4924;18,6500
22/08/2023;18,00;18,55;17,80;18,30;18,30;8294;9;149445;18,0185
21/08/2023;17,75;17,75;17,75;17,75;17,75;280;1;4970;17,7500
18/08/2023;17,55;17,55;17,05;17,50;17,50;11584;16;202350;17,4681
17/08/2023;19,00;19,00;17,60;17,90;17,90;13463;24;242982;18,0481
16/08/2023;19,30;19,30;18,35;19,00;19,00;9517;16;180491;18,9651
15/08/2023;19,35;19,80;19,35;19,80;19,80;5387;13;105037;19,4983
14/08/2023;20,20;20,40;19,50;19,80;19,80;12982;22;260148;20,0392
11/08/2023;20,20;20,50;18,35;19,90;19,90;10052;12;201712;20,0668
10/08/2023;19,60;19,90;19,60;19,90;19,90;318;4;6263;19,6943
09/08/2023;0,00;0,00;0,00;0,00;19,90;0;0;0;0,0000
08/08/2023;20,00;20,00;19,15;19,90;19,90;13543;16;268620;19,8346
07/08/2023;20,40;20,40;20,00;20,30;20,30;8435;12;169032;20,0394
04/08/2023;20,00;20,10;19,95;20,00;20,00;4602;6;92046;20,0013
03/08/2023;19,95;20,20;19,95;20,20;20,20;1275;5;25461;19,9696
02/08/2023;20,20;20,20;19,70;20,20;20,20;11845;10;236737;19,9863
01/08/2023;19,80;19,90;19,80;19,90;19,90;6193;5;122721;19,8161
31/07/2023;19,55;19,80;19,55;19,80;19,80;10723;8;209935;19,5780
28/07/2023;19,55;19,55;19,55;19,55;19,55;116;1;2268;19,5500
27/07/2023;19,55;19,60;19,20;19,60;19,60;2126;6;41485;19,5134
26/07/2023;19,10;19,55;19,10;19,55;19,55;217;3;4214;19,4194
25/07/2023;19,40;19,60;19,20;19,60;19,60;6600;9;127018;19,2451
24/07/2023;19,45;19,45;19,45;19,45;19,45;200;1;3890;19,4500
21/07/2023;19,70;19,70;19,40;19,70;19,70;3400;5;66030;19,4206
20/07/2023;0,00;0,00;0,00;0,00;19,90;0;0;0;0,0000
19/07/2023;19,70;19,90;19,70;19,90;19,90;1237;5;24394;19,7202
18/07/2023;20,20;20,20;19,70;19,95;19,95;22353;15;444615;19,8906
17/07/2023;19,40;20,00;19,40;20,00;20,00;20125;19;399987;19,8751
14/07/2023;18,65;19,10;18,65;19,10;19,10;2043;7;38427;18,8089
13/07/2023;19,05;19,25;18,95;19,00;19,00;5095;9;96710;18,9813
12/07/2023;19,60;19,75;19,30;19,30;19,30;5332;7;103445;19,4007
11/07/2023;19,90;19,90;19,60;19,60;19,60;6630;6;130857;19,7371
10/07/2023;19,95;19,95;19,80;19,90;19,90;1408;4;28029;19,9071
07/07/2023;20,00;20,00;20,00;20,00;20,00;3500;2;70000;20,0000
06/07/2023;20,70;20,70;19,70;19,70;19,70;15055;14;304205;20,2063
05/07/2023;21,40;21,50;20,90;21,30;21,30;5500;8;116536;21,1884
04/07/2023;21,20;21,40;20,80;20,90;20,90;18178;20;385311;21,1965
03/07/2023;21,70;21,80;21,30;21,60;21,60;5795;7;124727;21,5233
30/06/2023;21,90;21,90;20,50;21,60;21,60;50457;34;1067482;21,1563
29/06/2023;19,95;22,00;19,95;21,80;21,80;18338;21;391446;21,3462
28/06/2023;20,20;20,30;19,20;20,20;20,20;39513;33;787866;19,9394
27/06/2023;21,70;22,60;20,20;20,30;20,30;30626;35;655011;21,3874
26/06/2023;21,60;22,00;21,50;21,70;21,70;53132;53;1160046;21,8333
23/06/2023;20,00;22,40;19,95;21,40;21,40;132791;136;2829089;21,3048
22/06/2023;19,60;21,30;19,00;19,00;19,00;208167;179;4228002;20,3106
21/06/2023;18,00;18,00;17,80;17,90;17,90;33641;21;604735;17,9761
20/06/2023;16,55;17,45;16,55;17,45;17,45;6300;7;108025;17,1468
19/06/2023;16,60;16,90;16,60;16,90;16,90;3821;5;63489;16,6157
16/06/2023;16,50;17,00;16,50;17,00;17,00;7047;6;117677;16,6989
15/06/2023;16,50;16,50;16,50;16,50;16,50;5100;5;84150;16,5000
14/06/2023;16,50;16,50;16,50;16,50;16,50;4714;1;77781;16,5000
13/06/2023;16,30;16,50;16,25;16,50;16,50;8980;7;147404;16,4147
12/06/2023;16,40;16,40;16,05;16,30;16,30;8900;6;144743;16,2633
09/06/2023;16,10;16,40;16,10;16,40;16,40;14599;8;237609;16,2757
08/06/2023;0,00;0,00;0,00;0,00;16,10;0;0;0;0,0000
07/06/2023;15,80;16,10;15,80;16,10;16,10;2101;3;33226;15,8143
06/06/2023;16,10;16,10;16,10;16,10;16,10;100;1;1610;16,1000
05/06/2023;16,25;16,30;16,05;16,05;16,05;11210;5;181377;16,1799
02/06/2023;16,40;16,40;16,10;16,40;16,40;670;4;10967;16,3687
01/06/2023;15,75;16,40;15,75;16,40;16,40;8610;5;139059;16,1509
31/05/2023;15,75;15,90;15,75;15,90;15,90;2422;4;38162;15,7562
30/05/2023;16,00;16,05;15,70;15,75;15,75;15867;12;249981;15,7548
29/05/2023;0,00;0,00;0,00;0,00;16,00;0;0;0;0,0000
26/05/2023;16,10;16,10;16,00;16,00;16,00;1033;2;16531;16,0032
25/05/2023;0,00;0,00;0,00;0,00;16,00;0;0;0;0,0000
24/05/2023;16,00;16,00;16,00;16,00;16,00;1226;2;19616;16,0000
23/05/2023;16,15;16,15;16,15;16,15;16,15;1742;3;28133;16,1500
22/05/2023;16,20;16,20;16,00;16,05;16,05;3192;3;51447;16,1175
19/05/2023;16,55;16,55;16,35;16,40;16,40;8026;9;132296;16,4834
