"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010167331
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;7,88;7,98;7,80;7,98;7,98;3510;6;27776;7,9135
03/11/2023;7,70;7,88;7,60;7,88;7,88;15049;11;116365;7,7324
02/11/2023;7,76;7,88;7,56;7,70;7,70;13250;14;101114;7,6312
01/11/2023;7,88;7,88;7,88;7,88;7,88;1;1;8;7,8800
31/10/2023;7,64;7,96;7,64;7,96;7,96;1054;4;8059;7,6458
30/10/2023;8,00;8,00;7,60;7,62;7,62;49026;19;377852;7,7072
27/10/2023;7,98;7,98;7,92;7,92;7,92;1012;3;8016;7,9206
26/10/2023;7,80;7,98;7,80;7,98;7,98;9053;7;70648;7,8038
25/10/2023;7,80;7,80;7,80;7,80;7,80;100;1;780;7,8000
24/10/2023;0,00;0,00;0,00;0,00;8,00;0;0;0;0,0000
23/10/2023;7,98;8,00;7,80;8,00;8,00;151103;10;1208692;7,9991
20/10/2023;8,14;8,14;8,14;8,14;8,14;100;1;814;8,1400
19/10/2023;7,98;8,14;7,80;8,00;8,00;1138532;14;8938193;7,8506
18/10/2023;0,00;0,00;0,00;0,00;8,14;0;0;0;0,0000
17/10/2023;0,00;0,00;0,00;0,00;8,14;0;0;0;0,0000
16/10/2023;7,80;8,14;7,80;8,14;8,14;227;2;1805;7,9498
13/10/2023;7,82;7,82;7,82;7,82;7,82;757;3;5920;7,8200
12/10/2023;8,00;8,00;8,00;8,00;8,00;724;3;5792;8,0000
11/10/2023;8,10;8,10;8,00;8,02;8,02;2110;6;16893;8,0062
10/10/2023;8,04;8,22;8,04;8,22;8,22;2000250;6;16002036;8,0000
09/10/2023;8,00;8,24;8,00;8,00;8,00;1224;3;9816;8,0196
06/10/2023;8,00;8,00;8,00;8,00;8,00;3500;1;28000;8,0000
05/10/2023;8,00;8,00;8,00;8,00;8,00;162;1;1296;8,0000
04/10/2023;8,10;8,10;8,00;8,00;8,00;9214;4;73747;8,0038
03/10/2023;8,00;8,00;8,00;8,00;8,00;210;1;1680;8,0000
02/10/2023;8,00;8,26;8,00;8,10;8,10;932;3;7691;8,2516
29/09/2023;8,20;8,26;8,10;8,26;8,26;754;5;6156;8,1642
28/09/2023;8,00;8,10;8,00;8,00;8,00;7365;6;58931;8,0015
27/09/2023;8,20;8,20;8,20;8,20;8,20;25;1;205;8,2000
26/09/2023;8,02;8,02;8,00;8,00;8,00;2500;3;20023;8,0092
25/09/2023;8,20;8,20;8,00;8,00;8,00;3040;2;24322;8,0007
22/09/2023;8,00;8,10;8,00;8,00;8,00;18687;6;149497;8,0000
21/09/2023;8,20;8,20;8,20;8,20;8,20;150;1;1230;8,2000
20/09/2023;8,18;8,20;8,00;8,00;8,00;14056;8;114017;8,1116
19/09/2023;8,14;8,14;8,14;8,14;8,14;5;1;41;8,1400
18/09/2023;8,10;8,24;8,00;8,24;8,24;4378;7;35701;8,1546
15/09/2023;8,18;8,18;8,12;8,12;8,12;600;2;4878;8,1300
14/09/2023;8,20;8,20;8,00;8,16;8,16;918;5;7437;8,1016
13/09/2023;7,90;8,20;7,90;8,16;8,16;143124;12;1144928;7,9996
12/09/2023;8,00;8,00;7,60;7,94;7,94;217603;20;1738185;7,9879
11/09/2023;7,80;8,20;7,80;8,00;8,00;11880;9;94980;7,9949
08/09/2023;8,20;8,20;7,58;7,60;7,60;18296;11;139904;7,6467
07/09/2023;7,90;7,94;7,88;7,94;7,94;6749;8;53299;7,8973
06/09/2023;8,00;8,00;7,94;7,94;7,94;474;4;3775;7,9646
05/09/2023;8,10;8,10;8,00;8,00;8,00;3830;5;30759;8,0311
04/09/2023;8,00;8,26;8,00;8,26;8,26;1050;3;8578;8,1695
01/09/2023;8,00;8,00;8,00;8,00;8,00;2112;4;16896;8,0000
31/08/2023;8,10;8,10;8,00;8,10;8,10;13850;7;111151;8,0253
30/08/2023;8,30;8,30;8,30;8,30;8,30;200;1;1660;8,3000
29/08/2023;0,00;0,00;0,00;0,00;8,10;0;0;0;0,0000
28/08/2023;8,30;8,30;8,10;8,10;8,10;7140;5;58132;8,1417
25/08/2023;8,40;8,40;8,20;8,40;8,40;4306;9;35940;8,3465
24/08/2023;0,00;0,00;0,00;0,00;8,40;0;0;0;0,0000
23/08/2023;8,80;8,80;8,40;8,40;8,40;120;3;1014;8,4500
22/08/2023;8,62;8,62;8,40;8,40;8,40;30063;4;258597;8,6018
21/08/2023;8,60;8,60;8,60;8,60;8,60;500;1;4300;8,6000
18/08/2023;8,60;8,60;8,22;8,22;8,22;5869;9;48768;8,3095
17/08/2023;8,60;8,80;8,60;8,60;8,60;2610;6;22841;8,7513
16/08/2023;8,60;8,60;8,32;8,32;8,32;2837;4;24211;8,5340
15/08/2023;8,40;8,60;8,40;8,60;8,60;4046;6;34372;8,4952
14/08/2023;8,42;8,42;8,40;8,40;8,40;21000;3;176619;8,4104
11/08/2023;8,60;9,00;8,50;8,80;8,80;12015;15;104987;8,7380
10/08/2023;8,80;8,80;8,42;8,80;8,80;2575;8;22357;8,6823
09/08/2023;8,88;9,00;8,80;9,00;9,00;7666;5;68511;8,9370
08/08/2023;8,90;8,90;8,88;8,88;8,88;11041;5;98046;8,8802
07/08/2023;0,00;0,00;0,00;0,00;9,00;0;0;0;0,0000
04/08/2023;8,98;9,00;8,60;9,00;9,00;11898;14;106532;8,9538
03/08/2023;8,82;9,00;8,82;9,00;9,00;3708;5;33209;8,9559
02/08/2023;9,00;9,00;8,88;8,88;8,88;22051;12;197242;8,9448
01/08/2023;9,56;9,56;9,00;9,08;9,08;24888;11;225503;9,0607
