"Historical Data"
"From 2021-11-15 to 2023-11-13"
NO0003096208
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
13/11/2023;42,62;43,74;42,62;43,52;43,52;473020;806;20537719;43,4183
10/11/2023;44,84;44,84;43,80;43,80;43,80;505574;887;22315227;44,1384
09/11/2023;44,00;45,10;43,94;44,80;44,80;1377424;1691;61683296;44,7816
08/11/2023;42,32;43,76;42,26;43,44;43,44;1951380;1975;84517000;43,3114
07/11/2023;43,30;43,30;41,80;42,00;42,00;1166644;1751;49327130;42,2812
06/11/2023;44,20;44,36;43,56;43,68;43,68;575781;1105;25276281;43,8991
03/11/2023;44,62;44,74;43,92;44,42;44,42;598103;978;26462732;44,2444
02/11/2023;44,14;44,62;43,80;44,42;44,42;720609;1129;31852589;44,2023
01/11/2023;43,60;44,34;43,30;44,22;44,22;947646;1330;41577362;43,8744
31/10/2023;43,54;44,40;43,54;44,20;44,20;348074;560;15361719;44,1335
30/10/2023;43,50;43,92;43,08;43,42;43,42;388451;721;16876350;43,4452
27/10/2023;43,30;44,48;43,20;43,78;43,78;458343;860;20136628;43,9335
26/10/2023;42,52;43,30;42,34;43,22;43,22;416666;790;17903177;42,9677
25/10/2023;43,36;43,40;42,44;42,58;42,58;458569;860;19599982;42,7416
24/10/2023;42,08;43,36;42,04;43,28;43,28;448295;648;19155814;42,7304
23/10/2023;43,20;43,26;42,08;42,30;42,30;746989;1175;31756889;42,5132
20/10/2023;43,80;44,08;43,12;43,12;43,12;394994;711;17155586;43,4325
19/10/2023;43,80;44,10;43,50;43,82;43,82;457832;748;20063705;43,8233
18/10/2023;44,80;44,82;43,90;44,00;44,00;751930;1018;33241521;44,2083
17/10/2023;44,70;45,16;44,40;45,04;45,04;548715;875;24613143;44,8560
16/10/2023;45,00;45,08;44,34;44,64;44,64;561740;871;25065419;44,6210
13/10/2023;45,30;45,58;44,72;45,06;45,06;574638;780;25885940;45,0474
12/10/2023;44,82;45,84;44,68;45,56;45,56;630717;766;28651342;45,4266
11/10/2023;44,66;45,50;44,32;45,00;45,00;794802;1304;35789802;45,0298
10/10/2023;44,10;45,06;44,02;45,00;45,00;510718;831;22742979;44,5314
09/10/2023;44,00;44,16;43,50;43,94;43,94;571360;954;25051610;43,8456
06/10/2023;44,50;44,74;44,06;44,20;44,20;443548;731;19679000;44,3672
05/10/2023;44,22;44,90;44,14;44,70;44,70;444863;714;19844362;44,6078
04/10/2023;44,06;44,80;43,82;44,00;44,00;446940;762;19779975;44,2564
03/10/2023;45,02;45,42;43,96;44,06;44,06;697166;1155;31013154;44,4846
02/10/2023;45,00;45,66;44,98;45,24;45,24;431998;668;19593359;45,3552
29/09/2023;44,50;45,08;44,32;44,88;44,88;624888;757;28010664;44,8251
28/09/2023;45,20;45,20;44,38;44,50;44,50;747253;1115;33439480;44,7499
27/09/2023;44,40;45,60;43,94;45,44;45,44;820283;1357;36903988;44,9893
26/09/2023;44,14;44,58;43,44;44,34;44,34;687833;1177;30338000;44,1066
25/09/2023;45,42;45,46;43,90;44,02;44,02;842144;1380;37422770;44,4375
22/09/2023;45,30;45,84;44,82;45,42;45,42;828633;1092;37537594;45,3006
21/09/2023;46,70;46,72;45,28;45,34;45,34;1051718;1529;48197875;45,8278
20/09/2023;46,46;46,94;46,30;46,62;46,62;645380;1050;30052994;46,5664
19/09/2023;46,58;47,20;46,18;46,34;46,34;964233;1382;44965280;46,6332
18/09/2023;45,66;46,60;45,50;46,56;46,56;971532;1453;44831914;46,1456
15/09/2023;46,82;47,04;45,48;45,82;45,82;4080752;1955;189354068;46,4018
14/09/2023;45,84;47,36;45,72;46,76;46,76;1111089;1452;51778593;46,6017
13/09/2023;45,44;45,84;45,28;45,76;45,76;622090;1044;28382361;45,6242
12/09/2023;45,00;46,10;44,72;45,40;45,40;1005787;1366;45782162;45,5187
11/09/2023;44,30;44,96;44,24;44,90;44,90;704177;971;31530493;44,7764
08/09/2023;43,62;44,24;43,52;44,20;44,20;650552;998;28569204;43,9153
07/09/2023;44,24;44,30;43,60;43,60;43,60;694528;960;30501490;43,9169
06/09/2023;45,10;45,66;44,14;44,50;44,50;948317;1342;42528687;44,8465
05/09/2023;44,58;45,20;44,50;45,10;45,10;899251;1047;40386648;44,9114
04/09/2023;44,00;45,04;43,74;44,52;44,52;1065909;1196;47583638;44,6414
01/09/2023;43,86;44,28;43,60;43,84;43,84;611873;852;26880193;43,9310
31/08/2023;43,90;44,24;43,78;44,02;44,02;841889;851;37053976;44,0129
