"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010591191
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;3,33;3,50;3,15;3,38;3,38;1168998;258;3932346;3,3639
03/11/2023;2,98;3,45;2,86;3,19;3,19;1660254;403;5239448;3,1558
02/11/2023;2,88;2,88;2,64;2,79;2,79;557152;229;1538796;2,7619
01/11/2023;2,39;2,80;2,35;2,60;2,60;970619;214;2491682;2,5671
31/10/2023;2,50;2,62;2,30;2,39;2,39;58403;19;140605;2,4075
30/10/2023;2,34;2,57;2,34;2,47;2,47;112767;43;271494;2,4076
27/10/2023;2,45;2,57;2,30;2,50;2,50;284245;95;694170;2,4422
26/10/2023;2,25;2,49;2,25;2,48;2,48;325371;107;761216;2,3395
25/10/2023;2,53;2,53;2,25;2,25;2,25;454940;157;1083796;2,3823
24/10/2023;2,54;2,60;2,47;2,49;2,49;280579;113;709933;2,5302
23/10/2023;2,62;2,66;2,47;2,54;2,54;688446;180;1734846;2,5199
20/10/2023;2,79;2,88;2,53;2,58;2,58;1484772;396;3938611;2,6527
19/10/2023;3,00;3,24;2,84;2,97;2,97;165163;55;491542;2,9761
18/10/2023;3,24;3,24;2,76;2,94;2,94;1007168;385;2961811;2,9407
17/10/2023;3,48;3,60;3,10;3,15;3,15;635982;136;2122255;3,3370
16/10/2023;3,25;3,40;3,02;3,38;3,38;629452;137;2038988;3,2393
13/10/2023;3,35;3,35;3,22;3,25;3,25;167012;48;543327;3,2532
12/10/2023;3,49;3,49;3,20;3,30;3,30;1022854;188;3423168;3,3467
11/10/2023;3,50;3,74;3,27;3,49;3,49;1566508;351;5489853;3,5045
10/10/2023;3,20;3,49;3,05;3,42;3,42;623997;169;2038067;3,2661
09/10/2023;3,30;3,30;3,06;3,24;3,24;568669;127;1800460;3,1661
06/10/2023;3,44;3,44;3,19;3,36;3,36;225910;66;733219;3,2456
05/10/2023;3,24;3,49;3,21;3,43;3,43;252730;74;838040;3,3159
04/10/2023;3,47;3,47;3,20;3,41;3,41;188096;86;628319;3,3404
03/10/2023;3,40;3,76;3,22;3,50;3,50;658211;141;2360170;3,5857
02/10/2023;3,99;3,99;3,51;3,65;3,65;727918;199;2688241;3,6931
29/09/2023;3,32;3,77;3,05;3,75;3,75;1015197;284;3487779;3,4356
28/09/2023;3,65;3,88;3,12;3,38;3,38;1815758;570;6178775;3,4029
27/09/2023;4,14;4,30;3,64;3,65;3,65;2150551;632;8573653;3,9867
26/09/2023;3,17;4,76;3,10;3,93;3,93;4246515;1293;16668861;3,9253
25/09/2023;2,63;3,20;2,44;3,10;3,10;1491815;412;4399180;2,9489
22/09/2023;2,35;2,70;2,25;2,63;2,63;1679266;364;4258528;2,5359
21/09/2023;2,30;2,35;2,21;2,34;2,34;348116;91;792512;2,2766
20/09/2023;1,98;2,45;1,90;2,40;2,40;1474492;335;3272182;2,2192
19/09/2023;1,83;2,10;1,75;1,98;1,98;1930511;406;3743792;1,9393
18/09/2023;1,64;1,795;1,60;1,715;1,715;82955;32;141509;1,7058
15/09/2023;1,655;1,655;1,58;1,585;1,585;24939;18;40358;1,6183
14/09/2023;1,56;1,68;1,56;1,645;1,645;36785;19;58447;1,5889
13/09/2023;1,62;1,69;1,57;1,63;1,63;23757;11;38279;1,6113
12/09/2023;1,62;1,70;1,62;1,68;1,68;34130;14;56528;1,6562
11/09/2023;1,64;1,70;1,585;1,68;1,68;37866;18;61675;1,6288
08/09/2023;1,54;1,59;1,51;1,59;1,59;186296;53;289275;1,5528
07/09/2023;1,60;1,64;1,545;1,595;1,595;201039;25;319702;1,5902
06/09/2023;1,94;1,94;1,495;1,60;1,60;251269;47;391716;1,5589
05/09/2023;1,51;1,95;1,51;1,73;1,73;84707;21;144510;1,7060
04/09/2023;1,70;1,73;1,42;1,62;1,62;115469;42;185340;1,6051
01/09/2023;1,745;1,745;1,63;1,695;1,695;27620;15;45319;1,6408
