"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010921299
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,00;1,00;0,86;0,946;0,946;10252686;535;9410869;0,9179
03/11/2023;1,17;1,225;1,09;1,18;1,18;1756656;151;2005287;1,1415
02/11/2023;1,15;1,185;1,08;1,165;1,165;1704901;180;1950927;1,1443
01/11/2023;1,05;1,145;1,015;1,13;1,13;1243455;127;1332739;1,0718
31/10/2023;1,02;1,09;1,01;1,05;1,05;843105;93;872880;1,0353
30/10/2023;1,12;1,19;1,005;1,08;1,08;2136263;187;2295666;1,0746
27/10/2023;1,20;1,20;1,135;1,15;1,15;1456408;157;1707383;1,1723
26/10/2023;1,20;1,20;1,065;1,155;1,155;2140389;177;2422752;1,1319
25/10/2023;1,175;1,20;1,145;1,18;1,18;1617274;256;1894324;1,1713
24/10/2023;1,13;1,21;1,105;1,14;1,14;1785306;197;2032921;1,1387
23/10/2023;1,20;1,23;1,04;1,18;1,18;3943447;359;4587335;1,1633
20/10/2023;1,24;1,29;1,125;1,165;1,165;6677361;661;7952255;1,1909
19/10/2023;1,06;1,30;1,02;1,22;1,22;9165738;789;10296186;1,1233
18/10/2023;1,085;1,145;0,958;1,025;1,025;4747888;342;4907477;1,0336
17/10/2023;0,98;1,06;0,98;1,04;1,04;1222992;141;1247299;1,0199
16/10/2023;0,90;0,99;0,89;0,986;0,986;2396073;213;2293582;0,9572
13/10/2023;0,938;0,938;0,888;0,93;0,93;436631;47;399306;0,9145
12/10/2023;0,902;0,926;0,886;0,91;0,91;252801;33;230311;0,9110
11/10/2023;0,986;0,986;0,85;0,872;0,872;369574;61;331863;0,8980
10/10/2023;0,872;0,978;0,872;0,924;0,924;1005472;81;911620;0,9067
09/10/2023;0,998;0,998;0,85;0,90;0,90;559057;54;501954;0,8979
06/10/2023;0,92;0,99;0,88;0,96;0,96;984879;171;912732;0,9267
05/10/2023;0,88;0,928;0,822;0,90;0,90;894565;64;777403;0,8690
04/10/2023;0,85;0,938;0,814;0,89;0,89;540862;81;470969;0,8708
03/10/2023;0,83;0,87;0,824;0,87;0,87;260784;41;221327;0,8487
02/10/2023;0,84;0,878;0,772;0,858;0,858;403027;46;329883;0,8185
29/09/2023;0,84;0,86;0,778;0,81;0,81;1120607;79;907468;0,8098
28/09/2023;0,86;0,908;0,848;0,86;0,86;617632;66;535801;0,8675
27/09/2023;0,92;0,92;0,87;0,906;0,906;1063953;70;948853;0,8918
