"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010405780
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;6,30;6,60;6,30;6,60;6,60;3064;5;19853;6,4795
03/11/2023;6,90;7,00;6,50;6,60;6,60;29892;11;201266;6,7331
02/11/2023;6,65;7,75;6,50;6,50;6,50;80513;31;542222;6,7346
01/11/2023;6,20;6,50;6,20;6,50;6,50;8920;9;56250;6,3061
31/10/2023;6,30;6,45;6,15;6,45;6,45;13412;12;84562;6,3049
30/10/2023;6,40;6,70;6,30;6,40;6,40;61039;28;394226;6,4586
27/10/2023;6,25;6,70;6,25;6,40;6,40;39929;20;261880;6,5586
26/10/2023;6,35;6,45;6,25;6,25;6,25;16538;22;105417;6,3742
25/10/2023;6,60;6,70;6,20;6,70;6,70;95590;41;621492;6,5016
24/10/2023;6,85;6,85;6,60;6,60;6,60;62400;35;420168;6,7335
23/10/2023;7,80;7,80;6,60;6,95;6,95;112761;67;795325;7,0532
20/10/2023;6,85;7,80;6,85;7,30;7,30;219356;89;1666672;7,5980
19/10/2023;7,00;7,20;7,00;7,05;7,05;23385;13;165222;7,0653
18/10/2023;6,85;7,00;6,60;7,00;7,00;90075;32;616718;6,8467
17/10/2023;7,35;7,35;6,70;6,85;6,85;73249;31;511263;6,9798
16/10/2023;7,60;7,60;6,85;7,00;7,00;28597;24;205677;7,1922
13/10/2023;7,10;7,50;7,00;7,10;7,10;73949;53;536396;7,2536
12/10/2023;8,00;8,00;7,00;7,00;7,00;171770;66;1282011;7,4635
11/10/2023;6,50;7,40;6,50;7,20;7,20;244702;108;1698422;6,9408
10/10/2023;6,75;6,95;6,50;6,75;6,75;251340;93;1667943;6,6362
09/10/2023;6,55;6,85;6,35;6,40;6,40;164287;66;1079854;6,5730
06/10/2023;6,85;7,10;6,50;6,50;6,50;118275;49;795675;6,7273
05/10/2023;6,90;6,90;6,20;6,65;6,65;109468;54;715195;6,5334
04/10/2023;7,05;7,05;6,50;6,55;6,55;103225;49;687430;6,6595
03/10/2023;7,00;7,35;6,40;6,50;6,50;373580;98;2466731;6,6030
02/10/2023;7,00;7,40;7,00;7,00;7,00;41229;26;294266;7,1374
29/09/2023;7,00;7,25;6,70;6,85;6,85;80653;33;553602;6,8640
28/09/2023;7,05;7,20;6,80;6,90;6,90;73093;54;510618;6,9859
27/09/2023;7,40;7,65;7,00;7,00;7,00;108923;58;768686;7,0572
26/09/2023;7,50;7,70;7,10;7,70;7,70;38329;23;287483;7,5004
25/09/2023;8,00;8,00;7,50;7,50;7,50;111870;50;854994;7,6427
22/09/2023;7,60;8,00;7,50;7,75;7,75;38958;25;307777;7,9002
21/09/2023;7,50;8,00;7,40;7,60;7,60;14810;22;113080;7,6354
20/09/2023;7,50;7,90;7,10;7,60;7,60;23575;20;176403;7,4826
19/09/2023;7,30;7,50;7,20;7,45;7,45;12427;12;91548;7,3668
18/09/2023;7,60;7,60;7,00;7,30;7,30;91049;39;652344;7,1648
15/09/2023;7,45;7,60;7,20;7,30;7,30;55925;20;417582;7,4668
14/09/2023;7,85;7,85;7,05;7,20;7,20;87535;38;636021;7,2659
13/09/2023;7,55;7,90;7,30;7,60;7,60;28289;24;214856;7,5951
12/09/2023;7,75;7,80;7,50;7,55;7,55;107982;46;818740;7,5822
11/09/2023;7,80;7,95;7,80;7,95;7,95;8964;10;70371;7,8504
08/09/2023;8,00;8,50;7,50;7,80;7,80;126669;48;982111;7,7534
07/09/2023;8,25;8,50;7,70;8,00;8,00;99730;70;795894;7,9805
06/09/2023;9,15;9,15;8,20;8,25;8,25;88260;45;746029;8,4526
05/09/2023;9,60;9,60;8,90;8,90;8,90;36408;29;332326;9,1278
04/09/2023;10,00;10,00;9,00;9,30;9,30;43111;38;396978;9,2083
01/09/2023;9,35;9,95;9,30;9,80;9,80;21223;19;203178;9,5735
31/08/2023;10,00;10,00;9,45;9,45;9,45;19843;18;189703;9,5602
30/08/2023;10,00;10,00;9,30;9,60;9,60;85932;51;827522;9,6300
29/08/2023;9,95;10,00;9,55;9,80;9,80;40071;44;388775;9,7021
28/08/2023;10,20;10,30;9,60;9,60;9,60;216896;116;2160339;9,9603
25/08/2023;9,30;10,40;9,10;10,10;10,10;150364;117;1486023;9,8828
24/08/2023;10,00;10,00;9,10;9,20;9,20;31812;35;295065;9,2753
23/08/2023;9,60;10,00;9,20;9,60;9,60;50324;66;487800;9,6932
22/08/2023;9,70;9,70;8,90;9,35;9,35;44876;43;410116;9,1389
21/08/2023;9,70;10,00;9,40;9,55;9,55;79219;79;762547;9,6258
18/08/2023;10,20;10,30;9,65;10,00;10,00;102457;82;1019589;9,9514
17/08/2023;11,00;11,00;9,70;10,20;10,20;243534;212;2498589;10,2597
16/08/2023;11,80;12,20;10,60;11,00;11,00;170513;188;1917739;11,2469
15/08/2023;13,10;14,40;11,40;12,00;12,00;548671;512;7203185;13,1284
14/08/2023;9,60;14,40;8,45;12,80;12,80;850633;671;9859889;11,5912
11/08/2023;9,50;9,80;8,55;8,85;8,85;544225;353;5108872;9,3874
10/08/2023;8,85;8,85;7,30;8,15;8,15;104858;56;822613;7,8450
09/08/2023;6,80;8,95;6,80;8,40;8,40;72772;72;567788;7,8023
08/08/2023;0,00;0,00;0,00;0,00;6,95;0;0;0;0,0000
07/08/2023;6,35;7,05;6,35;6,95;6,95;25544;14;175528;6,8716
04/08/2023;7,00;7,00;7,00;7,00;7,00;1000;1;7000;7,0000
03/08/2023;6,50;7,05;6,50;7,00;7,00;11246;8;77786;6,9168
02/08/2023;6,60;6,75;6,40;6,50;6,50;22122;14;144534;6,5335
01/08/2023;7,30;7,30;6,30;6,85;6,85;63009;36;408999;6,4911
31/07/2023;7,20;7,20;7,20;7,20;7,20;80;1;576;7,2000
28/07/2023;7,30;7,30;6,45;6,60;6,60;32021;27;219298;6,8486
27/07/2023;7,00;7,00;6,40;6,80;6,80;6635;10;44078;6,6432
26/07/2023;7,00;7,20;6,80;6,80;6,80;5493;7;38452;7,0003
25/07/2023;7,00;7,00;7,00;7,00;7,00;2200;1;15400;7,0000
24/07/2023;7,60;7,80;6,85;7,20;7,20;32719;20;230822;7,0547
21/07/2023;7,10;7,70;7,10;7,55;7,55;3151;7;23461;7,4455
20/07/2023;7,50;7,80;6,65;7,10;7,10;2903;6;20820;7,1719
19/07/2023;6,65;7,00;6,65;7,00;7,00;12454;7;86273;6,9273
18/07/2023;6,60;6,80;6,55;6,55;6,55;5706;10;37891;6,6405
17/07/2023;6,60;7,10;6,60;7,10;7,10;4603;4;30880;6,7086
14/07/2023;6,90;7,25;6,70;7,00;7,00;20804;11;144459;6,9438
13/07/2023;7,00;7,90;6,45;6,50;6,50;105996;28;707680;6,6765
12/07/2023;7,05;7,60;7,00;7,60;7,60;4392;6;31611;7,1975
11/07/2023;7,25;7,70;7,25;7,70;7,70;3269;3;24080;7,3662
10/07/2023;9,00;9,50;7,00;7,00;7,00;19788;36;154534;7,8095
07/07/2023;6,75;7,70;6,75;7,50;7,50;1505;8;11561;7,6816
06/07/2023;6,60;7,40;6,60;7,40;7,40;2543;7;18039;7,0935
05/07/2023;6,60;7,20;6,60;6,70;6,70;681;5;4867;7,1467
04/07/2023;6,85;7,85;6,65;7,20;7,20;21415;13;149689;6,9899
03/07/2023;7,35;7,35;6,50;7,25;7,25;4786;9;34000;7,1040
