"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0013008664
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;64,00;64,00;63,81;63,81;63,81;418;4;26692;63,8555
03/11/2023;64,62;64,70;64,62;64,70;64,70;530;3;34258;64,6368
02/11/2023;0,00;0,00;0,00;0,00;64,99;0;0;0;0,0000
01/11/2023;64,99;64,99;64,99;64,99;64,99;5;2;325;64,9900
31/10/2023;0,00;0,00;0,00;0,00;64,00;0;0;0;0,0000
30/10/2023;62,81;64,00;62,81;64,00;64,00;1437;9;91460;63,6463
27/10/2023;62,90;62,90;62,90;62,90;62,90;50;1;3145;62,9000
26/10/2023;0,00;0,00;0,00;0,00;64,50;0;0;0;0,0000
25/10/2023;0,00;0,00;0,00;0,00;64,50;0;0;0;0,0000
24/10/2023;64,50;64,50;64,50;64,50;64,50;1;1;65;64,5000
23/10/2023;64,20;64,50;63,00;63,00;63,00;1200;6;77064;64,2200
20/10/2023;63,00;64,00;63,00;64,00;64,00;539;4;34407;63,8349
19/10/2023;62,51;62,51;61,00;61,00;61,00;1490;9;91967;61,7226
18/10/2023;62,51;62,51;62,51;62,51;62,51;213;4;13315;62,5100
17/10/2023;64,00;64,01;62,50;62,50;62,50;1229;9;77380;62,9619
16/10/2023;68,00;68,00;63,50;63,50;63,50;1325;7;84307;63,6278
13/10/2023;67,50;67,50;65,00;65,00;65,00;5590;27;371640;66,4831
12/10/2023;68,98;68,98;66,90;66,99;66,99;15445;6;1035203;67,0251
11/10/2023;67,01;67,01;65,99;66,00;66,00;1450;6;96189;66,3372
10/10/2023;64,01;67,00;64,01;66,49;66,49;1823;14;119431;65,5132
09/10/2023;66,01;66,01;64,00;64,00;64,00;1941;10;127321;65,5955
06/10/2023;66,50;69,00;65,99;66,00;66,00;3816;14;254594;66,7176
05/10/2023;0,00;0,00;0,00;0,00;69,10;0;0;0;0,0000
04/10/2023;69,10;69,10;69,10;69,10;69,10;30;1;2073;69,1000
03/10/2023;75,00;76,00;69,10;69,10;69,10;3108;18;223787;72,0036
02/10/2023;74,84;75,00;71,10;72,00;72,00;5535;27;409254;73,9394
29/09/2023;67,51;80,00;67,51;73,40;73,40;1607;23;118337;73,6382
28/09/2023;0,00;0,00;0,00;0,00;0,01;0;0;0;0,0000
