"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010159684
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;215,00;215,00;206,00;209,00;209,00;6206;17;1319547;212,6244
03/11/2023;214,00;217,00;210,00;216,00;216,00;940;32;202679;215,6160
02/11/2023;210,00;221,00;206,00;208,00;208,00;23064;111;4849589;210,2666
01/11/2023;199,00;211,00;196,50;211,00;211,00;3157;42;649548;205,7485
31/10/2023;192,50;198,00;191,50;193,50;193,50;3072;42;592918;193,0072
30/10/2023;183,50;190,00;182,50;190,00;190,00;668;21;124322;186,1100
27/10/2023;182,00;189,50;174,50;189,50;189,50;5859;52;1066180;181,9730
26/10/2023;180,00;184,50;180,00;183,00;183,00;3600;29;658445;182,9014
25/10/2023;185,00;186,00;183,00;186,00;186,00;1243;10;230694;185,5945
24/10/2023;181,00;192,00;179,50;188,00;188,00;3123;41;574011;183,8012
23/10/2023;179,50;184,00;170,50;184,00;184,00;25682;29;4574885;178,1359
20/10/2023;185,00;185,00;180,00;185,00;185,00;7821;49;1424167;182,0953
19/10/2023;197,00;197,00;186,50;187,50;187,50;6681;59;1256493;188,0695
18/10/2023;184,50;197,00;183,00;189,50;189,50;10946;105;2067892;188,9176
17/10/2023;188,00;195,50;180,00;195,50;195,50;6041;64;1135175;187,9117
16/10/2023;193,50;200,00;190,00;194,50;194,50;6427;49;1252782;194,9248
13/10/2023;199,00;199,00;193,50;195,50;195,50;12453;33;2467398;198,1368
12/10/2023;201,00;201,00;199,00;200,00;200,00;1962;33;391599;199,5917
11/10/2023;204,00;205,00;187,00;200,00;200,00;9293;86;1834916;197,4514
10/10/2023;206,00;210,00;205,00;205,00;205,00;1512;22;312698;206,8108
09/10/2023;210,00;210,00;205,00;205,00;205,00;7113;79;1465294;206,0022
06/10/2023;210,00;222,00;210,00;210,00;210,00;5473;84;1177201;215,0925
05/10/2023;205,00;211,00;205,00;211,00;211,00;1681;44;351449;209,0714
04/10/2023;203,00;209,00;203,00;206,00;206,00;170;11;35099;206,4647
03/10/2023;207,00;210,00;203,00;210,00;210,00;1295;39;268182;207,0903
02/10/2023;212,00;212,00;209,00;211,00;211,00;15776;19;3328177;210,9646
29/09/2023;210,00;213,00;208,00;213,00;213,00;2065;27;432935;209,6538
28/09/2023;212,00;216,00;212,00;216,00;216,00;2274;26;485975;213,7091
27/09/2023;214,00;215,00;212,00;215,00;215,00;8258;19;1767339;214,0154
26/09/2023;213,00;215,00;212,00;214,00;214,00;34446;11;7370869;213,9833
25/09/2023;208,00;213,00;208,00;213,00;213,00;1161;12;245793;211,7080
22/09/2023;213,00;217,00;212,00;216,00;216,00;1436;21;308713;214,9812
21/09/2023;210,00;218,00;210,00;217,00;217,00;772;18;166704;215,9378
