"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0006001908
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;161,00;161,00;161,00;161,00;161,00;44;1;7084;161,0000
03/11/2023;162,00;162,00;159,00;160,00;160,00;1019;9;163403;160,3562
02/11/2023;160,00;162,00;160,00;162,00;162,00;596;5;96411;161,7634
01/11/2023;0,00;0,00;0,00;0,00;160,00;0;0;0;0,0000
31/10/2023;160,00;160,00;160,00;160,00;160,00;1035;6;165600;160,0000
30/10/2023;159,00;159,00;159,00;159,00;159,00;12;2;1908;159,0000
27/10/2023;155,00;155,00;155,00;155,00;155,00;210;4;32550;155,0000
26/10/2023;161,00;161,00;156,00;158,00;158,00;96;3;15178;158,1042
25/10/2023;0,00;0,00;0,00;0,00;160,00;0;0;0;0,0000
24/10/2023;160,00;161,00;160,00;160,00;160,00;772;8;123570;160,0648
23/10/2023;157,00;157,00;157,00;157,00;157,00;45;1;7065;157,0000
20/10/2023;157,00;157,00;157,00;157,00;157,00;290;4;45530;157,0000
19/10/2023;161,00;161,00;158,00;158,00;158,00;164;4;26254;160,0854
18/10/2023;160,00;161,00;160,00;161,00;161,00;265;3;42615;160,8113
17/10/2023;160,00;160,00;156,00;158,00;158,00;1224;6;191832;156,7255
16/10/2023;160,00;160,00;160,00;160,00;160,00;20;1;3200;160,0000
13/10/2023;160,00;160,00;160,00;160,00;160,00;300;3;48000;160,0000
12/10/2023;159,00;159,00;159,00;159,00;159,00;50;1;7950;159,0000
11/10/2023;158,00;159,00;158,00;159,00;159,00;100;2;15850;158,5000
10/10/2023;155,00;159,00;155,00;156,00;156,00;198;7;31006;156,5960
09/10/2023;157,00;157,00;157,00;157,00;157,00;7;1;1099;157,0000
06/10/2023;0,00;0,00;0,00;0,00;155,00;0;0;0;0,0000
05/10/2023;155,00;155,00;155,00;155,00;155,00;7241;5;1153855;159,3502
04/10/2023;155,00;155,00;155,00;155,00;155,00;253;3;39215;155,0000
03/10/2023;156,00;156,00;156,00;156,00;156,00;10;1;1560;156,0000
02/10/2023;158,00;158,00;158,00;158,00;158,00;222;3;35076;158,0000
29/09/2023;156,00;157,00;156,00;157,00;157,00;95;7;14893;156,7684
28/09/2023;157,00;157,00;156,00;156,00;156,00;246;3;38426;156,2033
27/09/2023;0,00;0,00;0,00;0,00;157,00;0;0;0;0,0000
26/09/2023;157,00;157,00;157,00;157,00;157,00;23;2;3611;157,0000
25/09/2023;160,00;160,00;157,00;157,00;157,00;1683;3;264336;157,0624
22/09/2023;0,00;0,00;0,00;0,00;162,00;0;0;0;0,0000
21/09/2023;0,00;0,00;0,00;0,00;162,00;0;0;0;0,0000
20/09/2023;162,00;162,00;162,00;162,00;162,00;336;3;54432;162,0000
19/09/2023;162,00;162,00;162,00;162,00;162,00;22;2;3564;162,0000
18/09/2023;162,00;162,00;162,00;162,00;162,00;58;3;9396;162,0000
15/09/2023;0,00;0,00;0,00;0,00;161,00;0;0;0;0,0000
14/09/2023;155,00;161,00;155,00;161,00;161,00;1532;14;239947;156,6234
13/09/2023;157,00;157,00;155,00;156,00;156,00;1540;4;238900;155,1299
12/09/2023;159,00;160,00;159,00;160,00;160,00;52;2;8270;159,0385
11/09/2023;157,00;157,00;156,00;156,00;156,00;290;3;45280;156,1379
08/09/2023;0,00;0,00;0,00;0,00;157,00;0;0;0;0,0000
