"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010895022
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;3,47;3,47;3,31;3,31;3,31;19425;10;67075;3,4530
03/11/2023;3,40;3,46;3,33;3,46;3,46;7676;11;26211;3,4146
02/11/2023;3,36;3,52;3,26;3,30;3,30;47230;21;159217;3,3711
01/11/2023;3,20;3,59;3,20;3,36;3,36;20465;7;66611;3,2549
31/10/2023;3,28;3,29;3,21;3,27;3,27;94296;15;306542;3,2508
30/10/2023;3,15;3,34;3,15;3,22;3,22;69469;19;225093;3,2402
27/10/2023;3,30;3,30;3,18;3,30;3,30;29671;8;96146;3,2404
26/10/2023;3,25;3,40;3,15;3,40;3,40;65877;18;212518;3,2260
25/10/2023;3,35;3,35;3,35;3,35;3,35;27;1;90;3,3500
24/10/2023;3,33;3,43;3,29;3,40;3,40;1314;6;4395;3,3447
23/10/2023;3,31;3,51;3,31;3,33;3,33;3460;8;11643;3,3651
20/10/2023;3,32;3,32;3,31;3,31;3,31;29579;12;98152;3,3183
19/10/2023;3,50;3,56;3,35;3,35;3,35;5575;7;19178;3,4399
18/10/2023;3,41;3,57;3,35;3,50;3,50;113934;44;392581;3,4457
17/10/2023;3,54;3,54;3,32;3,32;3,32;41395;9;140180;3,3864
16/10/2023;3,31;3,41;3,25;3,41;3,41;163447;27;541340;3,3120
13/10/2023;3,30;3,37;3,22;3,28;3,28;31190;12;101958;3,2689
12/10/2023;3,31;3,41;3,25;3,31;3,31;2726644;23;8870709;3,2533
11/10/2023;3,57;3,57;3,25;3,30;3,30;160612;42;529916;3,2994
10/10/2023;3,59;3,59;3,40;3,40;3,40;7571;8;26145;3,4534
09/10/2023;3,84;3,84;3,30;3,40;3,40;273498;55;923849;3,3779
06/10/2023;3,79;3,79;3,50;3,50;3,50;1077;5;3924;3,6436
05/10/2023;3,85;3,85;3,52;3,68;3,68;57455;20;206700;3,5976
04/10/2023;3,58;3,75;3,44;3,55;3,55;259247;57;925611;3,5704
03/10/2023;3,78;3,87;3,53;3,53;3,53;217534;50;812227;3,7338
02/10/2023;3,40;3,78;3,40;3,78;3,78;320125;57;1141566;3,5660
29/09/2023;3,30;3,37;3,29;3,37;3,37;361381;42;1194280;3,3048
28/09/2023;3,30;3,30;3,26;3,30;3,30;112590;20;370967;3,2948
27/09/2023;3,09;3,29;3,09;3,25;3,25;65224;21;211275;3,2392
26/09/2023;3,31;3,35;3,22;3,26;3,26;326722;31;1074787;3,2896
25/09/2023;3,20;3,39;3,15;3,29;3,29;543400;79;1753665;3,2272
22/09/2023;2,82;3,07;2,82;3,06;3,06;37821974;66;122804792;3,2469
21/09/2023;2,99;2,99;2,99;2,99;2,99;1062;4;3175;2,9900
20/09/2023;2,98;3,00;2,98;3,00;3,00;100086;11;298257;2,9800
19/09/2023;2,82;2,98;2,82;2,95;2,95;15159;8;43520;2,8709
18/09/2023;2,90;3,00;2,90;3,00;3,00;9944;7;29094;2,9258
15/09/2023;2,98;2,98;2,93;2,93;2,93;1446;2;4237;2,9300
14/09/2023;3,01;3,02;2,91;2,91;2,91;2988;6;8816;2,9506
13/09/2023;2,94;2,95;2,92;2,94;2,94;15778;7;46410;2,9414
12/09/2023;2,99;3,02;2,94;2,94;2,94;6669;9;19952;2,9917
11/09/2023;3,02;3,02;2,92;2,92;2,92;65599;21;195125;2,9745
08/09/2023;3,05;3,05;2,91;2,93;2,93;3680;6;11167;3,0346
07/09/2023;3,00;3,01;2,98;2,98;2,98;17123;6;51368;2,9999
06/09/2023;3,03;3,03;2,95;2,95;2,95;949740;7;2801822;2,9501
05/09/2023;3,03;3,03;2,95;3,00;3,00;15705;11;46635;2,9694
04/09/2023;2,98;3,00;2,98;3,00;3,00;452;3;1354;2,9956
01/09/2023;3,03;3,03;2,99;2,99;2,99;15247;8;45854;3,0074
31/08/2023;2,97;3,00;2,97;3,00;3,00;60017;5;178251;2,9700
30/08/2023;3,00;3,02;2,99;3,00;3,00;52201;5;156103;2,9904
29/08/2023;3,00;3,03;2,97;2,98;2,98;20054;9;59879;2,9859
28/08/2023;2,96;3,00;2,96;2,99;2,99;30555;6;91617;2,9984
25/08/2023;3,03;3,03;2,96;2,96;2,96;8622;7;25944;3,0090
24/08/2023;3,02;3,03;2,96;2,96;2,96;374;3;1128;3,0173
23/08/2023;2,95;3,03;2,95;3,03;3,03;86528;19;256201;2,9609
22/08/2023;2,97;3,00;2,95;2,96;2,96;69022;12;203804;2,9527
21/08/2023;2,96;3,00;2,96;3,00;3,00;133391;18;398471;2,9872
18/08/2023;3,07;3,07;3,00;3,00;3,00;39293;6;117891;3,0003
17/08/2023;3,03;3,06;2,99;2,99;2,99;17653;11;53211;3,0143
16/08/2023;3,09;3,09;2,97;2,98;2,98;45083;19;136699;3,0322
15/08/2023;3,10;3,10;3,05;3,08;3,08;60678;11;186290;3,0701
14/08/2023;3,00;3,04;2,97;3,00;3,00;128880;29;385414;2,9905
11/08/2023;2,97;3,00;2,97;3,00;3,00;47584;10;142685;2,9986
10/08/2023;3,05;3,05;2,96;2,98;2,98;2831690;27;8494242;2,9997
09/08/2023;3,10;3,10;2,83;3,00;3,00;247893;73;728311;2,9380
08/08/2023;3,00;3,00;2,88;2,94;2,94;441409;87;1312181;2,9727
07/08/2023;2,85;2,96;2,85;2,86;2,86;426;4;1218;2,8584
04/08/2023;3,01;3,01;2,86;2,87;2,87;93394;11;278392;2,9808
03/08/2023;3,07;3,07;3,04;3,04;3,04;46;3;140;3,0433
02/08/2023;3,10;3,10;2,86;2,86;2,86;137931;29;404724;2,9343
01/08/2023;2,73;3,00;2,73;2,90;2,90;140341;38;407913;2,9066
31/07/2023;3,10;3,10;2,91;2,91;2,91;2873;14;8662;3,0151
28/07/2023;2,88;3,06;2,88;2,90;2,90;52283;27;153300;2,9321
27/07/2023;2,65;2,95;2,65;2,91;2,91;122340;26;347151;2,8376
26/07/2023;2,65;2,75;2,65;2,71;2,71;28816;5;78507;2,7244
25/07/2023;2,62;2,74;2,62;2,74;2,74;16440;10;44918;2,7322
24/07/2023;2,90;2,90;2,65;2,69;2,69;100268;27;266610;2,6590
21/07/2023;2,90;2,90;2,65;2,90;2,90;1225;6;3309;2,7010
20/07/2023;2,61;2,86;2,61;2,86;2,86;18063;20;48755;2,6992
19/07/2023;2,71;2,75;2,60;2,70;2,70;78334;44;208637;2,6634
18/07/2023;2,74;2,74;2,56;2,69;2,69;177616;48;472804;2,6619
17/07/2023;2,70;2,72;2,48;2,65;2,65;250416;52;663551;2,6498
14/07/2023;2,67;2,70;2,59;2,62;2,62;286969;32;756746;2,6370
13/07/2023;2,66;2,72;2,60;2,65;2,65;242359;27;646653;2,6682
12/07/2023;2,80;2,80;2,68;2,80;2,80;26469;9;71229;2,6911
11/07/2023;2,72;2,72;2,69;2,70;2,70;69310;19;187371;2,7034
10/07/2023;2,76;3,09;2,75;2,75;2,75;100961;10;278647;2,7600
07/07/2023;2,76;2,82;2,76;2,76;2,76;20208;4;55776;2,7601
06/07/2023;2,90;2,90;2,75;2,76;2,76;2562;8;7076;2,7619
05/07/2023;2,96;2,97;2,74;2,85;2,85;80473;23;226198;2,8109
04/07/2023;3,20;3,20;2,89;2,99;2,99;6583;10;19185;2,9144
03/07/2023;3,10;3,10;3,00;3,00;3,00;30134;6;91592;3,0395
30/06/2023;3,00;3,09;2,85;3,03;3,03;26873;11;80644;3,0009
29/06/2023;2,98;3,09;2,98;3,09;3,09;83;4;251;3,0198
28/06/2023;2,93;3,04;2,93;3,04;3,04;50904;9;149686;2,9406
27/06/2023;2,83;2,93;2,80;2,93;2,93;2008;5;5626;2,8020
26/06/2023;2,83;2,91;2,76;2,76;2,76;54366;13;153089;2,8159
23/06/2023;2,85;2,94;2,83;2,83;2,83;2039;4;5801;2,8449
22/06/2023;2,83;2,83;2,83;2,83;2,83;716;2;2026;2,8300
21/06/2023;2,80;2,89;2,80;2,83;2,83;5925;7;16649;2,8100
20/06/2023;2,92;2,93;2,92;2,93;2,93;15010;3;43829;2,9200
19/06/2023;2,94;2,94;2,71;2,90;2,90;4271;8;11740;2,7487
16/06/2023;2,90;2,90;2,75;2,90;2,90;65587;14;181786;2,7717
15/06/2023;2,90;2,90;2,74;2,74;2,74;16213;11;46337;2,8580
14/06/2023;2,77;2,77;2,76;2,76;2,76;1844;4;5091;2,7607
13/06/2023;2,76;2,85;2,76;2,76;2,76;1324;4;3663;2,7663
12/06/2023;2,77;2,92;2,77;2,77;2,77;1908;4;5289;2,7721
09/06/2023;2,94;2,94;2,71;2,80;2,80;33808;12;92078;2,7236
08/06/2023;2,90;2,90;2,73;2,75;2,75;85687;20;238711;2,7858
07/06/2023;0,00;0,00;0,00;0,00;2,72;0;0;0;0,0000
06/06/2023;2,93;2,93;2,72;2,72;2,72;15857;15;43334;2,7328
05/06/2023;2,83;2,84;2,75;2,75;2,75;26456;10;74146;2,8026
02/06/2023;2,75;2,90;2,75;2,80;2,80;17623;12;50235;2,8505
01/06/2023;2,75;2,81;2,75;2,75;2,75;1863;8;5124;2,7505
31/05/2023;2,83;2,89;2,75;2,75;2,75;34698;12;97857;2,8203
30/05/2023;2,93;2,93;2,82;2,82;2,82;37537;20;106905;2,8480
29/05/2023;0,00;0,00;0,00;0,00;2,89;0;0;0;0,0000
26/05/2023;2,92;2,92;2,85;2,89;2,89;26238;6;75356;2,8720
25/05/2023;2,80;2,90;2,80;2,87;2,87;15789;13;44906;2,8441
24/05/2023;2,74;2,88;2,73;2,75;2,75;28056;12;77312;2,7556
23/05/2023;2,94;2,94;2,73;2,73;2,73;7858;3;21858;2,7816
22/05/2023;2,80;2,80;2,80;2,80;2,80;10644;4;29803;2,8000
19/05/2023;2,80;2,80;2,75;2,75;2,75;40874;14;113467;2,7760
18/05/2023;0,00;0,00;0,00;0,00;2,80;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;2,80;0;0;0;0,0000
16/05/2023;2,76;2,80;2,76;2,80;2,80;25103;11;69626;2,7736
15/05/2023;2,80;2,86;2,80;2,80;2,80;32011;17;89682;2,8016
12/05/2023;2,80;2,89;2,78;2,89;2,89;131630;19;368630;2,8005
11/05/2023;2,80;2,81;2,80;2,80;2,80;12288;6;34423;2,8014
