"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003054108
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;180,20;181,10;179,10;179,40;179,40;661660;1766;118875058;179,6618
03/11/2023;182,10;182,45;180,15;180,55;180,55;433957;1400;78467048;180,8176
02/11/2023;180,05;182,25;180,05;181,65;181,65;561016;1590;101749725;181,3669
01/11/2023;180,40;180,65;176,80;179,75;179,75;899339;2401;160819011;178,8191
31/10/2023;179,15;181,85;179,10;181,30;181,30;678773;1491;122947392;181,1318
30/10/2023;178,15;179,20;176,65;178,15;178,15;450244;1170;80174943;178,0700
27/10/2023;177,05;182,10;176,85;178,05;178,05;535702;1868;95967379;179,1432
26/10/2023;176,10;178,00;174,65;177,05;177,05;443967;1235;78527161;176,8761
25/10/2023;175,85;178,95;174,95;176,95;176,95;558938;1922;98937205;177,0093
24/10/2023;173,65;176,55;172,35;175,40;175,40;1329628;3000;232616648;174,9487
23/10/2023;176,25;177,00;173,30;174,45;174,45;651643;2065;113680493;174,4521
20/10/2023;181,30;181,55;176,10;176,10;176,10;1359162;2420;244463395;179,8633
19/10/2023;183,85;184,80;181,70;182,15;182,15;640070;1434;116933649;182,6888
18/10/2023;182,00;186,00;180,50;184,80;184,80;1193432;3278;219236104;183,7022
17/10/2023;188,35;189,00;187,20;187,75;187,75;518613;1236;97488590;187,9795
16/10/2023;187,00;188,55;185,80;188,35;188,35;535851;1822;100678772;187,8858
13/10/2023;187,70;189,35;185,25;186,65;186,65;565896;1550;105651309;186,6974
12/10/2023;188,20;190,00;188,00;188,50;188,50;610393;2194;115345907;188,9699
11/10/2023;185,20;189,50;184,40;187,80;187,80;767808;1811;144100923;187,6783
10/10/2023;185,00;186,15;183,25;185,80;185,80;899610;2386;166740827;185,3479
09/10/2023;184,05;184,85;182,45;183,75;183,75;605316;1518;111192173;183,6928
06/10/2023;185,75;186,50;183,85;183,95;183,95;460595;1374;84950283;184,4360
05/10/2023;185,00;186,95;184,05;185,95;185,95;488714;1325;90777133;185,7469
04/10/2023;186,65;187,60;183,90;184,20;184,20;622701;1875;115152981;184,9250
03/10/2023;189,70;191,00;187,35;187,55;187,55;742576;2025;139664855;188,0816
02/10/2023;189,75;192,90;189,75;189,75;189,75;1170943;1740;222689948;190,1800
29/09/2023;189,05;191,80;189,00;189,55;189,55;663830;1596;126001893;189,8105
28/09/2023;189,75;190,70;187,50;188,15;188,15;789757;2358;148947828;188,5996
27/09/2023;186,90;191,50;185,40;189,95;189,95;1183301;3536;224281972;189,5392
26/09/2023;186,85;187,80;184,40;186,90;186,90;485347;1510;90609052;186,6892
25/09/2023;192,00;192,00;187,50;187,50;187,50;616557;1821;116115217;188,3284
22/09/2023;193,90;193,90;192,05;192,30;192,30;447134;1411;86077529;192,5095
21/09/2023;196,50;197,20;193,50;194,50;194,50;633449;1391;123254247;194,5764
20/09/2023;196,60;197,25;195,55;196,55;196,55;569387;1219;111945388;196,6069
19/09/2023;196,00;197,45;194,95;195,55;195,55;582840;1468;114132632;195,8216
18/09/2023;193,65;196,85;193,65;196,10;196,10;545944;1786;106772411;195,5739
15/09/2023;197,90;199,30;194,10;195,35;195,35;2448432;3014;478445003;195,4087
14/09/2023;193,65;198,10;192,75;197,00;197,00;1441462;3072;282926064;196,2772
13/09/2023;192,55;193,70;191,70;192,25;192,25;725192;1760;139500317;192,3633
12/09/2023;193,80;195,35;192,55;192,60;192,60;707533;1663;136663985;193,1556
11/09/2023;191,40;194,00;191,40;193,40;193,40;864986;2100;167287590;193,3992
08/09/2023;191,00;192,55;190,55;191,40;191,40;640510;1428;122667331;191,5151
07/09/2023;190,50;192,55;190,35;190,40;190,40;649796;1715;123959846;190,7673
06/09/2023;194,05;195,40;190,60;191,10;191,10;823454;2346;158079317;191,9710
05/09/2023;191,45;193,25;191,20;192,40;192,40;610221;1328;117434025;192,4451
04/09/2023;192,55;193,65;191,25;192,00;192,00;514795;1678;99099429;192,5027
01/09/2023;190,75;193,45;190,15;192,00;192,00;616807;1791;118469340;192,0687
31/08/2023;191,25;193,35;189,90;193,00;193,00;1346501;1846;259009771;192,3577
30/08/2023;191,10;192,55;190,05;190,70;190,70;701072;1640;133846651;190,9171
29/08/2023;193,40;194,05;190,15;190,75;190,75;754392;2040;144339165;191,3318
28/08/2023;188,95;193,40;188,50;192,95;192,95;499670;1624;96061151;192,2492
25/08/2023;187,00;190,70;186,70;188,35;188,35;832803;2094;157185087;188,7422
24/08/2023;184,75;188,70;180,50;187,75;187,75;1224638;3043;228453471;186,5478
23/08/2023;180,60;187,95;179,15;184,90;184,90;1442257;3521;267015462;185,1372
22/08/2023;182,45;183,00;178,80;179,65;179,65;826827;2410;148802352;179,9679
21/08/2023;181,90;185,15;181,90;182,35;182,35;731266;1536;133789970;182,9566
18/08/2023;186,25;186,40;180,50;181,65;181,65;774595;2346;141212520;182,3050
17/08/2023;184,60;186,90;184,25;186,40;186,40;805957;1978;150149683;186,2999
16/08/2023;181,75;184,75;181,40;184,70;184,70;549907;1472;101183923;184,0019
15/08/2023;183,00;185,75;181,60;181,75;181,75;498818;1428;90984349;182,3999
14/08/2023;180,00;183,55;179,80;181,80;181,80;539333;1749;98220238;182,1143
11/08/2023;178,05;181,80;177,85;180,05;180,05;470688;1396;84823531;180,2118
10/08/2023;179,55;179,85;176,95;179,05;179,05;585255;1369;104625426;178,7690
09/08/2023;178,40;180,90;176,90;180,10;180,10;732598;1676;131802424;179,9110
08/08/2023;177,00;178,10;175,70;177,85;177,85;621608;1339;110448016;177,6811
07/08/2023;177,60;178,95;176,45;177,10;177,10;398254;1113;70606636;177,2905
04/08/2023;178,55;178,60;175,90;177,60;177,60;427926;1545;75905338;177,3796
03/08/2023;177,45;179,80;177,25;178,00;178,00;421474;1597;75030868;178,0202
02/08/2023;180,75;182,75;178,00;178,00;178,00;578042;1610;103460813;178,9849
01/08/2023;177,55;180,75;176,75;180,75;180,75;522985;1199;94107209;179,9425
31/07/2023;176,00;179,45;176,00;178,25;178,25;626101;1437;111632259;178,2975
28/07/2023;178,40;178,90;175,65;175,80;175,80;486453;1164;85704692;176,1829
27/07/2023;176,00;179,00;175,80;179,00;179,00;496001;1033;88542671;178,5131
26/07/2023;176,00;177,30;174,20;175,50;175,50;418979;1298;73584786;175,6288
25/07/2023;176,80;177,50;175,20;176,25;176,25;369109;1184;65032509;176,1878
24/07/2023;177,75;178,50;175,90;176,95;176,95;350879;1254;62086060;176,9444
21/07/2023;178,10;178,95;176,95;178,40;178,40;573300;1349;102260703;178,3721
20/07/2023;174,70;178,50;174,70;177,20;177,20;683742;1967;121158229;177,1988
19/07/2023;170,10;176,10;170,10;175,60;175,60;546919;1827;95742832;175,0585
18/07/2023;168,80;170,45;168,45;170,10;170,10;490895;1498;83376981;169,8469
17/07/2023;171,60;171,60;167,75;169,00;169,00;700738;1405;118594985;169,2430
14/07/2023;175,00;176,00;171,45;172,30;172,30;518764;1687;89778011;173,0614
13/07/2023;174,80;174,80;171,90;174,00;174,00;908492;1306;157956303;173,8665
