"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010791353
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;14,80;14,84;14,25;14,345;14,345;11169555;5696;162052525;14,5084
03/11/2023;15,865;15,885;15,13;15,165;15,165;5781164;3507;88849175;15,3687
02/11/2023;15,80;15,93;15,59;15,865;15,865;2294922;1575;36243940;15,7931
01/11/2023;15,80;15,915;15,645;15,735;15,735;1808056;1553;28584728;15,8096
31/10/2023;15,80;15,855;15,355;15,775;15,775;5399415;3386;84126646;15,5807
30/10/2023;16,17;16,19;15,81;15,89;15,89;2619193;1996;41757828;15,9430
27/10/2023;16,00;16,335;15,97;16,14;16,14;2555993;1756;41312947;16,1632
26/10/2023;16,10;16,365;15,80;15,80;15,80;3589345;2946;57563556;16,0373
25/10/2023;17,22;17,22;15,81;15,95;15,95;11314890;7747;183628906;16,2290
24/10/2023;17,05;17,435;17,05;17,365;17,365;1063339;866;18425729;17,3282
23/10/2023;17,36;17,485;17,035;17,10;17,10;1722715;1608;29660642;17,2174
20/10/2023;17,64;17,645;17,31;17,365;17,365;1470983;1456;25643253;17,4327
19/10/2023;17,62;17,72;17,215;17,63;17,63;2630021;1729;45910912;17,4565
18/10/2023;17,855;17,94;17,54;17,62;17,62;2051923;1486;36195829;17,6400
17/10/2023;18,00;18,025;17,67;17,805;17,805;2505656;2170;44677828;17,8308
16/10/2023;18,34;18,35;17,965;18,015;18,015;1983658;1596;35807405;18,0512
13/10/2023;18,52;18,69;18,265;18,285;18,285;2327133;1669;42823932;18,4020
12/10/2023;18,20;18,57;18,20;18,515;18,515;2439301;1561;45054054;18,4701
11/10/2023;18,33;18,395;18,10;18,125;18,125;1608493;1502;29288290;18,2085
10/10/2023;18,40;18,66;18,205;18,23;18,23;2567709;1896;47370240;18,4484
09/10/2023;18,09;18,45;18,06;18,36;18,36;3652331;2194;66852480;18,3041
06/10/2023;17,50;18,14;17,46;17,98;17,98;4833143;2694;86646367;17,9275
05/10/2023;16,95;17,465;16,94;17,46;17,46;3635361;2520;62798020;17,2742
04/10/2023;17,44;17,44;16,80;16,80;16,80;3650433;2960;62322931;17,0728
03/10/2023;17,495;17,50;17,32;17,47;17,47;2063441;1789;36046955;17,4693
02/10/2023;17,53;17,70;17,39;17,50;17,50;1877671;2041;32839023;17,4892
29/09/2023;17,55;17,885;17,395;17,435;17,435;4727617;2693;83189168;17,5964
28/09/2023;17,565;17,63;17,375;17,485;17,485;2878313;3425;50278526;17,4681
27/09/2023;17,525;17,65;17,35;17,50;17,50;2214160;1757;38735785;17,4946
26/09/2023;17,40;17,90;17,35;17,455;17,455;3040135;2298;53499916;17,5979
25/09/2023;17,60;17,645;17,33;17,42;17,42;1492201;1558;26068575;17,4699
22/09/2023;17,62;17,85;17,25;17,70;17,70;2620625;2097;46084851;17,5854
21/09/2023;17,45;17,63;16,88;17,58;17,58;4354353;3925;75024427;17,2298
20/09/2023;17,80;17,85;17,35;17,38;17,38;5970053;4665;105254554;17,6304
19/09/2023;19,355;19,41;19,08;19,20;19,20;4735863;3453;90948448;19,2042
18/09/2023;18,895;19,32;18,60;19,31;19,31;4389366;3932;83811856;19,0943
15/09/2023;18,85;19,175;18,645;18,78;18,78;6196983;3429;117067423;18,8910
14/09/2023;18,50;18,785;18,42;18,69;18,69;2099443;1797;39031331;18,5913
13/09/2023;18,565;18,595;18,13;18,36;18,36;2158806;2206;39534617;18,3132
12/09/2023;18,585;18,63;18,33;18,545;18,545;1710936;1865;31659523;18,5042
11/09/2023;18,19;18,635;18,125;18,525;18,525;2005292;2034;36985466;18,4439
08/09/2023;18,18;18,235;18,02;18,125;18,125;1042325;1192;18874256;18,1078
07/09/2023;18,105;18,245;17,95;18,05;18,05;1737259;1699;31435261;18,0947
06/09/2023;18,31;18,40;18,03;18,05;18,05;2795871;2506;50716706;18,1399
05/09/2023;18,60;18,615;18,22;18,285;18,285;2401221;2061;44095127;18,3636
04/09/2023;18,41;18,62;18,37;18,60;18,60;2039917;1765;37784451;18,5225
01/09/2023;18,50;18,50;18,26;18,40;18,40;1783571;1525;32761126;18,3683
31/08/2023;18,44;18,65;18,315;18,42;18,42;2321805;1884;42842480;18,4522
30/08/2023;18,49;18,51;18,27;18,44;18,44;1570686;1558;28922304;18,4138
29/08/2023;18,07;18,42;17,98;18,38;18,38;1504394;1559;27481941;18,2678
28/08/2023;18,50;18,60;17,97;18,065;18,065;2933273;2441;53628013;18,2827
25/08/2023;18,225;18,405;17,85;18,305;18,305;2654328;2692;48189616;18,1551
24/08/2023;18,25;18,455;18,075;18,25;18,25;2278335;2345;41600627;18,2592
23/08/2023;18,965;19,07;18,135;18,255;18,255;4930274;4334;90893866;18,4359
22/08/2023;19,30;19,645;18,525;18,915;18,915;6301207;5214;119310171;18,9345
21/08/2023;19,66;19,66;18,37;18,875;18,875;9900425;6502;186321955;18,8196
18/08/2023;20,03;20,39;19,88;20,01;20,01;2261432;1885;45451693;20,0986
17/08/2023;19,90;20,31;19,835;19,955;19,955;1835463;1518;36856839;20,0804
16/08/2023;19,20;19,97;19,185;19,845;19,845;2965046;2134;58466046;19,7184
15/08/2023;19,15;19,295;19,025;19,12;19,12;1299965;1383;24922045;19,1713
14/08/2023;18,70;19,14;18,67;19,07;19,07;1511951;1576;28676032;18,9662
11/08/2023;18,595;18,75;18,44;18,725;18,725;1253752;1273;23344800;18,6200
10/08/2023;18,665;18,73;18,46;18,585;18,585;1044782;1221;19422487;18,5900
09/08/2023;18,67;18,735;18,40;18,675;18,675;1548750;1655;28815330;18,6055
08/08/2023;18,62;18,67;18,24;18,485;18,485;1532848;1701;28255646;18,4334
07/08/2023;19,00;19,145;18,575;18,605;18,605;1899885;1696;35700985;18,7911
04/08/2023;18,98;19,48;18,925;18,97;18,97;2078258;1762;39869078;19,1839
03/08/2023;18,715;19,10;18,645;18,87;18,87;1254169;1286;23719105;18,9122
02/08/2023;18,985;18,995;18,66;18,675;18,675;985250;1319;18513223;18,7904
01/08/2023;18,74;19,00;18,39;18,96;18,96;2332177;2229;43593331;18,6921
31/07/2023;18,80;19,19;18,785;18,93;18,93;1397568;1331;26568766;19,0107
28/07/2023;18,55;18,75;18,44;18,66;18,66;885827;1035;16464502;18,5866
27/07/2023;18,45;18,70;18,285;18,545;18,545;854172;1182;15814150;18,5140
26/07/2023;18,45;18,485;18,29;18,35;18,35;827580;1173;15213024;18,3825
25/07/2023;18,67;18,67;18,235;18,42;18,42;1139191;1370;20923940;18,3674
24/07/2023;18,50;18,69;17,82;18,58;18,58;2478786;1895;45210190;18,2388
21/07/2023;18,795;18,93;18,52;18,545;18,545;1197212;1443;22402631;18,7123
20/07/2023;18,935;19,05;18,74;18,74;18,74;1375676;1549;25969171;18,8774
19/07/2023;19,05;19,05;18,54;18,905;18,905;1259069;1285;23637378;18,7737
18/07/2023;19,00;19,17;18,85;18,89;18,89;680027;1034;12909070;18,9832
