"Historical Data"
"From 2021-11-08 to 2023-11-07"
NL0015268814
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;9,26;9,42;9,26;9,42;9,42;11432;8;106429;9,3097
03/11/2023;9,18;9,22;9,10;9,22;9,22;21645;15;198652;9,1777
02/11/2023;9,18;9,18;9,18;9,18;9,18;7050;5;64719;9,1800
01/11/2023;9,18;9,18;9,18;9,18;9,18;2000;1;18360;9,1800
31/10/2023;9,18;9,18;9,08;9,08;9,08;8093;5;74284;9,1789
30/10/2023;9,26;9,26;9,12;9,12;9,12;15910;7;146831;9,2289
27/10/2023;9,04;9,24;9,04;9,12;9,12;14646;13;133388;9,1075
26/10/2023;9,20;9,28;9,00;9,10;9,10;34594;15;313759;9,0698
25/10/2023;9,30;9,50;9,16;9,16;9,16;45490;16;422091;9,2788
24/10/2023;9,30;9,30;9,30;9,30;9,30;10;1;93;9,3000
23/10/2023;9,32;9,32;9,06;9,06;9,06;10916;9;101405;9,2896
20/10/2023;9,34;9,48;9,34;9,48;9,48;6864;7;64145;9,3451
19/10/2023;9,44;9,56;9,22;9,22;9,22;13231;10;123483;9,3329
18/10/2023;9,50;9,62;9,42;9,42;9,42;10449;7;99865;9,5574
17/10/2023;9,38;9,68;9,38;9,68;9,68;11909;6;111863;9,3932
16/10/2023;9,80;9,80;9,24;9,30;9,30;62604;25;590350;9,4299
13/10/2023;9,70;9,90;9,60;9,78;9,78;8373;10;80910;9,6631
12/10/2023;9,90;9,90;9,70;9,80;9,80;747;4;7346;9,8343
11/10/2023;9,70;9,80;9,70;9,70;9,70;2157;5;21053;9,7603
10/10/2023;10,00;10,30;9,50;9,62;9,62;75990;25;750276;9,8733
09/10/2023;9,62;9,90;9,60;9,90;9,90;15013;11;146325;9,7465
06/10/2023;10,50;10,50;10,00;10,00;10,00;28612;10;294506;10,2931
05/10/2023;10,55;10,55;9,84;9,90;9,90;12388;10;127602;10,3004
04/10/2023;10,95;10,95;10,55;10,75;10,75;5634;5;60453;10,7299
03/10/2023;10,60;10,90;10,60;10,75;10,75;17154;14;185390;10,8074
02/10/2023;10,00;11,30;10,00;10,60;10,60;82696;39;894778;10,8201
29/09/2023;9,70;10,00;9,70;10,00;10,00;14597;11;143500;9,8308
28/09/2023;9,60;9,60;9,60;9,60;9,60;135;2;1296;9,6000
27/09/2023;9,70;9,94;9,70;9,70;9,70;3619;3;35128;9,7066
26/09/2023;9,80;9,80;9,80;9,80;9,80;4689;6;45952;9,8000
25/09/2023;9,74;9,74;9,74;9,74;9,74;118;1;1149;9,7400
22/09/2023;9,74;9,76;9,74;9,76;9,76;618;2;6029;9,7562
21/09/2023;9,90;10,00;9,90;10,00;10,00;2178;5;21562;9,9001
20/09/2023;9,90;9,90;9,90;9,90;9,90;1500;2;14850;9,9000
19/09/2023;9,74;10,00;9,74;10,00;10,00;8797;7;87738;9,9737
18/09/2023;9,90;10,00;9,80;10,00;10,00;8572;5;84833;9,8965
15/09/2023;9,70;9,98;9,70;9,98;9,98;8885;9;88439;9,9538
14/09/2023;9,90;9,94;9,90;9,94;9,94;4095;4;40556;9,9037
13/09/2023;9,74;10,20;9,74;10,20;10,20;12382;8;123088;9,9409
12/09/2023;9,78;9,80;9,78;9,78;9,78;8435;6;82644;9,7978
11/09/2023;9,72;9,82;9,12;9,80;9,80;29281;13;281204;9,6036
08/09/2023;9,88;10,00;9,88;10,00;10,00;3700;5;36760;9,9351
07/09/2023;10,05;10,40;10,00;10,00;10,00;18591;8;188437;10,1359
06/09/2023;10,10;10,10;10,00;10,05;10,05;26874;10;269686;10,0352
05/09/2023;10,05;10,05;10,05;10,05;10,05;862;3;8663;10,0500
04/09/2023;9,90;10,20;9,90;10,20;10,20;4897;5;49821;10,1737
01/09/2023;10,15;10,15;10,15;10,15;10,15;5997;6;60870;10,1500
31/08/2023;10,25;10,35;10,15;10,35;10,35;2222;3;22983;10,3435
30/08/2023;10,30;10,30;10,30;10,30;10,30;800;2;8240;10,3000
29/08/2023;10,00;10,65;10,00;10,60;10,60;22725;11;238319;10,4871
28/08/2023;10,15;10,40;10,00;10,00;10,00;15945;14;160783;10,0836
25/08/2023;10,25;10,50;10,15;10,15;10,15;22787;14;238541;10,4683
24/08/2023;10,35;10,45;10,25;10,25;10,25;1973;4;20512;10,3964
23/08/2023;10,50;10,50;10,25;10,25;10,25;3395;4;35647;10,4998
22/08/2023;10,50;10,75;10,15;10,35;10,35;26088;18;275541;10,5620
21/08/2023;10,30;10,65;10,30;10,65;10,65;23993;8;252309;10,5159
18/08/2023;10,55;10,55;9,80;10,25;10,25;50958;25;514325;10,0931
17/08/2023;10,75;10,75;10,70;10,70;10,70;2431;4;26031;10,7078
16/08/2023;10,75;10,75;10,75;10,75;10,75;1600;2;17200;10,7500
