"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010734338
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;123,00;124,00;122,50;122,50;122,50;1348;17;165613;122,8579
03/11/2023;125,00;125,50;122,00;122,50;122,50;21961;91;2720093;123,8602
02/11/2023;128,50;128,50;124,50;124,50;124,50;6767;65;846487;125,0904
01/11/2023;128,00;129,50;124,00;125,00;125,00;13571;74;1707465;125,8172
31/10/2023;127,50;130,00;127,50;129,50;129,50;8010;30;1036179;129,3607
30/10/2023;129,00;129,00;127,50;127,50;127,50;3676;17;471669;128,3104
27/10/2023;130,50;130,50;129,00;129,00;129,00;3949;27;510715;129,3277
26/10/2023;131,00;131,00;129,50;129,50;129,50;2415;25;315173;130,5062
25/10/2023;131,00;131,00;130,00;131,00;131,00;4313;27;562507;130,4213
24/10/2023;132,00;132,00;129,50;130,00;130,00;2640;27;345674;130,9371
23/10/2023;130,00;132,00;130,00;132,00;132,00;3298;31;433326;131,3904
20/10/2023;133,50;133,50;131,00;131,00;131,00;1391;18;184246;132,4558
19/10/2023;134,50;134,50;132,00;133,50;133,50;1287;23;170777;132,6939
18/10/2023;133,00;133,00;133,00;133,00;133,00;3282;36;436506;133,0000
17/10/2023;135,00;135,00;133,00;133,00;133,00;2338;17;313500;134,0890
16/10/2023;135,50;135,50;134,00;134,50;134,50;2985;23;402945;134,9900
13/10/2023;135,00;135,50;134,00;134,00;134,00;4094;30;553935;135,3041
12/10/2023;137,00;137,00;135,00;135,00;135,00;3427;24;467591;136,4432
11/10/2023;138,00;138,00;136,00;137,00;137,00;2738;21;376035;137,3391
10/10/2023;135,00;138,00;135,00;138,00;138,00;6089;47;833638;136,9089
09/10/2023;137,00;137,00;135,00;136,00;136,00;4569;22;622935;136,3394
06/10/2023;137,00;137,50;137,00;137,00;137,00;3525;13;483899;137,2763
05/10/2023;134,00;136,00;134,00;136,00;136,00;6558;43;880517;134,2661
04/10/2023;137,50;137,50;134,50;134,50;134,50;3780;46;515455;136,3636
03/10/2023;140,00;140,00;134,00;139,00;139,00;5056;44;691538;136,7756
02/10/2023;136,00;138,50;136,00;138,00;138,00;3370;46;464571;137,8549
29/09/2023;132,50;137,00;132,50;134,00;134,00;11160;55;1504120;134,7777
28/09/2023;135,00;137,00;133,50;136,00;136,00;3547;43;479051;135,0581
27/09/2023;134,00;136,50;133,00;135,00;135,00;7136;88;959624;134,4764
26/09/2023;133,50;135,50;133,50;134,00;134,00;1947;41;262266;134,7026
25/09/2023;136,50;137,00;134,00;135,50;135,50;5203;78;704924;135,4840
22/09/2023;140,00;140,00;136,50;137,00;137,00;3366;37;463224;137,6184
21/09/2023;138,00;138,50;137,00;138,00;138,00;6395;52;883074;138,0881
20/09/2023;139,00;139,50;137,50;137,50;137,50;9611;51;1326937;138,0644
19/09/2023;138,00;142,00;137,50;139,00;139,00;21178;130;2953553;139,4633
18/09/2023;141,50;142,00;138,00;138,00;138,00;14326;188;1995579;139,2977
15/09/2023;143,00;143,00;142,00;142,00;142,00;3889;24;553581;142,3453
14/09/2023;141,50;143,00;141,50;143,00;143,00;4341;16;620448;142,9273
13/09/2023;138,00;142,00;138,00;141,50;141,50;5345;32;755847;141,4120
12/09/2023;139,00;144,50;139,00;140,00;140,00;2620;32;372149;142,0414
11/09/2023;139,50;145,00;139,00;145,00;145,00;5956;56;850411;142,7822
08/09/2023;138,00;140,00;138,00;139,00;139,00;6250;39;872056;139,5290
07/09/2023;139,00;140,00;136,00;136,00;136,00;10069;32;1374425;136,5006
06/09/2023;141,00;141,50;140,00;140,00;140,00;3266;20;458557;140,4031
05/09/2023;142,50;142,50;139,00;140,50;140,50;3608;36;505866;140,2066
04/09/2023;143,00;143,00;140,50;141,00;141,00;1558;35;220545;141,5565
01/09/2023;143,50;143,50;139,00;139,00;139,00;9857;56;1378086;139,8079
31/08/2023;140,00;143,50;140,00;143,50;143,50;4446;45;631030;141,9320
30/08/2023;138,00;140,50;137,00;140,00;140,00;3563;44;497316;139,5779
29/08/2023;142,50;142,50;135,50;139,00;139,00;4945;68;686672;138,8618
28/08/2023;138,50;142,50;136,00;142,50;142,50;6504;46;911619;140,1628
25/08/2023;139,00;139,50;135,00;137,50;137,50;10343;83;1428739;138,1358
24/08/2023;140,00;141,00;138,50;139,00;139,00;3902;49;546215;139,9833
23/08/2023;144,00;144,00;139,00;141,50;141,50;4097;77;576284;140,6600
22/08/2023;147,00;147,00;142,00;143,00;143,00;4178;55;597350;142,9751
21/08/2023;137,00;144,00;137,00;142,00;142,00;11481;110;1614722;140,6430
18/08/2023;140,00;142,00;136,00;136,00;136,00;12325;110;1719407;139,5056
17/08/2023;141,00;142,50;141,00;142,00;142,00;2184;58;309385;141,6598
16/08/2023;147,00;147,00;143,00;143,00;143,00;8397;56;1203680;143,3464
15/08/2023;149,50;149,50;143,50;143,50;143,50;8531;92;1242640;145,6617
14/08/2023;148,00;148,00;147,00;148,00;148,00;2488;46;366343;147,2438
11/08/2023;147,50;150,00;147,50;148,00;148,00;2007;43;298482;148,7205
10/08/2023;147,50;147,50;145,50;147,50;147,50;1216;39;179205;147,3721
09/08/2023;151,00;151,00;147,50;147,50;147,50;1475;34;220008;149,1580
08/08/2023;151,50;151,50;147,50;147,50;147,50;1825;26;272697;149,4230
07/08/2023;150,00;150,50;147,50;150,00;150,00;4161;38;623120;149,7525
04/08/2023;149,50;152,00;149,50;150,50;150,50;3431;41;516513;150,5430
03/08/2023;151,00;153,50;149,50;153,50;153,50;1710;37;260081;152,0939
02/08/2023;154,00;154,00;151,50;152,50;152,50;1285;23;196180;152,6689
01/08/2023;154,00;155,00;145,00;155,00;155,00;4237;61;649576;153,3104
31/07/2023;153,50;155,50;143,50;154,50;154,50;2624;42;402902;153,5448
28/07/2023;154,50;156,50;148,00;156,50;156,50;2390;43;371348;155,3755
27/07/2023;155,00;156,00;155,00;155,50;155,50;1911;31;297645;155,7535
26/07/2023;155,00;158,00;155,00;157,50;157,50;1587;25;249203;157,0277
25/07/2023;158,00;158,00;154,50;155,00;155,00;1422;30;221979;156,1034
24/07/2023;154,50;158,00;154,50;158,00;158,00;1295;33;201841;155,8614
21/07/2023;160,00;160,00;155,50;155,50;155,50;2634;37;415839;157,8734
20/07/2023;159,00;159,50;158,00;159,50;159,50;2563;42;407351;158,9352
19/07/2023;158,50;159,00;158,00;158,00;158,00;1709;21;271078;158,6179
18/07/2023;160,00;160,00;157,50;158,00;158,00;3251;48;513660;158,0005
17/07/2023;154,50;160,00;154,50;160,00;160,00;2249;52;356659;158,5856
14/07/2023;154,50;159,50;154,50;158,00;158,00;1024;25;161685;157,8955
13/07/2023;159,00;160,00;157,50;160,00;160,00;3826;33;608981;159,1690
12/07/2023;158,50;159,00;156,50;159,00;159,00;3976;49;631008;158,7042
11/07/2023;158,00;159,50;158,00;158,50;158,50;3021;43;478664;158,4454
10/07/2023;158,50;158,50;157,00;158,00;158,00;2688;37;424655;157,9816
07/07/2023;159,00;159,00;155,50;159,00;159,00;5896;34;931856;158,0488
06/07/2023;157,00;158,50;155,00;155,00;155,00;7525;67;1179955;156,8047
05/07/2023;154,50;159,00;154,50;158,00;158,00;9860;100;1546820;156,8782
04/07/2023;156,00;156,00;149,50;156,00;156,00;995;36;150795;151,5528
03/07/2023;153,00;157,00;153,00;157,00;157,00;7002;70;1086994;155,2404
30/06/2023;152,50;154,50;152,50;154,00;154,00;4350;62;668465;153,6701
29/06/2023;153,00;154,00;152,00;154,00;154,00;1729;28;265769;153,7126
28/06/2023;152,50;154,00;150,50;151,00;151,00;2284;50;348160;152,4341
27/06/2023;150,00;152,50;147,50;152,50;152,50;3076;41;463869;150,8025
26/06/2023;153,00;153,00;150,00;150,50;150,50;2868;42;431794;150,5556
23/06/2023;153,00;153,00;148,00;153,00;153,00;2909;50;436372;150,0076
22/06/2023;150,00;152,00;149,50;149,50;149,50;3402;48;510411;150,0326
21/06/2023;151,00;152,00;150,00;152,00;152,00;3790;51;572844;151,1460
20/06/2023;149,50;154,00;149,50;154,00;154,00;2952;53;448832;152,0432
19/06/2023;150,00;152,00;148,00;152,00;152,00;12254;114;1838566;150,0380
16/06/2023;154,00;154,00;150,50;152,00;152,00;19872;120;3024326;152,1903
15/06/2023;162,00;162,00;156,50;156,50;156,50;5609;65;886437;158,0382
14/06/2023;143,50;161,00;143,50;161,00;161,00;17943;149;2742552;152,8480
13/06/2023;161,00;161,00;155,00;158,00;158,00;3883;66;609268;156,9064
12/06/2023;164,00;164,00;155,50;160,00;160,00;9034;83;1434824;158,8249
09/06/2023;169,00;169,00;159,00;159,00;159,00;7996;78;1277559;159,7747
08/06/2023;159,00;166,00;158,00;166,00;166,00;5866;75;947517;161,5269
07/06/2023;157,50;159,00;157,50;159,00;159,00;1197;33;189778;158,5447
06/06/2023;161,50;161,50;158,00;158,50;158,50;1900;37;302977;159,4613
05/06/2023;160,00;160,00;159,00;160,00;160,00;4227;63;675481;159,8015
02/06/2023;160,00;160,00;158,50;159,50;159,50;5562;62;886301;159,3492
01/06/2023;158,50;160,00;158,00;160,00;160,00;4616;50;733647;158,9356
31/05/2023;160,00;161,00;159,00;160,50;160,50;6170;55;987269;160,0112
30/05/2023;160,00;162,50;159,50;162,00;162,00;4879;67;789523;161,8206
29/05/2023;0,00;0,00;0,00;0,00;160,50;0;0;0;0,0000
26/05/2023;162,00;162,00;160,00;160,50;160,50;7500;60;1211175;161,4900
25/05/2023;162,50;164,00;161,50;162,50;162,50;8670;85;1409449;162,5661
24/05/2023;166,50;166,50;162,00;162,00;162,00;10952;118;1784087;162,9005
23/05/2023;165,00;168,00;164,00;164,00;164,00;12179;122;2012589;165,2507
22/05/2023;166,00;168,00;165,50;166,00;166,00;9246;100;1537496;166,2876
19/05/2023;163,00;166,50;163,00;166,50;166,50;9110;117;1503929;165,0855
18/05/2023;0,00;0,00;0,00;0,00;164,50;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;164,50;0;0;0;0,0000
16/05/2023;164,00;165,00;163,00;164,50;164,50;8979;73;1475634;164,3427
15/05/2023;166,00;168,50;160,00;164,50;164,50;30973;191;5109928;164,9801
12/05/2023;168,00;168,00;166,00;166,00;166,00;35995;135;6002537;166,7603
11/05/2023;166,00;168,50;166,00;166,50;166,50;59055;106;9863112;167,0157
10/05/2023;160,00;169,00;157,00;165,50;165,50;64535;342;10493321;162,5989
09/05/2023;146,00;150,00;146,00;149,50;149,50;7616;87;1137318;149,3327
08/05/2023;150,00;150,00;147,00;150,00;150,00;14293;70;2138476;149,6170
05/05/2023;149,50;149,50;147,50;148,00;148,00;4958;74;734205;148,0848
04/05/2023;145,50;150,00;145,50;150,00;150,00;7308;41;1086239;148,6370
03/05/2023;148,50;149,50;146,50;148,50;148,50;3159;61;468681;148,3637
02/05/2023;149,50;149,50;148,00;149,50;149,50;9665;101;1441990;149,1971
28/04/2023;150,00;150,00;148,00;149,50;149,50;9408;104;1402602;149,0860
27/04/2023;149,50;150,00;149,00;150,00;150,00;14787;79;2214262;149,7438
26/04/2023;149,50;150,00;147,00;149,50;149,50;129437;86;19412816;149,9789
25/04/2023;147,00;149,00;147,00;149,00;149,00;12920;164;1916404;148,3285
24/04/2023;148,00;149,50;147,50;147,50;147,50;10308;109;1530391;148,4663
21/04/2023;149,00;150,00;147,50;148,00;148,00;38105;225;5674399;148,9148
20/04/2023;146,00;149,00;142,50;149,00;149,00;7663;75;1119662;146,1128
19/04/2023;146,00;146,00;144,50;146,00;146,00;3844;68;557857;145,1241
18/04/2023;143,50;146,00;143,50;146,00;146,00;3020;62;439757;145,6149
17/04/2023;148,50;150,00;141,50;143,00;143,00;8544;91;1247278;145,9829
14/04/2023;150,00;151,00;148,00;148,50;148,50;16933;103;2535869;149,7590
13/04/2023;152,00;158,50;152,00;158,50;158,50;18267;120;2884207;157,8917
12/04/2023;156,00;158,00;156,00;157,00;157,00;119519;165;18879876;157,9655
11/04/2023;155,00;159,50;155,00;157,00;157,00;13539;132;2134833;157,6803
06/04/2023;0,00;0,00;0,00;0,00;152,50;0;0;0;0,0000
05/04/2023;154,00;155,50;152,00;152,50;152,50;11570;53;1788031;154,5403
04/04/2023;145,00;154,50;145,00;154,50;154,50;12309;79;1892140;153,7200
03/04/2023;148,50;153,50;148,00;153,50;153,50;10576;53;1579153;149,3148
31/03/2023;147,00;148,80;147,00;147,60;147,60;14556;97;2153870;147,9713
30/03/2023;141,20;148,60;141,20;147,20;147,20;4480;62;659149;147,1314
29/03/2023;134,60;145,00;134,60;144,80;144,80;115504;49;16585630;143,5936
28/03/2023;142,60;143,60;141,80;141,80;141,80;10984;115;1564667;142,4497
27/03/2023;139,00;144,00;139,00;142,60;142,60;35612;95;5080303;142,6571
24/03/2023;137,00;138,40;136,60;136,80;136,80;14164;63;1942809;137,1653
23/03/2023;137,80;138,20;137,00;138,00;138,00;7246;80;996356;137,5043
22/03/2023;137,20;138,20;137,20;138,20;138,20;5782;35;797245;137,8840
21/03/2023;137,00;142,80;137,00;137,40;137,40;15026;122;2085553;138,7963
20/03/2023;134,60;135,60;133,00;135,00;135,00;7719;98;1037042;134,3493
17/03/2023;130,40;134,60;127,20;134,00;134,00;130465;194;17409100;133,4389
16/03/2023;131,00;133,20;128,00;129,00;129,00;267443;143;35236963;131,7550
15/03/2023;134,00;136,80;130,80;132,20;132,20;14952;162;2004384;134,0546
14/03/2023;136,40;137,00;132,80;133,00;133,00;5816;91;788738;135,6151
13/03/2023;136,00;137,00;136,00;136,40;136,40;4664;57;635473;136,2507
10/03/2023;135,00;137,00;134,00;136,80;136,80;9375;90;1271133;135,5875
09/03/2023;138,40;138,80;135,40;135,60;135,60;77196;70;10564037;136,8470
08/03/2023;140,00;142,20;138,40;138,40;138,40;6060;77;842929;139,0972
07/03/2023;142,00;143,00;139,20;139,80;139,80;8677;92;1224269;141,0935
06/03/2023;144,60;144,60;142,00;142,00;142,00;5712;41;816320;142,9131
03/03/2023;142,00;144,80;141,00;144,60;144,60;6913;71;989174;143,0889
02/03/2023;142,00;145,00;140,40;141,60;141,60;14141;81;2005642;141,8317
01/03/2023;142,00;143,20;142,00;142,00;142,00;10958;37;1565396;142,8541
28/02/2023;144,00;146,00;142,40;142,40;142,40;51909;57;7478777;144,0748
27/02/2023;141,00;145,60;141,00;144,00;144,00;3128;27;452523;144,6684
24/02/2023;144,00;145,80;144,00;145,00;145,00;3571;29;518381;145,1642
23/02/2023;144,00;144,40;144,00;144,00;144,00;8006;41;1152872;144,0010
22/02/2023;143,80;145,80;143,80;144,20;144,20;3871;31;559581;144,5572
21/02/2023;146,80;146,80;143,80;143,80;143,80;32345;32;4717261;145,8421
20/02/2023;144,80;146,00;143,00;146,00;146,00;4169;40;603231;144,6945
17/02/2023;147,60;147,60;143,00;144,80;144,80;1721;23;247726;143,9428
16/02/2023;147,40;147,40;140,20;140,60;140,60;3482;38;501148;143,9252
15/02/2023;139,00;149,00;139,00;147,40;147,40;11730;91;1725047;147,0629
14/02/2023;146,00;146,00;144,00;144,60;144,60;31086;55;4508908;145,0463
13/02/2023;147,00;149,00;146,00;147,00;147,00;13319;130;1960940;147,2287
10/02/2023;140,00;146,60;140,00;143,20;143,20;17852;170;2563977;143,6240
09/02/2023;140,80;143,80;138,00;143,00;143,00;15631;122;2215851;141,7600
08/02/2023;135,00;140,00;134,80;140,00;140,00;27991;117;3857666;137,8181
07/02/2023;131,80;131,80;128,20;131,60;131,60;16851;48;2189684;129,9438
06/02/2023;128,80;131,80;125,20;125,20;125,20;12077;179;1543137;127,7749
03/02/2023;129,20;129,80;125,60;127,40;127,40;7956;163;1013582;127,3984
02/02/2023;132,80;133,00;124,60;124,60;124,60;13590;66;1730918;127,3671
01/02/2023;130,80;132,80;130,80;132,80;132,80;2542;20;337347;132,7093
31/01/2023;132,40;132,60;130,20;132,60;132,60;3136;14;415418;132,4673
30/01/2023;129,00;133,40;129,00;133,40;133,40;2473;15;324606;131,2602
27/01/2023;129,20;131,80;129,20;129,20;129,20;5376;46;695384;129,3498
26/01/2023;130,00;131,80;128,00;128,60;128,60;6698;58;864687;129,0963
25/01/2023;132,00;132,00;130,00;130,00;130,00;1889;18;247954;131,2621
24/01/2023;134,00;134,00;133,00;133,00;133,00;714;27;94983;133,0294
23/01/2023;130,00;133,00;130,00;133,00;133,00;2370;38;311871;131,5911
20/01/2023;130,00;133,00;130,00;130,00;130,00;5273;45;692531;131,3353
19/01/2023;132,00;132,00;129,60;131,00;131,00;4522;39;591313;130,7637
18/01/2023;132,40;133,00;132,40;132,40;132,40;1632;19;216276;132,5222
17/01/2023;130,60;133,00;130,60;133,00;133,00;522;13;69344;132,8429
16/01/2023;126,80;132,00;126,80;132,00;132,00;1831;21;240849;131,5397
13/01/2023;130,00;132,00;127,80;132,00;132,00;6335;73;828240;130,7403
12/01/2023;126,60;131,00;126,60;130,00;130,00;2625;27;340130;129,5732
11/01/2023;128,20;130,00;128,20;128,60;128,60;3326;44;429667;129,1842
10/01/2023;127,00;129,80;126,00;128,60;128,60;4983;46;640584;128,5538
