"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010205966
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;37,80;38,20;37,00;37,20;37,20;15399;39;579069;37,6043
03/11/2023;38,50;38,50;37,70;38,00;38,00;2586;17;98880;38,2365
02/11/2023;39,00;39,20;38,00;38,10;38,10;11500;35;445487;38,7380
01/11/2023;40,20;41,90;38,10;38,90;38,90;30621;81;1222208;39,9140
31/10/2023;38,90;39,40;38,70;38,80;38,80;5114;14;198751;38,8642
30/10/2023;38,00;38,90;37,00;38,90;38,90;17953;25;682420;38,0115
27/10/2023;37,00;38,00;36,40;38,00;38,00;5548;18;204472;36,8550
26/10/2023;38,00;38,00;37,00;37,00;37,00;2685;19;100537;37,4440
25/10/2023;38,60;38,60;36,80;36,80;36,80;18088;48;676178;37,3827
24/10/2023;39,00;39,80;38,00;38,50;38,50;13829;38;532950;38,5386
23/10/2023;41,00;41,00;38,50;38,80;38,80;15715;59;621394;39,5415
20/10/2023;41,60;41,90;40,60;41,30;41,30;9657;36;399041;41,3214
19/10/2023;42,20;42,50;41,00;41,30;41,30;8453;37;349306;41,3233
18/10/2023;42,50;42,60;40,80;42,60;42,60;15639;41;655469;41,9124
17/10/2023;43,10;43,10;40,60;41,50;41,50;22123;64;922945;41,7188
16/10/2023;41,50;43,90;41,50;42,50;42,50;78321;159;3333870;42,5668
13/10/2023;38,80;42,00;38,30;40,60;40,60;261541;151;10697395;40,9014
12/10/2023;38,30;38,90;38,00;38,00;38,00;2878;16;110091;38,2527
11/10/2023;39,20;39,20;38,60;38,60;38,60;12244;15;476398;38,9087
10/10/2023;39,00;39,20;38,00;39,00;39,00;32653;30;1271563;38,9417
09/10/2023;39,20;39,40;38,80;39,00;39,00;81509;40;3177164;38,9793
06/10/2023;39,90;39,90;38,40;39,10;39,10;17599;26;684910;38,9176
05/10/2023;38,40;39,20;38,40;39,00;39,00;110149;28;4238443;38,4792
04/10/2023;38,20;39,20;38,20;39,00;39,00;35443;44;1373576;38,7545
03/10/2023;38,50;39,10;36,30;37,80;37,80;56204;71;2161411;38,4565
02/10/2023;39,90;39,90;38,30;38,50;38,50;30035;45;1174327;39,0986
29/09/2023;38,50;39,70;38,50;39,30;39,30;111573;48;4380212;39,2587
28/09/2023;39,10;39,60;38,20;38,20;38,20;23482;42;919771;39,1692
27/09/2023;41,00;41,00;38,50;39,10;39,10;15509;40;607523;39,1723
26/09/2023;39,50;41,00;39,50;40,00;40,00;39408;90;1589539;40,3354
25/09/2023;38,30;39,40;38,00;39,00;39,00;95425;95;3726541;39,0520
22/09/2023;38,50;38,50;37,80;38,20;38,20;5868;26;223013;38,0049
21/09/2023;38,00;38,50;37,30;38,40;38,40;35603;54;1352564;37,9902
20/09/2023;38,30;38,30;37,70;37,80;37,80;29221;78;1111033;38,0217
19/09/2023;38,50;38,50;37,10;37,70;37,70;18474;72;694888;37,6144
18/09/2023;39,60;39,60;37,70;37,70;37,70;146927;190;5669264;38,5856
15/09/2023;35,20;41,30;35,20;38,60;38,60;268406;318;10280737;38,3029
14/09/2023;37,30;37,50;36,00;36,00;36,00;137701;160;5015841;36,4256
13/09/2023;37,40;37,60;35,40;36,50;36,50;246980;332;8968158;36,3113
12/09/2023;32,30;38,00;32,30;36,40;36,40;196821;274;7040577;35,7715
11/09/2023;32,80;32,80;31,80;32,00;32,00;3220;13;103834;32,2466
08/09/2023;31,60;31,80;31,20;31,70;31,70;29743;41;941310;31,6481
07/09/2023;31,80;32,10;31,00;31,60;31,60;30084;38;954212;31,7183
06/09/2023;31,70;31,80;31,50;31,80;31,80;3350;10;106130;31,6804
05/09/2023;31,90;32,00;31,60;31,60;31,60;25825;25;825583;31,9684
04/09/2023;32,00;32,00;31,90;32,00;32,00;33955;26;1086556;31,9999
01/09/2023;31,80;32,00;31,80;32,00;32,00;5779;12;184238;31,8806
31/08/2023;32,20;32,30;31,70;32,30;32,30;7371;15;235336;31,9272
30/08/2023;32,40;32,90;32,20;32,20;32,20;43991;32;1422082;32,3266
29/08/2023;31,90;32,20;31,90;31,90;31,90;20589;28;658216;31,9693
28/08/2023;32,00;32,40;31,70;32,00;32,00;15520;27;496927;32,0185
25/08/2023;31,80;32,90;31,80;32,90;32,90;8163;22;260161;31,8707
24/08/2023;33,00;33,00;31,30;31,80;31,80;5644;21;178513;31,6288
23/08/2023;32,00;32,40;31,50;32,40;32,40;4482;15;143918;32,1103
22/08/2023;32,10;32,60;32,00;32,30;32,30;4350;15;140602;32,3224
21/08/2023;32,40;32,40;32,00;32,10;32,10;5544;26;178308;32,1623
18/08/2023;32,20;32,70;31,90;32,00;32,00;5920;33;189479;32,0066
17/08/2023;32,20;33,40;32,20;32,50;32,50;45830;44;1500405;32,7385
16/08/2023;32,50;33,70;31,60;33,00;33,00;44975;52;1462120;32,5096
15/08/2023;32,50;33,00;32,50;32,80;32,80;47761;40;1566526;32,7993
14/08/2023;35,00;35,00;32,30;33,10;33,10;89425;108;2944838;32,9308
11/08/2023;36,10;36,10;32,90;34,40;34,40;433842;317;14690057;33,8604
10/08/2023;35,60;37,00;35,60;37,00;37,00;10014;26;368017;36,7503
09/08/2023;36,90;36,90;35,00;35,90;35,90;76672;94;2741434;35,7553
08/08/2023;37,00;37,00;35,00;36,50;36,50;45126;59;1630604;36,1345
07/08/2023;37,50;37,60;37,50;37,50;37,50;1338;8;50201;37,5193
04/08/2023;36,60;38,40;36,60;37,50;37,50;26560;37;995463;37,4798
03/08/2023;38,10;38,10;36,60;36,80;36,80;12648;25;467980;37,0003
02/08/2023;37,50;38,00;36,30;37,40;37,40;23314;47;874520;37,5105
01/08/2023;36,40;36,80;36,30;36,80;36,80;10240;24;373102;36,4357
31/07/2023;36,70;36,70;36,00;36,40;36,40;8882;26;322067;36,2606
28/07/2023;36,40;37,10;36,40;36,60;36,60;879;10;32074;36,4893
27/07/2023;36,90;37,30;36,40;36,60;36,60;6357;22;234215;36,8436
26/07/2023;36,20;37,00;36,20;37,00;37,00;538;5;19797;36,7978
25/07/2023;36,00;37,00;36,00;36,20;36,20;1814;12;66489;36,6530
24/07/2023;37,20;37,20;36,00;36,10;36,10;22724;70;828591;36,4633
21/07/2023;37,90;38,00;36,50;37,10;37,10;21463;53;794165;37,0016
20/07/2023;38,20;38,60;37,60;38,00;38,00;3444;15;131051;38,0521
19/07/2023;38,30;38,30;38,20;38,20;38,20;277;2;10609;38,2989
18/07/2023;38,00;38,30;38,00;38,00;38,00;304;5;11613;38,2003
17/07/2023;39,00;39,00;38,00;38,30;38,30;5037;14;193374;38,3906
14/07/2023;39,20;39,20;38,20;38,20;38,20;1366;9;52487;38,4237
13/07/2023;38,20;39,10;38,20;38,20;38,20;627;5;24041;38,3435
12/07/2023;38,90;39,10;38,90;39,00;39,00;1607;9;62669;38,9976
11/07/2023;39,00;39,00;38,00;38,90;38,90;9514;15;368725;38,7561
10/07/2023;38,10;38,90;38,00;38,50;38,50;1692;8;64512;38,1277
07/07/2023;38,50;38,50;37,60;38,30;38,30;3764;20;143272;38,0637
06/07/2023;38,60;38,60;37,60;38,00;38,00;4326;7;164131;37,9405
05/07/2023;39,00;39,20;38,00;38,00;38,00;25878;29;996881;38,5223
04/07/2023;39,50;39,50;38,40;39,20;39,20;284848;19;11108495;38,9980
03/07/2023;38,90;39,30;38,30;39,00;39,00;3631;14;141420;38,9480
30/06/2023;38,50;38,80;38,30;38,50;38,50;31580;12;1215831;38,5000
29/06/2023;38,30;38,50;38,30;38,50;38,50;3004;6;115526;38,4574
28/06/2023;38,50;38,60;38,20;38,50;38,50;3868;13;148990;38,5187
27/06/2023;38,10;38,10;38,10;38,10;38,10;915;11;34862;38,1000
26/06/2023;38,00;38,20;38,00;38,20;38,20;1475;8;56100;38,0339
23/06/2023;38,40;39,00;38,10;38,10;38,10;6958;14;267756;38,4818
22/06/2023;38,40;39,40;38,40;39,00;39,00;4781;16;185117;38,7194
21/06/2023;39,10;39,10;39,00;39,00;39,00;601668;10;23665169;39,3326
20/06/2023;38,80;39,00;38,10;39,00;39,00;2983;20;114969;38,5413
19/06/2023;38,00;39,00;37,60;38,90;38,90;8397;33;322812;38,4437
16/06/2023;38,20;38,20;38,00;38,00;38,00;2035;10;77631;38,1480
15/06/2023;37,70;38,40;37,70;38,20;38,20;3454;13;131430;38,0514
14/06/2023;38,70;39,00;38,50;38,50;38,50;18735;23;722416;38,5597
13/06/2023;39,10;39,30;38,60;39,00;39,00;8195;20;319457;38,9819
12/06/2023;39,50;39,90;38,90;39,10;39,10;7225;24;281765;38,9986
09/06/2023;39,30;40,00;38,80;38,90;38,90;5658;26;223540;39,5086
08/06/2023;38,60;40,00;38,60;39,50;39,50;14356;23;568993;39,6345
07/06/2023;39,40;39,60;38,70;39,10;39,10;12836;33;504626;39,3134
06/06/2023;38,60;39,40;38,60;39,20;39,20;4049;10;156845;38,7368
05/06/2023;38,50;39,00;38,50;38,50;38,50;8218;26;318466;38,7523
02/06/2023;37,90;38,80;37,70;37,70;37,70;27016;24;1028316;38,0632
01/06/2023;37,00;37,90;36,50;37,90;37,90;10604;22;399208;37,6469
31/05/2023;37,70;37,90;36,60;36,60;36,60;8368;25;308368;36,8508
30/05/2023;37,90;38,10;37,00;37,40;37,40;44575;40;1674088;37,5567
29/05/2023;0,00;0,00;0,00;0,00;37,70;0;0;0;0,0000
26/05/2023;38,30;38,30;36,80;37,70;37,70;25097;25;932183;37,1432
25/05/2023;37,90;38,60;36,80;37,20;37,20;40505;60;1527235;37,7048
24/05/2023;39,40;39,40;37,90;37,90;37,90;36964;31;1417922;38,3595
23/05/2023;39,00;39,50;38,60;38,60;38,60;3996;22;156246;39,1006
