"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003049405
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;8,02;8,33;8,02;8,30;8,30;22057;31;181503;8,2288
03/11/2023;8,40;8,40;8,12;8,12;8,12;25333;28;209293;8,2617
02/11/2023;8,08;8,37;8,08;8,21;8,21;47189;29;388591;8,2348
01/11/2023;7,98;8,31;7,98;8,25;8,25;138544;87;1139019;8,2214
31/10/2023;8,11;8,11;7,90;7,90;7,90;43498;41;347459;7,9879
30/10/2023;8,00;8,08;7,86;7,95;7,95;94795;38;753881;7,9528
27/10/2023;7,85;7,98;7,75;7,98;7,98;109062;45;857312;7,8608
26/10/2023;7,83;7,85;7,72;7,72;7,72;110937;25;864472;7,7925
25/10/2023;7,76;7,91;7,60;7,83;7,83;60057;29;465345;7,7484
24/10/2023;7,62;7,77;7,56;7,77;7,77;83495;56;637540;7,6357
23/10/2023;7,70;8,10;7,68;7,75;7,75;65573;42;508159;7,7495
20/10/2023;7,85;8,01;7,60;7,62;7,62;318615;97;2491130;7,8186
19/10/2023;8,00;8,10;7,87;7,90;7,90;156105;179;1253769;8,0316
18/10/2023;7,86;7,99;7,85;7,96;7,96;24148;20;190480;7,8880
17/10/2023;7,81;8,00;7,72;7,85;7,85;126557;59;998017;7,8859
16/10/2023;7,80;8,10;7,80;8,00;8,00;131312;64;1043081;7,9435
13/10/2023;7,90;7,90;7,73;7,80;7,80;49227;31;383185;7,7840
12/10/2023;7,43;7,96;7,43;7,92;7,92;85270;58;663644;7,7829
11/10/2023;7,99;8,04;7,66;7,67;7,67;87854;60;684708;7,7937
10/10/2023;8,08;8,09;7,92;7,93;7,93;64685;38;516594;7,9863
09/10/2023;7,85;8,18;7,85;8,07;8,07;94717;64;762030;8,0453
06/10/2023;7,61;8,04;7,60;7,81;7,81;38903;39;305897;7,8631
05/10/2023;7,60;7,82;7,60;7,76;7,76;57449;34;441624;7,6872
04/10/2023;7,67;7,82;7,66;7,66;7,66;55014;43;426825;7,7585
03/10/2023;7,80;7,84;7,70;7,81;7,81;59070;37;460499;7,7958
02/10/2023;7,90;8,03;7,83;7,83;7,83;69878;43;554239;7,9315
29/09/2023;7,81;8,04;7,81;7,91;7,91;86167;64;687564;7,9794
28/09/2023;8,00;8,29;7,90;7,90;7,90;135821;71;1093277;8,0494
27/09/2023;7,99;8,17;7,87;8,11;8,11;264867;109;2121339;8,0091
26/09/2023;8,00;8,00;7,66;7,94;7,94;244208;91;1912979;7,8334
25/09/2023;7,91;8,07;7,91;8,01;8,01;39052;45;312394;7,9994
22/09/2023;8,06;8,19;7,96;7,98;7,98;12266;16;98586;8,0374
21/09/2023;8,12;8,12;7,90;8,06;8,06;117947;45;942047;7,9870
20/09/2023;7,95;8,05;7,91;8,05;8,05;104993;50;838547;7,9867
19/09/2023;8,00;8,19;8,00;8,06;8,06;234236;76;1902637;8,1227
18/09/2023;8,30;8,30;8,00;8,14;8,14;102087;77;830111;8,1314
15/09/2023;8,50;8,50;8,23;8,30;8,30;119551;68;994352;8,3174
14/09/2023;8,50;8,56;8,40;8,40;8,40;202657;102;1720147;8,4880
13/09/2023;8,35;8,47;8,31;8,32;8,32;217381;107;1819013;8,3679
12/09/2023;8,22;8,48;8,22;8,37;8,37;150682;103;1264598;8,3925
11/09/2023;8,26;8,39;8,20;8,29;8,29;149399;88;1235634;8,2707
08/09/2023;8,29;8,35;8,04;8,27;8,27;143948;79;1179156;8,1915
07/09/2023;7,80;8,20;7,80;8,02;8,02;121815;96;982560;8,0660
06/09/2023;8,00;8,00;7,85;7,89;7,89;132555;74;1053420;7,9470
05/09/2023;8,24;8,24;7,96;8,00;8,00;225190;97;1825366;8,1059
04/09/2023;8,30;8,40;8,00;8,16;8,16;228338;156;1878176;8,2254
01/09/2023;8,19;8,59;7,82;8,46;8,46;334177;184;2754238;8,2419
31/08/2023;7,51;8,25;7,46;8,00;8,00;566678;301;4473181;7,8937
30/08/2023;6,75;7,69;6,75;7,50;7,50;1141109;472;8399170;7,3605
29/08/2023;6,10;6,34;6,10;6,21;6,21;17891;17;112216;6,2722
28/08/2023;6,10;6,38;6,10;6,28;6,28;64917;24;408345;6,2903
25/08/2023;6,38;6,50;6,26;6,40;6,40;152840;55;970961;6,3528
24/08/2023;6,47;6,47;6,27;6,27;6,27;11647;7;74075;6,3600
23/08/2023;6,40;6,48;6,25;6,25;6,25;25702;20;162737;6,3317
22/08/2023;6,10;6,30;6,10;6,30;6,30;47128;17;296102;6,2829
21/08/2023;6,24;6,24;6,24;6,24;6,24;504358;9;3127194;6,2003
18/08/2023;6,15;6,48;6,10;6,12;6,12;90919;29;558500;6,1428
17/08/2023;6,18;6,19;6,17;6,17;6,17;10035;5;61947;6,1730
16/08/2023;6,19;6,27;6,19;6,19;6,19;96878;39;600123;6,1946
15/08/2023;6,26;6,30;6,21;6,21;6,21;30973;14;193611;6,2510
14/08/2023;6,19;6,46;6,19;6,46;6,46;5200;2;32242;6,2004
11/08/2023;6,21;6,27;6,15;6,22;6,22;85070;22;528746;6,2154
10/08/2023;6,17;6,36;6,16;6,34;6,34;162123;23;1014640;6,2585
09/08/2023;6,17;6,25;6,14;6,14;6,14;133076;27;824336;6,1945
08/08/2023;6,10;6,16;6,07;6,16;6,16;54839;27;335058;6,1098
07/08/2023;6,02;6,15;6,02;6,15;6,15;115977;27;711604;6,1357
04/08/2023;6,10;6,20;6,10;6,12;6,12;239810;42;1474336;6,1479
03/08/2023;6,17;6,17;6,12;6,17;6,17;22163;10;135866;6,1303
02/08/2023;6,20;6,22;6,11;6,12;6,12;65032;24;400455;6,1578
01/08/2023;6,25;6,35;6,20;6,20;6,20;46082;33;286300;6,2128
31/07/2023;6,42;6,42;6,20;6,25;6,25;77963;37;488318;6,2635
28/07/2023;6,33;6,38;6,27;6,38;6,38;73228;30;463322;6,3271
27/07/2023;6,47;6,47;6,32;6,36;6,36;19712;21;125880;6,3860
26/07/2023;6,40;6,47;6,32;6,36;6,36;54607;35;348775;6,3870
25/07/2023;6,48;6,48;6,31;6,31;6,31;41180;35;261588;6,3523
24/07/2023;6,45;6,45;6,26;6,41;6,41;21850;21;139914;6,4034
21/07/2023;6,40;6,41;6,21;6,40;6,40;45075;23;288081;6,3912
20/07/2023;6,21;6,37;6,21;6,35;6,35;35033;20;220386;6,2908
19/07/2023;6,29;6,32;6,20;6,32;6,32;55361;23;346745;6,2633
18/07/2023;6,20;6,30;6,10;6,20;6,20;103954;70;645871;6,2131
17/07/2023;6,20;6,25;6,09;6,13;6,13;122266;59;754405;6,1702
14/07/2023;6,40;6,40;6,26;6,26;6,26;22676;13;143431;6,3252
13/07/2023;6,34;6,35;6,18;6,30;6,30;64594;32;407459;6,3080
12/07/2023;6,25;6,39;6,25;6,30;6,30;42741;26;270376;6,3259
11/07/2023;6,26;6,34;6,25;6,30;6,30;32193;23;201861;6,2704
10/07/2023;6,32;6,35;6,28;6,31;6,31;70268;23;443097;6,3058
07/07/2023;6,36;6,36;6,26;6,32;6,32;26728;20;168219;6,2938
06/07/2023;6,30;6,30;6,22;6,25;6,25;37401;20;235534;6,2975
05/07/2023;6,34;6,35;6,15;6,30;6,30;142675;27;895512;6,2766
04/07/2023;6,47;6,47;6,22;6,33;6,33;466162;31;2934404;6,2948
03/07/2023;6,25;6,60;6,15;6,25;6,25;1880274;88;11857126;6,3061
30/06/2023;6,19;6,34;6,18;6,23;6,23;538642;199;3347884;6,2154
29/06/2023;6,08;6,10;6,00;6,03;6,03;88341;35;533155;6,0352
28/06/2023;6,00;6,02;6,00;6,02;6,02;989;7;5947;6,0134
27/06/2023;6,15;6,18;5,97;6,00;6,00;61037;28;370187;6,0650
26/06/2023;5,96;6,11;5,92;6,11;6,11;63642;33;380634;5,9809
23/06/2023;6,08;6,15;5,96;6,06;6,06;49759;44;301898;6,0672
22/06/2023;6,10;6,15;6,05;6,08;6,08;96449;38;588985;6,1067
21/06/2023;6,15;6,18;6,10;6,11;6,11;173702;58;1063504;6,1226
20/06/2023;6,15;6,22;6,15;6,20;6,20;43866;18;272409;6,2100
19/06/2023;6,20;6,45;6,13;6,17;6,17;143011;50;887282;6,2043
16/06/2023;6,34;6,34;6,16;6,30;6,30;66101;31;414260;6,2671
15/06/2023;6,26;6,31;6,21;6,29;6,29;34363;22;214904;6,2539
14/06/2023;6,30;6,37;6,26;6,32;6,32;6488;9;41126;6,3388
13/06/2023;6,29;6,39;6,27;6,30;6,30;94380;42;593944;6,2931
12/06/2023;6,35;6,37;6,30;6,31;6,31;147232;46;933835;6,3426
09/06/2023;6,45;6,45;6,30;6,35;6,35;251910;51;1597236;6,3405
08/06/2023;6,30;6,39;6,30;6,35;6,35;58681;27;371548;6,3317
07/06/2023;6,34;6,42;6,34;6,39;6,39;57440;25;366322;6,3775
06/06/2023;6,39;6,45;6,30;6,30;6,30;27251;21;173496;6,3666
05/06/2023;6,32;6,44;6,31;6,35;6,35;63408;35;403408;6,3621
02/06/2023;6,45;6,45;6,31;6,39;6,39;128357;41;819431;6,3840
01/06/2023;6,29;6,44;6,29;6,36;6,36;75211;39;478466;6,3616
31/05/2023;6,50;6,50;6,30;6,30;6,30;55043;53;348013;6,3226
30/05/2023;6,36;6,50;6,30;6,49;6,49;187795;91;1194275;6,3595
29/05/2023;0,00;0,00;0,00;0,00;6,21;0;0;0;0,0000
26/05/2023;6,45;6,45;6,21;6,21;6,21;171687;75;1087274;6,3329
25/05/2023;6,32;6,49;6,26;6,38;6,38;350434;136;2237715;6,3856
24/05/2023;6,26;6,26;6,10;6,10;6,10;121314;38;749241;6,1760
23/05/2023;6,17;6,45;6,16;6,25;6,25;292444;76;1827839;6,2502
22/05/2023;6,19;6,19;6,10;6,12;6,12;18413;18;113057;6,1400
19/05/2023;6,18;6,20;6,10;6,15;6,15;18363;23;112924;6,1495
18/05/2023;0,00;0,00;0,00;0,00;6,18;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;6,18;0;0;0;0,0000
16/05/2023;6,12;6,25;6,12;6,18;6,18;49827;25;309002;6,2015
15/05/2023;6,54;6,54;6,22;6,25;6,25;29977;18;188483;6,2876
12/05/2023;6,65;6,65;6,10;6,32;6,32;190384;76;1179561;6,1957
11/05/2023;6,11;6,65;6,11;6,65;6,65;43002;32;267096;6,2112
10/05/2023;6,19;6,19;6,15;6,19;6,19;4193;6;25802;6,1535
09/05/2023;6,11;6,28;6,11;6,28;6,28;32751;22;202197;6,1738
08/05/2023;6,67;6,67;6,20;6,21;6,21;21226;25;134075;6,3166
05/05/2023;6,10;6,30;6,10;6,30;6,30;94241;40;580203;6,1566
04/05/2023;6,11;6,33;6,11;6,15;6,15;93383;28;577224;6,1813
03/05/2023;6,40;6,40;6,24;6,24;6,24;13432;14;85006;6,3286
02/05/2023;6,11;6,49;6,11;6,32;6,32;250027;111;1586726;6,3462
28/04/2023;6,15;6,27;6,15;6,20;6,20;44782;37;277492;6,1965
27/04/2023;6,12;6,28;6,12;6,28;6,28;33020;29;204840;6,2035
26/04/2023;6,25;6,27;6,18;6,25;6,25;34242;16;213671;6,2400
25/04/2023;6,23;6,27;6,15;6,26;6,26;26248;32;163043;6,2117
24/04/2023;6,05;6,30;6,05;6,23;6,23;19258;23;119809;6,2212
21/04/2023;6,23;6,26;6,16;6,16;6,16;18271;16;113455;6,2096
20/04/2023;6,27;6,30;6,25;6,30;6,30;29280;25;183724;6,2747
19/04/2023;6,34;6,35;6,27;6,28;6,28;90400;37;571202;6,3186
18/04/2023;6,30;6,41;6,27;6,33;6,33;64588;26;407933;6,3159
17/04/2023;6,32;6,37;6,26;6,29;6,29;84606;41;533309;6,3034
14/04/2023;6,39;6,39;6,23;6,25;6,25;74746;48;469774;6,2849
13/04/2023;6,28;6,40;6,24;6,40;6,40;118177;44;741362;6,2733
12/04/2023;6,69;6,69;6,20;6,28;6,28;32835;40;205198;6,2494
11/04/2023;6,30;6,31;6,18;6,24;6,24;100151;78;625530;6,2459
06/04/2023;0,00;0,00;0,00;0,00;6,33;0;0;0;0,0000
05/04/2023;6,26;6,41;6,26;6,33;6,33;6746;17;42675;6,3260
04/04/2023;6,42;6,49;6,29;6,35;6,35;116158;68;734379;6,3222
03/04/2023;6,36;6,49;6,25;6,25;6,25;89986;61;573959;6,3783
31/03/2023;6,52;6,52;6,25;6,25;6,25;115524;80;730048;6,3195
30/03/2023;6,52;6,52;6,30;6,52;6,52;252079;96;1607321;6,3763
29/03/2023;6,40;6,59;6,40;6,52;6,52;97547;38;632616;6,4852
28/03/2023;6,53;6,64;6,40;6,40;6,40;30042;12;196854;6,5526
27/03/2023;6,36;6,68;6,36;6,50;6,50;54174;27;351120;6,4813
24/03/2023;6,70;6,70;6,35;6,65;6,65;184912;77;1188820;6,4291
23/03/2023;6,74;6,74;6,55;6,60;6,60;79273;46;523292;6,6011
22/03/2023;6,32;6,49;6,32;6,36;6,36;46498;36;297692;6,4023
21/03/2023;6,35;6,47;6,35;6,35;6,35;28739;35;184558;6,4219
20/03/2023;6,32;6,69;6,32;6,36;6,36;96970;49;624988;6,4452
17/03/2023;6,20;6,50;6,20;6,39;6,39;186096;73;1191725;6,4038
16/03/2023;6,45;6,73;6,21;6,32;6,32;247410;119;1594739;6,4457
15/03/2023;6,64;6,88;6,25;6,46;6,46;309180;138;2028524;6,5610
14/03/2023;6,90;6,90;6,73;6,87;6,87;67659;47;463604;6,8521
13/03/2023;6,63;6,90;6,50;6,85;6,85;240666;144;1625938;6,7560
10/03/2023;6,75;7,04;6,60;6,99;6,99;279172;132;1872803;6,7084
09/03/2023;7,00;7,01;6,81;6,82;6,82;251231;104;1729193;6,8829
08/03/2023;6,98;7,00;6,90;6,94;6,94;104362;65;724632;6,9434
07/03/2023;7,35;7,35;6,90;6,94;6,94;699980;193;4934070;7,0489
06/03/2023;7,54;7,54;7,26;7,35;7,35;58297;24;426115;7,3094
03/03/2023;7,50;7,50;7,20;7,38;7,38;343036;120;2506228;7,3060
02/03/2023;7,55;7,58;7,40;7,56;7,56;400304;111;2998052;7,4894
01/03/2023;7,60;7,64;7,44;7,55;7,55;141018;98;1064127;7,5460
28/02/2023;7,49;7,69;7,28;7,64;7,64;282038;149;2098234;7,4395
27/02/2023;6,81;7,48;6,81;7,42;7,42;361096;243;2622527;7,2627
24/02/2023;6,90;7,05;6,90;6,91;6,91;88424;48;619488;7,0059
