"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010629108
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;5,40;5,60;5,40;5,60;5,60;75737;51;413840;5,4642
03/11/2023;5,56;5,60;5,40;5,60;5,60;96403;60;529024;5,4876
02/11/2023;5,58;5,60;5,40;5,54;5,54;108504;68;596277;5,4954
01/11/2023;5,38;5,58;5,20;5,58;5,58;266643;191;1432645;5,3729
31/10/2023;5,60;5,80;5,60;5,64;5,64;228143;84;1294092;5,6723
30/10/2023;5,50;5,62;5,46;5,62;5,62;58573;48;324588;5,5416
27/10/2023;5,56;5,56;5,40;5,50;5,50;68647;49;375488;5,4698
26/10/2023;5,40;5,60;5,40;5,60;5,60;62094;74;338954;5,4587
25/10/2023;5,50;5,58;5,40;5,58;5,58;128640;56;707844;5,5025
24/10/2023;5,60;5,60;5,36;5,60;5,60;269445;129;1471843;5,4625
23/10/2023;5,60;5,70;5,12;5,54;5,54;470997;158;2502138;5,3124
20/10/2023;5,56;5,60;5,36;5,60;5,60;196497;90;1073918;5,4653
19/10/2023;5,60;5,60;5,34;5,52;5,52;276304;142;1502344;5,4373
18/10/2023;5,70;5,70;5,38;5,60;5,60;470610;191;2567485;5,4557
17/10/2023;5,98;5,98;5,62;5,76;5,76;264184;131;1512008;5,7233
16/10/2023;6,00;6,00;5,72;5,90;5,90;294408;123;1722596;5,8511
13/10/2023;5,86;5,96;5,72;5,94;5,94;230668;140;1343553;5,8246
12/10/2023;6,00;6,08;5,82;6,00;6,00;251912;104;1492200;5,9235
11/10/2023;6,06;6,08;5,80;6,08;6,08;194906;98;1161478;5,9592
10/10/2023;6,06;6,08;5,80;6,02;6,02;250984;151;1489859;5,9361
09/10/2023;6,08;6,08;5,78;6,04;6,04;327445;166;1922714;5,8719
06/10/2023;6,18;6,18;5,90;6,12;6,12;124092;95;743561;5,9920
05/10/2023;6,04;6,18;5,94;6,12;6,12;203850;91;1232028;6,0438
04/10/2023;6,18;6,18;5,90;6,04;6,04;424824;168;2580136;6,0734
03/10/2023;6,18;6,24;5,98;6,20;6,20;625260;252;3822787;6,1139
02/10/2023;6,32;6,32;5,96;6,10;6,10;522282;206;3150536;6,0323
29/09/2023;6,30;6,46;6,04;6,22;6,22;1624567;779;10082731;6,2064
28/09/2023;5,52;6,58;5,52;6,30;6,30;3630868;1301;22543325;6,2088
27/09/2023;5,20;5,32;5,10;5,20;5,20;190098;51;986427;5,1890
26/09/2023;5,20;5,22;5,04;5,20;5,20;61296;21;317850;5,1855
25/09/2023;5,10;5,20;5,02;5,20;5,20;93929;41;480587;5,1165
22/09/2023;5,18;5,20;5,10;5,18;5,18;21858;12;112986;5,1691
21/09/2023;5,24;5,24;5,02;5,24;5,24;67800;36;346220;5,1065
20/09/2023;5,36;5,36;5,16;5,22;5,22;37244;26;197575;5,3049
19/09/2023;5,20;5,20;5,02;5,14;5,14;21511;12;109598;5,0950
18/09/2023;5,12;5,30;5,12;5,30;5,30;50700;15;265656;5,2398
15/09/2023;5,14;5,34;5,12;5,34;5,34;25205;16;132320;5,2498
14/09/2023;5,24;5,36;5,20;5,22;5,22;92001;37;482044;5,2396
13/09/2023;5,22;5,48;5,20;5,48;5,48;36385;21;192931;5,3025
12/09/2023;5,20;5,48;5,20;5,48;5,48;14659;14;78267;5,3392
11/09/2023;5,10;5,46;5,10;5,44;5,44;16722;11;88604;5,2987
08/09/2023;5,20;5,30;5,06;5,22;5,22;16300;11;84494;5,1837
07/09/2023;5,38;5,48;5,20;5,42;5,42;36015;30;192288;5,3391
06/09/2023;5,44;5,44;4,90;5,24;5,24;64929;66;338243;5,2094
05/09/2023;5,20;5,24;5,10;5,24;5,24;19460;16;100624;5,1708
04/09/2023;5,40;5,60;5,12;5,26;5,26;37454;34;196843;5,2556
01/09/2023;5,28;5,28;5,00;5,22;5,22;85110;64;437667;5,1424
31/08/2023;4,80;5,20;4,65;5,20;5,20;115988;76;562875;4,8529
30/08/2023;4,90;5,06;4,85;4,99;4,99;90159;56;447132;4,9594
29/08/2023;5,12;5,20;4,91;5,00;5,00;109909;64;549049;4,9955
28/08/2023;5,02;5,02;4,87;5,00;5,00;73667;38;365213;4,9576
25/08/2023;5,30;5,30;4,93;5,02;5,02;88594;37;445056;5,0236
24/08/2023;5,32;5,32;4,85;5,20;5,20;125212;72;631256;5,0415
23/08/2023;5,70;5,70;4,83;5,36;5,36;562674;146;2836694;5,0415
22/08/2023;5,80;5,80;5,44;5,74;5,74;11795;18;66380;5,6278
21/08/2023;5,44;5,74;5,08;5,74;5,74;68064;53;357826;5,2572
18/08/2023;5,40;5,58;5,34;5,44;5,44;52738;37;285271;5,4092
17/08/2023;5,40;5,66;5,30;5,66;5,66;53756;35;291461;5,4219
16/08/2023;5,70;5,70;5,24;5,44;5,44;179533;70;969932;5,4025
15/08/2023;5,72;5,86;5,72;5,86;5,86;71157;34;410562;5,7698
14/08/2023;5,90;5,90;5,68;5,86;5,86;42463;21;245603;5,7839
11/08/2023;5,76;5,90;5,50;5,90;5,90;86895;36;493999;5,6850
10/08/2023;5,70;5,82;5,60;5,82;5,82;83695;50;477046;5,6998
09/08/2023;5,82;5,86;5,70;5,86;5,86;36635;20;212356;5,7965
08/08/2023;5,90;5,92;5,78;5,92;5,92;12219;14;71283;5,8338
07/08/2023;5,90;5,92;5,80;5,90;5,90;41979;18;246105;5,8626
04/08/2023;5,90;6,06;5,84;6,02;6,02;40535;24;240620;5,9361
03/08/2023;5,62;6,08;5,62;6,08;6,08;27298;27;160293;5,8720
02/08/2023;6,00;6,00;5,78;5,96;5,96;34310;23;201164;5,8631
01/08/2023;6,04;6,04;5,94;6,00;6,00;44231;27;264416;5,9781
31/07/2023;5,96;6,06;5,94;6,04;6,04;27293;25;163737;5,9992
28/07/2023;5,98;6,06;5,96;6,04;6,04;52005;40;313941;6,0367
27/07/2023;6,06;6,08;5,94;5,96;5,96;28568;16;171152;5,9910
26/07/2023;5,96;6,04;5,96;5,96;5,96;25716;18;153627;5,9740
25/07/2023;5,94;6,08;5,94;6,06;6,06;59562;40;358762;6,0233
24/07/2023;6,00;6,08;5,90;6,00;6,00;48822;33;290941;5,9592
21/07/2023;5,76;5,90;5,72;5,90;5,90;41624;24;239970;5,7652
20/07/2023;5,96;5,96;5,76;5,96;5,96;45705;19;269457;5,8956
19/07/2023;5,88;5,96;5,86;5,96;5,96;13653;16;80265;5,8789
18/07/2023;5,88;5,88;5,80;5,84;5,84;24260;18;141489;5,8322
17/07/2023;6,00;6,06;5,82;5,90;5,90;21083;21;125472;5,9513
14/07/2023;6,14;6,14;5,90;5,98;5,98;29295;24;174766;5,9657
13/07/2023;6,16;6,16;5,94;6,12;6,12;22059;16;132279;5,9966
12/07/2023;5,86;5,96;5,86;5,94;5,94;7525;6;44649;5,9334
11/07/2023;5,86;6,02;5,80;6,02;6,02;47012;27;274791;5,8451
10/07/2023;6,20;6,20;5,84;6,00;6,00;64818;33;385040;5,9403
07/07/2023;6,00;6,16;5,94;6,10;6,10;45021;27;271902;6,0394
06/07/2023;6,20;6,20;5,94;5,96;5,96;56503;28;340942;6,0340
05/07/2023;6,14;6,20;5,90;6,20;6,20;194215;65;1168665;6,0174
04/07/2023;6,00;6,10;5,98;6,10;6,10;370386;54;2222477;6,0004
03/07/2023;6,10;6,14;5,74;6,00;6,00;403184;129;2401333;5,9559
30/06/2023;5,54;5,58;5,30;5,58;5,58;232041;115;1260399;5,4318
29/06/2023;5,76;5,76;5,54;5,64;5,64;150343;79;846937;5,6334
28/06/2023;5,82;5,82;5,70;5,82;5,82;9705;10;55719;5,7412
27/06/2023;5,80;5,80;5,76;5,80;5,80;8497;11;49047;5,7722
26/06/2023;6,00;6,00;5,70;5,90;5,90;17996;28;105407;5,8573
23/06/2023;5,80;6,00;5,62;6,00;6,00;41567;25;241701;5,8147
22/06/2023;5,90;5,94;5,70;5,94;5,94;39563;19;232247;5,8703
21/06/2023;5,88;5,96;5,82;5,94;5,94;50301;24;296052;5,8856
20/06/2023;5,80;5,88;5,78;5,88;5,88;18523;14;108021;5,8317
19/06/2023;5,80;5,88;5,80;5,88;5,88;4848;11;28228;5,8226
16/06/2023;5,98;5,98;5,80;5,94;5,94;49517;27;291313;5,8831
15/06/2023;5,90;6,00;5,68;6,00;6,00;169118;93;982327;5,8085
14/06/2023;5,98;5,98;5,80;5,88;5,88;179417;50;1050859;5,8571
13/06/2023;6,00;6,00;5,78;5,98;5,98;104128;45;609731;5,8556
12/06/2023;6,08;6,08;5,80;6,02;6,02;117765;45;698673;5,9328
09/06/2023;6,08;6,16;5,96;6,16;6,16;116006;47;697955;6,0165
08/06/2023;6,20;6,20;5,96;6,08;6,08;93140;52;563671;6,0519
07/06/2023;6,00;6,18;5,90;6,18;6,18;71921;43;432577;6,0146
06/06/2023;6,00;6,10;5,96;6,08;6,08;45057;24;271579;6,0275
05/06/2023;5,98;6,18;5,98;6,12;6,12;154379;62;929984;6,0240
02/06/2023;6,20;6,38;6,08;6,18;6,18;123669;60;766214;6,1957
01/06/2023;5,86;6,20;5,80;6,18;6,18;211754;109;1286882;6,0773
31/05/2023;6,10;6,10;5,80;6,00;6,00;183930;69;1098269;5,9711
30/05/2023;6,00;6,00;5,86;5,96;5,96;127844;58;760037;5,9450
29/05/2023;0,00;0,00;0,00;0,00;5,90;0;0;0;0,0000
26/05/2023;6,20;6,20;5,74;5,90;5,90;154857;76;910448;5,8793
25/05/2023;6,14;6,14;5,80;5,98;5,98;251892;67;1492205;5,9240
24/05/2023;6,18;6,18;5,68;6,06;6,06;250820;133;1483770;5,9157
23/05/2023;6,00;6,70;5,82;6,28;6,28;2340710;914;14621568;6,2466
22/05/2023;5,14;5,14;4,81;5,12;5,12;27964;30;136998;4,8991
19/05/2023;5,10;5,12;4,99;5,12;5,12;5203;12;26514;5,0960
18/05/2023;0,00;0,00;0,00;0,00;5,14;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;5,14;0;0;0;0,0000
16/05/2023;5,14;5,20;4,70;5,14;5,14;252362;125;1251283;4,9583
15/05/2023;5,40;5,40;4,89;5,14;5,14;75685;53;379622;5,0158
12/05/2023;5,42;5,42;5,10;5,24;5,24;71811;33;370941;5,1655
11/05/2023;5,38;5,48;5,26;5,30;5,30;43083;27;230000;5,3385
10/05/2023;5,52;5,52;5,30;5,40;5,40;10113;19;54611;5,4001
