"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010360019
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;48,40;48,90;47,15;47,20;47,20;149115;351;7138763;47,8742
03/11/2023;48,25;48,40;47,15;48,40;48,40;66807;223;3216738;48,1497
02/11/2023;49,00;49,00;47,35;47,50;47,50;105160;251;5052216;48,0431
01/11/2023;48,00;48,75;47,25;48,40;48,40;74974;291;3591380;47,9017
31/10/2023;48,15;48,30;47,55;47,60;47,60;64025;288;3074401;48,0188
30/10/2023;47,10;49,10;47,10;48,30;48,30;155665;581;7549778;48,5002
27/10/2023;47,45;47,45;46,05;47,35;47,35;73324;286;3445561;46,9909
26/10/2023;47,45;47,45;46,05;46,10;46,10;77633;286;3598562;46,3535
25/10/2023;47,85;47,85;46,20;46,70;46,70;131999;385;6144723;46,5513
24/10/2023;46,40;48,10;46,40;47,85;47,85;99472;307;4723582;47,4865
23/10/2023;48,85;48,85;46,50;46,75;46,75;171207;417;8200663;47,8991
20/10/2023;48,00;48,60;47,55;48,30;48,30;66602;254;3199369;48,0371
19/10/2023;48,30;48,95;47,50;48,75;48,75;58045;204;2803507;48,2989
18/10/2023;48,90;49,20;48,40;48,70;48,70;65102;227;3175509;48,7774
17/10/2023;50,30;50,30;48,50;48,95;48,95;91580;287;4492309;49,0534
16/10/2023;49,15;50,20;48,55;49,75;49,75;153599;373;7585294;49,3837
13/10/2023;48,95;48,95;48,20;48,75;48,75;86907;272;4222380;48,5850
12/10/2023;48,20;48,95;47,80;48,75;48,75;34432;196;1676845;48,7002
11/10/2023;48,60;49,20;47,65;47,80;47,80;73508;293;3564938;48,4973
10/10/2023;49,05;49,85;48,25;48,90;48,90;65974;213;3225566;48,8915
09/10/2023;48,95;49,35;47,65;49,05;49,05;58012;240;2827896;48,7467
06/10/2023;47,20;47,80;46,80;47,80;47,80;111604;410;5275785;47,2724
05/10/2023;48,00;48,00;46,75;47,10;47,10;120920;491;5702204;47,1568
04/10/2023;50,00;50,00;47,35;47,35;47,35;130526;508;6329543;48,4926
03/10/2023;51,70;51,70;48,25;49,70;49,70;206898;788;10288204;49,7260
02/10/2023;52,00;52,20;50,70;51,70;51,70;112988;381;5821362;51,5219
29/09/2023;50,00;52,40;49,85;52,20;52,20;158916;426;8186294;51,5133
28/09/2023;48,90;51,00;48,80;50,00;50,00;187190;520;9317576;49,7760
27/09/2023;48,90;48,90;48,35;48,70;48,70;39698;190;1929545;48,6056
26/09/2023;48,00;49,25;47,35;48,50;48,50;72976;450;3518134;48,2095
25/09/2023;49,80;49,80;48,05;48,15;48,15;125676;477;6143488;48,8835
22/09/2023;48,75;50,00;48,50;50,00;50,00;81938;302;4051061;49,4406
21/09/2023;49,70;49,70;48,60;49,25;49,25;91742;261;4506624;49,1228
20/09/2023;47,75;49,50;47,75;49,45;49,45;98125;318;4810089;49,0200
19/09/2023;47,00;48,45;47,00;48,10;48,10;37941;189;1817262;47,8970
18/09/2023;47,30;48,15;46,85;47,80;47,80;68421;378;3240142;47,3560
15/09/2023;47,60;48,15;47,15;48,10;48,10;87695;355;4205013;47,9504
14/09/2023;46,80;47,80;46,50;47,60;47,60;50186;247;2369498;47,2143
13/09/2023;45,45;47,20;44,60;46,85;46,85;342499;712;15659140;45,7203
12/09/2023;47,50;47,95;46,85;47,00;47,00;76583;226;3607385;47,1043
11/09/2023;47,05;47,50;46,80;46,80;46,80;74588;278;3516587;47,1468
08/09/2023;47,15;47,50;46,65;46,90;46,90;45024;262;2112855;46,9273
07/09/2023;46,90;47,45;46,80;47,00;47,00;54392;220;2560101;47,0676
06/09/2023;48,20;48,25;46,75;46,90;46,90;111560;264;5281424;47,3416
05/09/2023;48,80;48,80;47,50;47,65;47,65;54872;185;2626334;47,8629
04/09/2023;47,35;48,60;47,25;47,70;47,70;102072;328;4912657;48,1293
01/09/2023;47,50;47,50;47,00;47,35;47,35;170883;269;8092291;47,3557
31/08/2023;47,40;47,50;46,85;47,30;47,30;103014;229;4871124;47,2860
30/08/2023;47,00;47,45;46,65;47,20;47,20;41041;150;1937043;47,1978
29/08/2023;46,50;47,15;46,50;46,60;46,60;37850;142;1771541;46,8042
28/08/2023;47,00;47,85;46,70;46,95;46,95;38928;162;1837444;47,2011
25/08/2023;46,10;47,00;46,10;46,70;46,70;22429;120;1042237;46,4683
24/08/2023;48,00;48,00;45,80;45,90;45,90;98533;300;4592597;46,6097
23/08/2023;47,70;48,30;47,00;47,00;47,00;85669;227;4080481;47,6308
22/08/2023;47,30;47,70;46,50;47,00;47,00;59493;248;2799253;47,0518
21/08/2023;47,05;47,20;46,50;46,65;46,65;64683;245;3031307;46,8641
18/08/2023;46,95;47,10;46,60;46,95;46,95;44484;143;2084051;46,8494
17/08/2023;47,25;47,25;46,75;46,95;46,95;25768;153;1209012;46,9191
16/08/2023;47,10;47,10;46,25;47,00;47,00;54522;199;2545857;46,6941
15/08/2023;46,95;47,30;46,25;47,00;47,00;78993;270;3704844;46,9009
14/08/2023;47,90;47,90;46,25;46,60;46,60;87441;264;4108236;46,9830
11/08/2023;48,00;48,20;47,40;47,95;47,95;104174;303;4990359;47,9041
10/08/2023;48,40;48,90;48,05;48,20;48,20;51796;248;2509375;48,4473
09/08/2023;46,75;48,30;46,50;48,15;48,15;96909;293;4613173;47,6031
08/08/2023;48,40;48,40;46,65;47,10;47,10;96840;366;4559004;47,0777
07/08/2023;48,45;48,45;47,40;47,95;47,95;54080;264;2582929;47,7613
04/08/2023;48,00;48,45;47,40;48,00;48,00;71496;201;3421909;47,8615
03/08/2023;46,60;47,15;46,40;46,75;46,75;62319;205;2916114;46,7933
02/08/2023;47,20;47,80;46,25;46,70;46,70;151802;421;7102823;46,7900
01/08/2023;49,00;49,00;47,55;48,00;48,00;42458;227;2047502;48,2242
31/07/2023;48,75;48,95;48,15;48,35;48,35;58467;215;2839027;48,5578
28/07/2023;49,10;49,10;47,90;48,50;48,50;150917;167;7290627;48,3088
27/07/2023;49,10;49,10;48,05;48,30;48,30;38600;170;1878590;48,6681
26/07/2023;48,15;48,95;47,80;47,80;47,80;68704;222;3309404;48,1690
25/07/2023;48,20;48,90;47,95;48,45;48,45;82076;223;4005279;48,7996
24/07/2023;47,25;48,15;46,50;47,75;47,75;77748;232;3670258;47,2071
21/07/2023;49,00;49,00;47,00;47,20;47,20;71639;315;3412332;47,6323
20/07/2023;47,70;49,25;47,50;48,70;48,70;45748;150;2223431;48,6017
19/07/2023;45,70;49,40;44,90;47,65;47,65;138656;385;6489782;46,8049
18/07/2023;46,00;46,35;45,60;45,70;45,70;80449;311;3687598;45,8377
17/07/2023;47,95;47,95;45,60;45,75;45,75;165071;542;7639892;46,2825
14/07/2023;49,00;49,00;47,30;48,30;48,30;63434;180;3041350;47,9451
13/07/2023;49,80;50,30;48,00;48,80;48,80;205828;395;10118513;49,1600
12/07/2023;50,70;50,70;48,75;49,40;49,40;215392;446;10695977;49,6582
11/07/2023;51,00;51,00;48,05;49,50;49,50;393867;986;19454991;49,3948
10/07/2023;53,00;54,50;53,00;54,00;54,00;133896;373;7195181;53,7371
07/07/2023;51,00;53,00;50,50;53,00;53,00;141185;398;7345842;52,0299
06/07/2023;49,70;51,10;49,30;50,90;50,90;172779;503;8708829;50,4044
05/07/2023;49,80;50,20;49,70;50,10;50,10;67881;285;3395281;50,0181
04/07/2023;50,20;50,20;49,70;49,85;49,85;64921;235;3243226;49,9565
03/07/2023;50,00;50,20;49,50;49,70;49,70;94882;337;4744835;50,0077
30/06/2023;50,20;50,20;49,60;49,90;49,90;98972;353;4947559;49,9895
29/06/2023;49,95;50,70;49,55;50,00;50,00;199614;406;9990162;50,0474
28/06/2023;49,20;50,50;48,50;49,80;49,80;93445;285;4635021;49,6016
27/06/2023;49,00;49,15;47,45;47,95;47,95;149938;522;7190355;47,9555
26/06/2023;52,00;52,00;48,35;48,65;48,65;133451;502;6513813;48,8105
23/06/2023;50,10;50,20;49,60;50,20;50,20;89985;302;4488786;49,8837
22/06/2023;50,30;50,40;49,65;50,00;50,00;209881;471;10503394;50,0445
21/06/2023;50,20;50,30;49,50;49,85;49,85;202488;484;10121127;49,9838
20/06/2023;51,90;51,90;50,20;50,60;50,60;41718;276;2112081;50,6276
19/06/2023;51,30;51,30;50,30;50,60;50,60;121183;370;6156195;50,8008
16/06/2023;50,70;51,30;50,70;51,20;51,20;458179;264;23445763;51,1716
15/06/2023;51,10;51,30;50,70;50,80;50,80;151204;497;7708040;50,9778
14/06/2023;53,80;53,80;51,40;51,40;51,40;92654;300;4810462;51,9186
13/06/2023;53,20;53,40;51,90;52,20;52,20;140442;455;7322384;52,1381
12/06/2023;55,50;55,70;53,70;54,20;54,20;173685;508;9412995;54,1958
09/06/2023;53,50;55,50;49,00;55,00;55,00;312946;639;16903102;54,0128
08/06/2023;53,50;54,60;53,00;53,30;53,30;391525;839;21114446;53,9287
07/06/2023;53,00;53,30;52,80;53,20;53,20;72820;242;3867885;53,1157
06/06/2023;53,30;53,60;52,80;53,10;53,10;61373;239;3259649;53,1121
05/06/2023;54,80;54,80;53,00;53,50;53,50;108476;345;5829940;53,7441
02/06/2023;53,00;53,30;52,50;53,00;53,00;113315;336;6006451;53,0067
01/06/2023;55,40;55,40;51,10;52,00;52,00;86129;390;4489777;52,1285
31/05/2023;52,90;53,10;51,10;51,50;51,50;132143;383;6863894;51,9429
30/05/2023;53,50;53,80;52,90;53,00;53,00;89636;329;4775563;53,2773
29/05/2023;0,00;0,00;0,00;0,00;53,00;0;0;0;0,0000
26/05/2023;53,20;54,10;52,80;53,00;53,00;127842;518;6805472;53,2335
25/05/2023;53,50;53,70;52,80;52,80;52,80;154857;505;8242631;53,2274
24/05/2023;55,80;56,00;52,80;53,30;53,30;288059;709;15553437;53,9939
23/05/2023;54,50;55,30;53,60;55,20;55,20;88480;360;4823348;54,5134
22/05/2023;55,00;55,00;53,00;53,50;53,50;104569;424;5589144;53,4493
19/05/2023;55,00;55,40;54,10;54,30;54,30;79099;376;4323919;54,6646
18/05/2023;0,00;0,00;0,00;0,00;54,90;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;54,90;0;0;0;0,0000
16/05/2023;56,00;56,00;53,40;54,90;54,90;40874;155;2235130;54,6834
15/05/2023;54,60;55,00;53,40;54,00;54,00;66882;242;3639841;54,4218
12/05/2023;54,20;54,60;52,60;54,60;54,60;65945;305;3540940;53,6954
11/05/2023;56,30;56,40;54,90;54,90;54,90;116072;561;6460227;55,6571
10/05/2023;58,20;58,20;55,50;55,70;55,70;100731;366;5642042;56,0110
09/05/2023;57,40;59,50;55,50;56,00;56,00;86005;287;4896963;56,9381
08/05/2023;58,00;58,00;57,30;57,50;57,50;114379;253;6584078;57,5637
05/05/2023;56,70;57,60;56,60;57,10;57,10;75722;259;4321342;57,0685
04/05/2023;57,00;57,30;55,40;56,10;56,10;144271;247;8109937;56,2132
03/05/2023;58,00;58,00;56,30;56,80;56,80;52397;201;2991341;57,0899
02/05/2023;59,00;59,00;56,50;56,90;56,90;94714;375;5429043;57,3204
28/04/2023;57,20;57,50;56,50;57,50;57,50;57648;254;3282488;56,9402
27/04/2023;56,90;57,70;56,70;57,00;57,00;74732;245;4261768;57,0274
26/04/2023;59,20;59,20;56,70;57,00;57,00;191255;513;10997161;57,5000
25/04/2023;58,90;60,30;58,30;58,70;58,70;598260;540;35275967;58,9643
24/04/2023;57,60;59,10;57,50;58,10;58,10;87342;229;5094782;58,3314
21/04/2023;58,40;58,40;57,30;57,30;57,30;101942;215;5884357;57,7226
20/04/2023;58,00;58,70;57,40;58,40;58,40;22706;120;1314403;57,8879
19/04/2023;59,50;59,50;57,50;57,70;57,70;59070;171;3435440;58,1588
18/04/2023;58,70;60,30;57,90;58,20;58,20;43052;208;2532269;58,8188
17/04/2023;59,60;59,60;58,80;59,10;59,10;37686;265;2231495;59,2128
14/04/2023;60,60;61,00;59,90;60,00;60,00;102775;499;6177485;60,1069
13/04/2023;61,30;61,80;60,50;60,60;60,60;79336;413;4842546;61,0384
12/04/2023;60,60;62,40;60,10;61,00;61,00;173280;437;10627725;61,3327
11/04/2023;61,80;61,90;59,90;60,00;60,00;81991;346;4964006;60,5433
06/04/2023;0,00;0,00;0,00;0,00;61,70;0;0;0;0,0000
05/04/2023;61,20;61,70;61,00;61,70;61,70;18104;75;1109392;61,2788
04/04/2023;60,90;61,40;60,40;61,40;61,40;21722;96;1319788;60,7581
03/04/2023;60,50;60,80;59,40;60,10;60,10;48948;156;2947037;60,2075
31/03/2023;59,50;59,78;58,11;58,75;58,75;53389;276;3142983;58,8695
30/03/2023;58,30;59,96;58,00;58,50;58,50;59004;153;3472981;58,8601
29/03/2023;57,50;58,36;56,71;57,25;57,25;51719;191;2980052;57,6201
28/03/2023;58,17;58,20;57,10;57,50;57,50;31834;135;1830723;57,5084
27/03/2023;58,19;58,19;56,21;57,18;57,18;27734;97;1573315;56,7287
24/03/2023;58,35;59,37;56,20;56,20;56,20;78795;282;4507370;57,2038
23/03/2023;60,00;60,00;58,00;58,35;58,35;50855;122;2990980;58,8139
22/03/2023;60,51;60,51;58,11;58,50;58,50;52653;212;3122361;59,3007
21/03/2023;60,00;60,51;58,90;59,03;59,03;42820;136;2560507;59,7970
20/03/2023;57,75;60,66;54,11;58,54;58,54;86451;232;4881536;56,4659
17/03/2023;57,30;58,60;56,54;57,31;57,31;131780;507;7615497;57,7895
16/03/2023;57,82;58,00;55,42;56,35;56,35;117581;403;6669652;56,7239
15/03/2023;61,76;62,37;56,00;56,70;56,70;274182;843;15687052;57,2140
14/03/2023;60,00;61,98;58,61;60,90;60,90;46970;152;2825067;60,1462
13/03/2023;61,70;62,09;58,00;59,02;59,02;133032;348;7910379;59,4622
10/03/2023;63,20;63,20;61,30;61,64;61,64;134732;435;8367578;62,1053
09/03/2023;64,00;65,58;63,20;63,31;63,31;121098;398;7789733;64,3259
