"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010892912
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;21,00;22,40;21,00;21,00;21,00;1790;7;38172;21,3253
03/11/2023;23,00;23,10;20,00;20,60;20,60;17678;33;377126;21,3330
02/11/2023;24,00;24,00;21,20;23,00;23,00;2559;6;54660;21,3599
01/11/2023;22,00;24,00;21,10;24,00;24,00;6217;17;141626;22,7804
31/10/2023;23,00;23,80;20,60;22,00;22,00;4187;18;93865;22,4181
30/10/2023;21,40;24,10;21,20;22,40;22,40;19320;34;438648;22,7044
27/10/2023;21,50;22,00;20,70;22,00;22,00;4856;12;103758;21,3670
26/10/2023;20,00;21,40;20,00;21,40;21,40;3136;6;66777;21,2938
25/10/2023;20,00;21,20;20,00;20,70;20,70;5107;10;106558;20,8651
24/10/2023;21,70;22,40;20,80;21,50;21,50;9858;16;214415;21,7503
23/10/2023;20,00;21,90;20,00;21,70;21,70;3769;8;77676;20,6092
20/10/2023;25,00;25,00;19,70;21,80;21,80;101040;116;2196032;21,7343
19/10/2023;23,60;27,70;20,50;22,80;22,80;153123;182;3602709;23,5282
18/10/2023;23,00;26,00;20,50;23,50;23,50;15391;47;384830;25,0036
17/10/2023;26,90;27,80;23,90;26,00;26,00;3150;11;84202;26,7307
16/10/2023;28,40;28,40;28,40;28,40;28,40;10;1;284;28,4000
13/10/2023;26,10;26,80;24,30;26,00;26,00;16802;22;430127;25,5998
12/10/2023;26,10;29,80;25,50;26,80;26,80;54716;48;1439754;26,3132
11/10/2023;26,20;29,90;26,20;29,30;29,30;891;4;23412;26,2763
10/10/2023;27,00;27,00;26,20;27,00;27,00;495;3;13289;26,8465
09/10/2023;28,00;28,00;26,10;26,10;26,10;436;6;11486;26,3445
06/10/2023;26,10;28,90;26,10;28,90;28,90;305;5;8479;27,7984
05/10/2023;27,70;29,00;27,70;29,00;29,00;3000;4;86719;28,9062
04/10/2023;27,80;27,80;27,70;27,70;27,70;1474;3;40974;27,7981
03/10/2023;29,00;29,00;27,50;27,50;27,50;541;5;15633;28,8956
02/10/2023;29,00;29,00;27,60;29,00;29,00;552;3;15339;27,7877
29/09/2023;29,80;29,80;27,50;27,50;27,50;1024;6;29298;28,6113
28/09/2023;28,00;28,00;27,90;28,00;28,00;6422;8;179814;27,9996
27/09/2023;28,00;28,00;27,90;27,90;27,90;700;2;19540;27,9143
26/09/2023;27,00;27,90;27,00;27,00;27,00;1260;3;34029;27,0071
25/09/2023;27,00;27,00;26,50;27,00;27,00;1220;5;32855;26,9303
22/09/2023;28,00;28,00;26,00;27,40;27,40;15495;11;429870;27,7425
21/09/2023;26,50;29,90;26,50;27,90;27,90;2590;9;72789;28,1037
20/09/2023;27,00;28,80;26,10;28,80;28,80;793;6;21454;27,0540
19/09/2023;26,00;29,00;26,00;28,90;28,90;486;7;13706;28,2006
18/09/2023;28,00;28,00;28,00;28,00;28,00;1505;4;42140;28,0000
15/09/2023;28,00;29,80;27,50;29,00;29,00;11604;19;335511;28,9134
14/09/2023;28,40;30,00;28,00;28,00;28,00;15946;16;469763;29,4596
13/09/2023;31,00;31,00;28,10;29,00;29,00;6249;16;184690;29,5552
12/09/2023;31,00;31,00;29,20;30,00;30,00;36768;19;1102272;29,9791
11/09/2023;31,30;31,40;30,00;31,00;31,00;460467;13;14411570;31,2977
08/09/2023;31,30;32,90;31,30;32,90;32,90;1968;4;64115;32,5789
07/09/2023;32,70;32,90;32,70;32,90;32,90;155;2;5070;32,7065
06/09/2023;33,00;33,00;31,70;32,70;32,70;244;9;8000;32,7861
05/09/2023;31,30;33,00;31,30;32,00;32,00;5943;23;193331;32,5309
04/09/2023;35,00;35,50;33,60;35,40;35,40;1277;12;44164;34,5844
01/09/2023;35,00;35,00;35,00;35,00;35,00;290;2;10150;35,0000
31/08/2023;33,70;35,30;33,70;34,00;34,00;3486;9;117856;33,8083
30/08/2023;0,00;0,00;0,00;0,00;35,40;0;0;0;0,0000
29/08/2023;0,00;0,00;0,00;0,00;35,40;0;0;0;0,0000
28/08/2023;33,70;35,50;33,70;35,40;35,40;2444;10;83205;34,0446
25/08/2023;35,50;35,50;33,70;35,40;35,40;1277;7;44937;35,1896
24/08/2023;34,50;35,50;34,50;35,50;35,50;1561;3;55251;35,3946
23/08/2023;34,50;34,50;34,50;34,50;34,50;592;3;20424;34,5000
22/08/2023;34,10;36,00;34,10;36,00;36,00;13;2;462;35,5615
21/08/2023;33,00;38,00;33,00;38,00;38,00;559;6;18875;33,7651
18/08/2023;35,90;35,90;33,40;33,60;33,60;1527;7;53140;34,8002
17/08/2023;33,90;36,00;33,90;35,90;35,90;3511;5;124655;35,5041
16/08/2023;34,60;36,00;34,60;36,00;36,00;1135;5;40696;35,8557
15/08/2023;33,40;38,00;33,40;38,00;38,00;1249;13;44152;35,3502
14/08/2023;39,00;39,00;39,00;39,00;39,00;2;1;78;39,0000
11/08/2023;38,20;38,20;35,00;37,80;37,80;17;4;641;37,7059
10/08/2023;33,40;38,30;33,40;38,30;38,30;1626;10;58235;35,8148
09/08/2023;35,50;36,10;32,60;36,00;36,00;10416;9;373972;35,9036
08/08/2023;35,00;38,90;35,00;35,10;35,10;3533;8;124430;35,2194
07/08/2023;32,00;35,10;32,00;35,10;35,10;3070;13;105956;34,5132
04/08/2023;32,10;33,70;32,10;33,70;33,70;1461;5;48486;33,1869
03/08/2023;35,00;35,00;33,00;33,00;33,00;1782;4;60406;33,8979
02/08/2023;32,70;35,50;32,70;35,00;35,00;514;8;17862;34,7504
01/08/2023;35,20;35,20;33,50;34,00;34,00;1733;8;60446;34,8794
31/07/2023;35,90;35,90;32,20;35,90;35,90;9612;13;333652;34,7121
28/07/2023;34,40;34,40;33,00;33,00;33,00;46;2;1526;33,1826
27/07/2023;33,40;33,40;32,90;33,00;33,00;1097;3;36205;33,0032
26/07/2023;33,30;34,00;33,30;34,00;34,00;450;2;15020;33,3778
25/07/2023;34,90;34,90;31,80;33,00;33,00;2942;14;98047;33,3266
24/07/2023;32,50;34,90;31,30;34,00;34,00;3740;16;121680;32,5348
21/07/2023;35,00;35,00;33,00;34,80;34,80;1650;8;56059;33,9752
20/07/2023;34,00;34,00;31,50;32,70;32,70;2641;7;85925;32,5350
19/07/2023;31,30;33,20;31,30;33,00;33,00;751;5;24768;32,9799
18/07/2023;30,40;34,80;30,40;34,00;34,00;2023;12;67590;33,4110
17/07/2023;32,60;32,70;31,00;32,70;32,70;14775;10;476392;32,2431
14/07/2023;34,90;34,90;32,10;34,90;34,90;3332;13;112273;33,6953
13/07/2023;34,20;38,30;34,20;34,90;34,90;1349;6;46648;34,5798
12/07/2023;35,00;40,00;35,00;40,00;40,00;4559;8;159695;35,0286
11/07/2023;35,10;35,80;35,00;35,00;35,00;1903;7;66848;35,1278
10/07/2023;36,10;37,90;36,10;36,20;36,20;1025;7;37079;36,1744
07/07/2023;38,90;38,90;38,40;38,60;38,60;1106;5;42603;38,5200
06/07/2023;38,00;38,00;38,00;38,00;38,00;3003;3;114114;38,0000
05/07/2023;39,90;45,00;37,60;38,00;38,00;12785;32;517249;40,4575
04/07/2023;36,00;39,80;36,00;37,00;37,00;4209;7;164336;39,0439
03/07/2023;32,10;35,70;30,20;34,70;34,70;3130;10;103014;32,9117
30/06/2023;31,00;31,00;30,20;31,00;31,00;1416;9;43646;30,8237
29/06/2023;30,10;30,90;30,10;30,50;30,50;1542;7;46999;30,4791
28/06/2023;29,70;31,00;29,70;31,00;31,00;4548;5;137295;30,1880
27/06/2023;33,00;33,00;29,20;30,50;30,50;4243;11;129164;30,4416
26/06/2023;30,30;31,00;29,90;31,00;31,00;1038;7;31517;30,3628
23/06/2023;30,40;30,40;30,00;30,00;30,00;1361;4;40932;30,0747
22/06/2023;30,10;30,40;30,00;30,30;30,30;1946;8;59011;30,3243
21/06/2023;33,00;33,00;30,00;31,50;31,50;789;6;25100;31,8124
20/06/2023;31,40;33,00;29,20;33,00;33,00;12955;29;400890;30,9448
19/06/2023;36,00;36,00;30,20;31,30;31,30;12153;36;389575;32,0559
16/06/2023;39,20;39,20;36,00;36,00;36,00;8090;15;297151;36,7307
15/06/2023;39,30;39,30;39,20;39,20;39,20;1195;4;46855;39,2092
14/06/2023;35,00;39,90;35,00;39,40;39,40;687;7;25564;37,2103
13/06/2023;36,00;36,00;36,00;36,00;36,00;2488;7;89568;36,0000
12/06/2023;35,10;39,90;35,10;36,60;36,60;4689;8;175454;37,4182
09/06/2023;35,10;37,90;35,10;37,70;37,70;809;3;29243;36,1475
08/06/2023;39,00;39,50;37,00;37,00;37,00;16297;10;604422;37,0879
07/06/2023;39,50;39,50;39,50;39,50;39,50;200;1;7900;39,5000
06/06/2023;39,50;39,50;39,00;39,00;39,00;106;3;4137;39,0283
05/06/2023;39,00;39,00;39,00;39,00;39,00;2550;4;99450;39,0000
02/06/2023;36,10;38,90;36,00;38,80;38,80;6361;13;240948;37,8789
01/06/2023;35,10;38,90;35,10;36,90;36,90;1503;6;57219;38,0699
31/05/2023;37,00;37,90;37,00;37,20;37,20;678;4;25515;37,6322
30/05/2023;36,00;40,90;36,00;37,00;37,00;4045;12;150473;37,1997
