"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0011002651
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;24,80;24,80;24,80;24,80;24,80;60;1;1488;24,8000
03/11/2023;24,80;24,80;24,80;24,80;24,80;35;3;868;24,8000
02/11/2023;24,40;24,40;23,80;23,80;23,80;312;3;7611;24,3942
01/11/2023;24,70;24,70;24,70;24,70;24,70;4;1;99;24,7000
31/10/2023;24,70;24,70;24,70;24,70;24,70;700;3;17290;24,7000
30/10/2023;23,30;24,70;23,30;24,70;24,70;43181;3;1036233;23,9974
27/10/2023;23,20;23,20;23,20;23,20;23,20;43;3;998;23,2000
26/10/2023;23,00;23,00;23,00;23,00;23,00;5172;12;118956;23,0000
25/10/2023;23,00;23,00;23,00;23,00;23,00;196;3;4508;23,0000
24/10/2023;23,00;23,00;23,00;23,00;23,00;101;3;2323;23,0000
23/10/2023;23,00;23,00;22,10;22,10;22,10;201;2;4622;22,9955
20/10/2023;23,30;23,30;23,00;23,00;23,00;842;5;19486;23,1425
19/10/2023;26,10;26,10;26,10;26,10;26,10;1;1;26;26,1000
18/10/2023;26,10;26,10;26,10;26,10;26,10;29;1;757;26,1000
17/10/2023;0,00;0,00;0,00;0,00;26,30;0;0;0;0,0000
16/10/2023;0,00;0,00;0,00;0,00;26,30;0;0;0;0,0000
13/10/2023;0,00;0,00;0,00;0,00;26,30;0;0;0;0,0000
12/10/2023;26,30;26,30;26,30;26,30;26,30;1;1;26;26,3000
11/10/2023;26,90;26,90;26,50;26,50;26,50;81;5;2159;26,6481
10/10/2023;25,00;25,00;25,00;25,00;25,00;30;1;750;25,0000
09/10/2023;24,90;26,90;24,90;26,90;26,90;32;3;801;25,0250
06/10/2023;0,00;0,00;0,00;0,00;23,00;0;0;0;0,0000
05/10/2023;26,60;26,60;23,00;23,00;23,00;43;4;1133;26,3488
04/10/2023;0,00;0,00;0,00;0,00;27,00;0;0;0;0,0000
03/10/2023;0,00;0,00;0,00;0,00;27,00;0;0;0;0,0000
02/10/2023;27,00;27,00;27,00;27,00;27,00;25;2;675;27,0000
29/09/2023;23,00;25,00;23,00;24,90;24,90;7736;12;183173;23,6780
28/09/2023;27,00;27,00;27,00;27,00;27,00;2700;6;72900;27,0000
27/09/2023;24,90;24,90;24,90;24,90;24,90;50;2;1245;24,9000
26/09/2023;24,10;24,10;22,40;24,00;24,00;235;5;5642;24,0077
25/09/2023;25,30;25,30;23,00;23,00;23,00;2915;13;70437;24,1635
22/09/2023;23,00;25,00;23,00;25,00;25,00;201;2;5019;24,9701
21/09/2023;27,90;27,90;25,10;25,10;25,10;229;4;6380;27,8620
20/09/2023;25,00;25,80;25,00;25,80;25,80;498;4;12690;25,4819
19/09/2023;25,40;26,00;25,40;26,00;26,00;700;3;18080;25,8286
18/09/2023;25,60;25,60;23,00;23,00;23,00;10371;20;250371;24,1414
15/09/2023;25,30;25,30;25,30;25,30;25,30;8;1;202;25,3000
14/09/2023;23,50;23,60;23,50;23,60;23,60;22;2;518;23,5364
13/09/2023;25,80;25,80;24,60;25,10;25,10;674;5;17227;25,5598
12/09/2023;26,70;26,70;25,60;25,60;25,60;1911;6;50291;26,3168
11/09/2023;26,50;26,50;26,40;26,40;26,40;2533;7;66877;26,4021
