"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003058109
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;21,00;21,00;21,00;21,00;21,00;199;1;4179;21,0000
03/11/2023;0,00;0,00;0,00;0,00;21,00;0;0;0;0,0000
02/11/2023;21,00;21,60;21,00;21,00;21,00;2535;4;53835;21,2367
01/11/2023;20,20;20,80;20,20;20,80;20,80;77;3;1567;20,3558
31/10/2023;21,00;21,00;20,20;20,20;20,20;8687;15;178094;20,5012
30/10/2023;21,00;26,80;20,80;21,00;21,00;63527;88;1461123;23,0000
27/10/2023;20,80;21,00;20,00;20,00;20,00;12205;20;251428;20,6004
26/10/2023;21,20;21,20;20,60;20,60;20,60;13179;19;275192;20,8811
25/10/2023;22,60;23,20;21,80;21,80;21,80;5779;11;127831;22,1200
24/10/2023;22,20;22,20;21,60;22,00;22,00;11400;6;247616;21,7207
23/10/2023;22,40;22,60;22,40;22,40;22,40;1215;5;27264;22,4395
20/10/2023;23,00;23,00;22,80;22,80;22,80;1000;3;22940;22,9400
19/10/2023;23,00;23,00;23,00;23,00;23,00;250;2;5750;23,0000
18/10/2023;22,20;22,20;22,20;22,20;22,20;1;1;22;22,2000
17/10/2023;22,20;22,60;22,20;22,60;22,60;2650;5;59490;22,4491
16/10/2023;23,00;23,00;22,20;22,20;22,20;7496;20;167690;22,3706
13/10/2023;22,40;23,00;22,40;23,00;23,00;235;2;5390;22,9362
12/10/2023;23,20;23,20;23,20;23,20;23,20;272;1;6310;23,2000
11/10/2023;22,20;22,60;22,20;22,60;22,60;3502;6;78244;22,3428
10/10/2023;22,60;22,60;22,60;22,60;22,60;250;1;5650;22,6000
09/10/2023;22,60;22,60;21,00;22,00;22,00;17228;24;378893;21,9929
06/10/2023;23,00;23,00;23,00;23,00;23,00;550;5;12650;23,0000
05/10/2023;23,00;23,60;23,00;23,00;23,00;1174;6;27192;23,1618
04/10/2023;24,40;24,40;24,40;24,40;24,40;160;2;3904;24,4000
03/10/2023;23,80;23,80;23,40;23,40;23,40;1410;3;33358;23,6582
02/10/2023;24,00;24,00;24,00;24,00;24,00;20;1;480;24,0000
29/09/2023;23,20;23,80;23,20;23,80;23,80;1225;3;28720;23,4449
28/09/2023;23,00;23,00;23,00;23,00;23,00;392;2;9016;23,0000
27/09/2023;22,40;23,00;22,20;23,00;23,00;1415;5;32491;22,9616
26/09/2023;22,20;23,00;22,20;22,40;22,40;1413;8;31493;22,2879
25/09/2023;22,40;22,40;22,40;22,40;22,40;1000;1;22400;22,4000
22/09/2023;22,80;23,00;22,40;22,40;22,40;11739;21;267111;22,7542
21/09/2023;24,00;24,00;24,00;24,00;24,00;150;2;3600;24,0000
20/09/2023;25,00;25,00;23,20;23,20;23,20;10739;30;257483;23,9765
19/09/2023;24,00;24,00;24,00;24,00;24,00;5;1;120;24,0000
18/09/2023;24,00;24,00;24,00;24,00;24,00;740;2;17760;24,0000
15/09/2023;24,00;24,00;24,00;24,00;24,00;309;2;7416;24,0000
14/09/2023;24,40;24,40;24,40;24,40;24,40;19;1;464;24,4000
13/09/2023;23,00;24,00;23,00;23,80;23,80;3245;10;76486;23,5704
12/09/2023;22,00;23,00;22,00;23,00;23,00;3347;6;74383;22,2239
11/09/2023;23,00;23,00;22,00;22,40;22,40;13128;12;294818;22,4572
08/09/2023;23,20;23,20;23,20;23,20;23,20;100;1;2320;23,2000
07/09/2023;23,60;23,80;23,20;23,80;23,80;555;3;12942;23,3189
06/09/2023;23,80;23,80;23,80;23,80;23,80;225;1;5355;23,8000
05/09/2023;24,00;24,40;24,00;24,40;24,40;646;2;15622;24,1833
04/09/2023;23,60;24,20;23,40;24,20;24,20;2315;6;54639;23,6022
01/09/2023;24,60;24,60;24,60;24,60;24,60;100;1;2460;24,6000
31/08/2023;24,00;24,00;24,00;24,00;24,00;200;1;4800;24,0000
30/08/2023;24,20;24,20;24,00;24,00;24,00;1350;4;32470;24,0519
29/08/2023;25,20;25,20;25,20;25,20;25,20;5;1;126;25,2000
28/08/2023;25,40;25,40;24,60;24,60;24,60;505;4;12427;24,6079
25/08/2023;24,60;24,60;24,60;24,60;24,60;300;1;7380;24,6000
24/08/2023;25,40;25,40;24,60;24,60;24,60;436;5;10810;24,7945
23/08/2023;24,60;24,60;24,60;24,60;24,60;1000;1;24600;24,6000
22/08/2023;25,00;25,60;23,80;25,20;25,20;5193;11;129776;24,9906
21/08/2023;23,80;27,00;23,80;26,60;26,60;13181;23;330677;25,0874
18/08/2023;23,60;23,80;23,60;23,60;23,60;62224;6;1478621;23,7629
17/08/2023;24,60;24,60;23,60;23,60;23,60;1231;6;29427;23,9046
16/08/2023;24,00;24,40;23,60;24,40;24,40;13272;10;317747;23,9411
15/08/2023;23,60;23,60;23,40;23,60;23,60;17173;8;405138;23,5916
14/08/2023;22,80;24,00;22,80;23,40;23,40;155331;31;3630986;23,3758
11/08/2023;22,80;23,40;22,40;23,40;23,40;5860;15;133230;22,7355
10/08/2023;23,20;23,20;22,80;22,80;22,80;12312;10;280874;22,8130
09/08/2023;23,60;23,60;23,00;23,20;23,20;4956;6;115261;23,2569
08/08/2023;23,40;23,60;23,00;23,20;23,20;3375;9;78991;23,4048
07/08/2023;24,60;25,00;24,00;24,00;24,00;17126;17;411652;24,0367
04/08/2023;22,40;24,60;22,40;24,60;24,60;3031;7;71349;23,5398
03/08/2023;23,40;23,40;22,80;23,40;23,40;34814;25;801410;23,0198
02/08/2023;24,00;24,00;23,60;23,60;23,60;16688;11;399857;23,9608
01/08/2023;24,40;24,40;24,20;24,20;24,20;40173;12;976221;24,3004
31/07/2023;24,60;27,00;24,20;24,20;24,20;11028;26;273325;24,7846
28/07/2023;25,60;25,60;24,60;24,60;24,60;6552;8;161231;24,6080
27/07/2023;24,60;25,80;24,60;25,00;25,00;12449;15;308832;24,8078
26/07/2023;25,20;25,20;23,80;25,00;25,00;66257;150;1605966;24,2384
25/07/2023;25,60;25,60;24,40;25,00;25,00;2954;15;73999;25,0505
24/07/2023;25,80;26,00;25,60;25,60;25,60;21750;14;559294;25,7147
21/07/2023;26,20;26,20;25,20;26,00;26,00;8958;13;233631;26,0807
20/07/2023;27,40;27,40;26,80;27,00;27,00;32796;44;882178;26,8990
19/07/2023;28,00;28,20;27,20;27,40;27,40;12307;11;337733;27,4424
18/07/2023;28,80;28,80;28,00;28,00;28,00;1387;5;39558;28,5203
17/07/2023;28,80;28,80;28,80;28,80;28,80;200;1;5760;28,8000
14/07/2023;28,80;29,00;28,80;29,00;29,00;900;2;25960;28,8444
13/07/2023;0,00;0,00;0,00;0,00;29,80;0;0;0;0,0000
12/07/2023;29,60;30,80;29,60;29,80;29,80;37013;17;1140835;30,8225
11/07/2023;29,60;30,00;29,60;29,60;29,60;8545;15;254532;29,7872
10/07/2023;30,60;30,60;29,60;29,60;29,60;958;5;28615;29,8693
07/07/2023;31,00;31,00;29,60;30,00;30,00;4275;14;128600;30,0820
06/07/2023;31,20;31,60;31,00;31,20;31,20;11400;31;357155;31,3294
05/07/2023;33,60;33,60;31,60;32,00;32,00;9262;24;297631;32,1346
04/07/2023;32,80;33,40;32,00;32,40;32,40;41900;10;1384166;33,0350
03/07/2023;34,00;34,00;33,60;33,60;33,60;6094;30;206967;33,9624
30/06/2023;33,00;34,00;33,00;33,40;33,40;640;5;21280;33,2500
29/06/2023;34,00;34,00;34,00;34,00;34,00;915;7;31110;34,0000
28/06/2023;34,00;34,00;33,20;33,20;33,20;238;2;8076;33,9328
27/06/2023;33,20;33,80;33,00;33,80;33,80;448;4;14838;33,1214
26/06/2023;0,00;0,00;0,00;0,00;34,00;0;0;0;0,0000
23/06/2023;34,00;34,00;34,00;34,00;34,00;1444;8;49096;34,0000
22/06/2023;33,00;34,00;33,00;34,00;34,00;8562;18;290791;33,9630
21/06/2023;33,80;33,80;33,00;33,00;33,00;1735;11;57763;33,2928
20/06/2023;32,40;33,40;31,60;32,80;32,80;11105;12;364345;32,8091
19/06/2023;32,60;33,00;32,60;33,00;33,00;597;4;19598;32,8271
16/06/2023;33,00;33,00;33,00;33,00;33,00;229;4;7557;33,0000
15/06/2023;32,00;33,00;32,00;33,00;33,00;1504;3;48462;32,2219
14/06/2023;33,00;33,00;32,40;32,40;32,40;200;2;6540;32,7000
13/06/2023;34,00;34,00;33,00;33,00;33,00;667;6;22578;33,8501
12/06/2023;28,60;38,40;28,60;34,00;34,00;16490;39;531824;32,2513
09/06/2023;28,60;28,60;28,60;28,60;28,60;200;1;5720;28,6000
08/06/2023;28,60;28,60;28,60;28,60;28,60;36157;4;1034090;28,6000
07/06/2023;28,60;28,60;28,60;28,60;28,60;250;2;7150;28,6000
06/06/2023;28,60;29,00;28,60;28,60;28,60;20798;4;594863;28,6019
05/06/2023;30,00;30,00;28,40;28,40;28,40;6605;11;193882;29,3538
02/06/2023;28,60;29,00;28,20;29,00;29,00;5254;9;150694;28,6818
01/06/2023;28,00;28,40;27,80;28,40;28,40;7070;10;198700;28,1046
31/05/2023;26,40;27,00;26,00;27,00;27,00;1300;4;34068;26,2063
30/05/2023;26,00;26,00;25,80;26,00;26,00;9923;7;257541;25,9540
29/05/2023;0,00;0,00;0,00;0,00;25,40;0;0;0;0,0000
26/05/2023;25,40;25,40;25,40;25,40;25,40;100;1;2540;25,4000
25/05/2023;25,40;25,40;25,40;25,40;25,40;9;1;229;25,4000
24/05/2023;25,60;25,80;25,60;25,80;25,80;150;2;3857;25,7147
23/05/2023;26,20;26,20;26,20;26,20;26,20;101;2;2646;26,2000
22/05/2023;26,20;26,20;26,20;26,20;26,20;25;1;655;26,2000
19/05/2023;26,00;26,40;26,00;26,40;26,40;640;2;16880;26,3750
18/05/2023;0,00;0,00;0,00;0,00;26,00;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;26,00;0;0;0;0,0000
16/05/2023;26,00;26,00;26,00;26,00;26,00;137;2;3562;26,0000
15/05/2023;25,80;25,80;25,60;25,60;25,60;311;2;7974;25,6392
12/05/2023;24,80;24,80;24,80;24,80;24,80;450;1;11160;24,8000
11/05/2023;24,80;25,20;23,40;24,00;24,00;8404;36;203852;24,2565
10/05/2023;25,60;25,60;25,60;25,60;25,60;20;1;512;25,6000
09/05/2023;0,00;0,00;0,00;0,00;25,40;0;0;0;0,0000
08/05/2023;25,40;25,40;25,40;25,40;25,40;31;1;787;25,4000
05/05/2023;0,00;0,00;0,00;0,00;25,40;0;0;0;0,0000
04/05/2023;25,40;25,40;25,40;25,40;25,40;20;1;508;25,4000
03/05/2023;25,40;25,40;25,40;25,40;25,40;50;1;1270;25,4000
02/05/2023;25,60;25,60;25,60;25,60;25,60;2;1;51;25,6000
28/04/2023;24,20;25,20;24,20;25,20;25,20;9783;14;242973;24,8363
27/04/2023;0,00;0,00;0,00;0,00;24,00;0;0;0;0,0000
26/04/2023;24,00;24,00;24,00;24,00;24,00;125;1;3000;24,0000
25/04/2023;24,20;24,20;24,00;24,00;24,00;700;2;16820;24,0286
24/04/2023;23,40;23,60;23,40;23,60;23,60;1109;3;26172;23,5993
21/04/2023;23,60;23,60;23,60;23,60;23,60;250;1;5900;23,6000
20/04/2023;0,00;0,00;0,00;0,00;23,40;0;0;0;0,0000
19/04/2023;23,00;23,40;23,00;23,40;23,40;134;2;3084;23,0119
18/04/2023;23,20;23,20;22,80;22,80;22,80;1815;5;41750;23,0028
17/04/2023;0,00;0,00;0,00;0,00;24,00;0;0;0;0,0000
14/04/2023;23,80;24,00;23,80;24,00;24,00;760;4;18110;23,8289
13/04/2023;25,00;25,00;24,60;24,60;24,60;22481;7;553075;24,6019
12/04/2023;25,00;25,00;25,00;25,00;25,00;12106;35;302650;25,0000
11/04/2023;25,20;25,20;24,60;24,60;24,60;2200;3;54900;24,9545
06/04/2023;0,00;0,00;0,00;0,00;24,40;0;0;0;0,0000
05/04/2023;0,00;0,00;0,00;0,00;24,40;0;0;0;0,0000
04/04/2023;24,40;24,40;24,40;24,40;24,40;100;1;2440;24,4000
03/04/2023;25,60;25,60;24,60;25,00;25,00;33099;34;827421;24,9984
31/03/2023;24,20;25,20;24,00;25,20;25,20;16357;23;407608;24,9195
30/03/2023;24,80;24,80;24,80;24,80;24,80;485;1;12028;24,8000
29/03/2023;24,60;25,00;24,40;25,00;25,00;15817;15;395246;24,9887
28/03/2023;24,60;24,60;24,40;24,40;24,40;1508;2;37055;24,5724
27/03/2023;25,40;25,40;24,00;24,00;24,00;3442;7;86519;25,1361
24/03/2023;26,40;26,40;24,80;25,00;25,00;4059;5;103574;25,5171
23/03/2023;26,60;26,60;26,60;26,60;26,60;1200;1;31920;26,6000
22/03/2023;26,20;26,20;26,20;26,20;26,20;50;1;1310;26,2000
21/03/2023;26,20;26,20;26,20;26,20;26,20;200;1;5240;26,2000
20/03/2023;26,20;26,20;26,20;26,20;26,20;200;1;5240;26,2000
17/03/2023;26,20;26,80;26,20;26,80;26,80;112;2;2994;26,7357
16/03/2023;26,60;26,60;26,00;26,00;26,00;4401;12;114707;26,0638
15/03/2023;27,60;27,60;27,60;27,60;27,60;500;1;13800;27,6000
14/03/2023;26,80;27,80;26,80;27,80;27,80;1200;5;33160;27,6333
13/03/2023;26,40;26,80;26,00;26,80;26,80;7513;18;196182;26,1123
10/03/2023;26,20;26,20;26,00;26,00;26,00;1030;4;26921;26,1365
09/03/2023;26,20;26,20;26,20;26,20;26,20;205;1;5371;26,2000
08/03/2023;26,80;26,80;26,00;26,00;26,00;545;3;14202;26,0587
07/03/2023;26,20;26,40;26,00;26,40;26,40;775;3;20380;26,2968
06/03/2023;26,40;26,40;26,40;26,40;26,40;200;1;5280;26,4000
01/03/2023;26,60;27,00;26,00;26,80;26,80;3014;10;79891;26,5067
27/02/2023;26,40;26,40;26,40;26,40;26,40;180;1;4752;26,4000
24/02/2023;26,20;26,20;26,20;26,20;26,20;1025;5;26855;26,2000
23/02/2023;26,60;26,60;26,20;26,20;26,20;1400;5;36960;26,4000
22/02/2023;26,40;26,40;25,80;26,00;26,00;62110;7;1554764;25,0324
21/02/2023;25,80;26,40;25,80;26,40;26,40;2200;4;57473;26,1242
20/02/2023;26,00;26,40;25,40;26,20;26,20;1061;7;27695;26,1027
17/02/2023;25,00;25,00;24,60;25,00;25,00;822;5;20381;24,7946
16/02/2023;24,00;25,00;23,60;24,20;24,20;1364;7;33394;24,4821
15/02/2023;23,40;23,40;23,40;23,40;23,40;218;1;5101;23,4000
14/02/2023;23,00;24,00;23,00;24,00;24,00;2114;6;50528;23,9017
13/02/2023;22,80;22,80;22,80;22,80;22,80;530;2;12084;22,8000
10/02/2023;23,00;23,00;23,00;23,00;23,00;300;1;6900;23,0000
09/02/2023;23,00;23,00;23,00;23,00;23,00;260;1;5980;23,0000
