"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010317340
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,70;0,715;0,692;0,70;0,70;12280400;406;8646364;0,7041
03/11/2023;0,695;0,709;0,677;0,689;0,689;9283442;372;6456128;0,6954
02/11/2023;0,68;0,702;0,68;0,699;0,699;3744298;218;2606463;0,6961
01/11/2023;0,697;0,698;0,674;0,675;0,675;3858545;214;2631485;0,6820
31/10/2023;0,69;0,711;0,662;0,697;0,697;19655347;642;13538866;0,6888
30/10/2023;0,66;0,682;0,653;0,682;0,682;14343777;465;9593739;0,6688
27/10/2023;0,643;0,67;0,643;0,656;0,656;8089521;256;5323503;0,6581
26/10/2023;0,65;0,65;0,636;0,639;0,639;6248657;233;4017990;0,6430
25/10/2023;0,66;0,66;0,635;0,635;0,635;6904028;225;4474041;0,6480
24/10/2023;0,629;0,66;0,628;0,66;0,66;4366578;190;2840794;0,6506
23/10/2023;0,65;0,655;0,624;0,626;0,626;8993701;291;5688970;0,6326
20/10/2023;0,67;0,67;0,646;0,646;0,646;10567715;324;6937676;0,6565
19/10/2023;0,68;0,688;0,664;0,67;0,67;7350034;289;4940592;0,6722
18/10/2023;0,686;0,695;0,665;0,695;0,695;8199894;329;5543205;0,6760
17/10/2023;0,70;0,70;0,67;0,679;0,679;6111334;244;4176079;0,6833
16/10/2023;0,709;0,714;0,691;0,70;0,70;15570226;575;10901735;0,7002
13/10/2023;0,706;0,716;0,698;0,704;0,704;24253804;656;17133732;0,7064
12/10/2023;0,71;0,719;0,693;0,708;0,708;25051248;820;17664396;0,7051
11/10/2023;0,701;0,712;0,676;0,702;0,702;23627017;810;16409580;0,6945
10/10/2023;0,70;0,714;0,691;0,699;0,699;10357291;384;7277762;0,7027
09/10/2023;0,74;0,74;0,685;0,695;0,695;46716961;997;33155432;0,7097
06/10/2023;0,70;0,752;0,70;0,722;0,722;65223542;1713;47814376;0,7331
05/10/2023;0,64;0,721;0,64;0,692;0,692;54487967;1384;37387917;0,6862
04/10/2023;0,633;0,655;0,627;0,635;0,635;20554051;564;13189475;0,6417
03/10/2023;0,616;0,635;0,613;0,633;0,633;17615244;521;10928323;0,6204
02/10/2023;0,62;0,627;0,611;0,618;0,618;12496557;483;7741496;0,6195
29/09/2023;0,625;0,634;0,617;0,619;0,619;7319310;287;4570497;0,6244
28/09/2023;0,603;0,624;0,597;0,624;0,624;9300925;326;5672446;0,6099
27/09/2023;0,59;0,605;0,586;0,603;0,603;4669534;174;2798938;0,5994
26/09/2023;0,60;0,60;0,585;0,59;0,59;2048757;134;1210609;0,5909
25/09/2023;0,603;0,603;0,588;0,599;0,599;2740973;185;1630974;0,5950
22/09/2023;0,588;0,60;0,583;0,60;0,60;4737105;216;2789674;0,5889
21/09/2023;0,609;0,609;0,586;0,586;0,586;8741126;357;5178204;0,5924
20/09/2023;0,608;0,61;0,60;0,609;0,609;2504490;147;1511607;0,6036
19/09/2023;0,611;0,611;0,604;0,608;0,608;2742565;153;1668312;0,6083
18/09/2023;0,61;0,617;0,603;0,61;0,61;4467071;260;2722223;0,6094
15/09/2023;0,60;0,613;0,596;0,613;0,613;5115263;215;3104092;0,6068
14/09/2023;0,609;0,609;0,597;0,60;0,60;1886422;139;1135398;0,6019
13/09/2023;0,598;0,61;0,59;0,605;0,605;5790802;251;3492579;0,6031
12/09/2023;0,597;0,604;0,592;0,595;0,595;2408693;126;1440498;0,5980
11/09/2023;0,598;0,598;0,591;0,595;0,595;740549;86;439888;0,5940
08/09/2023;0,599;0,60;0,586;0,591;0,591;2560181;125;1519595;0,5936
07/09/2023;0,599;0,60;0,588;0,592;0,592;2385447;115;1416808;0,5939
06/09/2023;0,595;0,605;0,59;0,595;0,595;3388370;155;2025037;0,5976
05/09/2023;0,589;0,595;0,582;0,595;0,595;2092183;125;1232763;0,5892
04/09/2023;0,592;0,599;0,583;0,589;0,589;3071437;174;1816122;0,5913
01/09/2023;0,589;0,589;0,583;0,586;0,586;501817;72;294614;0,5871
31/08/2023;0,575;0,59;0,575;0,589;0,589;1694337;90;989187;0,5838
30/08/2023;0,585;0,585;0,573;0,579;0,579;2628912;144;1522924;0,5793
29/08/2023;0,582;0,593;0,578;0,584;0,584;1957423;131;1146738;0,5858
28/08/2023;0,581;0,586;0,573;0,585;0,585;1835312;137;1067456;0,5816
25/08/2023;0,57;0,581;0,567;0,581;0,581;1179274;105;675445;0,5728
24/08/2023;0,584;0,584;0,571;0,571;0,571;2174021;129;1254123;0,5769
23/08/2023;0,57;0,582;0,57;0,577;0,577;2450672;143;1411448;0,5759
22/08/2023;0,576;0,587;0,568;0,576;0,576;4346270;153;2514052;0,5784
21/08/2023;0,584;0,585;0,576;0,579;0,579;1468322;120;852818;0,5808
18/08/2023;0,585;0,592;0,576;0,584;0,584;2737249;157;1592991;0,5820
17/08/2023;0,592;0,598;0,582;0,59;0,59;3326296;171;1958051;0,5887
16/08/2023;0,592;0,597;0,585;0,585;0,585;3799750;208;2238180;0,5890
15/08/2023;0,596;0,61;0,591;0,592;0,592;3543725;184;2117331;0,5975
14/08/2023;0,604;0,615;0,592;0,596;0,596;9423316;261;5667316;0,6014
11/08/2023;0,596;0,60;0,593;0,595;0,595;1761668;100;1049114;0,5955
10/08/2023;0,606;0,606;0,593;0,597;0,597;995442;89;594077;0,5968
09/08/2023;0,595;0,599;0,59;0,599;0,599;811819;94;484036;0,5962
08/08/2023;0,596;0,596;0,585;0,595;0,595;1481525;110;871485;0,5882
07/08/2023;0,592;0,596;0,586;0,595;0,595;1254174;125;741579;0,5913
04/08/2023;0,594;0,594;0,585;0,588;0,588;1792855;128;1053657;0,5877
03/08/2023;0,595;0,595;0,585;0,587;0,587;2533144;163;1491726;0,5889
02/08/2023;0,60;0,60;0,59;0,59;0,59;3170181;191;1887561;0,5954
01/08/2023;0,61;0,614;0,598;0,60;0,60;5796038;212;3485611;0,6014
31/07/2023;0,601;0,617;0,601;0,614;0,614;3933718;206;2405559;0,6115
28/07/2023;0,617;0,617;0,598;0,60;0,60;4141871;181;2489014;0,6009
27/07/2023;0,60;0,614;0,597;0,61;0,61;4238325;209;2570752;0,6065
26/07/2023;0,60;0,602;0,593;0,602;0,602;1411268;97;842636;0,5971
25/07/2023;0,595;0,60;0,592;0,596;0,596;1531426;133;911485;0,5952
24/07/2023;0,601;0,605;0,591;0,597;0,597;4218127;199;2520257;0,5975
21/07/2023;0,61;0,617;0,603;0,605;0,605;4173013;153;2545363;0,6100
