"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003055501
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;92,00;92,88;91,16;91,70;91,70;390636;1043;35942969;92,0114
03/11/2023;89,70;92,20;88,34;91,86;91,86;931609;2744;84353028;90,5455
02/11/2023;86,88;93,74;86,40;89,90;89,90;1283487;3472;116114775;90,4682
01/11/2023;90,00;90,00;82,82;86,88;86,88;1529314;3494;131710559;86,1239
31/10/2023;88,90;90,34;87,30;90,16;90,16;637546;1634;56826054;89,1325
30/10/2023;89,30;90,86;88,30;88,78;88,78;315122;996;28208504;89,5161
27/10/2023;89,04;90,50;88,64;88,64;88,64;695918;1415;62317566;89,5473
26/10/2023;88,00;90,66;86,92;89,04;89,04;449130;1682;40078982;89,2369
25/10/2023;92,34;92,34;88,40;89,12;89,12;561571;1485;50396276;89,7416
24/10/2023;91,36;93,54;91,02;92,26;92,26;577695;1731;53375303;92,3936
23/10/2023;89,48;90,30;86,32;90,30;90,30;900389;2415;80378172;89,2705
20/10/2023;90,00;91,32;88,14;89,56;89,56;949873;2609;90428524;95,2006
19/10/2023;90,00;92,82;89,08;90,60;90,60;1453265;2941;133223967;91,6722
18/10/2023;89,38;93,00;88,04;91,06;91,06;2351404;3922;212980241;90,5758
17/10/2023;101,10;105,00;91,94;92,70;92,70;4918058;11125;480115382;97,6230
16/10/2023;116,15;116,25;112,80;116,00;116,00;568619;1211;65564645;115,3051
13/10/2023;115,00;117,00;114,00;116,20;116,20;640581;1637;74147080;115,7497
12/10/2023;113,50;116,65;113,20;114,40;114,40;501418;1542;57800869;115,2748
11/10/2023;114,00;114,85;112,40;113,35;113,35;357588;782;40550072;113,3989
10/10/2023;110,90;114,50;110,90;113,95;113,95;654255;1711;73958284;113,0420
09/10/2023;107,90;109,30;107,40;108,40;108,40;349112;1012;37783531;108,2275
06/10/2023;107,50;109,60;106,70;108,40;108,40;338566;1305;36584708;108,0578
05/10/2023;109,20;110,00;107,60;107,80;107,80;356399;1100;38672120;108,5079
04/10/2023;107,00;110,00;105,15;108,70;108,70;503592;1715;54514181;108,2507
03/10/2023;109,70;110,75;106,50;108,30;108,30;645013;1695;69744026;108,1281
02/10/2023;111,10;112,00;108,50;109,85;109,85;567561;1449;62407588;109,9575
29/09/2023;109,10;112,30;108,55;111,05;111,05;488106;1437;54199392;111,0402
28/09/2023;107,85;109,60;106,30;108,55;108,55;381075;1291;41176463;108,0534
27/09/2023;107,40;108,80;107,05;108,00;108,00;482714;1376;52130360;107,9943
