"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010907090
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,501;0,54;0,501;0,536;0,536;623388;53;326022;0,5230
03/11/2023;0,511;0,547;0,4745;0,50;0,50;707060;66;358663;0,5073
02/11/2023;0,4805;0,4995;0,4705;0,499;0,499;964745;56;465743;0,4828
01/11/2023;0,501;0,51;0,496;0,496;0,496;684582;48;343150;0,5013
31/10/2023;0,58;0,58;0,4815;0,505;0,505;2597510;86;1317459;0,5072
30/10/2023;0,57;0,60;0,551;0,585;0,585;163044;17;93129;0,5712
27/10/2023;0,65;0,65;0,563;0,582;0,582;74903;13;44439;0,5933
26/10/2023;0,62;0,63;0,592;0,63;0,63;214215;25;130391;0,6087
25/10/2023;0,65;0,689;0,635;0,635;0,635;972001;32;632680;0,6509
24/10/2023;0,65;0,689;0,65;0,679;0,679;364956;18;238958;0,6548
23/10/2023;0,65;0,699;0,65;0,652;0,652;113349;22;75572;0,6667
20/10/2023;0,70;0,70;0,65;0,66;0,66;106271;22;70107;0,6597
19/10/2023;0,65;0,69;0,65;0,65;0,65;292189;28;193847;0,6634
18/10/2023;0,67;0,67;0,64;0,64;0,64;195067;42;126593;0,6490
17/10/2023;0,75;0,75;0,653;0,70;0,70;1039914;92;742253;0,7138
16/10/2023;0,70;0,74;0,66;0,68;0,68;566586;57;393479;0,6945
13/10/2023;0,585;0,75;0,585;0,70;0,70;3781142;285;2345785;0,6204
12/10/2023;0,81;0,845;0,719;0,753;0,753;520395;74;403260;0,7749
11/10/2023;0,902;0,92;0,85;0,85;0,85;121122;23;105303;0,8694
10/10/2023;0,959;1,15;0,902;0,902;0,902;49053;17;47415;0,9666
09/10/2023;1,00;1,00;0,902;0,959;0,959;54834;24;53100;0,9684
06/10/2023;1,004;1,148;1,002;1,02;1,02;17658;15;17869;1,0119
05/10/2023;1,05;1,05;1,002;1,002;1,002;8516;8;8832;1,0371
04/10/2023;1,00;1,09;1,00;1,09;1,09;52820;17;54288;1,0278
03/10/2023;1,246;1,246;1,09;1,09;1,09;5580;7;6215;1,1138
02/10/2023;1,00;1,09;1,00;1,024;1,024;57661;13;59292;1,0283
29/09/2023;1,04;1,248;1,00;1,07;1,07;69132;18;74706;1,0806
28/09/2023;1,15;1,15;1,02;1,04;1,04;54708;18;60068;1,0980
27/09/2023;1,104;1,15;1,104;1,15;1,15;34076;6;39059;1,1462
26/09/2023;1,11;1,144;1,102;1,142;1,142;33326;14;37268;1,1183
25/09/2023;1,15;1,198;1,11;1,11;1,11;29119;13;32826;1,1273
22/09/2023;1,19;1,19;1,12;1,132;1,132;47210;11;53464;1,1325
21/09/2023;1,16;1,20;1,15;1,15;1,15;24141;16;27915;1,1563
20/09/2023;1,26;1,26;1,20;1,20;1,20;27056;9;32471;1,2002
19/09/2023;1,106;1,218;1,106;1,218;1,218;13037;14;15195;1,1655
18/09/2023;1,10;1,248;1,10;1,122;1,122;73869;17;85679;1,1599
15/09/2023;1,20;1,20;1,168;1,20;1,20;20929;4;24782;1,1841
14/09/2023;1,30;1,30;1,17;1,228;1,228;33335;8;40623;1,2186
13/09/2023;1,20;1,30;1,114;1,26;1,26;174604;33;210818;1,2074
12/09/2023;1,198;1,30;1,042;1,114;1,114;445135;24;532848;1,1970
