"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012885252
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;13,00;13,40;11,84;13,382;13,382;12087609;1214;136470634;11,2901
03/11/2023;12,45;13,00;11,50;12,516;12,516;2032826;1010;24567504;12,0854
02/11/2023;15,82;15,82;12,20;12,48;12,48;1252842;701;16314827;13,0223
01/11/2023;14,878;15,35;12,02;14,75;14,75;3747385;1514;52411498;13,9862
31/10/2023;17,52;18,288;17,52;18,064;18,064;59016;65;1062003;17,9952
30/10/2023;17,40;17,84;17,102;17,52;17,52;70935;94;1247094;17,5808
27/10/2023;18,00;18,068;17,10;17,10;17,10;53810;77;942970;17,5241
26/10/2023;17,02;18,046;17,02;18,00;18,00;166313;149;2984805;17,9469
25/10/2023;18,17;19,266;17,802;18,00;18,00;245151;117;4443000;18,1235
24/10/2023;17,50;18,836;17,498;18,30;18,30;127439;137;2324247;18,2381
23/10/2023;18,00;18,15;17,80;18,054;18,054;99001;122;1782687;18,0068
20/10/2023;18,80;18,80;17,998;18,43;18,43;187295;163;3417745;18,2479
19/10/2023;18,966;18,966;17,772;18,63;18,63;426422;272;7764609;18,2087
18/10/2023;19,50;20,47;18,832;18,966;18,966;144646;138;2811937;19,4401
17/10/2023;21,12;21,12;19,25;19,416;19,416;158286;134;3135496;19,8091
16/10/2023;20,00;20,80;19,80;20,43;20,43;286888;156;5853034;20,4018
13/10/2023;18,80;19,998;18,408;19,80;19,80;301168;191;5865036;19,4743
12/10/2023;19,00;19,228;18,60;18,60;18,60;143485;113;2707309;18,8682
11/10/2023;19,00;19,256;18,708;18,708;18,708;9082;31;171011;18,8297
10/10/2023;17,80;18,90;17,80;18,90;18,90;343824;97;6389681;18,5842
09/10/2023;19,27;19,27;17,998;18,406;18,406;790937;471;14486561;18,3157
06/10/2023;19,40;19,898;19,122;19,27;19,27;279989;127;5463392;19,5129
05/10/2023;18,72;19,50;18,72;19,50;19,50;169273;112;3258512;19,2500
04/10/2023;19,392;19,684;18,986;19,048;19,048;594562;218;11516085;19,3690
03/10/2023;20,365;20,50;19,34;20,00;20,00;685049;324;13625966;19,8905
02/10/2023;21,00;22,00;20,30;20,755;20,755;205571;148;4245566;20,6526
29/09/2023;21,50;22,495;20,88;20,925;20,925;169768;163;3657782;21,5458
