"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0005052605
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;63,20;63,80;62,58;63,78;63,78;3194110;2194;203109319;63,5887
03/11/2023;63,14;63,58;62,06;63,06;63,06;3620934;2657;227908356;62,9419
02/11/2023;63,24;64,32;62,86;62,86;62,86;3435088;2176;217012606;63,1753
01/11/2023;63,24;63,70;62,76;62,76;62,76;2809127;1950;176905900;62,9754
31/10/2023;62,38;64,02;62,14;63,68;63,68;4253777;2144;270288291;63,5408
30/10/2023;60,20;62,66;59,82;62,32;62,32;3636828;3091;225222647;61,9283
27/10/2023;61,34;61,94;59,84;60,66;60,66;3637597;2904;220583259;60,6398
26/10/2023;58,98;61,90;58,98;60,94;60,94;4076004;3277;248583439;60,9870
25/10/2023;59,50;60,92;59,00;59,94;59,94;3028721;2902;181813766;60,0299
24/10/2023;57,52;60,50;57,52;59,68;59,68;4924944;3991;292216417;59,3340
23/10/2023;57,56;57,58;56,62;56,76;56,76;4418974;3657;251551261;56,9253
20/10/2023;59,00;59,20;58,02;58,02;58,02;3638673;2520;212209705;58,3206
19/10/2023;60,16;60,80;59,16;59,32;59,32;3818005;3157;227835373;59,6739
18/10/2023;61,34;61,66;60,50;60,50;60,50;2656566;2261;161540288;60,8079
17/10/2023;61,88;62,52;60,24;61,62;61,62;3302098;2653;202616205;61,3598
16/10/2023;61,52;62,34;60,90;62,34;62,34;2050263;1619;127075625;61,9802
13/10/2023;62,20;62,54;61,30;61,34;61,34;3238656;2130;199563415;61,6192
12/10/2023;62,24;63,40;61,96;62,12;62,12;2338824;2042;146113913;62,4732
11/10/2023;61,76;62,46;61,60;62,24;62,24;2809556;1519;174757685;62,2012
10/10/2023;60,84;63,26;60,32;62,22;62,22;3808989;3530;236621766;62,1219
09/10/2023;60,66;61,28;59,82;60,84;60,84;2866756;2755;173958667;60,6814
06/10/2023;61,90;62,70;60,52;61,10;61,10;5047982;4614;310093860;61,4293
05/10/2023;62,10;62,96;61,68;62,42;62,42;3792878;2907;236453658;62,3415
04/10/2023;63,24;63,78;62,18;62,18;62,18;4826300;3205;301797776;62,5319
03/10/2023;65,30;65,50;63,28;63,56;63,56;6065031;4308;387014275;63,8108
02/10/2023;67,56;68,00;65,86;65,86;65,86;4997940;3132;330961425;66,2196
29/09/2023;66,00;67,90;65,98;67,20;67,20;6450121;4126;432847889;67,1069
28/09/2023;65,10;65,78;64,88;65,50;65,50;3592939;3568;235160890;65,4508
27/09/2023;63,72;65,10;63,70;64,80;64,80;3931397;2997;254180832;64,6541
26/09/2023;62,42;64,08;62,42;63,66;63,66;3840781;2654;244284571;63,6028
25/09/2023;61,82;62,94;61,80;62,80;62,80;2398544;2036;150309154;62,6668
22/09/2023;61,98;62,88;61,30;62,58;62,58;2708031;2078;169088721;62,4397
21/09/2023;63,30;63,36;61,46;61,84;61,84;3850594;2434;239027795;62,0756
20/09/2023;61,88;63,76;61,40;63,76;63,76;5305871;2805;336629033;63,4446
19/09/2023;61,52;62,32;61,52;61,68;61,68;2228474;1570;137658908;61,7727
18/09/2023;62,52;63,46;61,44;61,94;61,94;2233903;1874;138707021;62,0918
15/09/2023;63,04;63,46;62,14;63,02;63,02;9117235;4689;574246041;62,9847
14/09/2023;61,56;62,88;61,28;62,42;62,42;4724133;2926;294534733;62,3468
13/09/2023;61,26;61,98;60,92;61,00;61,00;3678128;1870;224692758;61,0889
12/09/2023;60,90;61,90;60,90;61,40;61,40;4482321;2146;275253195;61,4086
11/09/2023;59,76;60,90;59,60;60,90;60,90;3510389;2014;213111889;60,7089
08/09/2023;59,50;59,72;58,26;58,78;58,78;2918197;2312;171561321;58,7902
07/09/2023;62,22;62,22;59,66;59,66;59,66;2824767;2415;169985246;60,1767
