"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010941925
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,55;1,65;1,51;1,55;1,55;13260;8;20518;1,5474
03/11/2023;1,60;1,63;1,565;1,60;1,60;141200;28;222840;1,5782
02/11/2023;1,385;1,75;1,385;1,50;1,50;213077;39;319976;1,5017
01/11/2023;1,35;1,385;1,35;1,38;1,38;22998;5;31457;1,3678
31/10/2023;1,285;1,44;1,285;1,305;1,305;60306;11;79359;1,3159
30/10/2023;1,35;1,35;1,24;1,29;1,29;52095;14;67091;1,2879
27/10/2023;1,395;1,40;1,395;1,40;1,40;6337;2;8840;1,3950
26/10/2023;1,40;1,40;1,32;1,40;1,40;44000;7;58840;1,3373
25/10/2023;1,435;1,435;1,36;1,43;1,43;24222;7;33300;1,3748
24/10/2023;1,35;1,40;1,35;1,40;1,40;29000;5;40199;1,3862
23/10/2023;1,505;1,535;1,46;1,46;1,46;21882;11;32722;1,4954
20/10/2023;1,43;1,495;1,285;1,46;1,46;107274;21;144786;1,3497
19/10/2023;1,40;1,425;1,40;1,425;1,425;10000;2;14125;1,4125
18/10/2023;1,505;1,505;1,365;1,465;1,465;18073;6;26666;1,4755
17/10/2023;1,58;1,59;1,52;1,52;1,52;15683;6;24377;1,5544
16/10/2023;1,52;1,585;1,52;1,58;1,58;11001;7;17417;1,5832
13/10/2023;1,52;1,59;1,52;1,52;1,52;56293;8;86276;1,5326
12/10/2023;1,54;1,54;1,51;1,51;1,51;14592;5;22394;1,5347
11/10/2023;1,52;1,58;1,49;1,55;1,55;29900;8;46415;1,5523
10/10/2023;1,525;1,525;1,525;1,525;1,525;28000;5;42700;1,5250
09/10/2023;1,52;1,59;1,52;1,52;1,52;1401;4;2172;1,5500
06/10/2023;1,59;1,59;1,425;1,51;1,51;13610;10;20834;1,5308
05/10/2023;1,50;1,59;1,50;1,59;1,59;1500;2;2295;1,5300
04/10/2023;1,51;1,57;1,42;1,50;1,50;30885;9;46066;1,4915
03/10/2023;1,51;1,58;1,51;1,58;1,58;10324;3;16067;1,5563
02/10/2023;1,59;1,59;1,585;1,585;1,585;350;2;556;1,5893
29/09/2023;1,57;1,65;1,535;1,59;1,59;56864;13;89839;1,5799
28/09/2023;1,58;1,58;1,525;1,525;1,525;9438;6;14895;1,5782
27/09/2023;1,575;1,575;1,575;1,575;1,575;8000;2;12600;1,5750
26/09/2023;1,595;1,595;1,595;1,595;1,595;1000;1;1595;1,5950
25/09/2023;1,59;1,69;1,59;1,60;1,60;50500;11;81595;1,6157
22/09/2023;1,635;1,635;1,50;1,58;1,58;98755;14;155051;1,5701
21/09/2023;1,56;1,58;1,45;1,53;1,53;26776;13;41251;1,5406
20/09/2023;1,645;1,645;1,55;1,55;1,55;25283;7;39717;1,5709
19/09/2023;1,615;1,74;1,60;1,60;1,60;57206;21;92968;1,6251
18/09/2023;1,77;1,975;1,645;1,71;1,71;5907;10;10000;1,6929
15/09/2023;1,685;1,795;1,63;1,735;1,735;24548;14;40410;1,6462
14/09/2023;1,67;1,675;1,67;1,675;1,675;15144;9;25326;1,6723
13/09/2023;1,675;1,675;1,625;1,675;1,675;1400;4;2339;1,6706
12/09/2023;1,68;1,68;1,68;1,68;1,68;3010;2;5057;1,6800
11/09/2023;1,65;1,765;1,61;1,685;1,685;44363;24;74104;1,6704
08/09/2023;1,70;1,75;1,70;1,75;1,75;14062;6;24335;1,7306
07/09/2023;1,80;1,94;1,715;1,75;1,75;116821;21;207456;1,7758
06/09/2023;1,715;1,99;1,60;1,82;1,82;107663;31;191884;1,7823
05/09/2023;1,815;1,815;1,725;1,81;1,81;23270;9;41003;1,7621
04/09/2023;1,84;1,85;1,725;1,84;1,84;59600;12;105288;1,7666
01/09/2023;1,72;1,85;1,72;1,85;1,85;6740;6;12217;1,8127
31/08/2023;1,80;1,875;1,71;1,80;1,80;35837;10;64477;1,7992
30/08/2023;1,95;1,95;1,82;1,82;1,82;19716;9;36877;1,8704
29/08/2023;1,98;1,99;1,95;1,95;1,95;83000;9;163031;1,9642
28/08/2023;1,99;2,09;1,975;1,98;1,98;15000;6;30075;2,0050
25/08/2023;1,925;1,97;1,90;1,92;1,92;19600;7;37939;1,9357
24/08/2023;1,98;1,985;1,975;1,975;1,975;2300;3;4557;1,9813
23/08/2023;2,04;2,04;1,93;1,93;1,93;44920;4;89267;1,9872
22/08/2023;2,05;2,08;1,925;1,925;1,925;54880;11;112079;2,0422
21/08/2023;2,45;2,68;1,92;2,10;2,10;172920;59;387679;2,2420
18/08/2023;1,95;2,40;1,855;2,36;2,36;81450;28;171251;2,1025
17/08/2023;1,92;1,92;1,90;1,91;1,91;53344;15;102212;1,9161
16/08/2023;2,05;2,05;1,95;1,985;1,985;25875;7;50968;1,9698
15/08/2023;2,01;2,06;1,945;2,00;2,00;169169;15;340515;2,0129
14/08/2023;2,20;2,20;2,05;2,09;2,09;28232;5;58990;2,0895
11/08/2023;2,20;2,20;2,00;2,00;2,00;19856;11;41236;2,0768
10/08/2023;2,18;2,30;2,18;2,19;2,19;123862;16;275577;2,2249
09/08/2023;1,93;2,15;1,93;2,15;2,15;18855;6;37920;2,0111
08/08/2023;1,93;1,93;1,90;1,915;1,915;33516;10;64422;1,9221
07/08/2023;2,12;2,19;1,90;1,92;1,92;64129;19;128450;2,0030
04/08/2023;2,11;2,20;2,11;2,12;2,12;47422;14;101978;2,1504
03/08/2023;2,49;2,55;2,11;2,26;2,26;74729;31;168231;2,2512
02/08/2023;2,41;2,70;2,32;2,38;2,38;130805;44;322152;2,4628
01/08/2023;2,50;2,59;2,28;2,48;2,48;132845;57;323838;2,4377
31/07/2023;1,68;3,00;1,68;2,37;2,37;349721;160;759300;2,1712
28/07/2023;1,645;1,665;1,615;1,615;1,615;14406;6;23889;1,6583
27/07/2023;1,76;1,78;1,555;1,64;1,64;88642;23;147333;1,6621
26/07/2023;1,75;1,75;1,75;1,75;1,75;490;1;858;1,7500
25/07/2023;1,75;1,76;1,75;1,75;1,75;14685;11;25747;1,7533
24/07/2023;1,815;1,815;1,79;1,79;1,79;9117;8;16382;1,7969
21/07/2023;1,815;1,90;1,815;1,815;1,815;2530;4;4634;1,8318
20/07/2023;1,80;1,945;1,80;1,945;1,945;5440;4;10396;1,9109
19/07/2023;1,98;1,98;1,90;1,90;1,90;7789;6;15202;1,9517
18/07/2023;1,95;1,975;1,95;1,975;1,975;16000;3;31400;1,9625
17/07/2023;2,00;2,00;1,90;1,975;1,975;3239;5;6307;1,9472
14/07/2023;1,98;1,995;1,865;1,90;1,90;27700;11;53323;1,9250
13/07/2023;2,00;2,00;2,00;2,00;2,00;440;1;880;2,0000
12/07/2023;1,90;1,99;1,90;1,99;1,99;1100;2;2180;1,9818
11/07/2023;1,965;1,995;1,965;1,995;1,995;7100;4;14119;1,9886
10/07/2023;2,04;2,04;1,95;1,965;1,965;10010;5;19640;1,9621
07/07/2023;2,05;2,05;2,05;2,05;2,05;2500;1;5125;2,0500
06/07/2023;2,19;2,19;2,10;2,10;2,10;15100;2;31719;2,1006
05/07/2023;2,01;2,47;2,01;2,19;2,19;31522;24;69257;2,1971
04/07/2023;1,79;2,09;1,79;2,09;2,09;26694;15;52649;1,9723
03/07/2023;1,76;1,76;1,745;1,75;1,75;54094;8;94522;1,7474
30/06/2023;1,79;1,795;1,76;1,795;1,795;24382;7;43442;1,7817
29/06/2023;1,70;1,795;1,70;1,79;1,79;19997;9;35522;1,7763
28/06/2023;1,75;1,765;1,665;1,675;1,675;39061;12;67620;1,7311
27/06/2023;1,98;1,98;1,695;1,70;1,70;81706;22;142486;1,7439
26/06/2023;1,97;1,97;1,97;1,97;1,97;5850;5;11525;1,9700
23/06/2023;1,99;1,99;1,855;1,975;1,975;69778;7;137453;1,9699
22/06/2023;2,20;2,20;2,00;2,00;2,00;41439;10;83755;2,0212
21/06/2023;2,00;2,28;2,00;2,26;2,26;65310;15;143843;2,2025
20/06/2023;1,975;2,00;1,975;2,00;2,00;18031;9;35848;1,9881
19/06/2023;2,09;2,14;1,975;1,975;1,975;20587;10;42740;2,0760
16/06/2023;1,99;1,99;1,965;1,99;1,99;12634;9;25071;1,9844
15/06/2023;2,22;2,22;2,00;2,00;2,00;71610;11;144632;2,0197
14/06/2023;2,17;2,18;2,17;2,18;2,18;1904;3;4141;2,1747
13/06/2023;2,14;2,80;2,11;2,17;2,17;56546;21;127386;2,2528
12/06/2023;2,09;2,09;2,03;2,09;2,09;6688;5;13906;2,0793
09/06/2023;2,07;2,16;2,07;2,16;2,16;83000;6;173393;2,0891
08/06/2023;2,05;2,05;2,05;2,05;2,05;13310;9;27286;2,0500
07/06/2023;2,12;2,12;1,95;2,00;2,00;14499;7;29061;2,0043
06/06/2023;2,11;2,11;2,02;2,02;2,02;48297;9;101435;2,1002
05/06/2023;2,25;2,25;2,10;2,11;2,11;48939;20;103871;2,1225
02/06/2023;2,23;2,23;2,20;2,20;2,20;12932;10;28633;2,2141
01/06/2023;2,26;2,26;2,23;2,23;2,23;228;2;513;2,2511
31/05/2023;2,35;2,35;2,30;2,30;2,30;1200;3;2805;2,3375
30/05/2023;2,19;2,30;2,19;2,30;2,30;23697;13;52968;2,2352
29/05/2023;0,00;0,00;0,00;0,00;2,10;0;0;0;0,0000
26/05/2023;2,18;2,32;2,10;2,10;2,10;154247;23;331695;2,1504
25/05/2023;2,25;2,38;2,06;2,17;2,17;97165;36;213061;2,1928
24/05/2023;2,32;2,34;2,30;2,30;2,30;52144;10;121193;2,3242
23/05/2023;2,35;2,40;2,35;2,40;2,40;3150;4;7458;2,3675
22/05/2023;2,55;2,55;2,42;2,43;2,43;25188;8;62985;2,5006
19/05/2023;2,40;2,64;2,40;2,50;2,50;12819;8;32762;2,5558
18/05/2023;0,00;0,00;0,00;0,00;2,45;0;0;0;0,0000
