"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010969108
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,98;1,995;1,865;1,95;1,95;53050;12;103494;1,9509
03/11/2023;1,995;1,995;1,90;1,995;1,995;14356;8;27685;1,9284
02/11/2023;2,16;2,16;2,00;2,07;2,07;5348;7;11082;2,0722
01/11/2023;2,00;2,09;1,78;1,995;1,995;4055;11;7632;1,8821
31/10/2023;2,18;2,18;1,75;1,995;1,995;111606;26;204747;1,8345
30/10/2023;2,19;2,19;1,825;1,895;1,895;53581;16;101817;1,9002
27/10/2023;2,00;2,00;1,82;1,995;1,995;11206;8;22236;1,9843
26/10/2023;1,85;2,13;1,815;2,02;2,02;62759;21;116445;1,8554
25/10/2023;1,83;1,96;1,825;1,96;1,96;14855;7;28896;1,9452
24/10/2023;0,00;0,00;0,00;0,00;1,98;0;0;0;0,0000
23/10/2023;2,20;2,20;1,765;1,98;1,98;56898;23;104919;1,8440
20/10/2023;2,07;2,08;1,795;2,07;2,07;113101;44;214944;1,9005
19/10/2023;2,00;2,17;1,98;2,07;2,07;69288;34;139432;2,0123
18/10/2023;2,45;2,45;2,10;2,20;2,20;68562;24;150808;2,1996
17/10/2023;2,23;2,41;2,22;2,41;2,41;65408;10;146264;2,2362
16/10/2023;2,41;2,42;2,20;2,42;2,42;9842;7;22548;2,2910
13/10/2023;2,23;2,31;2,23;2,31;2,31;2095;2;4748;2,2663
12/10/2023;2,48;2,48;2,29;2,38;2,38;71770;16;167600;2,3352
11/10/2023;2,50;2,50;2,40;2,45;2,45;64528;14;156049;2,4183
10/10/2023;2,50;2,59;2,50;2,59;2,59;7125;7;18158;2,5485
09/10/2023;2,52;2,52;2,40;2,50;2,50;28000;7;67494;2,4105
06/10/2023;2,59;2,59;2,40;2,49;2,49;36738;16;91003;2,4771
05/10/2023;2,59;2,59;2,40;2,59;2,59;20987;5;50715;2,4165
04/10/2023;2,60;2,60;2,40;2,40;2,40;33988;12;83096;2,4449
03/10/2023;2,50;2,79;2,41;2,60;2,60;51398;20;134140;2,6098
02/10/2023;2,40;2,95;2,40;2,67;2,67;72158;26;184020;2,5502
29/09/2023;2,29;2,40;2,29;2,40;2,40;6464;5;15026;2,3246
28/09/2023;2,35;2,39;2,25;2,29;2,29;51960;14;119500;2,2998
27/09/2023;2,40;2,40;2,35;2,40;2,40;31550;14;75686;2,3989
26/09/2023;2,40;2,40;2,25;2,40;2,40;68344;11;163286;2,3892
25/09/2023;2,40;2,60;2,40;2,49;2,49;100348;37;242994;2,4215
22/09/2023;2,21;2,50;2,10;2,45;2,45;156249;32;353203;2,2605
21/09/2023;2,22;2,22;2,11;2,21;2,21;13277;9;28358;2,1359
20/09/2023;2,12;2,23;2,10;2,22;2,22;62228;32;132855;2,1350
19/09/2023;2,25;2,25;2,06;2,12;2,12;43544;18;90553;2,0796
18/09/2023;2,18;2,25;2,00;2,25;2,25;29474;10;63358;2,1496
15/09/2023;2,15;2,24;2,05;2,18;2,18;323403;93;688044;2,1275
14/09/2023;2,35;2,35;1,905;2,29;2,29;162575;56;346148;2,1292
13/09/2023;2,25;2,33;2,15;2,25;2,25;40397;21;91382;2,2621
12/09/2023;2,30;2,39;2,00;2,25;2,25;130702;62;274556;2,1006
11/09/2023;2,10;2,47;2,10;2,25;2,25;318012;69;707462;2,2246
08/09/2023;1,98;2,00;1,78;1,995;1,995;478459;106;906673;1,8950
07/09/2023;1,90;1,905;1,74;1,90;1,90;268726;59;489802;1,8227
06/09/2023;1,95;2,05;1,78;1,90;1,90;219101;41;420804;1,9206
05/09/2023;2,00;2,00;1,925;1,99;1,99;16684;16;32937;1,9742
04/09/2023;2,15;2,30;2,00;2,07;2,07;75832;35;160404;2,1153
01/09/2023;2,16;2,16;1,98;2,09;2,09;140952;33;287111;2,0369
31/08/2023;2,30;2,30;1,97;2,16;2,16;211966;73;442362;2,0869
30/08/2023;3,20;3,20;1,85;2,03;2,03;761514;208;1726757;2,2675
29/08/2023;3,50;3,50;3,50;3,50;3,50;6418;3;22463;3,5000
28/08/2023;3,50;3,50;3,29;3,50;3,50;73078;24;249053;3,4080
25/08/2023;3,20;3,20;3,13;3,20;3,20;77402;41;244228;3,1553
24/08/2023;3,19;3,19;2,94;3,00;3,00;39418;18;119906;3,0419
23/08/2023;3,07;3,20;3,00;3,19;3,19;303642;55;914813;3,0128
22/08/2023;3,00;3,09;2,80;2,95;2,95;27192;17;78448;2,8850
21/08/2023;3,19;3,19;2,81;2,95;2,95;57653;34;170262;2,9532
18/08/2023;3,10;3,19;2,81;3,00;3,00;193039;60;575112;2,9793
17/08/2023;3,20;3,20;3,15;3,20;3,20;8430;9;26974;3,1997
16/08/2023;3,20;3,20;3,20;3,20;3,20;12702;8;40646;3,2000
15/08/2023;3,20;3,20;3,10;3,20;3,20;119766;35;382784;3,1961
14/08/2023;3,49;3,49;3,33;3,49;3,49;50794;23;170610;3,3589
11/08/2023;3,49;3,50;3,31;3,50;3,50;43930;12;147219;3,3512
10/08/2023;3,40;3,50;3,26;3,50;3,50;73922;21;247547;3,3488
09/08/2023;3,22;3,50;3,22;3,49;3,49;7606;10;26193;3,4437
08/08/2023;3,50;3,50;3,13;3,50;3,50;12279;10;42683;3,4761
07/08/2023;3,10;4,00;3,10;3,49;3,49;62233;27;225299;3,6202
04/08/2023;3,31;3,49;3,30;3,49;3,49;27942;16;93822;3,3577
03/08/2023;3,45;3,45;3,10;3,32;3,32;29256;14;96443;3,2965
02/08/2023;3,50;3,50;3,33;3,43;3,43;28974;14;99037;3,4181
01/08/2023;3,50;3,50;3,36;3,49;3,49;7380;11;25295;3,4275
31/07/2023;3,80;3,80;3,48;3,50;3,50;351561;79;1255556;3,5714
28/07/2023;3,91;3,95;3,75;3,77;3,77;28166;17;109722;3,8955
27/07/2023;3,94;3,94;3,94;3,94;3,94;13530;4;53308;3,9400
26/07/2023;4,00;4,11;4,00;4,08;4,08;34202;9;140249;4,1006
25/07/2023;3,90;3,90;3,90;3,90;3,90;2975;2;11603;3,9000
24/07/2023;3,90;3,90;3,69;3,80;3,80;3443;9;13214;3,8378
21/07/2023;3,65;3,94;3,65;3,90;3,90;6664;16;25180;3,7785
