"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010861115
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;45,40;46,36;45,10;45,90;45,90;497626;956;22866880;45,9519
03/11/2023;45,30;45,88;44,92;45,20;45,20;509298;1081;23092848;45,3425
02/11/2023;41,98;45,28;41,92;45,20;45,20;1157190;1593;51029955;44,0982
01/11/2023;41,00;41,38;40,72;41,30;41,30;381303;792;15683853;41,1323
31/10/2023;41,10;41,42;40,04;40,74;40,74;385164;819;15665335;40,6719
30/10/2023;40,80;41,52;40,80;41,00;41,00;701101;863;28864499;41,1702
27/10/2023;39,56;41,36;39,56;40,72;40,72;410351;875;16822509;40,9954
26/10/2023;39,12;40,38;39,12;40,10;40,10;345046;714;13819525;40,0513
25/10/2023;39,62;40,22;39,12;39,72;39,72;345188;842;13728816;39,7720
24/10/2023;38,30;39,98;38,28;39,62;39,62;387136;766;15336511;39,6153
23/10/2023;39,36;39,36;37,50;39,14;39,14;839775;1421;32172699;38,3111
20/10/2023;40,50;40,90;38,86;39,40;39,40;1463057;2333;58282862;39,8364
19/10/2023;40,42;40,98;39,50;39,56;39,56;1301060;2135;51941705;39,9226
18/10/2023;42,28;42,68;41,08;41,18;41,18;1599158;2794;66762713;41,7487
17/10/2023;44,10;44,72;44,02;44,10;44,10;283636;651;12571023;44,3210
16/10/2023;44,30;44,88;44,06;44,42;44,42;368815;686;16379037;44,4099
13/10/2023;44,14;44,98;43,90;44,00;44,00;509330;948;22591487;44,3553
12/10/2023;45,90;46,78;44,56;44,56;44,56;740413;1163;33752100;45,5855
11/10/2023;44,50;46,68;44,50;45,90;45,90;839886;1444;38439207;45,7672
10/10/2023;43,30;44,72;43,16;44,42;44,42;575805;1191;25336417;44,0017
09/10/2023;44,00;45,00;42,42;42,90;42,90;723420;1273;31388472;43,3890
06/10/2023;47,50;48,40;42,32;43,22;43,22;2384374;3588;107685913;45,1632
05/10/2023;46,00;46,70;45,70;46,12;46,12;386756;799;17873647;46,2143
04/10/2023;45,20;46,76;44,72;45,74;45,74;370003;785;17029286;46,0247
03/10/2023;46,28;46,46;45,14;45,20;45,20;403811;959;18494896;45,8009
02/10/2023;46,40;47,72;46,40;46,74;46,74;442954;914;20866075;47,1066
29/09/2023;45,40;46,88;45,40;46,44;46,44;400720;931;18572622;46,3481
28/09/2023;44,70;45,64;44,36;45,30;45,30;362081;823;16390112;45,2664
27/09/2023;44,46;45,32;44,22;44,72;44,72;313965;591;14092336;44,8851
26/09/2023;44,00;44,78;43,16;44,28;44,28;377256;644;16624308;44,0664
25/09/2023;45,92;45,92;44,06;44,20;44,20;342454;795;15286109;44,6370
22/09/2023;45,96;45,96;44,60;45,34;45,34;391090;816;17688447;45,2286
21/09/2023;46,80;46,80;45,38;45,96;45,96;545581;1175;25101921;46,0095
20/09/2023;46,76;47,10;46,32;46,88;46,88;491509;860;22969764;46,7331
19/09/2023;46,20;48,16;46,20;46,58;46,58;731427;1289;34551597;47,2386
18/09/2023;45,44;46,38;45,24;46,18;46,18;382115;843;17525321;45,8640
15/09/2023;44,90;47,12;44,90;45,44;45,44;1244326;2226;57260619;46,0174
14/09/2023;44,16;44,94;44,04;44,54;44,54;435320;894;19399059;44,5628
13/09/2023;43,20;44,38;43,20;44,16;44,16;472136;786;20747398;43,9437
12/09/2023;42,66;43,88;42,38;43,66;43,66;472946;809;20375222;43,0815
11/09/2023;41,78;42,48;41,78;42,16;42,16;273177;620;11544284;42,2594
08/09/2023;42,00;42,00;41,50;41,78;41,78;310988;595;12985839;41,7567
07/09/2023;41,70;42,60;41,60;41,60;41,60;319667;717;13420239;41,9819
06/09/2023;41,80;42,54;41,60;41,64;41,64;382409;873;16078926;42,0464
05/09/2023;41,92;42,36;41,70;41,96;41,96;420623;722;17675766;42,0228
04/09/2023;42,30;43,44;42,18;42,18;42,18;498687;843;21289984;42,6921
01/09/2023;42,90;43,16;41,50;42,24;42,24;1408235;2433;59399794;42,1803
31/08/2023;44,20;44,34;43,50;43,86;43,86;462190;652;20270049;43,8565
30/08/2023;44,40;44,58;43,44;43,88;43,88;323568;704;14212561;43,9245
29/08/2023;44,26;44,90;43,96;44,16;44,16;544502;1035;24269467;44,5719
28/08/2023;43,10;44,30;43,10;44,26;44,26;389132;743;16970659;43,6116
25/08/2023;43,00;43,50;42,62;43,02;43,02;261310;589;11266873;43,1169
24/08/2023;44,20;44,46;42,62;42,64;42,64;525451;1032;22736444;43,2703
